,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,4669.0,4688.0,4618.6,4642.95,4671.0,4674.85,4657.38,4957.0,2640.0,147991,689249658.55,16903,ABB
1,2023-12-28,EQ,4746.7,4765.4,4622.0,4733.6,4635.3,4642.95,4662.21,4957.0,2640.0,478064,2228837138.85,37955,ABB
2,2023-12-27,EQ,4799.95,4822.9,4724.0,4771.35,4741.0,4733.6,4769.81,4957.0,2640.0,165313,788510955.25,22571,ABB
3,2023-12-26,EQ,4771.35,4824.0,4747.25,4759.0,4778.05,4771.35,4781.44,4957.0,2640.0,121004,578573281.65,17228,ABB
4,2023-12-22,EQ,4723.0,4765.0,4686.1,4684.5,4753.0,4759.0,4735.44,4957.0,2640.0,155535,736526028.4,22442,ABB
5,2023-12-21,EQ,4599.2,4705.45,4529.1,4614.35,4682.0,4684.5,4645.24,4957.0,2640.0,191984,891811193.4,25758,ABB
6,2023-12-20,EQ,4854.0,4895.0,4562.15,4838.95,4592.4,4614.35,4746.49,4957.0,2640.0,347680,1650259703.5,47654,ABB
7,2023-12-19,EQ,4922.0,4925.6,4800.05,4888.4,4840.0,4838.95,4842.82,4957.0,2640.0,223298,1081392436.05,21764,ABB
8,2023-12-18,EQ,4834.0,4957.0,4781.85,4835.1,4883.0,4888.4,4887.29,4957.0,2640.0,356079,1740263062.65,42040,ABB
9,2023-12-15,EQ,4806.05,4929.55,4763.6,4792.4,4824.95,4835.1,4844.08,4929.55,2640.0,371899,1801507513.7,43157,ABB
10,2023-12-14,EQ,4801.4,4834.95,4734.7,4767.35,4815.0,4792.4,4794.76,4885.45,2640.0,150017,719295224.65,24697,ABB
11,2023-12-13,EQ,4730.95,4777.3,4675.05,4721.3,4769.0,4767.35,4729.76,4885.45,2640.0,166968,789717813.3,29688,ABB
