,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,22650.0,22900.0,22520.0,22623.7,22805.0,22851.25,22642.18,24744.25,19900.0,19648,444873509.05,4489,ABBOTINDIA
1,2023-12-28,EQ,22620.0,22716.35,22500.0,22570.1,22640.0,22623.7,22601.26,24744.25,19900.0,11577,261654741.2,4872,ABBOTINDIA
2,2023-12-27,EQ,22483.0,22692.95,22450.0,22452.55,22620.0,22570.1,22574.88,24744.25,19900.0,11512,259882046.75,4827,ABBOTINDIA
3,2023-12-26,EQ,22599.95,22670.0,22239.05,22604.0,22500.0,22452.55,22398.22,24744.25,19900.0,24132,540513770.3,7027,ABBOTINDIA
4,2023-12-22,EQ,22367.3,22661.0,22324.6,22354.75,22600.0,22604.0,22525.51,24744.25,19900.0,12474,280983177.05,6153,ABBOTINDIA
5,2023-12-21,EQ,22143.9,22435.0,22000.0,22135.15,22380.0,22354.75,22218.3,24744.25,19900.0,13841,307523489.05,5378,ABBOTINDIA
6,2023-12-20,EQ,22902.25,22959.6,22041.5,22902.25,22134.35,22135.15,22466.08,24744.25,19900.0,24567,551924154.25,10248,ABBOTINDIA
7,2023-12-19,EQ,22781.0,23052.5,22752.25,22780.3,22930.0,22902.25,22903.08,24744.25,19900.0,11982,274424720.7,3003,ABBOTINDIA
8,2023-12-18,EQ,22750.05,22934.9,22620.0,22694.8,22771.0,22780.3,22793.97,24744.25,19900.0,20584,469191139.55,7190,ABBOTINDIA
9,2023-12-15,EQ,22742.0,22841.05,22610.0,22742.0,22689.0,22694.8,22698.27,24744.25,19900.0,11975,271811755.6,3520,ABBOTINDIA
10,2023-12-14,EQ,22870.0,22906.15,22502.05,22780.85,22800.0,22742.0,22680.57,24744.25,19900.0,12923,293101026.75,4790,ABBOTINDIA
11,2023-12-13,EQ,22825.0,22948.0,22722.1,22825.0,22924.0,22780.85,22802.22,24744.25,19900.0,8835,201457644.3,2122,ABBOTINDIA
12,2023-12-12,EQ,23046.55,23165.9,22760.5,23046.55,22887.75,22825.0,22920.21,24744.25,19900.0,12943,296656250.65,5168,ABBOTINDIA
