,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,474.25,475.7,468.0,472.3,469.0,469.35,471.15,494.65,307.0,77555,36540171.15,4070,ABSLAMC
1,2023-12-28,EQ,465.0,474.55,465.0,465.6,471.0,472.3,470.84,494.65,307.0,88245,41549252.1,4610,ABSLAMC
2,2023-12-27,EQ,471.7,475.0,461.45,471.75,467.0,465.6,469.82,494.65,307.0,84746,39815591.8,3217,ABSLAMC
3,2023-12-26,EQ,477.8,479.4,470.85,475.4,471.45,471.75,474.07,494.65,307.0,52595,24933510.65,2341,ABSLAMC
4,2023-12-22,EQ,470.55,480.15,470.55,468.25,474.15,475.4,475.46,494.65,307.0,89798,42695019.15,2627,ABSLAMC
5,2023-12-21,EQ,472.0,486.6,460.0,472.7,469.5,468.25,472.64,494.65,307.0,155716,73596983.0,4781,ABSLAMC
6,2023-12-20,EQ,471.55,494.65,470.05,469.15,471.75,472.7,485.58,494.65,307.0,670567,325614617.35,19351,ABSLAMC
7,2023-12-19,EQ,477.6,477.6,465.8,475.5,469.0,469.15,470.85,479.2,307.0,137010,64511209.45,4400,ABSLAMC
8,2023-12-18,EQ,460.0,479.2,455.45,460.9,475.0,475.5,474.01,479.2,307.0,278515,132017802.35,9213,ABSLAMC
9,2023-12-15,EQ,463.85,465.55,457.0,461.6,462.0,460.9,461.3,471.9,307.0,91728,42314165.3,3375,ABSLAMC
10,2023-12-14,EQ,461.95,466.8,460.0,461.9,460.0,461.6,463.89,471.9,307.0,86718,40227951.55,4016,ABSLAMC
11,2023-12-13,EQ,463.75,464.45,460.05,463.75,462.15,461.9,461.93,471.9,307.0,61973,28627303.65,3150,ABSLAMC
12,2023-12-12,EQ,465.7,466.9,461.25,465.7,462.55,463.75,463.69,471.9,307.0,76577,35507931.95,3759,ABSLAMC
13,2023-12-11,EQ,460.0,467.2,456.0,459.65,465.0,465.7,462.34,471.9,307.0,84370,39007371.25,3574,ABSLAMC
14,2023-12-08,EQ,470.0,470.0,456.0,466.75,458.8,459.65,462.0,471.9,307.0,80063,36989114.25,3687,ABSLAMC
15,2023-12-07,EQ,464.35,467.25,458.0,464.35,466.1,466.75,463.62,471.9,307.0,90166,41802572.85,3555,ABSLAMC
16,2023-12-06,EQ,469.05,469.05,460.35,462.1,465.9,464.35,464.22,471.9,307.0,142978,66373854.15,5545,ABSLAMC
17,2023-12-05,EQ,451.6,465.0,451.6,452.25,465.0,462.1,458.06,471.9,307.0,154811,70912567.45,5563,ABSLAMC
18,2023-12-04,EQ,452.95,455.2,447.5,448.2,451.5,452.25,451.64,471.9,307.0,101227,45718644.3,4140,ABSLAMC
19,2023-12-01,EQ,448.85,453.35,446.1,448.85,448.7,448.2,448.44,471.9,307.0,74271,33306223.25,3856,ABSLAMC
20,2023-11-30,EQ,451.0,454.75,448.3,451.0,448.3,448.85,450.01,471.9,307.0,54545,24545906.45,2614,ABSLAMC
21,2023-11-29,EQ,454.0,458.3,449.75,456.65,450.95,451.0,452.34,471.9,307.0,54944,24853616.8,2676,ABSLAMC
22,2023-11-28,EQ,455.3,461.3,453.3,457.15,456.0,456.65,456.74,471.9,307.0,75627,34542165.05,3211,ABSLAMC
