,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,821.15,839.95,821.0,826.0,835.6,829.15,828.5,895.0,265.3,100049,82890122.65,7980,ACE
1,2023-12-28,EQ,846.0,849.7,816.6,840.5,830.0,826.0,830.8,895.0,265.3,139546,115934800.4,10396,ACE
2,2023-12-27,EQ,851.05,857.1,833.0,847.05,838.05,840.5,842.85,895.0,265.3,113159,95375953.6,9918,ACE
3,2023-12-26,EQ,855.0,865.0,842.05,851.1,851.5,847.05,853.17,895.0,265.3,142478,121558328.55,12855,ACE
4,2023-12-22,EQ,869.05,881.95,844.0,859.85,855.4,851.1,860.93,895.0,265.3,174188,149962891.65,14684,ACE
5,2023-12-21,EQ,796.05,885.0,780.0,812.4,885.0,859.85,835.71,895.0,265.3,313418,261925336.1,18470,ACE
6,2023-12-20,EQ,842.95,881.0,806.05,836.25,818.0,812.4,846.35,895.0,265.3,481623,407620092.7,31133,ACE
7,2023-12-19,EQ,848.0,850.0,826.0,842.35,841.95,836.25,836.78,895.0,265.3,173400,145097108.9,14430,ACE
8,2023-12-18,EQ,860.0,872.0,840.0,853.9,843.2,842.35,855.37,895.0,265.3,297595,254554226.95,18685,ACE
9,2023-12-15,EQ,826.8,860.0,820.0,817.55,847.7,853.9,850.17,895.0,265.3,675516,574305040.65,30615,ACE
10,2023-12-14,EQ,825.0,828.55,814.0,815.65,819.0,817.55,822.7,895.0,265.3,126108,103749196.45,8371,ACE
11,2023-12-13,EQ,807.7,825.0,796.2,801.8,813.65,815.65,812.61,895.0,265.3,233285,189570479.3,15860,ACE
12,2023-12-12,EQ,817.4,820.0,800.0,812.05,804.0,801.8,807.58,895.0,265.3,183353,148071676.6,19221,ACE
13,2023-12-11,EQ,819.9,821.4,805.25,815.05,812.0,812.05,809.9,895.0,265.3,130656,105818888.6,11813,ACE
14,2023-12-08,EQ,839.0,846.8,810.1,835.85,815.0,815.05,824.32,895.0,265.3,181273,149427036.9,16585,ACE
15,2023-12-07,EQ,798.95,842.0,798.7,798.7,832.9,835.85,827.48,895.0,265.3,327255,270795397.55,23883,ACE
16,2023-12-06,EQ,810.95,828.45,790.0,810.95,795.6,798.7,809.65,895.0,265.3,287130,232474330.35,14991,ACE
17,2023-12-05,EQ,825.0,826.0,805.55,819.9,816.05,810.95,813.78,895.0,265.3,183225,149104234.7,19835,ACE
18,2023-12-04,EQ,840.0,843.7,815.05,822.7,820.9,819.9,826.16,895.0,265.3,174290,143991385.1,12494,ACE
19,2023-12-01,EQ,844.95,854.35,819.15,838.25,825.15,822.7,831.27,895.0,265.3,214799,178555802.6,14715,ACE
20,2023-11-30,EQ,835.7,849.0,815.1,830.75,840.0,838.25,830.11,895.0,265.3,399865,331930256.85,26417,ACE
21,2023-11-29,EQ,821.9,833.7,818.0,815.5,831.95,830.75,828.4,895.0,265.3,126348,104666655.7,13473,ACE
22,2023-11-28,EQ,813.2,839.0,809.95,813.2,818.0,815.5,824.01,895.0,265.3,402136,331364899.05,20409,ACE
23,2023-11-24,EQ,823.0,847.05,810.0,821.8,812.75,813.2,825.53,895.0,265.3,263140,217229340.2,21235,ACE
24,2023-11-23,EQ,838.0,842.3,814.35,833.3,823.0,821.8,827.72,895.0,265.3,175434,145209846.85,15021,ACE
25,2023-11-22,EQ,838.0,844.9,822.3,833.8,834.4,833.3,834.06,895.0,265.3,119795,99916679.95,10040,ACE
26,2023-11-21,EQ,856.0,865.75,830.1,849.3,835.4,833.8,846.47,895.0,265.3,191690,162260030.4,15070,ACE
27,2023-11-20,EQ,870.0,879.95,845.15,863.4,850.5,849.3,861.55,895.0,265.3,164132,141408332.8,14288,ACE
28,2023-11-17,EQ,871.9,884.0,858.35,872.35,870.0,863.4,866.56,895.0,265.3,444212,384938233.65,13886,ACE
29,2023-11-16,EQ,875.8,895.0,869.8,869.8,869.8,872.35,883.19,895.0,265.3,247845,218894037.25,14054,ACE
30,2023-11-15,EQ,870.05,873.55,862.1,858.1,869.3,869.8,868.63,894.7,265.3,161436,140227991.95,11475,ACE
31,2023-11-13,EQ,872.95,872.95,845.25,873.25,853.45,858.1,855.43,894.7,265.3,198808,170066031.05,13272,ACE
32,2023-11-12,EQ,869.95,878.85,865.35,854.45,873.5,873.25,872.68,894.7,265.3,93438,81541093.9,6510,ACE
33,2023-11-10,EQ,850.0,894.7,843.7,807.25,861.5,854.45,865.52,894.7,265.3,914003,791090199.3,34792,ACE
34,2023-11-09,EQ,854.0,867.95,800.0,846.55,810.0,807.25,825.99,879.7,265.3,285393,235730930.1,19102,ACE
35,2023-11-08,EQ,841.7,850.75,836.4,834.5,847.0,846.55,844.26,879.7,265.3,98766,83383936.75,9693,ACE
36,2023-11-07,EQ,867.0,877.9,829.0,859.35,843.0,834.5,850.77,879.7,265.3,214473,182467946.35,12966,ACE
37,2023-11-06,EQ,865.0,879.7,842.0,839.85,869.0,859.35,864.77,879.7,265.3,376514,325596552.9,21737,ACE
38,2023-11-03,EQ,847.95,863.0,822.0,846.2,834.0,839.85,849.67,864.35,265.3,240297,204172514.9,13924,ACE
39,2023-11-02,EQ,856.0,859.55,830.15,843.4,842.0,846.2,845.0,864.35,265.3,225676,190696931.45,12724,ACE
40,2023-11-01,EQ,841.95,864.35,826.3,833.1,846.75,843.4,848.79,864.35,265.3,509361,432340861.1,23680,ACE
41,2023-10-31,EQ,774.7,842.0,774.65,768.55,838.8,833.1,817.96,842.0,265.3,1147948,938971739.55,49264,ACE
42,2023-10-30,EQ,755.0,785.5,742.05,750.65,769.0,768.55,769.74,821.0,265.3,558853,430174052.85,27978,ACE
43,2023-10-27,EQ,719.0,755.0,719.0,715.75,751.65,750.65,745.39,821.0,265.3,385796,287569263.45,19709,ACE
44,2023-10-26,EQ,700.05,719.45,657.3,702.9,715.0,715.75,692.18,821.0,265.3,328999,227725884.05,26282,ACE
45,2023-10-25,EQ,719.0,732.95,697.0,714.15,700.55,702.9,714.83,821.0,265.3,248655,177745349.25,13816,ACE
46,2023-10-23,EQ,746.5,762.0,705.0,739.1,710.8,714.15,741.75,821.0,265.3,476904,353741924.6,22462,ACE
47,2023-10-20,EQ,711.95,756.6,708.55,714.45,737.0,739.1,740.9,821.0,265.3,682463,505636145.85,27074,ACE
48,2023-10-19,EQ,700.0,722.45,699.85,700.1,712.0,714.45,710.81,821.0,265.3,249268,177181878.95,9959,ACE
49,2023-10-18,EQ,709.0,710.0,693.0,704.8,700.25,700.1,700.45,821.0,265.3,160495,112418401.55,9408,ACE
50,2023-10-17,EQ,711.85,715.0,701.05,704.2,704.75,704.8,707.73,821.0,265.3,105192,74447231.0,6208,ACE
51,2023-10-16,EQ,703.1,715.75,702.0,712.35,703.5,704.2,708.67,821.0,265.3,103328,73225575.2,6326,ACE
52,2023-10-13,EQ,703.0,718.0,697.05,703.15,711.8,712.35,710.3,821.0,265.3,207346,147277775.75,7991,ACE
53,2023-10-12,EQ,713.25,720.85,696.4,713.3,707.0,703.15,712.56,821.0,265.3,171173,121971695.5,15039,ACE
54,2023-10-11,EQ,701.0,726.95,701.0,698.9,713.25,713.3,715.2,821.0,265.3,225134,161015721.45,11029,ACE
55,2023-10-10,EQ,699.0,708.95,692.2,693.05,698.4,698.9,699.87,821.0,265.3,162712,113877902.75,11723,ACE
56,2023-10-09,EQ,717.5,727.45,685.5,711.9,687.9,693.05,710.15,821.0,265.3,406342,288562943.7,21508,ACE
57,2023-10-06,EQ,694.95,723.0,687.0,690.0,704.0,711.9,707.31,821.0,265.3,373799,264391493.55,18073,ACE
58,2023-10-05,EQ,703.0,713.4,685.0,695.3,690.0,690.0,700.19,821.0,265.3,318506,223015944.05,19756,ACE
59,2023-10-04,EQ,669.05,710.0,665.85,674.05,697.0,695.3,680.98,821.0,265.3,275951,187916029.7,13820,ACE
60,2023-10-03,EQ,688.5,690.15,670.7,688.5,675.9,674.05,678.33,821.0,265.3,213036,144508501.25,13852,ACE
