,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,1245.0,1327.0,1235.0,1252.45,1303.25,1306.1,1293.19,1327.0,866.5,1052833,1361517091.65,56906,AFFLE
1,2023-12-28,EQ,1221.95,1265.0,1203.85,1217.7,1252.7,1252.45,1233.72,1271.1,866.5,463982,572425691.4,29863,AFFLE
2,2023-12-27,EQ,1237.0,1238.1,1210.0,1225.1,1217.9,1217.7,1224.62,1271.1,866.5,130269,159530512.15,10785,AFFLE
3,2023-12-26,EQ,1228.0,1235.6,1216.1,1216.95,1225.4,1225.1,1226.39,1271.1,866.5,183685,225269376.2,14097,AFFLE
4,2023-12-22,EQ,1219.9,1244.0,1209.3,1220.3,1214.0,1216.95,1226.27,1271.1,866.5,227568,279059945.4,21568,AFFLE
5,2023-12-21,EQ,1165.0,1231.95,1163.5,1190.0,1210.0,1220.3,1213.42,1271.1,866.5,316817,384430842.75,29228,AFFLE
6,2023-12-20,EQ,1262.0,1271.1,1125.65,1254.2,1193.0,1190.0,1215.95,1271.1,866.5,599297,728714044.85,53343,AFFLE
7,2023-12-19,EQ,1248.0,1264.95,1230.2,1245.8,1258.0,1254.2,1252.93,1266.5,866.5,489481,613285168.6,31967,AFFLE
8,2023-12-18,EQ,1231.95,1266.5,1220.0,1213.2,1235.0,1245.8,1246.08,1266.5,866.5,755918,941931214.75,41898,AFFLE
9,2023-12-15,EQ,1215.0,1244.85,1203.15,1204.1,1213.0,1213.2,1227.71,1244.85,866.5,748011,918340120.7,34034,AFFLE
10,2023-12-14,EQ,1214.95,1217.35,1198.2,1194.95,1203.0,1204.1,1207.34,1242.0,866.5,298876,360846439.05,15948,AFFLE
11,2023-12-13,EQ,1210.0,1224.8,1191.15,1197.65,1199.0,1194.95,1208.92,1242.0,866.5,466255,563663416.0,25909,AFFLE
12,2023-12-12,EQ,1202.0,1242.0,1184.6,1187.45,1198.1,1197.65,1212.5,1242.0,866.5,1458067,1767903442.3,70750,AFFLE
13,2023-12-11,EQ,1127.0,1198.0,1125.05,1127.6,1197.0,1187.45,1170.62,1198.0,866.5,841418,984984635.45,41881,AFFLE
14,2023-12-08,EQ,1144.8,1158.0,1120.05,1139.5,1128.0,1127.6,1139.77,1247.95,866.5,280055,319198775.2,20550,AFFLE
15,2023-12-07,EQ,1135.0,1150.0,1129.0,1129.55,1138.0,1139.5,1142.93,1247.95,866.5,273908,313058264.55,19553,AFFLE
16,2023-12-06,EQ,1126.05,1138.9,1110.15,1126.05,1130.0,1129.55,1126.82,1247.95,866.5,362172,408104388.75,24086,AFFLE
17,2023-12-05,EQ,1134.0,1137.9,1117.35,1133.05,1126.2,1126.05,1125.53,1247.95,866.5,200826,226035404.95,14421,AFFLE
18,2023-12-04,EQ,1154.95,1160.0,1125.0,1135.4,1130.8,1133.05,1139.39,1247.95,866.5,254179,289609304.9,18336,AFFLE
19,2023-12-01,EQ,1129.2,1139.5,1120.85,1115.2,1133.0,1135.4,1130.76,1271.95,866.5,313221,354177235.3,16374,AFFLE
20,2023-11-30,EQ,1122.0,1139.75,1111.1,1122.05,1115.0,1115.2,1123.97,1271.95,866.5,273564,307476822.5,21987,AFFLE
21,2023-11-29,EQ,1124.25,1142.0,1107.1,1112.55,1118.85,1122.05,1127.32,1271.95,866.5,427966,482455108.0,24303,AFFLE
22,2023-11-28,EQ,1118.0,1128.0,1097.1,1096.4,1115.0,1112.55,1113.51,1271.95,866.5,349704,389399031.4,25848,AFFLE
23,2023-11-24,EQ,1108.0,1135.9,1090.2,1084.6,1094.0,1096.4,1114.96,1300.0,866.5,934122,1041512810.45,46576,AFFLE
24,2023-11-23,EQ,1051.0,1117.0,1051.0,1067.4,1086.0,1084.6,1090.81,1300.0,866.5,732498,799015576.4,47691,AFFLE
25,2023-11-22,EQ,1058.5,1069.0,1055.5,1055.35,1065.0,1067.4,1064.4,1300.0,866.5,150018,159679894.75,13155,AFFLE
26,2023-11-21,EQ,1049.9,1066.0,1042.0,1041.2,1055.4,1055.35,1055.85,1300.0,866.5,210837,222613003.8,13474,AFFLE
27,2023-11-20,EQ,1039.85,1056.0,1037.25,1035.8,1041.5,1041.2,1045.45,1300.0,866.5,134985,141120294.85,10815,AFFLE
28,2023-11-17,EQ,1032.95,1057.0,1023.45,1025.45,1039.0,1035.8,1038.66,1300.0,866.5,288011,299144676.2,22415,AFFLE
29,2023-11-16,EQ,1026.05,1031.85,1020.0,1026.05,1026.0,1025.45,1027.65,1300.0,866.5,127401,130923475.75,10570,AFFLE
30,2023-11-15,EQ,1030.0,1038.8,1020.2,1018.8,1026.0,1026.05,1031.56,1300.0,866.5,190267,196271016.75,11419,AFFLE
31,2023-11-13,EQ,1025.05,1032.45,1017.3,1033.85,1019.95,1018.8,1021.5,1300.0,866.5,179655,183518029.3,13698,AFFLE
32,2023-11-12,EQ,1028.95,1036.6,1025.1,1017.6,1035.9,1033.85,1033.76,1300.0,866.5,32568,33667584.2,3886,AFFLE
33,2023-11-10,EQ,1025.7,1038.3,1015.8,1025.75,1017.7,1017.6,1023.88,1300.0,866.5,109766,112386700.9,10148,AFFLE
34,2023-11-09,EQ,1054.9,1057.45,1023.05,1045.25,1027.0,1025.75,1033.94,1300.0,866.5,210471,217613402.45,18489,AFFLE
35,2023-11-08,EQ,1067.9,1073.0,1041.0,1068.25,1046.0,1045.25,1056.87,1300.0,866.5,241286,255007274.3,17534,AFFLE
36,2023-11-07,EQ,1074.7,1074.7,1055.0,1074.7,1060.35,1068.25,1065.3,1300.0,866.5,166239,177093799.0,12993,AFFLE
