,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,833.0,846.0,823.0,831.7,830.0,826.1,829.6,1089.0,284.05,123144,102159785.4,10168,AGI
1,2023-12-28,EQ,849.3,850.5,828.65,844.0,832.9,831.7,833.75,1089.0,284.05,77622,64717086.05,8108,AGI
2,2023-12-27,EQ,848.0,855.0,832.6,844.45,845.75,844.0,844.51,1089.0,284.05,89569,75641668.0,9435,AGI
3,2023-12-26,EQ,844.4,856.95,830.95,832.0,842.0,844.45,843.5,1089.0,284.05,109286,92183036.5,9483,AGI
4,2023-12-22,EQ,830.1,849.6,815.2,818.7,833.3,832.0,832.78,1089.0,283.45,118109,98358541.25,11636,AGI
5,2023-12-21,EQ,810.5,828.75,800.0,810.7,827.95,818.7,814.28,1089.0,283.45,187821,152939654.1,13508,AGI
6,2023-12-20,EQ,866.0,872.1,800.0,861.6,810.5,810.7,831.63,1089.0,283.45,309183,257126161.5,20883,AGI
7,2023-12-19,EQ,834.05,877.45,833.0,834.05,864.9,861.6,862.06,1089.0,283.45,282847,243830478.5,20261,AGI
8,2023-12-18,EQ,861.15,869.3,830.05,861.15,832.0,834.05,847.35,1089.0,283.45,322591,273348142.65,20786,AGI
9,2023-12-15,EQ,897.9,897.9,854.75,889.5,861.75,861.15,872.56,1089.0,283.45,230665,201269889.3,13000,AGI
10,2023-12-14,EQ,909.0,917.0,885.1,900.7,892.0,889.5,897.11,1089.0,283.45,136483,122439928.6,10268,AGI
11,2023-12-13,EQ,900.45,917.0,894.75,897.9,900.05,900.7,902.64,1089.0,283.45,128642,116117038.8,10493,AGI
12,2023-12-12,EQ,909.7,913.0,890.0,900.05,899.65,897.9,898.36,1089.0,283.45,139951,125726202.2,10622,AGI
13,2023-12-11,EQ,919.1,939.7,896.4,905.5,908.0,900.05,909.35,1089.0,283.45,238659,217025476.85,16789,AGI
14,2023-12-08,EQ,916.65,926.4,892.75,916.65,906.95,905.5,905.6,1089.0,283.45,168268,152384175.05,11202,AGI
15,2023-12-07,EQ,928.0,934.4,912.5,928.0,919.0,916.65,921.04,1089.0,283.45,105063,96766723.55,6774,AGI
16,2023-12-06,EQ,953.15,956.15,925.1,943.8,929.9,928.0,933.18,1089.0,283.45,111158,103730343.15,8690,AGI
17,2023-12-05,EQ,951.0,961.9,925.0,943.6,947.0,943.8,941.52,1089.0,283.45,152874,143933587.95,11158,AGI
18,2023-12-04,EQ,963.4,969.95,940.0,949.35,947.0,943.6,945.51,1089.0,283.45,182301,172368148.45,10448,AGI
19,2023-12-01,EQ,964.2,983.1,942.55,956.85,947.0,949.35,958.74,1089.0,283.45,124704,119558799.6,8850,AGI
20,2023-11-30,EQ,960.25,994.8,937.0,956.3,968.0,956.85,955.4,1089.0,283.45,831686,794594762.75,33048,AGI
21,2023-11-29,EQ,984.0,986.7,953.2,973.45,957.15,956.3,963.73,1089.0,283.45,106245,102391028.45,9890,AGI
22,2023-11-28,EQ,982.95,994.85,965.8,972.45,976.5,973.45,977.9,1089.0,283.45,228827,223770225.3,18483,AGI
23,2023-11-24,EQ,998.0,1003.25,969.0,990.45,973.15,972.45,981.36,1089.0,280.5,143566,140889714.75,13934,AGI
24,2023-11-23,EQ,998.0,1012.15,971.55,991.55,990.15,990.45,996.34,1089.0,280.5,143335,142810519.85,14831,AGI
25,2023-11-22,EQ,1001.95,1017.45,980.25,995.4,990.2,991.55,992.85,1089.0,280.5,129257,128332228.1,12525,AGI
26,2023-11-21,EQ,1025.9,1032.9,991.8,1017.25,1000.0,995.4,1006.77,1089.0,280.5,212127,213563145.2,18014,AGI
27,2023-11-20,EQ,972.9,1066.55,970.0,966.85,1020.0,1017.25,1028.35,1089.0,280.5,863149,887620460.05,54192,AGI
28,2023-11-17,EQ,984.0,995.0,960.1,978.95,966.4,966.85,970.92,1089.0,280.5,139707,135644057.35,13839,AGI
29,2023-11-16,EQ,979.0,991.65,971.15,973.9,984.0,978.95,982.04,1089.0,280.5,114993,112928275.55,10328,AGI
30,2023-11-15,EQ,981.8,1009.2,970.0,966.35,974.8,973.9,982.17,1089.0,280.5,260160,255521410.45,18986,AGI
31,2023-11-13,EQ,983.0,987.85,962.85,989.0,970.0,966.35,970.01,1089.0,280.5,127497,123672767.6,9764,AGI
32,2023-11-12,EQ,980.0,996.85,980.0,972.35,987.5,989.0,989.48,1089.0,280.5,55346,54763513.85,3532,AGI
33,2023-11-10,EQ,973.75,1047.0,959.9,974.0,966.0,972.35,1009.78,1089.0,280.5,700768,707620783.55,38924,AGI
34,2023-11-09,EQ,964.05,990.0,963.0,962.75,977.0,974.0,981.3,1089.0,280.5,175770,172483216.25,12629,AGI
35,2023-11-08,EQ,974.9,988.5,955.35,965.7,964.0,962.75,970.82,1089.0,280.5,122030,118469246.35,9484,AGI
36,2023-11-07,EQ,980.0,989.5,955.2,978.0,968.0,965.7,969.27,1089.0,280.5,149046,144466525.6,11761,AGI
37,2023-11-06,EQ,963.05,1001.0,960.75,960.75,980.2,978.0,983.61,1089.0,280.5,311941,306828821.9,20683,AGI
38,2023-11-03,EQ,927.85,971.0,913.05,896.05,965.0,960.75,952.69,1089.0,280.5,927167,883300274.1,48040,AGI
39,2023-11-02,EQ,909.1,911.95,890.0,900.3,894.0,896.05,899.64,1089.0,280.5,99487,89502226.95,7456,AGI
40,2023-11-01,EQ,892.3,904.0,875.0,884.8,897.0,900.3,889.81,1089.0,280.5,160551,142859957.65,11544,AGI
