,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,2580.0,2645.0,2557.5,2579.0,2614.75,2607.45,2598.83,2965.2,2116.0,29202,75890909.1,5253,AKZOINDIA
1,2023-12-28,EQ,2577.9,2588.95,2554.1,2577.9,2575.0,2579.0,2573.17,2965.2,2116.0,7086,18233516.05,2051,AKZOINDIA
2,2023-12-27,EQ,2560.0,2614.8,2529.95,2556.5,2555.0,2577.9,2560.69,2965.2,2116.0,12151,31114956.5,2845,AKZOINDIA
3,2023-12-26,EQ,2578.7,2578.7,2550.05,2565.85,2559.25,2556.5,2565.82,2965.2,2116.0,4309,11056108.55,1130,AKZOINDIA
4,2023-12-22,EQ,2604.3,2624.0,2561.0,2604.3,2565.0,2565.85,2579.46,2965.2,2116.0,20605,53149802.25,3863,AKZOINDIA
5,2023-12-21,EQ,2505.0,2617.0,2504.95,2577.45,2612.0,2604.3,2576.37,2965.2,2116.0,12547,32325662.6,3562,AKZOINDIA
6,2023-12-20,EQ,2617.25,2635.0,2563.75,2607.25,2577.1,2577.45,2603.24,2965.2,2116.0,27282,71021607.8,5451,AKZOINDIA
7,2023-12-19,EQ,2548.35,2625.9,2541.1,2548.35,2620.0,2607.25,2588.1,2965.2,2116.0,38683,100115504.25,9139,AKZOINDIA
8,2023-12-18,EQ,2567.0,2582.05,2531.0,2554.25,2540.0,2548.35,2559.18,2965.2,2116.0,15791,40411976.3,2765,AKZOINDIA
9,2023-12-15,EQ,2530.5,2560.0,2522.0,2517.9,2540.1,2554.25,2545.92,2965.2,2116.0,17482,44507839.8,2826,AKZOINDIA
10,2023-12-14,EQ,2530.0,2533.0,2511.45,2507.15,2520.0,2517.9,2520.47,2965.2,2116.0,11316,28521614.2,1660,AKZOINDIA
11,2023-12-13,EQ,2519.95,2535.25,2500.0,2516.25,2510.0,2507.15,2515.87,2965.2,2116.0,12506,31463517.25,2379,AKZOINDIA
12,2023-12-12,EQ,2534.2,2543.55,2502.0,2521.55,2515.0,2516.25,2516.6,2965.2,2116.0,7499,18871966.4,2023,AKZOINDIA
13,2023-12-11,EQ,2561.0,2575.0,2506.35,2561.65,2524.0,2521.55,2533.55,2965.2,2116.0,16640,42158320.95,3528,AKZOINDIA
14,2023-12-08,EQ,2600.1,2655.9,2525.0,2591.45,2548.0,2561.65,2584.33,2965.2,2116.0,33313,86091899.9,5508,AKZOINDIA
15,2023-12-07,EQ,2530.0,2620.0,2516.05,2523.45,2595.0,2591.45,2571.2,2965.2,2116.0,39766,102246281.4,6348,AKZOINDIA
16,2023-12-06,EQ,2514.5,2536.25,2498.2,2497.25,2522.7,2523.45,2520.88,2965.2,2116.0,16898,42597831.3,2719,AKZOINDIA
17,2023-12-05,EQ,2472.2,2515.0,2470.55,2474.2,2486.05,2497.25,2488.17,2965.2,2116.0,11206,27882460.85,2235,AKZOINDIA
18,2023-12-04,EQ,2500.0,2507.85,2454.55,2481.55,2480.05,2474.2,2474.28,2965.2,2116.0,14629,36196241.5,3112,AKZOINDIA
19,2023-12-01,EQ,2461.6,2498.0,2451.0,2449.35,2479.1,2481.55,2477.62,2965.2,2116.0,11522,28547088.05,2821,AKZOINDIA
20,2023-11-30,EQ,2484.0,2484.0,2441.0,2477.95,2452.0,2449.35,2455.12,2965.2,2116.0,21487,52753190.35,4770,AKZOINDIA
21,2023-11-29,EQ,2484.0,2484.0,2459.0,2457.75,2479.0,2477.95,2469.81,2965.2,2116.0,7617,18812557.45,1250,AKZOINDIA
22,2023-11-28,EQ,2490.0,2490.0,2446.5,2476.55,2456.1,2457.75,2463.07,2965.2,2116.0,10407,25633121.1,2868,AKZOINDIA
23,2023-11-24,EQ,2510.0,2510.0,2471.6,2497.95,2471.6,2476.55,2480.92,2965.2,2116.0,4414,10950795.15,891,AKZOINDIA
24,2023-11-23,EQ,2519.0,2519.0,2479.55,2500.55,2498.25,2497.95,2496.47,2965.2,2116.0,6070,15153575.9,1929,AKZOINDIA
25,2023-11-22,EQ,2520.0,2520.0,2488.3,2498.3,2505.0,2500.55,2501.92,2965.2,2116.0,7870,19690118.75,2261,AKZOINDIA
26,2023-11-21,EQ,2472.8,2515.75,2451.05,2460.45,2503.8,2498.3,2488.9,2965.2,2116.0,18284,45507129.4,4396,AKZOINDIA
27,2023-11-20,EQ,2485.0,2494.15,2442.5,2481.1,2456.0,2460.45,2475.86,2965.2,2116.0,11501,28474915.7,1341,AKZOINDIA
28,2023-11-17,EQ,2480.0,2510.05,2468.75,2468.7,2484.1,2481.1,2492.67,2965.2,2116.0,17910,44643764.55,4778,AKZOINDIA
29,2023-11-16,EQ,2440.65,2489.9,2434.0,2446.25,2468.0,2468.7,2466.33,2965.2,2116.0,15121,37293446.4,4063,AKZOINDIA
30,2023-11-15,EQ,2455.95,2468.15,2425.2,2455.9,2445.0,2446.25,2446.52,2965.2,2116.0,10488,25659116.6,2343,AKZOINDIA
31,2023-11-13,EQ,2467.15,2470.0,2444.0,2467.15,2444.0,2455.9,2459.36,2965.2,2116.0,3386,8327400.75,1309,AKZOINDIA
32,2023-11-12,EQ,2452.0,2488.0,2432.75,2452.7,2475.0,2467.15,2466.63,2965.2,2094.05,4035,9952870.85,873,AKZOINDIA
33,2023-11-10,EQ,2447.0,2473.0,2421.15,2438.05,2450.0,2452.7,2446.56,2965.2,2094.05,20382,49865834.65,2649,AKZOINDIA
34,2023-11-09,EQ,2427.85,2458.0,2427.85,2427.85,2447.0,2438.05,2444.32,2965.2,2094.05,5466,13360673.2,1612,AKZOINDIA
35,2023-11-08,EQ,2453.0,2458.45,2421.1,2440.8,2425.0,2427.85,2440.11,2965.2,2094.05,11116,27124261.25,2386,AKZOINDIA
