,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,2465.0,2567.7,2456.1,2443.35,2529.0,2535.75,2528.14,2797.7,2120.0,301944,763355393.75,29932,ALKYLAMINE
1,2023-12-28,EQ,2543.0,2556.95,2430.05,2522.65,2453.1,2443.35,2479.62,2797.7,2120.0,165238,409727069.9,18058,ALKYLAMINE
2,2023-12-27,EQ,2598.7,2648.0,2486.8,2570.9,2522.0,2522.65,2574.9,2797.7,2120.0,453106,1166700511.15,52665,ALKYLAMINE
3,2023-12-26,EQ,2319.9,2606.65,2314.7,2304.85,2575.0,2570.9,2491.77,2797.7,2120.0,897334,2235949789.85,71426,ALKYLAMINE
4,2023-12-22,EQ,2347.95,2354.9,2284.75,2316.1,2308.6,2304.85,2315.36,2829.0,2120.0,39393,91208831.65,7010,ALKYLAMINE
5,2023-12-21,EQ,2269.0,2326.9,2251.2,2269.15,2318.0,2316.1,2306.29,2829.0,2120.0,62189,143425974.95,9056,ALKYLAMINE
6,2023-12-20,EQ,2350.0,2385.0,2260.05,2333.9,2268.0,2269.15,2325.69,2829.0,2120.0,64712,150499982.4,10929,ALKYLAMINE
7,2023-12-19,EQ,2320.0,2396.0,2320.0,2311.2,2340.0,2333.9,2358.22,2829.0,2120.0,70241,165643859.8,11616,ALKYLAMINE
8,2023-12-18,EQ,2318.2,2377.05,2301.0,2318.2,2314.95,2311.2,2348.91,2829.0,2120.0,81030,190332024.35,11315,ALKYLAMINE
9,2023-12-15,EQ,2255.0,2364.9,2251.6,2249.1,2309.0,2318.2,2329.65,2831.95,2120.0,107089,249480271.3,17520,ALKYLAMINE
10,2023-12-14,EQ,2238.15,2288.0,2234.05,2238.15,2249.55,2249.1,2258.55,2831.95,2120.0,37828,85436606.7,6525,ALKYLAMINE
11,2023-12-13,EQ,2280.0,2280.0,2230.0,2276.45,2230.0,2238.15,2246.75,2831.95,2120.0,36001,80885100.65,6904,ALKYLAMINE
12,2023-12-12,EQ,2269.0,2293.0,2267.55,2272.95,2268.0,2276.45,2278.19,2831.95,2120.0,26810,61078384.65,5150,ALKYLAMINE
13,2023-12-11,EQ,2307.5,2325.0,2266.7,2307.05,2272.0,2272.95,2286.01,2831.95,2120.0,43453,99334001.4,8864,ALKYLAMINE
14,2023-12-08,EQ,2369.2,2371.0,2285.3,2369.2,2313.3,2307.05,2322.13,2848.0,2120.0,52553,122034964.1,9473,ALKYLAMINE
15,2023-12-07,EQ,2323.95,2407.0,2308.3,2297.35,2371.0,2369.2,2358.05,2848.0,2120.0,190847,450026355.25,23978,ALKYLAMINE
16,2023-12-06,EQ,2175.85,2374.95,2175.0,2175.8,2291.0,2297.35,2309.52,2848.0,2120.0,444781,1027231857.5,52642,ALKYLAMINE
17,2023-12-05,EQ,2150.05,2184.95,2148.0,2141.2,2171.25,2175.8,2166.21,2848.0,2120.0,56591,122587719.55,10010,ALKYLAMINE
18,2023-12-04,EQ,2187.45,2188.0,2134.0,2162.7,2142.3,2141.2,2147.91,2848.0,2120.0,63843,137129228.65,10612,ALKYLAMINE
19,2023-12-01,EQ,2161.3,2186.75,2151.05,2161.3,2165.0,2162.7,2166.27,2884.3,2120.0,35251,76363206.2,6865,ALKYLAMINE
20,2023-11-30,EQ,2140.0,2175.0,2130.35,2134.15,2169.0,2161.3,2149.22,2884.3,2120.0,29476,63350406.65,6174,ALKYLAMINE
21,2023-11-29,EQ,2158.0,2158.85,2130.0,2135.65,2140.0,2134.15,2139.29,2884.3,2120.0,25195,53899319.4,5032,ALKYLAMINE
22,2023-11-28,EQ,2150.05,2160.0,2133.0,2154.5,2139.0,2135.65,2139.82,2884.3,2120.0,23143,49521923.1,5128,ALKYLAMINE
23,2023-11-24,EQ,2150.0,2164.0,2145.4,2148.65,2157.0,2154.5,2154.95,2900.0,2120.0,16858,36328137.15,3275,ALKYLAMINE
24,2023-11-23,EQ,2144.05,2166.55,2136.05,2144.05,2150.0,2148.65,2152.01,2900.0,2120.0,23303,50148242.5,5176,ALKYLAMINE
25,2023-11-22,EQ,2158.95,2170.0,2129.05,2130.0,2148.0,2144.05,2146.73,2900.0,2120.0,23620,50705667.15,4824,ALKYLAMINE
