,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,2764.0,2764.0,2689.3,2764.95,2734.0,2720.1,2720.51,2951.05,819.85,11208,30491515.45,3797,ANUP
1,2023-12-28,EQ,2784.65,2791.0,2700.0,2730.45,2760.0,2764.95,2746.05,2951.05,819.85,11341,31142905.7,2868,ANUP
2,2023-12-27,EQ,2750.0,2759.95,2685.0,2732.0,2700.0,2730.45,2727.35,2951.05,819.85,12102,33006389.35,2534,ANUP
3,2023-12-26,EQ,2638.0,2741.25,2605.05,2638.0,2730.0,2732.0,2710.25,2951.05,819.85,22084,59853095.45,3526,ANUP
4,2023-12-22,EQ,2615.1,2658.95,2585.05,2611.35,2628.8,2638.0,2620.9,2951.05,811.0,6181,16199806.05,1932,ANUP
5,2023-12-21,EQ,2649.85,2649.85,2542.05,2649.0,2614.0,2611.35,2597.71,2951.05,811.0,10677,27735795.9,2840,ANUP
6,2023-12-20,EQ,2700.0,2719.35,2570.0,2686.25,2602.5,2649.0,2626.78,2951.05,811.0,19812,52041704.25,4820,ANUP
7,2023-12-19,EQ,2739.95,2763.45,2660.05,2739.95,2676.0,2686.25,2698.39,2951.05,811.0,14714,39704141.25,5786,ANUP
8,2023-12-18,EQ,2729.95,2800.0,2651.4,2724.55,2750.0,2739.95,2715.75,2951.05,811.0,10242,27814695.2,2153,ANUP
9,2023-12-15,EQ,2743.65,2799.8,2692.0,2743.65,2706.0,2724.55,2743.14,2951.05,811.0,9622,26394473.2,2680,ANUP
10,2023-12-14,EQ,2795.0,2802.0,2726.25,2773.05,2731.0,2743.65,2754.16,2951.05,811.0,6283,17304416.35,2147,ANUP
11,2023-12-13,EQ,2732.7,2812.0,2680.0,2732.7,2798.95,2773.05,2749.03,2951.05,811.0,14342,39426607.35,3459,ANUP
12,2023-12-12,EQ,2774.85,2800.0,2692.15,2774.05,2692.15,2732.7,2747.69,2951.05,811.0,12461,34238997.95,3766,ANUP
13,2023-12-11,EQ,2739.9,2829.35,2677.9,2667.05,2765.0,2774.05,2756.28,2951.05,811.0,29587,81550203.25,5046,ANUP
14,2023-12-08,EQ,2626.0,2686.35,2566.0,2623.85,2677.9,2667.05,2627.69,2951.05,811.0,15423,40526875.85,3388,ANUP
15,2023-12-07,EQ,2529.95,2662.0,2529.95,2518.1,2630.0,2623.85,2626.22,2951.05,811.0,23893,62748306.7,7191,ANUP
16,2023-12-06,EQ,2555.0,2586.4,2487.95,2583.8,2529.0,2518.1,2526.39,2951.05,811.0,23094,58344369.4,5387,ANUP
17,2023-12-05,EQ,2649.9,2657.95,2553.5,2623.45,2575.0,2583.8,2595.54,2951.05,811.0,14524,37697567.4,3853,ANUP
18,2023-12-04,EQ,2679.95,2700.0,2545.25,2574.6,2660.0,2623.45,2597.39,2951.05,811.0,15683,40734845.15,3944,ANUP
19,2023-12-01,EQ,2557.0,2619.95,2557.0,2547.55,2567.0,2574.6,2584.24,2951.05,811.0,10069,26020737.15,3580,ANUP
20,2023-11-30,EQ,2620.0,2648.95,2534.0,2600.7,2557.0,2547.55,2575.59,2951.05,811.0,16407,42257629.15,4914,ANUP
21,2023-11-29,EQ,2630.0,2698.0,2538.65,2627.45,2590.0,2600.7,2601.38,2951.05,811.0,27587,71764244.8,6742,ANUP
22,2023-11-28,EQ,2775.0,2775.0,2615.0,2714.7,2620.0,2627.45,2659.11,2951.05,811.0,15842,42125602.55,4769,ANUP
23,2023-11-24,EQ,2743.55,2772.35,2699.95,2743.5,2715.7,2714.7,2735.38,2951.05,811.0,5495,15030916.8,1651,ANUP
24,2023-11-23,EQ,2801.0,2830.0,2715.0,2774.3,2734.0,2743.5,2789.63,2951.05,811.0,6841,19083887.6,2074,ANUP
25,2023-11-22,EQ,2898.65,2945.0,2740.25,2889.05,2769.0,2774.3,2809.9,2951.05,811.0,21393,60112256.65,5988,ANUP
26,2023-11-21,EQ,2779.0,2951.05,2779.0,2754.7,2900.0,2889.05,2883.55,2951.05,811.0,32919,94923477.5,7558,ANUP
27,2023-11-20,EQ,2694.9,2781.0,2679.65,2698.05,2759.65,2754.7,2740.18,2866.0,811.0,23499,64391523.45,5210,ANUP
28,2023-11-17,EQ,2761.65,2833.2,2654.0,2754.35,2686.0,2698.05,2751.74,2866.0,811.0,19049,52417872.3,5353,ANUP
29,2023-11-16,EQ,2830.0,2864.95,2711.3,2808.75,2744.9,2754.35,2805.99,2866.0,811.0,21710,60918035.95,6177,ANUP
30,2023-11-15,EQ,2733.25,2828.0,2708.05,2727.7,2816.85,2808.75,2764.86,2866.0,811.0,21640,59831558.55,4949,ANUP
31,2023-11-13,EQ,2725.0,2771.05,2685.5,2804.85,2709.65,2727.7,2734.78,2866.0,811.0,27102,74117915.9,4257,ANUP
32,2023-11-12,EQ,2620.0,2866.0,2600.0,2579.5,2805.0,2804.85,2762.09,2866.0,811.0,38678,106832208.9,5346,ANUP
33,2023-11-10,EQ,2493.0,2620.0,2452.3,2449.85,2590.0,2579.5,2558.77,2620.0,811.0,57145,146220705.8,8266,ANUP
34,2023-11-09,EQ,2452.85,2523.8,2425.0,2453.75,2435.0,2449.85,2481.97,2569.0,811.0,13590,33729972.8,4627,ANUP
35,2023-11-08,EQ,2475.25,2505.5,2423.5,2473.5,2430.5,2453.75,2476.75,2569.0,811.0,11616,28769925.1,2195,ANUP
36,2023-11-07,EQ,2516.5,2546.25,2460.0,2506.5,2465.0,2473.5,2502.12,2569.0,811.0,17020,42586089.7,3628,ANUP
37,2023-11-06,EQ,2491.95,2551.25,2478.1,2475.8,2504.0,2506.5,2523.56,2569.0,811.0,29213,73720900.7,5066,ANUP
38,2023-11-03,EQ,2453.0,2493.05,2445.0,2452.45,2485.0,2475.8,2472.42,2569.0,811.0,29721,73482724.8,3495,ANUP
39,2023-11-02,EQ,2419.95,2489.0,2419.95,2393.85,2458.05,2452.45,2452.39,2569.0,811.0,42533,104307298.35,5255,ANUP
40,2023-11-01,EQ,2475.45,2483.95,2331.2,2462.2,2409.5,2393.85,2416.24,2569.0,811.0,48795,117900612.6,7859,ANUP
41,2023-10-31,EQ,2549.0,2569.0,2433.6,2459.35,2455.0,2462.2,2496.67,2569.0,811.0,167026,417009286.45,25228,ANUP
42,2023-10-30,EQ,2180.0,2560.0,2121.25,2136.65,2500.0,2459.35,2365.61,2560.0,811.0,526070,1244474731.5,54030,ANUP
43,2023-10-27,EQ,2010.0,2180.0,2010.0,2015.85,2132.0,2136.65,2099.53,2348.7,811.0,18719,39301035.75,4442,ANUP
44,2023-10-26,EQ,2110.05,2110.05,1935.0,2119.4,2014.0,2015.85,1995.49,2348.7,811.0,48031,95845189.3,12026,ANUP
45,2023-10-25,EQ,2117.95,2132.75,2005.05,2106.75,2113.0,2119.4,2094.04,2348.7,811.0,37073,77632506.35,7938,ANUP
46,2023-10-23,EQ,2130.05,2149.95,2028.0,2123.2,2063.0,2106.75,2084.45,2348.7,811.0,25233,52596810.5,6405,ANUP
47,2023-10-20,EQ,2175.0,2176.5,2101.0,2157.35,2115.25,2123.2,2136.34,2348.7,811.0,9197,19647877.55,2897,ANUP
48,2023-10-19,EQ,2128.0,2173.55,2120.05,2148.25,2167.0,2157.35,2146.95,2348.7,811.0,7058,15153186.45,2137,ANUP
49,2023-10-18,EQ,2124.8,2160.55,2105.35,2105.85,2132.2,2148.25,2135.25,2348.7,811.0,14164,30243671.9,5068,ANUP
50,2023-10-17,EQ,2139.9,2160.95,2096.0,2131.15,2103.0,2105.85,2133.02,2348.7,811.0,18549,39565480.0,5834,ANUP
51,2023-10-16,EQ,2071.0,2203.85,2071.0,2069.85,2125.0,2131.15,2144.72,2348.7,811.0,37691,80836697.35,8355,ANUP
52,2023-10-13,EQ,2046.9,2086.85,2039.45,2046.9,2074.9,2069.85,2063.74,2348.7,811.0,10476,21619775.25,1957,ANUP
53,2023-10-12,EQ,2078.0,2090.0,2035.0,2068.75,2048.95,2046.9,2052.85,2348.7,811.0,8550,17551903.35,2445,ANUP
54,2023-10-11,EQ,2066.0,2090.35,2050.1,2050.6,2060.0,2068.75,2071.21,2348.7,811.0,15997,33133184.3,4239,ANUP
55,2023-10-10,EQ,2044.75,2099.0,2030.05,2036.0,2050.0,2050.6,2064.93,2348.7,811.0,21243,43865411.25,4995,ANUP
56,2023-10-09,EQ,1980.0,2080.0,1944.65,2002.8,2024.0,2036.0,2029.59,2348.7,811.0,31828,64597652.5,7309,ANUP
57,2023-10-06,EQ,1980.0,2020.0,1947.0,1969.05,1998.0,2002.8,1979.15,2348.7,811.0,18836,37279253.2,3900,ANUP
58,2023-10-05,EQ,1970.0,1985.0,1950.0,1959.25,1965.05,1969.05,1968.44,2348.7,811.0,5090,10019367.6,2280,ANUP
59,2023-10-04,EQ,1950.05,1989.0,1928.1,1962.35,1958.5,1959.25,1950.9,2348.7,811.0,14603,28488953.2,3611,ANUP
60,2023-10-03,EQ,1982.7,1994.95,1940.95,1982.7,1952.0,1962.35,1961.01,2348.7,811.0,9849,19313964.3,3048,ANUP
61,2023-09-29,EQ,1963.4,1997.0,1927.5,1949.5,1997.0,1982.7,1958.75,2348.7,798.6,16319,31964817.8,4804,ANUP
62,2023-09-28,EQ,1980.0,1994.35,1940.15,1967.05,1949.8,1949.5,1967.88,2348.7,798.6,9442,18580744.9,2494,ANUP
63,2023-09-27,EQ,1990.0,2000.0,1962.15,1980.25,1968.0,1967.05,1973.02,2348.7,798.6,10568,20850880.6,2753,ANUP
64,2023-09-26,EQ,1983.0,2014.0,1972.0,1983.4,1974.5,1980.25,1991.49,2348.7,798.6,17059,33972753.25,4568,ANUP
65,2023-09-25,EQ,2033.45,2053.55,1951.6,2009.3,1980.0,1983.4,1991.85,2348.7,798.6,28140,56050618.85,7678,ANUP
66,2023-09-22,EQ,2037.0,2079.7,1997.75,2053.95,2040.0,2009.3,2022.86,2348.7,798.6,19263,38966286.1,5270,ANUP
67,2023-09-21,EQ,2118.0,2118.0,2030.25,2091.6,2042.9,2053.95,2072.57,2348.7,798.6,22236,46085585.2,5143,ANUP
68,2023-09-20,EQ,2140.0,2140.0,2074.3,2129.4,2103.0,2091.6,2096.78,2348.7,798.6,20774,43558426.35,6505,ANUP
69,2023-09-18,EQ,2194.95,2199.15,2120.0,2187.35,2125.45,2129.4,2149.57,2348.7,798.6,16876,36276102.8,4438,ANUP
70,2023-09-15,EQ,2163.0,2199.15,2140.0,2139.55,2150.0,2187.35,2179.99,2348.7,798.6,33826,73740325.95,8020,ANUP
71,2023-09-14,EQ,2120.0,2170.0,2104.2,2098.75,2135.0,2139.55,2140.96,2348.7,798.6,30033,64299449.7,6833,ANUP
72,2023-09-13,EQ,2060.0,2119.75,2031.0,2071.15,2090.0,2098.75,2084.05,2348.7,798.6,32830,68419314.6,6429,ANUP
73,2023-09-12,EQ,2137.4,2183.35,2022.0,2137.4,2080.0,2071.15,2081.77,2348.7,798.6,67877,141304165.25,11636,ANUP
74,2023-09-11,EQ,2194.0,2194.0,2112.0,2177.5,2144.0,2137.4,2133.82,2348.7,798.6,25462,54331289.35,4082,ANUP
