,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,6047.0,6102.6,5901.15,5993.3,5997.0,6053.4,6020.97,6102.6,1358.55,238216,1434291629.55,39607,APARINDS
1,2023-12-28,EQ,5864.0,6048.0,5750.55,5796.35,6022.0,5993.3,5911.44,6048.0,1358.55,347671,2055234689.3,37738,APARINDS
2,2023-12-27,EQ,5650.45,5906.1,5591.2,5622.1,5850.0,5796.35,5730.91,6019.85,1358.55,146378,838878854.4,16880,APARINDS
3,2023-12-26,EQ,5695.0,5726.95,5572.3,5657.65,5612.35,5622.1,5638.47,6019.85,1358.55,77355,436164043.5,15033,APARINDS
4,2023-12-22,EQ,5444.0,5725.1,5391.7,5389.35,5660.0,5657.65,5605.66,6019.85,1358.55,322890,1810013043.95,44207,APARINDS
5,2023-12-21,EQ,5350.0,5419.0,5250.0,5361.5,5365.55,5389.35,5393.22,6019.85,1358.55,88011,474662421.55,15202,APARINDS
6,2023-12-20,EQ,5360.0,5474.85,5312.05,5350.85,5355.0,5361.5,5378.64,6019.85,1358.55,205938,1107665382.7,24185,APARINDS
7,2023-12-19,EQ,5445.0,5449.95,5322.0,5418.25,5351.0,5350.85,5377.34,6019.85,1358.55,126071,677926143.15,11311,APARINDS
8,2023-12-18,EQ,5400.0,5445.0,5371.0,5403.85,5413.7,5418.25,5413.78,6019.85,1358.55,60151,325644211.75,12298,APARINDS
9,2023-12-15,EQ,5450.0,5465.0,5387.05,5375.95,5407.0,5403.85,5415.38,6019.85,1358.55,73125,395999609.25,20042,APARINDS
10,2023-12-14,EQ,5325.0,5500.15,5293.05,5293.05,5408.8,5375.95,5413.28,6019.85,1358.55,163774,886553905.3,27724,APARINDS
11,2023-12-13,EQ,5290.0,5320.35,5272.0,5265.5,5300.0,5293.05,5290.94,6019.85,1358.55,51656,273308650.4,7637,APARINDS
12,2023-12-12,EQ,5328.0,5379.9,5257.0,5273.65,5272.0,5265.5,5276.01,6019.85,1358.55,62896,331839967.35,12254,APARINDS
13,2023-12-11,EQ,5335.95,5335.95,5252.5,5297.5,5270.4,5273.65,5276.91,6019.85,1358.55,89978,474805506.85,13866,APARINDS
14,2023-12-08,EQ,5415.0,5448.9,5276.0,5399.15,5299.0,5297.5,5336.84,6019.85,1358.55,81850,436820116.3,16900,APARINDS
15,2023-12-07,EQ,5460.6,5471.0,5384.0,5443.05,5395.0,5399.15,5418.13,6019.85,1358.55,75133,407080596.3,16467,APARINDS
16,2023-12-06,EQ,5580.0,5580.0,5401.0,5544.05,5435.0,5443.05,5463.93,6019.85,1358.55,78470,428754864.8,16732,APARINDS
17,2023-12-05,EQ,5572.0,5581.7,5480.0,5537.1,5533.0,5544.05,5539.07,6019.85,1358.55,100019,554012425.15,20609,APARINDS
18,2023-12-04,EQ,5500.0,5609.0,5371.4,5531.0,5507.95,5537.1,5521.82,6019.85,1358.55,375312,2072406956.9,63002,APARINDS
19,2023-12-01,EQ,5640.0,5680.8,5511.0,5581.4,5530.0,5531.0,5550.35,6019.85,1358.55,95447,529764039.3,21101,APARINDS
20,2023-11-30,EQ,5466.0,5648.0,5436.0,5462.8,5630.0,5581.4,5528.29,6019.85,1358.55,132006,729767489.35,18868,APARINDS
21,2023-11-29,EQ,5550.0,5649.95,5450.0,5449.05,5474.8,5462.8,5519.52,6019.85,1358.55,116642,643808281.7,19182,APARINDS
22,2023-11-28,EQ,5630.0,5695.0,5425.0,5607.6,5468.55,5449.05,5574.74,6019.85,1358.55,144771,807060896.0,18834,APARINDS
23,2023-11-24,EQ,5690.0,5690.0,5580.55,5682.65,5620.0,5607.6,5621.37,6019.85,1358.55,73540,413395449.2,13254,APARINDS
24,2023-11-23,EQ,5588.0,5825.0,5480.0,5577.65,5686.0,5682.65,5688.11,6019.85,1358.55,144862,823990875.4,28195,APARINDS
25,2023-11-22,EQ,5809.5,5829.65,5505.0,5790.65,5535.0,5577.65,5637.94,6019.85,1358.55,123771,697813061.3,21571,APARINDS
26,2023-11-21,EQ,5905.0,5974.4,5719.05,5871.75,5806.5,5790.65,5820.21,6019.85,1358.55,91843,534545897.7,15226,APARINDS
27,2023-11-20,EQ,5900.0,5994.7,5832.0,5797.55,5898.0,5871.75,5910.3,6019.85,1358.55,130082,768823659.3,22153,APARINDS
28,2023-11-17,EQ,5560.0,5967.05,5544.05,5560.5,5820.0,5797.55,5842.45,6019.85,1358.55,369897,2161105399.3,51144,APARINDS
29,2023-11-16,EQ,5621.05,5649.9,5536.0,5621.45,5555.0,5560.5,5578.6,6019.85,1358.55,75382,420525828.65,11321,APARINDS
30,2023-11-15,EQ,5446.0,5668.5,5440.0,5428.4,5595.0,5621.45,5600.65,6019.85,1358.55,179378,1004633411.9,27758,APARINDS
31,2023-11-13,EQ,5159.35,5446.0,5122.45,5168.8,5410.0,5428.4,5334.38,6019.85,1358.55,200648,1070331705.15,28210,APARINDS
32,2023-11-12,EQ,5153.95,5308.0,5132.1,5107.6,5164.0,5168.8,5175.58,6019.85,1358.55,15722,81370519.15,3166,APARINDS
33,2023-11-10,EQ,5152.0,5258.1,5060.0,5185.4,5085.0,5107.6,5154.39,6019.85,1358.55,67686,348880067.05,12037,APARINDS
34,2023-11-09,EQ,5126.6,5336.1,5126.6,5126.6,5190.0,5185.4,5222.45,6019.85,1358.55,66696,348316535.6,13495,APARINDS
35,2023-11-08,EQ,5095.0,5149.9,5051.4,5079.65,5125.0,5126.6,5109.64,6019.85,1358.55,49099,250878231.8,8095,APARINDS
36,2023-11-07,EQ,5120.95,5163.2,5063.0,5120.95,5078.1,5079.65,5101.68,6019.85,1358.55,42917,218948630.3,9372,APARINDS
37,2023-11-06,EQ,5099.95,5169.95,5052.0,5077.8,5120.05,5120.95,5110.66,6019.85,1358.55,59005,301554548.05,10107,APARINDS
38,2023-11-03,EQ,5124.9,5165.0,5060.0,5107.05,5099.0,5077.8,5106.62,6019.85,1352.2,62438,318847229.95,8493,APARINDS
39,2023-11-02,EQ,5090.0,5163.0,5057.95,5054.1,5081.0,5107.05,5116.02,6019.85,1352.2,65077,332934963.6,11200,APARINDS
40,2023-11-01,EQ,5187.9,5198.7,5011.0,5179.45,5049.95,5054.1,5110.85,6019.85,1352.2,81855,418348481.4,15010,APARINDS
41,2023-10-31,EQ,5080.0,5255.45,5055.6,5074.1,5174.9,5179.45,5190.59,6019.85,1352.2,110921,575745980.6,17336,APARINDS
42,2023-10-30,EQ,5020.3,5136.1,4826.0,5020.3,5053.7,5074.1,4964.29,6019.85,1352.2,174356,865553402.05,28725,APARINDS
43,2023-10-27,EQ,5190.0,5329.0,4981.0,5165.4,5003.5,5020.3,5157.83,6019.85,1352.2,170247,878104887.85,28582,APARINDS
44,2023-10-26,EQ,4950.0,5214.35,4545.65,4992.85,5180.0,5165.4,4869.28,6019.85,1352.2,539025,2624661462.5,80732,APARINDS
45,2023-10-25,EQ,5199.6,5298.0,4927.55,5197.4,4994.0,4992.85,5067.23,6019.85,1352.2,126214,639555149.35,22958,APARINDS
46,2023-10-23,EQ,5298.95,5300.0,5155.0,5309.4,5179.7,5197.4,5202.37,6019.85,1352.2,269191,1400431571.15,15727,APARINDS
47,2023-10-20,EQ,5286.7,5340.0,5212.0,5305.0,5301.35,5309.4,5278.95,6019.85,1352.2,61286,323525942.75,12569,APARINDS
48,2023-10-19,EQ,5230.0,5370.0,5108.6,5289.8,5287.0,5305.0,5216.78,6019.85,1352.2,143563,748937060.75,30162,APARINDS
49,2023-10-18,EQ,5449.0,5449.0,5266.3,5416.95,5290.0,5289.8,5309.85,6019.85,1352.2,74637,396310943.95,15069,APARINDS
50,2023-10-17,EQ,5534.9,5549.95,5391.0,5496.5,5420.0,5416.95,5456.92,6019.85,1352.2,42740,233228746.7,9083,APARINDS
51,2023-10-16,EQ,5443.95,5508.0,5370.0,5411.55,5501.35,5496.5,5453.74,6019.85,1352.2,57680,314571522.25,10301,APARINDS
52,2023-10-13,EQ,5490.0,5507.65,5380.0,5482.2,5418.8,5411.55,5427.05,6019.85,1345.0,49224,267141045.0,10889,APARINDS
53,2023-10-12,EQ,5369.3,5510.0,5362.05,5323.8,5480.35,5482.2,5440.06,6019.85,1345.0,106678,580335132.25,18248,APARINDS
54,2023-10-11,EQ,5200.0,5375.0,5180.4,5179.65,5338.0,5323.8,5250.56,6019.85,1345.0,88248,463351743.95,14220,APARINDS
55,2023-10-10,EQ,5277.0,5324.95,5141.0,5256.65,5184.0,5179.65,5223.44,6019.85,1345.0,88265,461047105.6,13529,APARINDS
56,2023-10-09,EQ,5300.0,5369.0,5225.0,5438.4,5254.0,5256.65,5291.75,6019.85,1345.0,75648,400309996.1,12688,APARINDS
57,2023-10-06,EQ,5422.0,5449.0,5367.9,5392.9,5448.0,5438.4,5419.09,6019.85,1268.4,51194,277424893.05,8592,APARINDS
58,2023-10-05,EQ,5387.95,5474.2,5350.0,5341.8,5380.05,5392.9,5400.07,6019.85,1268.4,97929,528823051.8,12082,APARINDS
59,2023-10-04,EQ,5517.7,5533.45,5275.0,5496.1,5357.95,5341.8,5369.36,6019.85,1268.4,130052,698296540.85,21869,APARINDS
60,2023-10-03,EQ,5494.0,5629.0,5456.55,5477.55,5520.0,5496.1,5552.27,6019.85,1268.4,117836,654257732.9,17282,APARINDS
61,2023-09-29,EQ,5504.95,5555.0,5379.25,5485.6,5490.0,5477.55,5480.53,6019.85,1200.0,134935,739515454.65,16320,APARINDS
62,2023-09-28,EQ,5749.95,5768.0,5380.1,5745.25,5490.0,5485.6,5500.44,6019.85,1200.0,377326,2075460600.4,42048,APARINDS
63,2023-09-27,EQ,5849.0,6019.85,5690.05,5805.05,5725.0,5745.25,5886.25,6019.85,1200.0,487026,2866755085.4,53062,APARINDS
64,2023-09-26,EQ,5490.0,5856.95,5431.8,5438.9,5770.0,5805.05,5700.2,5856.95,1200.0,544392,3103140947.65,61564,APARINDS
65,2023-09-25,EQ,5334.9,5470.0,5271.0,5276.05,5446.0,5438.9,5402.78,5739.95,1200.0,155860,842076846.95,23449,APARINDS
66,2023-09-22,EQ,5282.35,5439.0,5215.05,5232.35,5282.0,5276.05,5308.41,5739.95,1200.0,217244,1153220705.95,32022,APARINDS
67,2023-09-21,EQ,5470.0,5474.45,5205.25,5451.1,5233.9,5232.35,5333.52,5739.95,1200.0,152435,813014889.15,28072,APARINDS
68,2023-09-20,EQ,5255.0,5739.95,5217.3,5236.9,5450.0,5451.1,5521.98,5739.95,1200.0,599593,3310943052.75,75113,APARINDS
69,2023-09-18,EQ,5240.0,5251.0,5103.05,5197.65,5230.55,5236.9,5204.7,5349.95,1200.0,83770,435997742.3,14375,APARINDS
70,2023-09-15,EQ,5188.0,5265.35,5078.8,5130.9,5230.0,5197.65,5191.59,5349.95,1174.55,878504,4560833329.5,55602,APARINDS
71,2023-09-14,EQ,4929.0,5240.0,4900.05,4874.1,5174.0,5130.9,5104.14,5349.95,1174.55,351305,1793110479.6,45634,APARINDS
72,2023-09-13,EQ,4915.65,4979.0,4800.1,4912.85,4897.0,4874.1,4870.38,5349.95,1174.55,86761,422559170.55,17636,APARINDS
73,2023-09-12,EQ,5074.0,5074.0,4600.0,5030.95,4917.0,4912.85,4868.96,5349.95,1174.55,168652,821160419.05,31210,APARINDS
74,2023-09-11,EQ,4900.0,5090.0,4875.0,4870.75,5015.0,5030.95,5028.96,5349.95,1174.55,162818,818805978.1,25019,APARINDS
75,2023-09-08,EQ,4899.95,4924.3,4851.5,4882.8,4866.05,4870.75,4884.56,5349.95,1174.55,85648,418352476.45,14834,APARINDS
76,2023-09-07,EQ,4897.0,4950.95,4867.95,4880.0,4894.95,4882.8,4899.65,5349.95,1174.55,95510,467965697.25,17174,APARINDS
77,2023-09-06,EQ,4936.85,4956.4,4850.0,4937.55,4897.0,4880.0,4900.82,5349.95,1174.55,80007,392099740.55,16899,APARINDS
78,2023-09-05,EQ,4984.0,5010.0,4920.0,4957.6,4932.35,4937.55,4959.11,5349.95,1174.55,91978,456128694.65,22700,APARINDS
79,2023-09-04,EQ,4990.0,5005.1,4922.0,4957.4,4948.0,4957.6,4982.76,5349.95,1174.55,85383,425442773.15,16521,APARINDS
80,2023-09-01,EQ,5010.95,5034.9,4900.0,5008.45,4967.0,4957.4,4951.24,5349.95,1174.55,106316,526396405.65,23521,APARINDS
81,2023-08-31,EQ,5013.65,5048.5,4964.95,4968.0,5010.0,5008.45,5007.7,5349.95,1174.55,172101,861829755.1,15249,APARINDS
82,2023-08-30,EQ,5049.95,5060.0,4952.05,5030.4,4968.0,4968.0,4986.96,5349.95,1174.55,56450,281514158.25,10274,APARINDS
83,2023-08-29,EQ,5088.9,5088.95,5010.0,5047.45,5030.0,5030.4,5039.84,5349.95,1174.55,62638,315685240.8,10358,APARINDS
84,2023-08-28,EQ,5057.0,5123.25,4980.25,5000.0,5032.0,5047.45,5062.92,5349.95,1174.55,141714,717486408.3,25524,APARINDS
85,2023-08-25,EQ,4893.0,5049.0,4865.05,4896.15,4995.0,5000.0,4984.38,5349.95,1174.55,153139,763303364.55,24629,APARINDS
86,2023-08-24,EQ,4899.0,4968.4,4711.55,4856.8,4893.0,4896.15,4875.82,5349.95,1174.55,186782,910715201.65,26850,APARINDS
87,2023-08-23,EQ,5031.0,5031.0,4828.0,4983.9,4851.0,4856.8,4886.16,5349.95,1174.55,166984,815910452.05,23765,APARINDS
88,2023-08-22,EQ,5017.9,5088.0,4890.0,4971.35,4995.0,4983.9,4978.29,5349.95,1174.55,255435,1271629773.45,38304,APARINDS
89,2023-08-21,EQ,4967.75,5349.95,4875.05,4862.7,4978.0,4971.35,5102.87,5349.95,1174.55,993774,5071099476.35,107151,APARINDS
90,2023-08-18,EQ,4670.05,4969.75,4551.0,4715.9,4825.0,4862.7,4709.85,4969.75,1174.55,381399,1796332721.65,47857,APARINDS
91,2023-08-17,EQ,4334.45,4838.85,4310.0,4294.2,4669.0,4715.9,4555.67,4838.85,1174.55,362154,1649854296.75,49782,APARINDS
92,2023-08-16,EQ,4150.0,4332.8,4146.1,4145.25,4306.0,4294.2,4266.07,4332.8,1174.55,161373,688428185.3,24774,APARINDS
93,2023-08-14,EQ,4096.0,4172.05,4008.0,4061.75,4166.45,4145.25,4081.95,4172.05,1174.55,85130,347496004.6,16127,APARINDS
94,2023-08-11,EQ,4008.0,4089.05,3950.05,3974.9,4060.0,4061.75,4030.96,4089.05,1153.0,84879,342144069.4,14052,APARINDS
95,2023-08-10,EQ,3921.95,4069.0,3921.95,3978.5,3979.0,3974.9,3998.18,4069.0,1153.0,88054,352055569.65,15639,APARINDS
96,2023-08-09,EQ,3948.75,4008.0,3900.0,3911.4,3960.9,3978.5,3954.38,4008.0,1153.0,87284,345154513.0,15601,APARINDS
97,2023-08-08,EQ,3834.7,3950.0,3777.0,3813.45,3926.0,3911.4,3887.67,3965.0,1153.0,167834,652482833.5,26154,APARINDS
98,2023-08-07,EQ,3691.0,3849.8,3630.9,3655.9,3786.55,3813.45,3772.66,3965.0,1153.0,116461,439368331.5,24610,APARINDS
99,2023-08-04,EQ,3678.4,3710.0,3619.2,3655.3,3660.0,3655.9,3663.47,3965.0,1120.6,65769,240942587.65,11865,APARINDS
100,2023-08-03,EQ,3624.9,3739.0,3593.55,3622.3,3676.85,3655.3,3657.14,3965.0,1120.6,70426,257557568.7,15329,APARINDS
101,2023-08-02,EQ,3747.0,3747.0,3545.15,3711.95,3625.0,3622.3,3634.52,3965.0,1120.6,112192,407763715.05,21946,APARINDS
102,2023-08-01,EQ,3801.95,3965.0,3700.0,3782.3,3729.0,3711.95,3817.95,3965.0,1120.6,128474,490507197.15,21279,APARINDS
103,2023-07-31,EQ,3899.0,3899.0,3733.25,3858.15,3752.5,3782.3,3823.89,3943.9,1120.6,152236,582133444.0,20803,APARINDS
104,2023-07-28,EQ,3740.0,3943.9,3303.25,3726.7,3814.95,3858.15,3681.1,3943.9,956.0,441124,1623822105.05,54057,APARINDS
105,2023-07-27,EQ,3759.0,3760.0,3677.1,3702.1,3725.0,3726.7,3710.88,3884.95,956.0,38011,141054186.15,9389,APARINDS
106,2023-07-26,EQ,3852.95,3865.8,3665.55,3814.4,3717.9,3702.1,3740.12,3884.95,956.0,84555,316245820.0,17041,APARINDS
107,2023-07-25,EQ,3858.95,3884.95,3786.2,3812.3,3830.0,3814.4,3833.02,3884.95,956.0,47248,181102652.85,10815,APARINDS
108,2023-07-24,EQ,3768.95,3838.0,3671.9,3693.6,3829.1,3812.3,3777.54,3838.0,956.0,65895,248920705.15,16432,APARINDS
109,2023-07-21,EQ,3729.0,3761.95,3682.3,3725.15,3690.0,3693.6,3702.85,3789.0,956.0,100069,370540625.25,13657,APARINDS
110,2023-07-20,EQ,3717.0,3789.0,3682.0,3667.65,3728.0,3725.15,3738.51,3789.0,956.0,92768,346813651.0,17670,APARINDS
111,2023-07-19,EQ,3499.2,3717.0,3476.85,3499.2,3665.0,3667.65,3633.04,3717.0,956.0,117304,426170433.3,17900,APARINDS
