,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,756.0,766.6,753.5,755.25,755.0,759.4,760.36,839.0,462.3,101064,76844977.85,6849,APLLTD
1,2023-12-28,EQ,773.25,777.6,746.5,769.45,761.95,755.25,760.7,839.0,462.3,76174,57945877.0,6409,APLLTD
2,2023-12-27,EQ,778.0,785.0,765.35,777.25,768.1,769.45,771.74,839.0,462.3,68041,52510160.5,6516,APLLTD
3,2023-12-26,EQ,775.0,783.4,770.8,773.2,777.0,777.25,776.59,839.0,462.3,57689,44800582.7,6656,APLLTD
4,2023-12-22,EQ,758.55,774.9,755.5,754.75,773.8,773.2,770.13,839.0,462.3,85495,65842336.15,9846,APLLTD
5,2023-12-21,EQ,752.0,764.15,746.0,758.65,755.0,754.75,755.33,839.0,462.3,69425,52438765.7,5926,APLLTD
6,2023-12-20,EQ,779.0,787.8,750.15,778.25,757.9,758.65,771.5,839.0,462.3,128604,99217343.55,9367,APLLTD
7,2023-12-19,EQ,776.0,788.8,776.0,774.75,780.0,778.25,781.9,839.0,462.3,79062,61818572.0,5971,APLLTD
8,2023-12-18,EQ,774.15,793.45,770.55,767.2,780.25,774.75,779.95,839.0,462.3,227280,177267912.05,18776,APLLTD
9,2023-12-15,EQ,760.0,770.0,760.0,755.3,765.0,767.2,765.03,839.0,462.3,98000,74972587.5,8649,APLLTD
10,2023-12-14,EQ,760.0,762.0,751.0,754.9,755.0,755.3,755.42,839.0,462.3,51789,39122425.15,4855,APLLTD
11,2023-12-13,EQ,755.25,761.35,751.7,752.65,758.95,754.9,756.08,839.0,462.3,33773,25535190.05,4766,APLLTD
12,2023-12-12,EQ,766.35,771.45,750.15,766.2,753.5,752.65,757.01,839.0,462.3,120247,91028168.1,13606,APLLTD
13,2023-12-11,EQ,775.0,777.75,762.5,773.6,764.5,766.2,766.66,839.0,462.3,69521,53298758.35,5821,APLLTD
14,2023-12-08,EQ,771.9,795.95,765.05,768.1,772.35,773.6,781.07,839.0,462.3,186925,146001663.75,12179,APLLTD
15,2023-12-07,EQ,762.15,771.4,762.15,765.25,769.0,768.1,768.07,839.0,462.3,84853,65173195.2,6457,APLLTD
16,2023-12-06,EQ,761.0,769.0,757.45,761.5,766.8,765.25,764.43,839.0,462.3,120337,91989722.3,8648,APLLTD
17,2023-12-05,EQ,755.1,771.0,749.55,751.15,761.0,761.5,763.5,839.0,462.3,215628,164632557.55,14126,APLLTD
18,2023-12-04,EQ,765.85,765.85,736.95,751.15,751.25,751.15,748.65,839.0,462.3,200084,149792600.1,11797,APLLTD
19,2023-12-01,EQ,757.0,758.95,740.35,745.8,747.9,751.15,749.86,839.0,462.3,317173,237834589.8,19472,APLLTD
20,2023-11-30,EQ,723.2,835.4,722.85,719.4,745.05,745.8,781.75,839.0,462.3,5183456,4052168098.2,169017,APLLTD
21,2023-11-29,EQ,723.8,730.6,714.75,720.05,721.0,719.4,721.39,839.0,462.3,61616,44449330.1,6485,APLLTD
22,2023-11-28,EQ,725.45,735.35,718.0,725.45,723.9,720.05,722.77,839.0,462.3,81303,58762964.05,10989,APLLTD
23,2023-11-24,EQ,724.5,739.6,710.25,722.45,726.55,725.45,724.03,839.0,462.3,164798,119318554.35,19285,APLLTD
24,2023-11-23,EQ,728.3,740.0,714.0,728.4,715.1,722.45,724.61,839.0,462.3,124161,89968156.0,14386,APLLTD
25,2023-11-22,EQ,743.25,746.95,726.8,743.25,728.3,728.4,732.32,839.0,462.3,86107,63057515.35,13971,APLLTD
26,2023-11-21,EQ,748.9,752.4,735.8,749.25,742.5,743.25,746.49,839.0,462.3,40681,30368040.75,5075,APLLTD
27,2023-11-20,EQ,735.0,755.25,734.55,737.3,745.3,749.25,748.29,839.0,462.3,60719,45435293.75,6011,APLLTD
28,2023-11-17,EQ,748.4,751.35,731.0,744.8,738.0,737.3,741.85,839.0,462.3,71506,53046988.6,10918,APLLTD
29,2023-11-16,EQ,755.35,759.1,742.0,755.35,745.4,744.8,746.98,839.0,462.3,60031,44841969.95,6110,APLLTD
30,2023-11-15,EQ,738.0,756.95,738.0,737.15,755.0,755.35,751.31,839.0,462.3,92837,69749587.85,5733,APLLTD
31,2023-11-13,EQ,737.35,741.85,730.85,738.05,741.7,737.15,736.41,839.0,462.3,113384,83497438.9,5821,APLLTD
32,2023-11-12,EQ,732.0,744.0,715.0,726.6,733.0,738.05,735.01,839.0,462.3,27544,20245216.3,1134,APLLTD
33,2023-11-10,EQ,736.45,741.75,724.0,734.2,726.0,726.6,732.37,839.0,462.3,74862,54826472.7,8933,APLLTD
34,2023-11-09,EQ,729.0,741.95,729.0,732.8,735.0,734.2,737.59,839.0,462.3,51316,37850003.15,4734,APLLTD
35,2023-11-08,EQ,741.0,743.1,725.0,740.0,734.85,732.8,731.21,839.0,462.3,391685,286405822.65,10953,APLLTD
36,2023-11-07,EQ,735.0,751.95,724.5,730.55,740.0,740.0,738.06,839.0,462.3,154595,114100507.6,11942,APLLTD
37,2023-11-06,EQ,730.25,738.35,722.5,727.45,731.5,730.55,729.99,839.0,462.3,83752,61138106.0,5584,APLLTD
38,2023-11-03,EQ,723.85,733.0,722.0,723.8,726.0,727.45,725.49,839.0,462.3,164864,119607001.95,6015,APLLTD
39,2023-11-02,EQ,715.9,732.0,712.1,712.55,721.15,723.8,722.96,839.0,462.3,102880,74377628.25,9804,APLLTD
40,2023-11-01,EQ,714.0,736.3,708.3,713.05,713.8,712.55,718.46,839.0,462.3,81969,58891324.95,9405,APLLTD
41,2023-10-31,EQ,738.3,738.3,707.15,734.65,713.0,713.05,716.41,839.0,462.3,207596,148724724.85,16520,APLLTD
42,2023-10-30,EQ,749.1,750.0,730.2,747.25,734.0,734.65,736.66,839.0,462.3,134991,99442668.3,15486,APLLTD
43,2023-10-27,EQ,747.05,769.3,745.35,746.75,748.0,747.25,755.77,839.0,462.3,81105,61296910.5,7599,APLLTD
44,2023-10-26,EQ,752.0,761.0,720.0,758.9,749.4,746.75,742.61,839.0,462.3,164615,122244914.95,15641,APLLTD
45,2023-10-25,EQ,754.0,773.8,741.15,754.1,760.1,758.9,758.21,839.0,462.3,113639,86162413.85,9217,APLLTD
46,2023-10-23,EQ,797.85,800.95,735.5,798.2,745.0,754.1,768.29,839.0,462.3,220539,169438878.35,16139,APLLTD
47,2023-10-20,EQ,804.0,812.95,792.05,808.45,799.0,798.2,803.03,839.0,462.3,103644,83229006.25,10201,APLLTD
48,2023-10-19,EQ,810.15,839.0,803.8,815.0,804.1,808.45,819.54,839.0,462.3,195730,160409440.8,18049,APLLTD
49,2023-10-18,EQ,806.0,825.0,794.15,805.5,824.0,815.0,809.42,828.2,462.3,251242,203360543.4,17874,APLLTD
50,2023-10-17,EQ,806.85,828.2,797.95,806.8,803.25,805.5,817.23,828.2,462.3,322995,263962086.5,14616,APLLTD
51,2023-10-16,EQ,804.5,813.75,800.55,800.9,810.0,806.8,805.78,826.75,462.3,120899,97417906.55,7461,APLLTD
52,2023-10-13,EQ,798.5,818.35,793.55,799.75,802.0,800.9,807.59,826.75,462.3,259985,209962385.05,19569,APLLTD
53,2023-10-12,EQ,810.3,817.7,793.5,810.3,800.0,799.75,800.72,826.75,462.3,679712,544259721.75,19804,APLLTD
54,2023-10-11,EQ,769.95,820.4,767.05,766.95,804.8,810.3,807.34,826.75,462.3,1030671,832100325.5,45757,APLLTD
55,2023-10-10,EQ,759.8,785.0,758.5,759.85,765.55,766.95,770.57,826.75,462.3,79934,61594403.25,8209,APLLTD
56,2023-10-09,EQ,765.8,784.35,756.0,772.85,763.0,759.85,767.73,826.75,462.3,82231,63130867.7,8812,APLLTD
57,2023-10-06,EQ,775.9,787.3,770.45,775.9,773.0,772.85,774.42,826.75,462.3,621193,481066889.0,7164,APLLTD
