,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,820.9,831.0,809.8,820.45,815.0,816.0,819.86,831.0,546.0,1034777,848372713.45,32442,ARE&M
1,2023-12-28,EQ,816.5,824.0,805.0,811.8,819.75,820.45,815.32,824.0,546.0,1681465,1370932360.8,48726,ARE&M
2,2023-12-27,EQ,775.05,820.4,769.0,769.5,811.9,811.8,800.44,820.4,546.0,2543721,2036087721.1,57500,ARE&M
3,2023-12-26,EQ,764.0,788.0,763.0,760.85,772.0,769.5,776.9,799.6,546.0,733036,569496093.4,22780,ARE&M
4,2023-12-22,EQ,765.05,770.9,756.55,762.45,764.0,760.85,763.56,799.6,546.0,329761,251792715.7,17781,ARE&M
5,2023-12-21,EQ,731.55,765.25,728.5,743.8,761.05,762.45,753.31,799.6,546.0,661832,498565238.35,27213,ARE&M
6,2023-12-20,EQ,784.0,786.5,737.8,781.95,739.1,743.8,758.86,799.6,546.0,935363,709810465.95,48223,ARE&M
7,2023-12-19,EQ,789.95,799.6,778.25,781.25,781.0,781.95,788.53,799.6,546.0,846627,667594605.5,32663,ARE&M
8,2023-12-18,EQ,768.9,789.45,757.15,765.25,779.95,781.25,778.31,799.45,546.0,965918,751785763.6,34534,ARE&M
9,2023-12-15,EQ,774.5,779.9,763.05,769.95,763.6,765.25,770.27,799.45,546.0,352696,271669993.45,17969,ARE&M
10,2023-12-14,EQ,782.5,785.0,768.1,776.3,769.0,769.95,772.43,799.45,546.0,431709,333466188.3,18810,ARE&M
11,2023-12-13,EQ,767.0,784.9,763.5,755.85,776.05,776.3,773.57,799.45,546.0,884760,684421672.75,27211,ARE&M
12,2023-12-12,EQ,763.5,767.65,753.0,759.4,757.0,755.85,759.75,799.45,546.0,326825,248305708.0,16872,ARE&M
13,2023-12-11,EQ,754.4,767.95,754.4,751.8,759.95,759.4,761.6,799.45,546.0,357677,272406883.35,18167,ARE&M
14,2023-12-08,EQ,769.9,770.0,749.2,765.4,753.95,751.8,755.71,799.45,546.0,503716,380662120.9,24761,ARE&M
15,2023-12-07,EQ,752.0,774.8,752.0,751.5,761.25,765.4,766.69,799.45,546.0,840651,644520351.75,29147,ARE&M
