,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,291.3,292.8,286.05,288.1,289.1,290.5,289.51,319.7,271.4,486018,140708378.3,9703,ASKAUTOLTD
1,2023-12-28,EQ,288.45,292.4,286.55,285.05,288.0,288.1,288.76,319.7,271.4,415721,120042180.2,9722,ASKAUTOLTD
2,2023-12-27,EQ,280.1,286.0,278.0,280.0,285.0,285.05,284.47,319.7,271.4,485531,138117072.95,7453,ASKAUTOLTD
3,2023-12-26,EQ,279.95,280.85,276.1,279.85,280.05,280.0,278.25,319.7,271.4,155437,43250070.65,3895,ASKAUTOLTD
4,2023-12-22,EQ,281.9,282.2,277.5,280.35,279.2,279.85,279.47,319.7,271.4,185900,51953508.8,6434,ASKAUTOLTD
5,2023-12-21,EQ,275.0,282.9,271.4,276.35,280.2,280.35,275.87,319.7,271.4,668496,184414840.5,14069,ASKAUTOLTD
6,2023-12-20,EQ,289.25,289.25,275.0,286.85,275.8,276.35,280.67,319.7,275.0,433476,121665228.9,11131,ASKAUTOLTD
7,2023-12-19,EQ,284.5,289.05,282.0,281.85,286.3,286.85,285.57,319.7,275.5,310206,88584615.4,7649,ASKAUTOLTD
8,2023-12-18,EQ,287.15,289.0,280.0,287.15,281.5,281.85,284.84,319.7,275.5,303237,86374836.55,7312,ASKAUTOLTD
9,2023-12-15,EQ,292.4,292.45,285.55,289.7,286.5,287.15,288.45,319.7,275.5,296354,85484276.3,7778,ASKAUTOLTD
10,2023-12-14,EQ,295.05,297.85,287.6,291.2,289.4,289.7,292.39,319.7,275.5,706497,206574406.6,14880,ASKAUTOLTD
11,2023-12-13,EQ,286.4,294.0,281.55,286.4,294.0,291.2,288.51,319.7,275.5,605804,174782989.5,17680,ASKAUTOLTD
12,2023-12-12,EQ,279.75,288.5,277.15,279.75,286.0,286.4,283.9,319.7,275.5,998633,283509453.5,15669,ASKAUTOLTD
13,2023-12-11,EQ,279.0,283.9,277.6,277.2,279.95,279.75,280.6,319.7,275.5,341149,95726513.65,7671,ASKAUTOLTD
14,2023-12-08,EQ,286.5,287.45,275.5,286.4,277.75,277.2,279.76,319.7,275.5,618624,173066483.8,16876,ASKAUTOLTD
15,2023-12-07,EQ,288.9,289.3,285.2,286.5,286.0,286.4,286.47,319.7,284.55,259131,74232096.1,4892,ASKAUTOLTD
16,2023-12-06,EQ,287.0,291.45,285.25,285.75,286.15,286.5,288.34,319.7,284.55,658851,189969956.0,12190,ASKAUTOLTD
17,2023-12-05,EQ,291.0,292.45,284.55,289.5,285.9,285.75,286.27,319.7,284.55,574264,164392082.1,17404,ASKAUTOLTD
18,2023-12-04,EQ,292.3,294.45,286.0,295.9,289.9,289.5,289.94,319.7,286.0,1145440,332113794.5,27391,ASKAUTOLTD
19,2023-12-01,EQ,297.8,298.0,293.45,294.8,296.0,295.9,295.91,319.7,290.0,421481,124720114.3,7668,ASKAUTOLTD
20,2023-11-30,EQ,294.6,296.45,290.2,293.45,294.75,294.8,293.11,319.7,290.0,563831,165264812.15,10545,ASKAUTOLTD
21,2023-11-29,EQ,298.9,299.65,293.0,296.2,293.35,293.45,294.5,319.7,290.0,668376,196836511.3,9768,ASKAUTOLTD
22,2023-11-28,EQ,297.25,302.15,295.05,294.5,297.0,296.2,297.25,319.7,290.0,728239,216471776.75,14210,ASKAUTOLTD
23,2023-11-24,EQ,294.65,296.4,293.1,293.1,296.0,294.5,294.53,319.7,290.0,353653,104160206.2,5819,ASKAUTOLTD
24,2023-11-23,EQ,293.05,302.1,291.3,290.9,293.8,293.1,296.9,319.7,290.0,1042513,309520482.45,18228,ASKAUTOLTD
25,2023-11-22,EQ,298.7,301.8,290.0,298.55,290.0,290.9,294.07,319.7,290.0,894399,263016354.5,18738,ASKAUTOLTD
26,2023-11-21,EQ,302.05,307.5,297.7,300.1,298.15,298.55,302.41,319.7,292.35,1936376,585581604.15,24393,ASKAUTOLTD
27,2023-11-20,EQ,310.15,311.45,292.35,310.15,300.0,300.1,298.99,319.7,292.35,2760212,825274641.85,46469,ASKAUTOLTD
28,2023-11-17,EQ,312.0,318.8,306.2,313.85,310.05,310.15,312.66,319.7,303.3,2579193,806418569.05,35660,ASKAUTOLTD
29,2023-11-16,EQ,317.0,319.7,311.0,310.1,313.1,313.85,315.97,319.7,303.3,4725578,1493149957.0,56540,ASKAUTOLTD
30,2023-11-15,EQ,303.3,316.7,303.3,282.0,309.9,310.1,309.24,316.7,303.3,21693577,6708480922.0,217895,ASKAUTOLTD
