,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,982.0,995.0,968.0,980.35,986.8,987.95,986.46,4000.0,522.0,2495693,2461901016.25,51852,ATGL
1,2023-12-28,EQ,1006.4,1011.85,976.0,999.1,980.0,980.35,990.09,4000.0,522.0,2406672,2382812850.25,61682,ATGL
2,2023-12-27,EQ,1012.0,1020.0,991.0,995.05,998.0,999.1,1004.39,4000.0,522.0,941495,945632844.6,37145,ATGL
3,2023-12-26,EQ,1001.45,1008.0,987.0,996.3,1004.05,995.05,993.1,4000.0,522.0,1187517,1179324637.25,40778,ATGL
4,2023-12-22,EQ,1004.0,1018.9,985.0,985.0,997.0,996.3,1000.07,4000.0,522.0,1390011,1390104695.6,50208,ATGL
5,2023-12-21,EQ,924.0,995.95,923.0,960.7,995.5,985.0,967.65,4000.0,522.0,2578772,2495343737.4,85615,ATGL
6,2023-12-20,EQ,1025.5,1059.5,926.75,1026.25,957.9,960.7,997.15,4000.0,522.0,3827565,3816651506.55,134165,ATGL
7,2023-12-19,EQ,1039.7,1042.8,1010.0,1030.55,1024.95,1026.25,1030.21,4000.0,522.0,4049083,4171400628.05,82697,ATGL
8,2023-12-18,EQ,1047.0,1049.25,1020.0,1046.95,1028.0,1030.55,1038.13,4000.0,522.0,4836390,5020781818.25,84879,ATGL
9,2023-12-15,EQ,1070.0,1085.0,1035.05,1051.55,1044.85,1046.95,1056.65,4000.0,522.0,5567847,5883253105.95,99182,ATGL
10,2023-12-14,EQ,1005.0,1080.0,1005.0,1004.55,1054.95,1051.55,1050.43,4000.0,522.0,7505312,7883838108.7,197585,ATGL
11,2023-12-13,EQ,1110.0,1110.05,1002.8,1114.2,1002.8,1004.55,1026.6,4000.0,522.0,8702879,8934395337.55,292975,ATGL
12,2023-12-12,EQ,1180.0,1184.8,1101.1,1172.15,1112.0,1114.2,1132.6,4000.0,522.0,6185074,7005199453.5,199372,ATGL
13,2023-12-11,EQ,1179.95,1225.0,1130.3,1156.8,1178.6,1172.15,1172.26,4000.0,522.0,6202921,7271464397.95,204296,ATGL
14,2023-12-08,EQ,1230.0,1259.4,1100.0,1158.6,1153.0,1156.8,1177.69,4000.0,522.0,17553553,20672701996.0,668035,ATGL
15,2023-12-07,EQ,1102.0,1158.6,1102.0,1053.3,1158.6,1158.6,1143.83,4000.0,522.0,13942558,15947970859.2,279144,ATGL
16,2023-12-06,EQ,915.0,1053.4,906.5,877.85,1053.4,1053.3,1025.62,4000.0,522.0,25868267,26530928022.3,580982,ATGL
17,2023-12-05,EQ,732.3,878.7,712.0,732.25,878.7,877.85,825.3,4000.0,522.0,25680410,21194033564.85,445254,ATGL
18,2023-12-04,EQ,770.0,800.0,728.8,701.45,732.5,732.25,745.55,4000.0,522.0,3797072,2830900976.85,92916,ATGL
19,2023-12-01,EQ,716.7,723.0,697.05,708.8,700.1,701.45,710.08,4000.0,522.0,2295605,1630073352.6,61932,ATGL
20,2023-11-30,EQ,747.0,753.0,692.0,732.55,708.0,708.8,710.45,4000.0,522.0,6181309,4391504906.75,174097,ATGL
21,2023-11-29,EQ,700.0,760.0,690.0,644.2,735.1,732.55,731.72,4000.0,522.0,15476039,11324190784.5,369228,ATGL
22,2023-11-28,EQ,550.0,644.3,549.0,536.95,644.3,644.2,627.61,4000.0,522.0,13383917,8399897023.45,210742,ATGL
23,2023-11-24,EQ,530.6,543.9,529.0,530.6,539.0,536.95,536.68,4000.0,522.0,645918,346648884.4,24036,ATGL
24,2023-11-23,EQ,535.65,535.65,530.0,531.65,530.95,530.6,531.43,4000.0,522.0,245027,130213788.05,10184,ATGL
25,2023-11-22,EQ,544.15,544.75,527.95,540.55,533.0,531.65,534.93,4000.0,522.0,311802,166791804.85,14980,ATGL
26,2023-11-21,EQ,536.0,549.0,533.1,531.05,541.0,540.55,542.79,4000.0,522.0,628363,341070236.15,24074,ATGL
27,2023-11-20,EQ,535.1,537.0,527.0,534.05,530.0,531.05,530.09,4000.0,522.0,425124,225353965.1,19956,ATGL
28,2023-11-17,EQ,536.5,537.7,532.05,536.45,534.7,534.05,533.79,4000.0,522.0,346869,185155468.1,15183,ATGL
29,2023-11-16,EQ,542.9,542.9,535.5,539.75,536.3,536.45,537.57,4000.0,522.0,299925,161230449.65,12314,ATGL
30,2023-11-15,EQ,549.8,549.8,538.0,542.0,540.8,539.75,542.9,4000.0,522.0,305793,166013499.75,19138,ATGL
31,2023-11-13,EQ,546.75,549.8,539.65,546.75,541.5,542.0,541.87,4000.0,522.0,221120,119818397.2,10118,ATGL
32,2023-11-12,EQ,549.5,549.5,544.65,539.5,547.0,546.75,546.62,4000.0,522.0,93526,51123465.95,5708,ATGL
33,2023-11-10,EQ,535.0,542.2,532.0,535.0,540.0,539.5,538.72,4000.0,522.0,292745,157707320.45,11652,ATGL
34,2023-11-09,EQ,544.2,544.2,534.0,542.75,535.9,535.0,537.38,4000.0,522.0,457780,246002020.85,16984,ATGL
35,2023-11-08,EQ,542.7,546.95,541.0,542.7,541.6,542.75,543.42,4000.0,522.0,370025,201078064.2,14913,ATGL
36,2023-11-07,EQ,553.95,553.95,540.0,550.95,542.75,542.7,546.1,4000.0,522.0,484208,264426116.6,18063,ATGL
37,2023-11-06,EQ,554.8,559.8,548.8,553.2,550.0,550.95,552.99,4000.0,522.0,337716,186753324.45,14125,ATGL
38,2023-11-03,EQ,558.0,561.85,552.0,553.8,552.9,553.2,556.78,4000.0,522.0,295170,164344356.6,13182,ATGL
39,2023-11-02,EQ,558.35,567.3,551.9,551.8,553.95,553.8,556.68,4000.0,522.0,402265,223933119.0,16600,ATGL
40,2023-11-01,EQ,570.0,570.75,551.0,564.3,551.5,551.8,558.21,4000.0,522.0,539277,301027550.15,20659,ATGL
41,2023-10-31,EQ,570.0,575.55,559.9,563.7,564.4,564.3,569.86,4000.0,522.0,465372,265198567.55,18051,ATGL
42,2023-10-30,EQ,568.0,571.85,555.45,560.25,562.95,563.7,565.89,4000.0,522.0,1062861,601460787.0,28180,ATGL
43,2023-10-27,EQ,541.0,565.0,540.0,533.75,562.7,560.25,551.93,4000.0,522.0,2354557,1299544195.0,58597,ATGL
44,2023-10-26,EQ,550.0,550.0,522.0,550.45,534.7,533.75,530.99,4000.0,522.0,1111655,590280496.65,45904,ATGL
45,2023-10-25,EQ,573.0,579.4,548.15,573.15,552.0,550.45,561.56,4000.0,548.15,2129935,1196095885.8,45295,ATGL
46,2023-10-23,EQ,590.05,594.0,570.7,590.8,572.0,573.15,575.76,4000.0,570.7,1653095,951781867.8,33948,ATGL
47,2023-10-20,EQ,595.0,599.8,589.0,591.95,590.0,590.8,591.96,4000.0,586.0,2119632,1254734246.75,29593,ATGL
48,2023-10-19,EQ,591.45,594.0,586.0,593.05,592.0,591.95,589.12,4000.0,586.0,1654142,974484995.25,28457,ATGL
49,2023-10-18,EQ,598.45,598.8,592.0,595.55,593.0,593.05,594.69,4000.0,587.75,266362,158402776.05,12210,ATGL
50,2023-10-17,EQ,597.95,602.0,595.0,595.2,596.0,595.55,598.07,4000.0,587.75,259223,155032332.0,11435,ATGL
51,2023-10-16,EQ,602.0,604.5,595.0,601.65,595.3,595.2,597.02,4000.0,587.75,327251,195376584.0,15830,ATGL
52,2023-10-13,EQ,607.95,607.95,600.2,609.45,601.6,601.65,603.25,4000.0,587.75,367972,221980145.45,15602,ATGL
53,2023-10-12,EQ,614.8,616.35,608.0,611.35,608.1,609.45,611.02,4000.0,587.75,252296,154157708.05,11793,ATGL
54,2023-10-11,EQ,615.05,619.9,606.25,607.8,609.5,611.35,613.14,4000.0,587.75,606346,371777117.7,20352,ATGL
55,2023-10-10,EQ,588.5,626.0,588.5,590.3,615.95,607.8,595.98,4000.0,587.75,2808380,1673736263.25,43885,ATGL
56,2023-10-09,EQ,600.0,600.05,587.75,604.6,589.75,590.3,592.05,4000.0,587.75,572730,339085797.9,28518,ATGL
57,2023-10-06,EQ,605.05,609.7,603.5,602.9,605.0,604.6,605.91,4000.0,600.55,326953,198104988.6,12491,ATGL
58,2023-10-05,EQ,616.85,616.9,600.55,610.7,603.0,602.9,607.23,4000.0,600.55,669666,406642065.35,26455,ATGL
59,2023-10-04,EQ,610.55,629.75,604.35,610.75,610.8,610.7,615.86,4000.0,604.35,1347949,830144943.15,42957,ATGL
60,2023-10-03,EQ,619.85,619.85,609.1,613.25,611.0,610.75,612.44,4000.0,609.1,491826,301213061.95,24955,ATGL
61,2023-09-29,EQ,627.5,627.5,611.05,622.15,615.95,613.25,615.59,4000.0,611.05,792596,487912639.35,31255,ATGL
62,2023-09-28,EQ,629.8,631.45,621.2,627.65,622.55,622.15,625.1,4000.0,620.05,377764,236138477.55,19505,ATGL
63,2023-09-27,EQ,632.0,635.9,626.45,634.1,628.0,627.65,629.31,4000.0,620.05,509378,320559112.6,21484,ATGL
64,2023-09-26,EQ,637.6,637.6,632.4,634.3,635.0,634.1,634.01,4000.0,620.05,241601,153177582.0,10587,ATGL
65,2023-09-25,EQ,639.9,639.9,634.0,636.65,634.2,634.3,635.49,4000.0,620.05,239696,152325601.3,9531,ATGL
66,2023-09-22,EQ,644.8,644.8,636.0,639.6,636.6,636.65,638.26,4000.0,620.05,244252,155896883.75,9143,ATGL
67,2023-09-21,EQ,638.85,649.05,638.0,636.8,640.4,639.6,643.26,4000.0,620.05,544368,350169984.05,15599,ATGL
68,2023-09-20,EQ,641.0,641.35,635.0,639.15,635.5,636.8,637.29,4000.0,620.05,428173,272871357.5,14538,ATGL
69,2023-09-18,EQ,648.45,648.45,637.0,636.35,639.45,639.15,642.81,4000.0,620.05,411581,264569938.45,14653,ATGL
70,2023-09-15,EQ,644.45,645.05,635.0,641.9,637.0,636.35,639.74,4000.0,620.05,433760,277493549.5,15719,ATGL
71,2023-09-14,EQ,644.0,647.7,638.05,636.55,643.0,641.9,641.64,4000.0,620.05,371077,238098168.8,13035,ATGL
72,2023-09-13,EQ,643.55,646.85,632.35,642.75,638.3,636.55,637.66,4000.0,620.05,505983,322645022.75,20449,ATGL
73,2023-09-12,EQ,668.7,668.7,641.2,658.9,643.5,642.75,650.18,4000.0,620.05,716599,465918673.3,23751,ATGL
74,2023-09-11,EQ,649.95,673.05,645.3,644.8,658.3,658.9,659.38,4000.0,620.05,1609395,1061207528.4,41736,ATGL
75,2023-09-08,EQ,651.2,653.5,643.05,646.85,644.35,644.8,648.67,4000.0,620.05,562257,364721195.8,18334,ATGL
76,2023-09-07,EQ,651.0,655.35,645.2,644.7,646.3,646.85,649.47,4000.0,620.05,622697,404420784.65,19131,ATGL
77,2023-09-06,EQ,637.95,650.0,633.0,633.4,643.35,644.7,641.31,4000.0,620.05,868086,556708090.35,23276,ATGL
78,2023-09-05,EQ,636.8,639.45,632.1,632.45,633.5,633.4,634.13,4000.0,620.05,379503,240653182.3,14070,ATGL
79,2023-09-04,EQ,640.0,640.9,630.15,633.85,633.0,632.45,635.02,4000.0,620.05,675853,429179836.45,23785,ATGL
80,2023-09-01,EQ,625.15,639.0,621.0,635.8,634.0,633.85,632.09,4000.0,620.05,987407,624133224.8,35866,ATGL
81,2023-08-31,EQ,626.0,644.9,626.0,652.45,637.85,635.8,636.95,4000.0,620.05,939856,598643314.9,33962,ATGL
82,2023-08-30,EQ,662.5,662.5,651.0,656.8,652.35,652.45,654.36,4000.0,620.05,441869,289139521.1,15597,ATGL
83,2023-08-29,EQ,663.45,663.45,651.35,655.6,656.0,656.8,658.17,4000.0,620.05,533823,351346067.35,17732,ATGL
84,2023-08-28,EQ,657.9,664.5,650.2,653.75,655.0,655.6,656.2,4000.0,620.05,519225,340716038.75,17464,ATGL
85,2023-08-25,EQ,665.0,665.8,650.0,661.9,654.55,653.75,655.79,4000.0,620.05,554511,363643222.4,18944,ATGL
86,2023-08-24,EQ,664.85,668.55,658.55,654.2,663.6,661.9,663.33,4000.0,620.05,668549,443469062.4,20652,ATGL
87,2023-08-23,EQ,680.0,686.0,647.05,672.55,657.45,654.2,667.5,4000.0,620.05,1475566,984943464.05,45080,ATGL
88,2023-08-22,EQ,669.95,680.0,667.0,664.5,674.0,672.55,673.96,4000.0,620.05,1484767,1000672633.6,39752,ATGL
89,2023-08-21,EQ,659.0,673.65,656.0,654.5,664.75,664.5,666.8,4000.0,620.05,1528172,1018992610.1,40626,ATGL
90,2023-08-18,EQ,633.0,676.8,632.5,633.7,655.0,654.5,659.31,4000.0,620.05,2738493,1805508750.2,72349,ATGL
91,2023-08-17,EQ,639.8,639.9,633.0,635.55,633.5,633.7,635.04,4000.0,620.05,362303,230077212.65,13105,ATGL
92,2023-08-16,EQ,635.0,642.0,631.5,635.6,636.05,635.55,634.09,4000.0,620.05,461284,292497287.65,18856,ATGL
93,2023-08-14,EQ,643.5,647.95,628.8,649.05,636.8,635.6,637.41,4000.0,620.05,746617,475901838.1,28381,ATGL
94,2023-08-11,EQ,655.0,655.0,647.0,646.85,649.45,649.05,650.28,4000.0,620.05,331064,215285405.75,11186,ATGL
95,2023-08-10,EQ,649.0,653.2,644.3,646.85,646.85,646.85,648.93,4000.0,620.05,418730,271728113.8,15602,ATGL
96,2023-08-09,EQ,653.9,657.85,643.85,652.35,647.0,646.85,647.8,4000.0,620.05,471298,305308410.8,18593,ATGL
97,2023-08-08,EQ,650.9,664.0,650.0,650.7,652.0,652.35,656.24,4000.0,620.05,678200,445062656.55,21550,ATGL
98,2023-08-07,EQ,655.0,655.4,644.1,649.65,646.55,650.7,648.22,4000.0,620.05,770232,499280410.15,24551,ATGL
99,2023-08-04,EQ,661.95,661.95,644.0,655.5,645.0,649.65,654.76,4000.0,620.05,447631,293090003.1,16007,ATGL
100,2023-08-03,EQ,653.55,663.65,644.0,652.0,656.0,655.5,654.53,4000.0,620.05,528706,346053168.65,17467,ATGL
101,2023-08-02,EQ,667.0,669.0,645.55,661.65,652.2,652.0,659.03,4000.0,620.05,728085,479829429.2,26886,ATGL
102,2023-08-01,EQ,667.95,670.8,658.0,663.7,661.0,661.65,665.33,4000.0,620.05,792301,527139613.8,23560,ATGL
103,2023-07-31,EQ,665.0,668.85,660.05,657.85,663.2,663.7,664.79,4000.0,620.05,665841,442644597.7,24257,ATGL
104,2023-07-28,EQ,661.0,662.0,654.0,654.45,657.05,657.85,657.93,4000.0,620.05,441296,290343614.25,16584,ATGL
105,2023-07-27,EQ,664.65,666.0,652.5,663.85,654.55,654.45,656.96,4000.0,620.05,617875,405921055.8,24104,ATGL
106,2023-07-26,EQ,673.1,678.4,652.65,662.65,661.9,663.85,666.23,4000.0,620.05,2615188,1742307075.8,67852,ATGL
107,2023-07-25,EQ,631.15,662.65,628.0,631.1,662.65,662.65,647.37,4000.0,620.05,1552281,1004898795.75,44364,ATGL
108,2023-07-24,EQ,640.95,642.0,629.1,636.2,632.0,631.1,633.97,4000.0,620.05,431948,273844024.0,21086,ATGL
109,2023-07-21,EQ,639.85,641.65,635.0,640.05,637.3,636.2,637.92,4000.0,620.05,367867,234670880.0,16911,ATGL
