,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,402.9,425.0,400.05,401.25,421.0,420.05,418.41,487.95,321.1,1267179,530200429.9,43844,AVANTIFEED
1,2023-12-28,EQ,403.75,406.9,398.8,401.9,401.0,401.25,402.53,487.95,321.1,154298,62109508.25,8870,AVANTIFEED
2,2023-12-27,EQ,402.35,404.0,398.0,400.4,401.9,401.9,401.75,487.95,321.1,116038,46618598.95,6192,AVANTIFEED
3,2023-12-26,EQ,400.95,403.45,397.95,398.1,401.0,400.4,400.33,487.95,321.1,161373,64602211.65,8147,AVANTIFEED
4,2023-12-22,EQ,402.55,405.55,396.25,400.55,398.35,398.1,400.35,487.95,321.1,131968,52833532.25,5590,AVANTIFEED
5,2023-12-21,EQ,397.05,404.6,395.45,401.15,398.65,400.55,400.05,487.95,321.1,171601,68649389.3,10087,AVANTIFEED
6,2023-12-20,EQ,408.7,414.45,396.6,405.55,401.0,401.15,407.3,487.95,321.1,525769,214146243.0,20908,AVANTIFEED
7,2023-12-19,EQ,398.8,409.0,398.05,396.85,407.45,405.55,403.89,487.95,321.1,390160,157582434.7,19411,AVANTIFEED
8,2023-12-18,EQ,399.95,399.95,393.5,398.55,397.0,396.85,396.58,487.95,321.1,182890,72529924.95,9085,AVANTIFEED
9,2023-12-15,EQ,397.0,403.95,396.0,396.4,398.3,398.55,400.52,487.95,321.1,225009,90121681.5,9555,AVANTIFEED
10,2023-12-14,EQ,401.9,402.05,395.05,399.4,396.1,396.4,397.45,487.95,321.1,186367,74071240.3,8820,AVANTIFEED
11,2023-12-13,EQ,396.9,403.9,394.5,396.9,399.4,399.4,398.65,487.95,321.1,135833,54150450.7,7955,AVANTIFEED
12,2023-12-12,EQ,401.8,402.35,395.0,400.7,397.1,396.9,398.5,487.95,321.1,131205,52285846.85,7291,AVANTIFEED
13,2023-12-11,EQ,403.5,404.95,399.55,401.85,400.0,400.7,401.68,487.95,321.1,134267,53932315.4,7381,AVANTIFEED
14,2023-12-08,EQ,405.0,405.2,398.8,403.25,401.65,401.85,402.39,487.95,321.1,149844,60295007.2,8360,AVANTIFEED
15,2023-12-07,EQ,398.7,406.95,396.0,398.15,402.65,403.25,402.97,487.95,321.1,351903,141807396.3,17305,AVANTIFEED
16,2023-12-06,EQ,398.0,399.8,395.1,397.55,398.4,398.15,397.95,487.95,321.1,138817,55242804.1,7249,AVANTIFEED
17,2023-12-05,EQ,394.0,398.45,393.0,393.9,398.0,397.55,396.33,487.95,321.1,146799,58180292.85,8480,AVANTIFEED
18,2023-12-04,EQ,399.3,400.85,386.55,396.05,394.2,393.9,395.8,487.95,321.1,181771,71945696.95,8776,AVANTIFEED
19,2023-12-01,EQ,393.8,399.0,393.0,391.85,396.8,396.05,396.02,487.95,321.1,123225,48799352.4,6294,AVANTIFEED
20,2023-11-30,EQ,391.95,393.0,389.65,390.3,393.0,391.85,391.78,487.95,321.1,120774,47316629.9,6709,AVANTIFEED
21,2023-11-29,EQ,393.25,395.25,388.7,393.3,390.95,390.3,391.68,487.95,321.1,99911,39132794.65,4206,AVANTIFEED
22,2023-11-28,EQ,399.0,401.0,393.0,396.4,393.35,393.3,395.11,487.95,321.1,102719,40585101.7,4267,AVANTIFEED
23,2023-11-24,EQ,395.35,397.65,393.0,395.35,395.5,396.4,395.94,487.95,321.1,86160,34114328.7,4880,AVANTIFEED
24,2023-11-23,EQ,395.9,398.05,393.05,395.1,395.75,395.35,395.27,487.95,321.1,62273,24614432.45,3226,AVANTIFEED
25,2023-11-22,EQ,398.95,399.0,392.35,396.3,394.0,395.1,395.68,487.95,321.1,98635,39028037.7,3870,AVANTIFEED
26,2023-11-21,EQ,394.5,401.55,393.6,392.7,395.6,396.3,397.46,487.95,321.1,142392,56595687.65,6491,AVANTIFEED
27,2023-11-20,EQ,390.8,397.0,388.95,390.8,391.05,392.7,392.44,487.95,321.1,91205,35792719.05,5148,AVANTIFEED
28,2023-11-17,EQ,393.0,393.75,388.65,393.45,390.55,390.8,391.03,487.95,321.1,95309,37268730.8,5945,AVANTIFEED
29,2023-11-16,EQ,392.85,396.85,391.4,389.2,392.1,393.45,393.89,487.95,321.1,128552,50635687.7,6187,AVANTIFEED
30,2023-11-15,EQ,393.0,398.0,387.3,393.8,391.95,389.2,391.68,487.95,321.1,187455,73422419.8,7432,AVANTIFEED
31,2023-11-13,EQ,401.0,401.85,392.05,400.15,394.9,393.8,395.13,487.95,321.1,93160,36810208.8,5902,AVANTIFEED
32,2023-11-12,EQ,399.5,401.8,397.05,395.85,400.65,400.15,400.05,487.95,321.1,37022,14810671.4,1925,AVANTIFEED
33,2023-11-10,EQ,394.6,396.75,393.3,394.7,396.5,395.85,394.93,487.95,321.1,60458,23876532.9,3301,AVANTIFEED
34,2023-11-09,EQ,402.3,402.3,393.8,400.35,394.65,394.7,397.56,487.95,321.1,129014,51290848.35,8109,AVANTIFEED
35,2023-11-08,EQ,396.95,404.0,395.25,394.95,400.0,400.35,400.0,487.95,321.1,179335,71733602.75,7605,AVANTIFEED
36,2023-11-07,EQ,407.3,419.0,392.4,407.3,395.0,394.95,401.25,487.95,321.1,368724,147949149.2,17025,AVANTIFEED
37,2023-11-06,EQ,409.0,409.9,404.8,407.25,406.35,407.3,406.98,487.95,321.1,101439,41283546.4,7999,AVANTIFEED
38,2023-11-03,EQ,403.1,415.0,401.05,401.1,406.5,407.25,404.71,487.95,321.1,79938,32351716.8,4564,AVANTIFEED
39,2023-11-02,EQ,401.45,404.7,399.65,399.55,404.45,401.1,402.06,487.95,321.1,69808,28066891.6,4686,AVANTIFEED
40,2023-11-01,EQ,405.4,405.6,397.7,403.5,400.0,399.55,402.27,487.95,321.1,67411,27117611.4,4078,AVANTIFEED
41,2023-10-31,EQ,403.45,405.35,400.3,402.6,402.55,403.5,402.84,487.95,321.1,93951,37847535.15,8355,AVANTIFEED
