,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,631.0,652.0,631.0,637.85,638.3,639.15,641.34,676.25,178.25,96247,61727507.05,8850,BANCOINDIA
1,2023-12-28,EQ,650.0,653.0,631.0,653.05,636.2,637.85,640.28,676.25,178.25,230611,147654700.3,17153,BANCOINDIA
2,2023-12-27,EQ,655.0,676.25,645.25,651.05,653.95,653.05,660.58,676.25,178.25,302415,199768593.0,20330,BANCOINDIA
3,2023-12-26,EQ,626.8,665.0,621.0,618.75,648.2,651.05,644.97,665.0,178.25,485596,313192556.35,30208,BANCOINDIA
4,2023-12-22,EQ,589.0,630.35,580.9,583.1,620.0,618.75,606.53,630.35,178.25,439423,266524713.8,22199,BANCOINDIA
5,2023-12-21,EQ,553.55,587.95,535.65,553.55,579.05,583.1,570.33,617.75,178.25,182661,104177668.8,15023,BANCOINDIA
6,2023-12-20,EQ,585.1,598.0,550.0,587.15,554.0,553.55,572.31,617.75,178.25,171473,98136234.3,12368,BANCOINDIA
7,2023-12-19,EQ,599.95,609.0,580.1,596.05,586.0,587.15,591.3,617.75,178.25,141162,83468657.65,12448,BANCOINDIA
8,2023-12-18,EQ,575.5,598.35,571.55,572.7,597.3,596.05,588.5,617.75,178.25,192123,113064613.4,13275,BANCOINDIA
9,2023-12-15,EQ,580.85,584.95,570.05,582.0,573.25,572.7,574.68,617.75,178.25,70335,40419800.5,5609,BANCOINDIA
10,2023-12-14,EQ,586.8,589.4,573.5,583.25,579.05,582.0,580.06,617.75,178.25,90700,52611712.0,6405,BANCOINDIA
11,2023-12-13,EQ,580.0,586.9,573.0,577.4,580.6,583.25,581.56,617.75,178.25,137882,80186817.15,9850,BANCOINDIA
12,2023-12-12,EQ,562.35,582.0,562.35,564.15,579.5,577.4,576.19,617.75,178.25,174120,100326081.55,11515,BANCOINDIA
13,2023-12-11,EQ,551.0,566.7,551.0,550.65,565.0,564.15,560.02,617.75,178.25,113723,63687454.5,9083,BANCOINDIA
14,2023-12-08,EQ,560.0,562.55,548.05,560.85,548.7,550.65,554.58,617.75,178.25,81047,44947230.2,5854,BANCOINDIA
15,2023-12-07,EQ,570.0,571.25,557.9,566.25,562.0,560.85,564.04,617.75,178.25,106368,59995428.9,7198,BANCOINDIA
16,2023-12-06,EQ,556.45,570.0,548.7,552.7,566.1,566.25,561.72,617.75,178.25,110856,62270289.75,9602,BANCOINDIA
17,2023-12-05,EQ,554.9,563.6,551.0,552.2,552.0,552.7,556.85,617.75,178.25,97609,54353695.55,9453,BANCOINDIA
18,2023-12-04,EQ,571.0,579.0,550.0,559.15,554.9,552.2,557.31,617.75,178.25,182254,101572403.9,13214,BANCOINDIA
19,2023-12-01,EQ,567.15,572.0,546.3,565.55,558.0,559.15,557.11,617.75,178.25,164033,91384061.4,11972,BANCOINDIA
20,2023-11-30,EQ,564.5,567.15,562.0,562.1,565.5,565.55,564.33,617.75,178.25,50749,28639174.8,3053,BANCOINDIA
21,2023-11-29,EQ,571.4,580.55,560.1,569.55,562.0,562.1,566.22,617.75,178.25,98010,55495433.95,6224,BANCOINDIA
22,2023-11-28,EQ,578.7,585.0,565.05,576.1,569.55,569.55,572.2,617.75,178.25,72173,41297034.6,7043,BANCOINDIA
23,2023-11-24,EQ,575.75,582.75,573.3,571.75,577.0,576.1,578.5,617.75,178.25,62733,36291170.7,4286,BANCOINDIA
24,2023-11-23,EQ,575.0,592.5,555.65,567.85,574.1,571.75,579.37,617.75,178.25,175563,101716364.15,9322,BANCOINDIA
25,2023-11-22,EQ,583.9,588.8,562.05,581.2,571.3,567.85,572.76,617.75,178.25,148741,85192841.25,11899,BANCOINDIA
26,2023-11-21,EQ,583.0,593.0,580.0,583.25,581.5,581.2,584.58,617.75,178.25,104686,61197115.6,9467,BANCOINDIA
27,2023-11-20,EQ,589.85,602.4,576.0,591.3,584.7,583.25,588.44,617.75,178.25,209646,123364103.85,16390,BANCOINDIA
28,2023-11-17,EQ,601.9,610.0,585.15,599.65,587.0,591.3,598.55,617.75,178.25,254952,152600806.9,18985,BANCOINDIA
29,2023-11-16,EQ,589.95,617.75,586.0,589.9,599.0,599.65,603.42,617.75,178.25,413979,249802842.7,23235,BANCOINDIA
30,2023-11-15,EQ,584.5,595.0,570.0,584.5,586.0,589.9,584.0,598.8,178.25,247349,144450925.05,15410,BANCOINDIA
31,2023-11-13,EQ,555.95,598.8,552.05,549.95,583.5,584.5,581.21,598.8,178.25,755231,438950605.3,38615,BANCOINDIA
32,2023-11-12,EQ,539.95,558.8,538.85,532.7,553.3,549.95,546.7,558.8,178.25,296418,162053201.4,6335,BANCOINDIA
33,2023-11-10,EQ,522.8,534.7,513.1,525.5,533.45,532.7,525.73,541.55,178.25,212708,111826432.65,10338,BANCOINDIA
34,2023-11-09,EQ,526.0,532.5,520.0,519.55,528.0,525.5,527.93,541.55,178.25,325841,172020017.95,18712,BANCOINDIA
35,2023-11-08,EQ,488.1,524.15,488.1,485.35,522.25,519.55,511.58,541.55,178.25,703990,360149767.05,33578,BANCOINDIA
36,2023-11-07,EQ,495.0,495.0,476.85,470.45,485.55,485.35,484.71,541.55,178.25,286389,138816084.9,20636,BANCOINDIA
37,2023-11-06,EQ,465.0,486.0,459.6,462.4,479.0,470.45,473.13,541.55,178.25,182700,86440162.85,17371,BANCOINDIA
38,2023-11-03,EQ,464.0,470.6,457.0,460.8,465.0,462.4,462.59,541.55,178.25,85672,39631336.35,12203,BANCOINDIA
