,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,1140.1,1153.1,1093.1,1134.35,1119.8,1118.0,1124.95,1373.95,392.6,222894,250744651.4,16588,BECTORFOOD
1,2023-12-28,EQ,1166.95,1166.95,1131.0,1155.2,1134.45,1134.35,1145.61,1373.95,392.6,101563,116351390.3,10059,BECTORFOOD
2,2023-12-27,EQ,1159.7,1165.3,1150.0,1155.75,1154.65,1155.2,1157.8,1373.95,392.6,120328,139315979.65,13896,BECTORFOOD
3,2023-12-26,EQ,1155.0,1160.75,1137.0,1147.75,1157.6,1155.75,1151.78,1373.95,392.6,108514,124984190.3,12334,BECTORFOOD
4,2023-12-22,EQ,1155.0,1163.0,1136.9,1150.35,1144.4,1147.75,1153.32,1373.95,389.0,126794,146234519.45,14366,BECTORFOOD
5,2023-12-21,EQ,1104.95,1153.0,1092.7,1113.75,1152.0,1150.35,1127.83,1373.95,389.0,139937,157824949.15,14819,BECTORFOOD
6,2023-12-20,EQ,1130.0,1145.0,1100.0,1120.25,1106.0,1113.75,1124.13,1373.95,389.0,223920,251715135.9,23682,BECTORFOOD
7,2023-12-19,EQ,1130.0,1149.75,1114.65,1129.25,1123.85,1120.25,1130.82,1373.95,389.0,150703,170418280.7,12976,BECTORFOOD
8,2023-12-18,EQ,1140.0,1146.8,1120.0,1139.95,1131.0,1129.25,1130.96,1373.95,389.0,151428,171259694.05,13787,BECTORFOOD
9,2023-12-15,EQ,1167.2,1167.2,1137.0,1151.2,1140.0,1139.95,1143.56,1373.95,389.0,73388,83923278.15,7410,BECTORFOOD
10,2023-12-14,EQ,1199.0,1200.0,1145.7,1175.8,1156.0,1151.2,1154.59,1373.95,389.0,185157,213780413.0,15455,BECTORFOOD
11,2023-12-13,EQ,1133.2,1188.8,1133.2,1133.2,1184.0,1175.8,1166.03,1373.95,389.0,185892,216756038.1,19647,BECTORFOOD
12,2023-12-12,EQ,1141.0,1158.4,1125.2,1135.45,1140.05,1133.2,1140.0,1373.95,389.0,240621,274307314.65,22567,BECTORFOOD
13,2023-12-11,EQ,1155.35,1158.15,1125.0,1155.35,1140.0,1135.45,1142.93,1373.95,389.0,131438,150224956.6,12408,BECTORFOOD
14,2023-12-08,EQ,1175.0,1180.0,1143.4,1165.4,1153.0,1155.35,1152.25,1373.95,389.0,152093,175249507.65,16824,BECTORFOOD
15,2023-12-07,EQ,1132.05,1171.0,1132.05,1137.0,1166.35,1165.4,1159.32,1373.95,389.0,183771,213049802.65,18299,BECTORFOOD
16,2023-12-06,EQ,1179.1,1179.8,1132.0,1165.0,1139.9,1137.0,1147.25,1373.95,389.0,204941,235117672.7,18266,BECTORFOOD
17,2023-12-05,EQ,1223.7,1223.7,1160.0,1211.65,1166.0,1165.0,1179.51,1373.95,389.0,292854,345423372.85,36665,BECTORFOOD
18,2023-12-04,EQ,1249.4,1249.4,1206.0,1219.35,1211.5,1211.65,1222.29,1373.95,389.0,144930,177146531.2,18338,BECTORFOOD
