,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,555.0,558.6,544.05,558.6,547.0,546.1,550.17,580.0,341.3,221044,121611855.5,8470,BIKAJI
1,2023-12-28,EQ,562.5,562.5,553.1,559.2,555.5,558.6,557.35,580.0,341.3,276086,153875293.8,7818,BIKAJI
2,2023-12-27,EQ,557.0,580.0,549.75,553.3,558.0,559.2,565.33,580.0,341.3,962930,544375372.05,29255,BIKAJI
3,2023-12-26,EQ,554.75,555.0,547.0,552.35,554.0,553.3,551.78,564.8,341.3,218200,120398632.6,7895,BIKAJI
4,2023-12-22,EQ,542.9,555.0,537.05,540.75,555.0,552.35,549.03,564.8,341.3,355027,194918897.25,16960,BIKAJI
5,2023-12-21,EQ,527.35,545.55,521.05,537.35,536.75,540.75,534.26,564.8,341.3,182514,97509636.9,9206,BIKAJI
6,2023-12-20,EQ,544.45,547.65,533.0,544.45,535.0,537.35,538.42,564.8,341.3,352821,189967037.1,15060,BIKAJI
7,2023-12-19,EQ,538.75,548.0,534.05,535.85,545.0,544.45,543.78,564.8,341.3,197120,107189207.85,9033,BIKAJI
8,2023-12-18,EQ,548.6,548.6,532.55,547.6,538.5,535.85,540.34,564.8,341.3,289607,156486626.2,10119,BIKAJI
9,2023-12-15,EQ,541.65,550.0,540.1,538.75,546.0,547.6,546.57,564.8,341.3,217312,118775536.75,9473,BIKAJI
10,2023-12-14,EQ,534.65,546.9,532.55,532.7,541.0,538.75,540.12,564.8,341.3,345023,186354428.0,12414,BIKAJI
11,2023-12-13,EQ,533.65,536.5,525.75,533.25,532.25,532.7,530.21,564.8,341.3,170424,90361318.9,6732,BIKAJI
12,2023-12-12,EQ,527.0,536.5,520.85,526.0,531.0,533.25,532.3,564.8,341.3,599879,319316244.35,20773,BIKAJI
13,2023-12-11,EQ,527.0,527.0,521.2,527.6,526.0,526.0,525.09,564.8,341.3,290414,152493647.05,7372,BIKAJI
14,2023-12-08,EQ,526.15,531.95,521.0,524.3,529.0,527.6,526.11,564.8,341.3,195352,102776062.0,5965,BIKAJI
15,2023-12-07,EQ,546.45,546.45,520.0,547.55,526.0,524.3,531.14,564.8,341.3,476906,253306073.65,13365,BIKAJI
16,2023-12-06,EQ,543.9,561.4,538.6,542.4,546.45,547.55,550.56,564.8,341.3,354318,195074611.55,9725,BIKAJI
17,2023-12-05,EQ,538.05,546.2,535.2,537.75,541.35,542.4,541.18,564.8,341.3,193139,104522829.8,8498,BIKAJI
18,2023-12-04,EQ,559.95,559.95,535.4,553.85,538.5,537.75,544.47,564.8,341.3,322588,175639178.1,14788,BIKAJI
19,2023-12-01,EQ,563.95,564.8,550.45,558.0,553.0,553.85,556.76,564.8,341.3,190334,105971056.05,8894,BIKAJI
20,2023-11-30,EQ,547.8,560.0,544.5,545.7,555.05,558.0,554.36,564.45,341.3,572965,317627942.7,27381,BIKAJI
21,2023-11-29,EQ,544.0,549.9,540.25,542.35,546.0,545.7,545.09,564.45,341.3,103467,56398823.3,5583,BIKAJI
22,2023-11-28,EQ,551.6,554.9,540.0,548.15,542.5,542.35,546.45,564.45,341.3,133897,73168252.95,6858,BIKAJI
23,2023-11-24,EQ,540.05,551.0,537.1,539.65,548.3,548.15,548.02,564.45,306.1,332479,182204671.05,9933,BIKAJI
24,2023-11-23,EQ,535.0,545.0,534.8,535.1,539.0,539.65,540.51,564.45,306.1,175157,94674618.45,6426,BIKAJI
