,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,331.0,333.7,316.9,330.45,318.95,319.4,324.33,334.95,149.65,3512235,1139127069.5,58776,BLS
1,2023-12-28,EQ,309.0,334.95,307.25,308.75,330.0,330.45,325.84,334.95,149.65,13681744,4458037681.85,255030,BLS
2,2023-12-27,EQ,311.85,312.7,305.0,309.45,307.9,308.75,308.18,324.45,149.65,3037594,936114415.0,99057,BLS
3,2023-12-26,EQ,312.6,318.4,308.0,309.85,308.6,309.45,313.28,324.45,149.65,4729085,1481528276.95,167491,BLS
4,2023-12-22,EQ,305.8,312.0,304.9,302.9,310.2,309.85,307.69,324.45,149.65,5109123,1572041592.95,137889,BLS
5,2023-12-21,EQ,295.0,308.8,293.4,304.1,305.55,302.9,302.8,324.45,149.65,3133299,948774622.25,119488,BLS
6,2023-12-20,EQ,311.05,316.9,295.2,308.85,300.05,304.1,310.18,324.45,149.65,9904640,3072264501.65,187568,BLS
7,2023-12-19,EQ,307.0,315.9,306.45,306.2,308.95,308.85,310.1,324.45,149.65,6058577,1878737260.25,200544,BLS
8,2023-12-18,EQ,304.0,313.9,303.1,305.4,306.0,306.2,308.49,324.45,149.65,2971437,916646106.4,170962,BLS
9,2023-12-15,EQ,311.5,315.65,305.0,308.7,305.15,305.4,309.15,324.45,149.65,3126268,966498359.65,134547,BLS
10,2023-12-14,EQ,316.25,319.65,306.0,314.35,307.5,308.7,313.14,324.45,149.65,6430928,2013811294.85,112999,BLS
11,2023-12-13,EQ,320.0,324.45,308.0,317.1,312.9,314.35,316.99,324.45,149.65,9484323,3006411701.6,163365,BLS
12,2023-12-12,EQ,307.25,319.45,305.1,296.3,317.0,317.1,315.61,319.45,149.65,26014493,8210502817.85,289064,BLS
13,2023-12-11,EQ,286.5,299.25,286.5,282.95,296.15,296.3,296.11,302.0,149.65,20245763,5994943463.9,154978,BLS
14,2023-12-08,EQ,282.1,288.0,280.5,281.05,282.95,282.95,284.45,374.8,149.65,2681369,762726704.35,102545,BLS
15,2023-12-07,EQ,281.6,285.95,279.1,282.05,280.9,281.05,281.69,374.8,149.65,2599183,732171928.9,62583,BLS
16,2023-12-06,EQ,285.0,289.6,281.2,282.35,281.6,282.05,284.35,374.8,149.65,3824662,1087548841.65,53516,BLS
17,2023-12-05,EQ,283.35,287.0,278.55,282.15,282.0,282.35,282.62,374.8,149.65,2654910,750338672.95,62439,BLS
18,2023-12-04,EQ,269.0,285.65,267.3,262.8,282.0,282.15,280.08,374.8,149.65,12353280,3459934144.9,172270,BLS
19,2023-12-01,EQ,267.3,267.3,262.0,264.95,262.9,262.8,264.17,389.0,149.65,721636,190637893.3,10398,BLS
20,2023-11-30,EQ,260.0,266.9,257.7,259.85,264.0,264.95,264.14,389.0,149.65,2014145,532009214.2,22430,BLS
21,2023-11-29,EQ,262.5,263.6,258.75,261.05,258.75,259.85,260.32,389.0,149.65,891114,231978971.85,14490,BLS
22,2023-11-28,EQ,265.95,268.5,258.25,260.6,260.0,261.05,263.57,389.0,149.65,1754375,462398123.85,31628,BLS
23,2023-11-24,EQ,263.15,265.85,260.1,263.15,261.0,260.6,262.08,389.0,149.65,587756,154036715.8,10776,BLS
24,2023-11-23,EQ,267.4,269.7,262.55,265.7,263.6,263.15,265.59,389.0,149.65,868486,230661778.9,12618,BLS
25,2023-11-22,EQ,265.5,267.2,261.0,264.8,265.8,265.7,264.56,389.0,149.65,2161998,571970812.05,33257,BLS
26,2023-11-21,EQ,269.0,274.1,263.25,268.75,265.0,264.8,268.37,389.0,149.65,945259,253676991.05,13554,BLS
27,2023-11-20,EQ,263.35,273.3,258.2,268.25,269.0,268.75,266.77,389.0,149.65,2272734,606288874.35,18985,BLS
28,2023-11-17,EQ,270.4,271.7,263.65,269.45,267.0,268.25,267.33,389.0,149.65,1215738,325004936.85,18898,BLS
29,2023-11-16,EQ,274.0,275.95,267.95,272.9,269.8,269.45,272.43,389.0,149.65,849130,231329416.1,11880,BLS
30,2023-11-15,EQ,274.9,277.5,271.6,271.95,273.6,272.9,274.01,389.0,149.65,1205140,330215237.2,16012,BLS
31,2023-11-13,EQ,276.5,276.7,271.1,278.85,271.8,271.95,273.4,389.0,149.65,788838,215666743.3,15469,BLS
32,2023-11-12,EQ,277.0,280.5,275.3,274.45,278.25,278.85,278.78,389.0,149.65,1326628,369840185.8,25330,BLS
33,2023-11-10,EQ,265.05,278.0,261.3,267.4,274.0,274.45,273.81,389.0,149.65,3068143,840081958.5,54737,BLS
34,2023-11-09,EQ,273.8,274.65,266.85,273.25,266.85,267.4,269.02,389.0,149.65,1651186,444209313.4,11005,BLS
35,2023-11-08,EQ,278.4,278.8,272.0,276.2,273.2,273.25,274.95,389.0,149.65,1620117,445454684.45,16979,BLS
36,2023-11-07,EQ,280.0,280.0,271.4,279.15,275.5,276.2,274.92,389.0,149.65,1477120,406087704.75,18581,BLS
