,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,369.0,373.0,365.3,368.95,368.05,368.1,368.26,433.4,319.5,315761,116283402.0,3114,BLUEJET
1,2023-12-28,EQ,371.45,373.0,361.0,371.05,368.0,368.95,367.48,433.4,319.5,321445,118124502.7,5826,BLUEJET
2,2023-12-27,EQ,372.45,376.95,360.3,369.65,371.0,371.05,369.46,433.4,319.5,343578,126939576.45,8437,BLUEJET
3,2023-12-26,EQ,358.2,376.0,358.2,361.3,370.4,369.65,370.09,433.4,319.5,464401,171870821.2,10124,BLUEJET
4,2023-12-22,EQ,361.0,368.0,354.55,358.65,361.5,361.3,360.99,433.4,319.5,469041,169317365.65,9793,BLUEJET
5,2023-12-21,EQ,356.0,360.6,347.05,354.55,358.0,358.65,356.66,433.4,319.5,334004,119124906.1,4738,BLUEJET
6,2023-12-20,EQ,363.9,371.95,348.25,362.0,354.95,354.55,360.81,433.4,319.5,622099,224462507.8,9592,BLUEJET
7,2023-12-19,EQ,355.0,373.45,352.15,352.5,361.25,362.0,362.11,433.4,319.5,1235687,447458114.35,13394,BLUEJET
8,2023-12-18,EQ,348.5,358.8,345.05,347.2,352.85,352.5,353.88,433.4,319.5,510338,180599618.7,7831,BLUEJET
9,2023-12-15,EQ,335.0,350.95,332.6,333.8,348.0,347.2,344.43,433.4,319.5,867123,298659881.05,10110,BLUEJET
10,2023-12-14,EQ,346.0,353.0,331.9,343.2,333.25,333.8,340.45,433.4,319.5,1234411,420250587.05,20090,BLUEJET
11,2023-12-13,EQ,320.0,348.7,320.0,322.1,343.4,343.2,335.2,433.4,319.5,2174828,729004455.25,24107,BLUEJET
12,2023-12-12,EQ,333.0,339.0,319.5,332.75,325.05,322.1,326.2,433.4,319.5,515490,168151453.45,13491,BLUEJET
13,2023-12-11,EQ,341.3,341.45,330.95,339.45,333.35,332.75,335.65,433.4,330.95,248256,83327019.65,10051,BLUEJET
