,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,948.0,953.8,937.6,947.55,947.5,947.0,947.05,1615.0,701.7,241591,228799867.15,14815,BLUESTARCO
1,2023-12-28,EQ,953.0,959.0,944.5,950.05,949.0,947.55,952.87,1615.0,701.7,195838,186608126.05,7340,BLUESTARCO
2,2023-12-27,EQ,948.8,955.9,938.1,946.95,948.0,950.05,949.26,1615.0,701.7,175024,166142701.45,9326,BLUESTARCO
3,2023-12-26,EQ,959.6,959.6,926.0,951.25,943.0,946.95,949.42,1615.0,701.7,174442,165619265.2,12767,BLUESTARCO
4,2023-12-22,EQ,935.0,954.6,926.85,928.85,949.5,951.25,943.92,1615.0,701.7,254983,240682663.2,20250,BLUESTARCO
5,2023-12-21,EQ,916.95,952.15,901.55,924.1,926.0,928.85,940.44,1615.0,701.7,253059,237986421.6,20278,BLUESTARCO
6,2023-12-20,EQ,953.0,954.9,909.0,948.35,918.8,924.1,940.63,1615.0,701.7,110318,103768541.1,10339,BLUESTARCO
7,2023-12-19,EQ,963.3,974.45,945.25,964.1,950.0,948.35,952.38,1615.0,701.7,97893,93231649.05,9472,BLUESTARCO
8,2023-12-18,EQ,968.55,990.1,962.05,968.55,968.9,964.1,975.77,1615.0,701.7,204957,199991393.75,21547,BLUESTARCO
9,2023-12-15,EQ,997.85,1001.05,952.9,994.1,967.0,968.55,973.57,1615.0,701.7,131233,127764969.5,13872,BLUESTARCO
10,2023-12-14,EQ,1005.0,1008.25,989.0,1004.3,997.95,994.1,998.55,1615.0,701.7,213513,213203823.15,7634,BLUESTARCO
11,2023-12-13,EQ,997.3,1007.35,993.0,996.0,1005.0,1004.3,1000.11,1615.0,701.7,229004,229029402.25,7936,BLUESTARCO
12,2023-12-12,EQ,990.0,1014.2,990.0,997.65,994.95,996.0,1002.97,1615.0,701.7,52808,52965044.4,7915,BLUESTARCO
13,2023-12-11,EQ,1008.0,1008.0,991.0,1005.25,998.0,997.65,997.96,1615.0,701.7,47696,47598529.35,4809,BLUESTARCO
14,2023-12-08,EQ,1012.0,1016.5,996.0,1012.2,1007.7,1005.25,1003.67,1615.0,701.7,43793,43953781.15,4393,BLUESTARCO
15,2023-12-07,EQ,1006.95,1018.4,995.65,1005.75,1010.2,1012.2,1008.67,1615.0,701.7,177905,179447669.5,7051,BLUESTARCO
16,2023-12-06,EQ,1027.8,1038.0,996.9,1024.7,1004.65,1005.75,1009.69,1615.0,701.7,324638,327783072.2,14897,BLUESTARCO
17,2023-12-05,EQ,997.8,1029.95,991.95,991.95,1023.0,1024.7,1021.06,1615.0,701.7,373349,381213593.3,17978,BLUESTARCO
18,2023-12-04,EQ,997.0,1002.45,977.45,989.0,991.0,991.95,987.33,1615.0,701.7,185430,183080906.6,13282,BLUESTARCO
19,2023-12-01,EQ,1006.0,1009.85,987.0,1001.85,990.0,989.0,991.9,1615.0,701.7,109354,108468070.7,9012,BLUESTARCO
20,2023-11-30,EQ,985.6,1025.5,974.6,986.1,995.0,1001.85,999.0,1615.0,701.7,958653,957691525.95,45820,BLUESTARCO
21,2023-11-29,EQ,1003.8,1010.4,980.15,998.95,980.15,986.1,990.78,1615.0,701.7,95162,94284371.55,9559,BLUESTARCO
22,2023-11-28,EQ,1010.0,1024.0,988.85,1009.9,999.9,998.95,1006.07,1615.0,701.7,117046,117756733.2,12233,BLUESTARCO
23,2023-11-24,EQ,984.75,1025.0,983.9,976.85,1012.9,1009.9,1005.96,1615.0,701.7,349192,351274754.75,32268,BLUESTARCO
24,2023-11-23,EQ,980.0,985.6,972.2,975.3,979.0,976.85,976.78,1615.0,701.7,83538,81597921.45,12377,BLUESTARCO
25,2023-11-22,EQ,987.0,994.0,960.9,987.05,972.2,975.3,979.16,1615.0,701.7,168860,165340169.85,17662,BLUESTARCO
26,2023-11-21,EQ,989.0,996.05,982.05,980.65,985.25,987.05,989.49,1615.0,701.7,113535,112342202.95,10089,BLUESTARCO
27,2023-11-20,EQ,969.7,999.05,969.7,969.65,981.0,980.65,985.35,1615.0,701.7,186682,183946921.45,17269,BLUESTARCO
28,2023-11-17,EQ,960.15,988.35,960.15,967.85,970.0,969.65,977.53,1615.0,701.7,129467,126557425.1,14243,BLUESTARCO
29,2023-11-16,EQ,964.3,988.95,960.5,967.1,976.0,967.85,977.38,1615.0,701.7,161974,158310487.25,15217,BLUESTARCO
30,2023-11-15,EQ,959.7,981.5,957.05,959.7,964.8,967.1,971.78,1615.0,701.7,255675,248459139.05,27623,BLUESTARCO
31,2023-11-13,EQ,958.9,965.9,936.05,955.15,957.0,959.7,952.6,1615.0,701.7,135748,129314069.85,11910,BLUESTARCO
32,2023-11-12,EQ,966.1,980.0,942.0,950.0,961.0,955.15,964.29,1615.0,701.7,80976,78084061.4,7616,BLUESTARCO
33,2023-11-10,EQ,922.0,959.5,915.95,921.8,948.6,950.0,943.37,1615.0,701.7,223767,211095597.6,18204,BLUESTARCO
34,2023-11-09,EQ,950.0,975.0,912.2,943.9,925.0,921.8,934.71,1615.0,701.7,379281,354519165.75,27077,BLUESTARCO
35,2023-11-08,EQ,962.5,972.8,935.05,957.75,943.95,943.9,957.3,1615.0,701.7,272349,260720786.55,20788,BLUESTARCO
36,2023-11-07,EQ,973.75,973.75,955.3,967.0,957.5,957.75,963.39,1615.0,701.7,169367,163166843.95,9630,BLUESTARCO
37,2023-11-06,EQ,982.0,991.0,952.1,971.7,966.95,967.0,967.96,1615.0,701.7,278402,269482324.85,20736,BLUESTARCO
38,2023-11-03,EQ,927.15,978.0,921.55,927.15,971.0,971.7,957.9,1615.0,701.7,816377,782010516.55,36473,BLUESTARCO
39,2023-11-02,EQ,935.25,936.45,920.0,934.3,924.0,927.15,927.15,1615.0,701.7,259981,241041386.0,14907,BLUESTARCO
40,2023-11-01,EQ,888.45,949.0,888.45,884.65,931.7,934.3,920.01,1615.0,701.7,1079905,993527547.15,53519,BLUESTARCO
41,2023-10-31,EQ,929.0,955.0,814.0,872.2,892.0,884.65,915.77,1615.0,701.7,3041130,2784964987.1,104357,BLUESTARCO
42,2023-10-30,EQ,866.75,879.0,864.35,863.35,874.0,872.2,869.66,1615.0,701.7,108127,94033985.8,13439,BLUESTARCO
43,2023-10-27,EQ,861.05,878.0,858.05,862.25,864.5,863.35,868.28,1615.0,701.7,122276,106170310.75,12245,BLUESTARCO
44,2023-10-26,EQ,884.05,889.75,856.8,889.85,859.95,862.25,865.19,1615.0,701.7,160222,138622281.9,13980,BLUESTARCO
45,2023-10-25,EQ,878.0,900.0,855.7,883.0,891.0,889.85,875.72,1615.0,701.7,186637,163441646.45,22897,BLUESTARCO
46,2023-10-23,EQ,919.35,926.75,853.0,919.3,860.7,883.0,907.2,1615.0,701.7,306427,277989727.8,23325,BLUESTARCO
47,2023-10-20,EQ,939.0,946.75,909.6,944.25,922.0,919.3,934.71,1615.0,701.7,138547,129500908.0,10813,BLUESTARCO
48,2023-10-19,EQ,944.35,950.0,928.3,944.35,940.7,944.25,942.85,1615.0,701.7,276769,260951192.8,16774,BLUESTARCO
49,2023-10-18,EQ,911.25,950.0,910.95,911.25,947.25,944.35,935.8,1615.0,701.7,249291,233286885.15,12651,BLUESTARCO
50,2023-10-17,EQ,889.65,919.7,889.65,889.4,911.85,911.25,911.3,1615.0,701.7,214389,195372169.15,16738,BLUESTARCO
51,2023-10-16,EQ,873.45,892.0,872.9,873.45,890.95,889.4,886.87,1615.0,701.7,93470,82895980.05,7530,BLUESTARCO
52,2023-10-13,EQ,877.75,888.35,872.0,878.65,875.15,873.45,875.03,1615.0,701.7,85637,74935171.85,3498,BLUESTARCO
53,2023-10-12,EQ,888.7,890.0,874.2,882.25,883.0,878.65,881.54,1615.0,701.7,98243,86605287.7,10853,BLUESTARCO
54,2023-10-11,EQ,866.95,888.8,866.95,865.55,885.8,882.25,871.89,1615.0,701.7,605985,528352513.3,16705,BLUESTARCO
55,2023-10-10,EQ,870.25,874.8,863.7,868.3,866.2,865.55,869.79,1615.0,701.7,341769,297267651.6,13711,BLUESTARCO
56,2023-10-09,EQ,871.0,897.15,860.05,872.4,866.0,868.3,880.96,1615.0,701.7,210654,185576996.55,19385,BLUESTARCO
