,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,278.45,283.0,277.25,277.85,279.75,279.95,280.22,424.75,237.8,505726,141716199.65,11023,CAMPUS
1,2023-12-28,EQ,278.65,281.3,277.35,278.65,278.0,277.85,278.79,424.75,237.8,312151,87024351.25,10522,CAMPUS
2,2023-12-27,EQ,282.65,285.05,277.8,281.4,279.25,278.65,281.21,424.75,237.8,516824,145334344.15,12864,CAMPUS
3,2023-12-26,EQ,282.55,285.45,279.35,280.55,280.95,281.4,282.51,424.75,237.8,724496,204679794.3,19651,CAMPUS
4,2023-12-22,EQ,284.4,287.05,278.75,284.4,280.95,280.55,282.82,430.4,237.8,561144,158700345.0,14974,CAMPUS
5,2023-12-21,EQ,281.0,288.6,276.35,282.3,284.5,284.4,285.2,430.4,237.8,1278492,364622552.15,23459,CAMPUS
6,2023-12-20,EQ,286.25,292.3,277.85,284.4,282.0,282.3,285.46,430.4,237.8,2851192,813891067.5,60202,CAMPUS
7,2023-12-19,EQ,278.3,286.95,276.3,277.6,284.3,284.4,280.95,430.4,237.8,3142995,883029515.85,32912,CAMPUS
8,2023-12-18,EQ,273.75,284.9,272.85,273.75,277.1,277.6,279.88,430.4,237.8,1652807,462581430.3,28678,CAMPUS
9,2023-12-15,EQ,275.2,276.9,272.95,272.55,273.9,273.75,274.72,467.2,237.8,512021,140662038.25,10745,CAMPUS
10,2023-12-14,EQ,274.0,275.25,270.0,272.2,272.0,272.55,273.48,467.2,237.8,470135,128572224.3,14157,CAMPUS
11,2023-12-13,EQ,272.0,273.6,269.25,269.75,271.7,272.2,271.22,467.2,237.8,367685,99723875.75,10448,CAMPUS
12,2023-12-12,EQ,275.0,278.55,269.0,273.75,270.0,269.75,272.84,467.2,237.8,694293,189429212.35,16587,CAMPUS
13,2023-12-11,EQ,275.0,275.8,273.4,273.55,273.4,273.75,274.41,467.2,237.8,321415,88199674.15,9007,CAMPUS
14,2023-12-08,EQ,277.8,280.85,271.95,276.7,273.4,273.55,275.59,472.0,237.8,560105,154358752.05,19568,CAMPUS
15,2023-12-07,EQ,277.7,281.15,275.1,276.05,277.0,276.7,278.65,472.0,237.8,610029,169987226.55,13261,CAMPUS
16,2023-12-06,EQ,282.0,282.0,274.4,279.4,275.6,276.05,276.97,472.0,237.8,979060,271174660.75,21833,CAMPUS
17,2023-12-05,EQ,282.75,287.85,278.55,282.75,278.95,279.4,283.9,472.0,237.8,1303600,370094462.7,23681,CAMPUS
18,2023-12-04,EQ,279.9,285.0,276.25,276.0,282.7,282.75,280.4,472.0,237.8,1048194,293913581.2,19813,CAMPUS
19,2023-12-01,EQ,277.4,278.7,275.0,275.15,275.9,276.0,276.61,472.0,237.8,415291,114872216.9,10452,CAMPUS
20,2023-11-30,EQ,282.35,283.9,273.35,283.3,274.4,275.15,277.22,472.0,237.8,1192963,330718812.25,24471,CAMPUS
21,2023-11-29,EQ,283.0,285.5,278.4,282.5,281.6,283.3,281.47,472.0,237.8,881985,248249155.45,20541,CAMPUS
22,2023-11-28,EQ,275.95,283.95,270.05,273.55,282.3,282.5,278.91,472.0,237.8,1839163,512969272.1,30874,CAMPUS
23,2023-11-24,EQ,279.8,282.0,272.0,278.2,274.0,273.55,276.39,472.0,237.8,773876,213889511.95,15327,CAMPUS
24,2023-11-23,EQ,267.3,282.45,267.1,268.0,279.0,278.2,278.23,472.0,237.8,3609401,1004258552.6,44902,CAMPUS
25,2023-11-22,EQ,263.3,270.6,262.0,263.9,267.8,268.0,266.28,472.0,237.8,1029070,274025808.7,14809,CAMPUS
