,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,2665.0,2677.75,2645.75,2663.5,2653.75,2651.4,2659.28,2988.0,2010.0,226597,602584903.4,22025,CAMS
1,2023-12-28,EQ,2686.2,2686.2,2650.0,2659.1,2663.0,2663.5,2656.9,2988.0,2010.0,207452,551179631.75,14369,CAMS
2,2023-12-27,EQ,2688.25,2693.8,2647.2,2657.35,2659.0,2659.1,2664.74,2988.0,2010.0,393234,1047865954.65,27397,CAMS
3,2023-12-26,EQ,2695.3,2709.45,2650.0,2678.4,2654.0,2657.35,2668.85,2988.0,2010.0,154057,411155483.05,15799,CAMS
4,2023-12-22,EQ,2715.0,2734.45,2671.0,2712.05,2687.0,2678.4,2686.83,2988.0,2010.0,291298,782668493.85,29610,CAMS
5,2023-12-21,EQ,2642.0,2723.1,2618.05,2655.35,2712.0,2712.05,2684.6,2988.0,2010.0,371564,997499223.15,35290,CAMS
6,2023-12-20,EQ,2700.95,2772.4,2645.0,2677.3,2652.6,2655.35,2726.42,2988.0,2010.0,913662,2491022294.5,67858,CAMS
7,2023-12-19,EQ,2700.0,2749.85,2672.3,2690.6,2675.0,2677.3,2699.54,2988.0,2010.0,447576,1208248695.4,46774,CAMS
8,2023-12-18,EQ,2722.05,2722.05,2673.7,2722.05,2690.0,2690.6,2687.78,2988.0,2010.0,455444,1224135259.5,54457,CAMS
9,2023-12-15,EQ,2768.35,2773.65,2708.0,2745.2,2724.0,2722.05,2722.77,2988.0,2010.0,340402,926836023.0,33442,CAMS
10,2023-12-14,EQ,2734.0,2758.6,2720.05,2705.05,2747.0,2745.2,2744.18,2988.0,2010.0,335258,920009137.4,27238,CAMS
11,2023-12-13,EQ,2709.1,2725.45,2685.0,2708.25,2701.0,2705.05,2705.87,2988.0,2010.0,305404,826383408.5,27460,CAMS
12,2023-12-12,EQ,2720.0,2761.7,2690.05,2705.95,2703.0,2708.25,2724.36,2988.0,2010.0,538563,1467238050.6,64871,CAMS
13,2023-12-11,EQ,2740.2,2752.1,2700.0,2744.75,2702.0,2705.95,2709.01,2988.0,2010.0,348104,943015989.9,53043,CAMS
14,2023-12-08,EQ,2819.95,2825.0,2735.0,2811.0,2745.0,2744.75,2761.73,2988.0,2010.0,380674,1051319464.3,54397,CAMS
15,2023-12-07,EQ,2774.95,2831.45,2754.0,2755.65,2830.0,2811.0,2796.09,2988.0,2010.0,645099,1803757833.05,71796,CAMS
16,2023-12-06,EQ,2870.0,2870.0,2743.0,2874.25,2759.0,2755.65,2766.54,2988.0,2010.0,960783,2658045679.3,94033,CAMS
17,2023-12-05,EQ,2965.0,2988.0,2862.0,2893.9,2879.0,2874.25,2925.5,2988.0,2010.0,973503,2847982891.4,75409,CAMS
18,2023-12-04,EQ,2850.4,2938.4,2793.7,2793.4,2883.0,2893.9,2870.34,2938.4,2010.0,1077444,3092627324.45,72485,CAMS
19,2023-12-01,EQ,2820.0,2834.9,2779.2,2801.15,2788.0,2793.4,2809.47,2935.0,2010.0,166019,466425192.85,17220,CAMS
20,2023-11-30,EQ,2790.0,2828.0,2727.85,2784.05,2828.0,2801.15,2773.58,2935.0,2010.0,355241,985288197.05,35774,CAMS
21,2023-11-29,EQ,2787.45,2812.0,2750.0,2760.75,2775.05,2784.05,2777.27,2935.0,2010.0,249331,692460314.35,27255,CAMS
22,2023-11-28,EQ,2798.0,2798.0,2721.65,2786.1,2778.7,2760.75,2748.23,2935.0,2010.0,229410,630471998.6,28171,CAMS
23,2023-11-24,EQ,2815.0,2828.5,2775.1,2791.15,2778.0,2786.1,2802.47,2935.0,2010.0,122029,341983129.2,12999,CAMS
24,2023-11-23,EQ,2759.0,2827.35,2757.25,2753.4,2805.0,2791.15,2798.34,2935.0,2010.0,229826,643130282.3,20555,CAMS
25,2023-11-22,EQ,2850.0,2863.8,2741.0,2844.55,2744.7,2753.4,2785.21,2935.0,2010.0,300305,836412247.6,26655,CAMS
26,2023-11-21,EQ,2864.7,2895.0,2817.15,2854.75,2850.0,2844.55,2854.2,2935.0,2010.0,247138,705381806.6,29820,CAMS
27,2023-11-20,EQ,2869.8,2935.0,2838.65,2832.95,2845.25,2854.75,2878.16,2935.0,2010.0,491800,1415479025.2,40049,CAMS
28,2023-11-17,EQ,2850.0,2881.0,2784.7,2839.7,2835.0,2832.95,2830.5,2890.0,2010.0,566692,1604018895.15,40906,CAMS
29,2023-11-16,EQ,2814.0,2890.0,2802.2,2804.45,2840.0,2839.7,2848.65,2890.0,2010.0,713903,2033660363.05,44772,CAMS
30,2023-11-15,EQ,2800.0,2863.25,2775.0,2683.1,2813.0,2804.45,2813.25,2863.25,2010.0,1308922,3682320817.6,82573,CAMS
31,2023-11-13,EQ,2497.9,2728.3,2473.7,2485.75,2700.0,2683.1,2622.08,2728.3,2010.0,1047730,2747229870.5,72407,CAMS
32,2023-11-12,EQ,2495.0,2495.0,2463.15,2425.4,2488.0,2485.75,2482.71,2667.9,2010.0,66509,165122844.85,6853,CAMS
33,2023-11-10,EQ,2388.8,2465.0,2388.0,2376.3,2424.0,2425.4,2432.96,2667.9,2010.0,279541,680113375.1,32011,CAMS
34,2023-11-09,EQ,2443.0,2443.0,2351.0,2428.7,2388.0,2376.3,2391.13,2667.9,2010.0,312754,747836752.65,20443,CAMS
