,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,1375.0,1396.0,1340.2,1373.55,1350.55,1356.15,1371.74,1429.1,575.0,81734,112117832.65,9371,CAPLIPOINT
1,2023-12-28,EQ,1392.0,1395.0,1368.05,1392.05,1375.0,1373.55,1377.48,1429.1,575.0,90812,125091529.55,12072,CAPLIPOINT
2,2023-12-27,EQ,1425.85,1428.25,1376.4,1421.1,1391.0,1392.05,1393.93,1429.1,575.0,122822,171205264.6,14199,CAPLIPOINT
3,2023-12-26,EQ,1410.0,1429.1,1396.0,1405.8,1425.0,1421.1,1412.53,1429.1,575.0,199075,281199402.85,19090,CAPLIPOINT
4,2023-12-22,EQ,1309.0,1421.2,1302.1,1300.9,1420.0,1405.8,1382.62,1421.2,575.0,514845,711835663.05,41012,CAPLIPOINT
5,2023-12-21,EQ,1240.0,1306.65,1240.0,1286.8,1303.0,1300.9,1287.7,1350.0,575.0,113571,146245270.45,13979,CAPLIPOINT
6,2023-12-20,EQ,1307.0,1309.95,1265.35,1296.9,1266.0,1286.8,1296.52,1350.0,575.0,145807,189041195.3,21507,CAPLIPOINT
7,2023-12-19,EQ,1294.0,1311.0,1281.25,1295.4,1290.0,1296.9,1296.94,1350.0,575.0,145120,188212100.7,12561,CAPLIPOINT
8,2023-12-18,EQ,1278.7,1301.4,1268.05,1269.7,1300.6,1295.4,1286.83,1350.0,575.0,106139,136583113.05,10352,CAPLIPOINT
9,2023-12-15,EQ,1251.55,1278.9,1240.55,1251.55,1276.0,1269.7,1257.52,1350.0,575.0,111020,139610288.55,9015,CAPLIPOINT
10,2023-12-14,EQ,1223.0,1255.4,1222.8,1221.3,1252.0,1251.55,1241.12,1350.0,575.0,102169,126804092.2,10119,CAPLIPOINT
11,2023-12-13,EQ,1182.0,1224.0,1178.0,1198.0,1218.0,1221.3,1201.91,1350.0,575.0,88746,106664781.4,14325,CAPLIPOINT
12,2023-12-12,EQ,1210.3,1212.8,1194.15,1202.9,1195.2,1198.0,1200.76,1350.0,575.0,70037,84097797.95,9172,CAPLIPOINT
13,2023-12-11,EQ,1217.6,1220.0,1189.0,1209.9,1215.5,1202.9,1202.59,1350.0,575.0,73351,88211019.6,10313,CAPLIPOINT
14,2023-12-08,EQ,1230.95,1236.3,1202.0,1230.95,1209.0,1209.9,1217.83,1350.0,575.0,66756,81297343.25,10145,CAPLIPOINT
15,2023-12-07,EQ,1209.0,1240.0,1185.05,1205.5,1231.25,1230.95,1209.63,1350.0,575.0,129346,156460566.2,16805,CAPLIPOINT
16,2023-12-06,EQ,1258.0,1259.3,1200.1,1250.0,1206.0,1205.5,1216.56,1350.0,575.0,174693,212525321.0,17655,CAPLIPOINT
17,2023-12-05,EQ,1280.0,1280.0,1238.2,1258.05,1246.0,1250.0,1250.83,1350.0,575.0,132423,165638814.15,15609,CAPLIPOINT
18,2023-12-04,EQ,1328.4,1328.4,1240.0,1294.45,1267.65,1258.05,1269.41,1350.0,575.0,156901,199171796.4,17314,CAPLIPOINT
19,2023-12-01,EQ,1261.3,1310.0,1259.6,1255.0,1290.0,1294.45,1289.18,1350.0,575.0,178641,230300266.2,15265,CAPLIPOINT
20,2023-11-30,EQ,1260.5,1266.55,1247.0,1256.5,1250.0,1255.0,1257.79,1350.0,575.0,63415,79762895.0,8143,CAPLIPOINT
21,2023-11-29,EQ,1270.0,1270.0,1244.0,1251.7,1250.0,1256.5,1256.61,1350.0,575.0,58877,73985590.7,6131,CAPLIPOINT
