,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,1108.8,1116.25,1097.05,1096.95,1115.5,1113.4,1109.11,1304.9,838.05,172093,190870088.2,9643,CARBORUNIV
1,2023-12-28,EQ,1113.25,1125.0,1091.2,1110.0,1105.0,1096.95,1109.56,1304.9,838.05,154399,171315466.15,15170,CARBORUNIV
2,2023-12-27,EQ,1103.4,1129.35,1103.4,1103.4,1112.25,1110.0,1115.68,1304.9,838.05,285492,318516603.95,10745,CARBORUNIV
3,2023-12-26,EQ,1100.0,1113.9,1079.95,1094.15,1109.3,1103.4,1098.28,1304.9,838.05,179542,197186612.2,14756,CARBORUNIV
4,2023-12-22,EQ,1112.0,1128.0,1089.0,1103.3,1103.85,1094.15,1098.72,1304.9,829.9,176291,193694472.7,13821,CARBORUNIV
5,2023-12-21,EQ,1105.0,1135.35,1100.0,1111.5,1110.45,1103.3,1118.06,1304.9,829.9,186268,208258966.35,15246,CARBORUNIV
6,2023-12-20,EQ,1180.0,1185.5,1097.55,1166.7,1109.75,1111.5,1119.31,1304.9,829.9,518088,579898760.5,31319,CARBORUNIV
7,2023-12-19,EQ,1192.0,1209.95,1161.05,1191.85,1168.5,1166.7,1178.46,1304.9,829.9,106652,125685265.3,10049,CARBORUNIV
8,2023-12-18,EQ,1192.75,1206.65,1184.55,1188.6,1190.0,1191.85,1195.93,1304.9,829.9,153650,183755075.0,9522,CARBORUNIV
9,2023-12-15,EQ,1199.75,1207.95,1165.55,1195.65,1192.95,1188.6,1190.07,1304.9,829.9,194153,231055739.3,18857,CARBORUNIV
10,2023-12-14,EQ,1194.0,1207.5,1185.85,1182.75,1195.0,1195.65,1195.71,1304.9,829.9,50539,60430119.35,4702,CARBORUNIV
11,2023-12-13,EQ,1228.8,1229.0,1178.0,1215.55,1184.5,1182.75,1190.51,1304.9,829.9,143703,171079233.95,10483,CARBORUNIV
12,2023-12-12,EQ,1197.9,1225.0,1193.65,1192.3,1215.0,1215.55,1213.64,1304.9,829.9,232212,281820814.2,13156,CARBORUNIV
13,2023-12-11,EQ,1208.0,1209.85,1182.7,1205.3,1192.8,1192.3,1191.96,1304.9,829.9,183693,218954790.75,6424,CARBORUNIV
14,2023-12-08,EQ,1207.95,1209.4,1191.0,1207.95,1206.0,1205.3,1202.12,1304.9,829.9,140159,168487826.3,4726,CARBORUNIV
15,2023-12-07,EQ,1192.0,1215.0,1182.55,1182.55,1198.1,1207.95,1197.16,1304.9,829.9,183282,219417877.55,10281,CARBORUNIV
16,2023-12-06,EQ,1198.0,1198.0,1174.0,1196.75,1185.0,1182.55,1184.28,1304.9,829.9,56964,67461112.0,6791,CARBORUNIV
17,2023-12-05,EQ,1199.2,1206.3,1180.6,1190.05,1192.7,1196.75,1191.22,1304.9,829.9,202637,241384261.9,9590,CARBORUNIV
18,2023-12-04,EQ,1180.45,1194.95,1164.0,1161.5,1190.0,1190.05,1184.74,1304.9,829.9,133666,158359770.2,13558,CARBORUNIV
19,2023-12-01,EQ,1181.0,1193.5,1158.5,1190.1,1160.0,1161.5,1167.74,1304.9,817.1,125332,146354861.25,14774,CARBORUNIV
20,2023-11-30,EQ,1158.85,1219.25,1122.15,1154.15,1171.0,1190.1,1167.45,1304.9,817.1,531572,620584638.5,41003,CARBORUNIV
21,2023-11-29,EQ,1155.0,1169.95,1130.0,1154.7,1159.9,1154.15,1148.91,1304.9,817.1,204808,235306533.1,20964,CARBORUNIV
22,2023-11-28,EQ,1146.5,1199.0,1145.0,1134.0,1149.9,1154.7,1177.29,1304.9,817.1,437601,515181538.4,31950,CARBORUNIV
23,2023-11-24,EQ,1135.0,1158.65,1125.1,1133.05,1132.75,1134.0,1137.24,1304.9,796.55,305792,347760194.2,13854,CARBORUNIV
24,2023-11-23,EQ,1172.8,1172.8,1128.55,1170.05,1129.0,1133.05,1138.49,1304.9,796.55,316729,360591632.05,16381,CARBORUNIV
25,2023-11-22,EQ,1099.0,1191.7,1086.75,1094.65,1170.0,1170.05,1165.07,1304.9,796.55,1227028,1429575226.5,67453,CARBORUNIV
26,2023-11-21,EQ,1109.9,1109.9,1087.7,1091.6,1095.0,1094.65,1096.47,1304.9,796.55,64345,70552681.95,9191,CARBORUNIV
27,2023-11-20,EQ,1118.0,1126.45,1080.25,1106.85,1094.0,1091.6,1104.96,1304.9,796.55,184244,203582080.05,20933,CARBORUNIV
28,2023-11-17,EQ,1102.0,1133.5,1099.05,1100.9,1108.95,1106.85,1106.62,1304.9,788.15,627303,694183772.5,12131,CARBORUNIV
29,2023-11-16,EQ,1089.9,1107.5,1086.2,1088.25,1096.0,1100.9,1099.31,1304.9,788.15,119771,131665577.8,10058,CARBORUNIV
30,2023-11-15,EQ,1075.0,1093.9,1075.0,1069.35,1090.0,1088.25,1085.38,1304.9,788.15,95368,103510417.45,11009,CARBORUNIV
31,2023-11-13,EQ,1072.15,1076.65,1059.0,1075.95,1070.0,1069.35,1067.43,1304.9,788.15,268437,286537508.9,10696,CARBORUNIV
32,2023-11-12,EQ,1073.0,1078.5,1060.3,1072.35,1075.1,1075.95,1074.36,1304.9,788.15,9300,9991559.45,1019,CARBORUNIV
33,2023-11-10,EQ,1070.0,1084.85,1067.05,1070.85,1068.0,1072.35,1075.33,1304.9,788.15,50779,54604312.2,5427,CARBORUNIV
34,2023-11-09,EQ,1073.0,1076.95,1048.5,1069.85,1072.0,1070.85,1055.75,1304.9,788.15,530036,559583488.95,27926,CARBORUNIV
35,2023-11-08,EQ,1069.0,1089.45,1066.85,1069.6,1070.0,1069.85,1074.41,1304.9,788.15,61298,65859454.45,5508,CARBORUNIV
36,2023-11-07,EQ,1085.3,1093.5,1065.85,1079.85,1068.0,1069.6,1076.54,1304.9,788.15,46654,50224812.05,7617,CARBORUNIV
37,2023-11-06,EQ,1072.35,1087.15,1049.6,1063.85,1084.0,1079.85,1063.69,1304.9,788.15,200342,213101619.7,17195,CARBORUNIV
38,2023-11-03,EQ,1097.7,1097.7,1058.6,1070.75,1064.0,1063.85,1077.63,1304.9,788.15,53010,57125373.3,6264,CARBORUNIV
39,2023-11-02,EQ,1070.0,1075.0,1057.8,1064.65,1075.0,1070.75,1069.87,1304.9,788.15,324672,347356167.5,24281,CARBORUNIV
40,2023-11-01,EQ,1073.7,1075.8,1047.25,1071.95,1063.25,1064.65,1058.17,1304.9,788.15,389973,412656608.05,25621,CARBORUNIV
41,2023-10-31,EQ,1081.5,1090.9,1060.0,1076.1,1063.0,1071.95,1078.15,1304.9,788.15,149316,160984833.85,16173,CARBORUNIV
42,2023-10-30,EQ,1090.0,1097.25,1063.3,1087.95,1078.0,1076.1,1075.58,1304.9,788.15,301754,324559950.65,16878,CARBORUNIV
43,2023-10-27,EQ,1107.95,1151.0,1078.8,1107.95,1085.95,1087.95,1103.5,1304.9,788.15,390771,431214113.1,42078,CARBORUNIV
44,2023-10-26,EQ,1086.0,1116.05,1067.1,1089.95,1096.7,1107.95,1097.22,1304.9,788.15,126744,139065939.75,14321,CARBORUNIV
45,2023-10-25,EQ,1099.85,1106.95,1068.0,1101.8,1095.0,1089.95,1082.83,1304.9,788.15,92966,100666517.95,9489,CARBORUNIV
46,2023-10-23,EQ,1103.25,1128.0,1090.0,1132.05,1104.9,1101.8,1105.38,1304.9,788.15,170182,188115965.15,12950,CARBORUNIV
47,2023-10-20,EQ,1146.6,1153.0,1116.0,1140.85,1140.15,1132.05,1132.96,1304.9,788.15,102138,115718114.7,10000,CARBORUNIV
