,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,964.5,972.65,948.05,961.1,952.0,951.6,958.39,1010.0,550.0,36564,35042467.8,6209,CARERATING
1,2023-12-28,EQ,963.9,973.8,949.0,961.5,960.0,961.1,959.4,1010.0,550.0,100542,96460354.35,9611,CARERATING
2,2023-12-27,EQ,945.0,997.0,945.0,941.55,960.2,961.5,976.4,1010.0,550.0,260878,254720650.4,26423,CARERATING
3,2023-12-26,EQ,937.45,945.95,927.0,937.45,945.0,941.55,935.95,1010.0,550.0,73517,68807900.25,5705,CARERATING
4,2023-12-22,EQ,913.3,950.0,913.3,911.9,939.95,937.45,936.86,1010.0,550.0,46574,43633110.3,6895,CARERATING
5,2023-12-21,EQ,906.05,939.85,891.0,922.4,918.3,911.9,907.93,1010.0,550.0,147522,133938919.85,6766,CARERATING
6,2023-12-20,EQ,920.1,942.5,910.0,925.35,911.0,922.4,927.86,1010.0,550.0,157711,146334438.8,22826,CARERATING
7,2023-12-19,EQ,925.05,931.95,919.35,924.85,928.0,925.35,925.71,1010.0,550.0,40648,37628119.1,4114,CARERATING
8,2023-12-18,EQ,915.0,935.0,909.05,915.9,926.45,924.85,922.9,1010.0,550.0,84170,77680080.95,7169,CARERATING
9,2023-12-15,EQ,941.9,950.0,906.05,941.3,915.0,915.9,925.85,1010.0,550.0,51974,48120157.6,5592,CARERATING
10,2023-12-14,EQ,945.0,952.95,921.0,945.2,942.0,941.3,936.9,1010.0,550.0,70597,66142166.7,7119,CARERATING
11,2023-12-13,EQ,950.6,967.0,942.5,949.3,946.55,945.2,955.29,1010.0,550.0,52501,50153649.8,5471,CARERATING
12,2023-12-12,EQ,948.0,967.0,931.0,944.8,951.5,949.3,945.5,1010.0,550.0,54737,51753740.7,6053,CARERATING
13,2023-12-11,EQ,944.5,963.95,940.35,944.15,941.0,944.8,948.99,1010.0,550.0,72028,68353916.85,5293,CARERATING
14,2023-12-08,EQ,945.0,947.25,935.1,940.25,945.95,944.15,942.12,1010.0,547.25,38409,36186028.4,3788,CARERATING
15,2023-12-07,EQ,946.0,950.8,938.45,946.6,945.4,940.25,942.45,1010.0,547.25,46345,43677674.9,4224,CARERATING
16,2023-12-06,EQ,947.0,958.75,941.3,948.45,945.1,946.6,949.9,1010.0,547.25,42965,40812313.65,5414,CARERATING
17,2023-12-05,EQ,951.5,966.0,936.0,961.75,950.75,948.45,949.91,1010.0,547.25,88860,84409010.1,10756,CARERATING
18,2023-12-04,EQ,911.15,981.0,906.6,906.6,961.05,961.75,944.99,1010.0,547.25,177644,167871086.05,13098,CARERATING
19,2023-12-01,EQ,919.4,921.65,905.3,914.8,905.5,906.6,909.47,1010.0,543.4,24146,21959990.45,2689,CARERATING
20,2023-11-30,EQ,918.25,922.95,905.1,920.55,913.0,914.8,912.17,1010.0,543.4,34255,31246428.05,4837,CARERATING
21,2023-11-29,EQ,918.05,923.25,908.0,917.25,920.0,920.55,912.22,1010.0,543.4,60182,54899101.05,3543,CARERATING
22,2023-11-28,EQ,924.0,927.0,905.0,918.35,924.9,917.25,920.46,1010.0,543.4,39975,36795429.45,3667,CARERATING
23,2023-11-24,EQ,905.25,920.95,904.75,907.35,920.35,918.35,914.2,1010.0,511.0,34261,31321470.25,3716,CARERATING
24,2023-11-23,EQ,920.0,930.0,903.0,909.35,906.2,907.35,918.2,1010.0,511.0,97490,89514933.95,6904,CARERATING
25,2023-11-22,EQ,902.0,921.0,897.55,898.9,914.45,909.35,909.79,1010.0,511.0,57096,51945513.35,7114,CARERATING
26,2023-11-21,EQ,890.0,901.5,878.0,885.35,900.0,898.9,894.45,1010.0,511.0,60700,54292847.2,7579,CARERATING
27,2023-11-20,EQ,856.0,889.0,853.65,853.25,885.0,885.35,875.83,1010.0,511.0,125386,109816463.95,12990,CARERATING
28,2023-11-17,EQ,855.75,858.7,840.15,853.8,853.0,853.25,847.86,1010.0,511.0,82851,70245726.45,7677,CARERATING
29,2023-11-16,EQ,852.1,857.95,846.35,850.3,854.0,853.8,852.92,1010.0,511.0,35487,30267718.9,4004,CARERATING
30,2023-11-15,EQ,853.15,864.4,845.55,856.45,851.5,850.3,855.0,1010.0,511.0,76381,65305841.45,6414,CARERATING
31,2023-11-13,EQ,872.85,872.85,853.5,872.15,854.6,856.45,859.35,1010.0,511.0,31886,27401380.25,5199,CARERATING
32,2023-11-12,EQ,869.0,874.0,865.25,865.5,873.1,872.15,870.82,1010.0,496.95,14005,12195889.2,867,CARERATING
33,2023-11-10,EQ,848.9,867.95,843.15,852.1,857.5,865.5,857.75,1010.0,496.95,46794,40137541.0,3900,CARERATING
34,2023-11-09,EQ,857.85,865.05,847.65,853.15,851.7,852.1,854.07,1010.0,496.95,68467,58475853.35,6483,CARERATING
35,2023-11-08,EQ,868.0,868.0,844.1,865.45,852.0,853.15,855.28,1010.0,496.95,63194,54048689.95,4317,CARERATING
36,2023-11-07,EQ,867.0,868.0,856.0,865.25,866.0,865.45,864.96,1010.0,496.95,40762,35257632.85,4433,CARERATING
37,2023-11-06,EQ,849.1,867.95,844.6,849.0,863.0,865.25,855.86,1010.0,496.95,73102,62565003.45,5409,CARERATING
38,2023-11-03,EQ,851.95,865.0,845.6,848.9,848.6,849.0,851.45,1010.0,484.0,66122,56299447.5,4164,CARERATING
39,2023-11-02,EQ,863.0,867.0,831.2,851.85,848.5,848.9,846.65,1010.0,484.0,112653,95378131.8,8664,CARERATING
40,2023-11-01,EQ,900.0,900.0,838.4,910.4,847.0,851.85,862.46,1010.0,484.0,295262,254651929.5,17289,CARERATING
41,2023-10-31,EQ,906.35,924.95,906.35,903.75,910.3,910.4,914.25,1010.0,484.0,26383,24120718.05,3589,CARERATING
42,2023-10-30,EQ,911.05,921.0,885.6,911.05,900.1,903.75,903.27,1010.0,484.0,56940,51432021.15,7024,CARERATING
43,2023-10-27,EQ,899.85,925.0,899.85,891.4,917.6,911.05,913.4,1010.0,482.0,126209,115279729.85,4635,CARERATING
44,2023-10-26,EQ,886.2,899.85,868.15,899.7,899.85,891.4,880.68,1010.0,482.0,51509,45362823.0,6866,CARERATING
45,2023-10-25,EQ,903.95,920.0,871.0,903.6,893.5,899.7,892.58,1010.0,482.0,74841,66801223.95,8449,CARERATING
46,2023-10-23,EQ,948.15,955.1,893.25,955.15,905.0,903.6,906.45,1010.0,482.0,192377,174380754.8,13570,CARERATING
47,2023-10-20,EQ,938.0,982.75,938.0,958.75,955.0,955.15,961.29,1010.0,467.3,41989,40363559.1,5806,CARERATING
48,2023-10-19,EQ,975.0,975.0,956.5,974.75,960.05,958.75,962.86,1010.0,467.3,29804,28697144.35,3720,CARERATING
49,2023-10-18,EQ,975.0,983.85,961.2,971.7,972.0,974.75,974.14,1010.0,467.3,200338,195156655.0,14194,CARERATING
50,2023-10-17,EQ,973.6,987.5,964.0,969.3,975.9,971.7,975.5,1010.0,467.3,77207,75315541.65,10652,CARERATING
51,2023-10-16,EQ,965.7,993.0,954.05,960.85,973.0,969.3,970.98,1010.0,467.3,134211,130316544.0,10655,CARERATING
52,2023-10-13,EQ,989.7,1003.5,940.0,1004.75,975.0,960.85,963.58,1010.0,467.3,157570,151830962.75,11115,CARERATING
53,2023-10-12,EQ,990.0,1010.0,982.05,991.45,1003.8,1004.75,997.74,1010.0,467.3,142887,142564704.55,9794,CARERATING
54,2023-10-11,EQ,969.9,995.0,963.2,975.4,995.0,991.45,980.58,1003.35,467.3,168855,165575778.2,9461,CARERATING
55,2023-10-10,EQ,934.9,1003.35,914.0,942.0,969.1,975.4,972.81,1003.35,467.3,819072,796800361.35,39371,CARERATING
56,2023-10-09,EQ,843.2,952.7,841.1,853.95,930.0,942.0,924.53,952.7,467.3,1121399,1036765907.4,59624,CARERATING
57,2023-10-06,EQ,856.05,864.6,848.4,856.05,852.3,853.95,853.98,888.8,467.3,43404,37066124.5,5934,CARERATING
58,2023-10-05,EQ,850.75,858.95,840.55,850.6,858.05,856.05,849.82,888.8,467.3,73871,62777218.15,6752,CARERATING
59,2023-10-04,EQ,877.0,878.35,844.6,875.8,852.0,850.6,854.53,888.8,467.3,54731,46769230.75,6718,CARERATING
60,2023-10-03,EQ,865.0,888.8,865.0,876.85,875.9,875.8,877.85,888.8,467.3,48370,42461427.85,4954,CARERATING
61,2023-09-29,EQ,855.0,886.75,855.0,860.95,872.1,876.85,872.25,886.75,467.3,51634,45037644.8,6751,CARERATING
