,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,180.8,182.4,176.6,179.95,179.8,179.75,179.35,188.8,107.4,7607037,1364327306.75,48869,CASTROLIND
1,2023-12-28,EQ,179.0,188.8,178.2,177.25,180.0,179.95,183.44,188.8,107.4,21997511,4035332977.05,130126,CASTROLIND
2,2023-12-27,EQ,185.0,187.7,176.6,182.55,177.45,177.25,181.48,187.7,107.4,23457074,4257005167.15,160775,CASTROLIND
3,2023-12-26,EQ,164.9,186.0,164.2,162.55,184.75,182.55,174.7,186.0,107.4,49755772,8692214551.45,243531,CASTROLIND
4,2023-12-22,EQ,152.9,167.15,152.05,151.7,162.4,162.55,162.29,167.15,107.4,39554895,6419279676.65,203509,CASTROLIND
5,2023-12-21,EQ,145.0,152.15,143.5,145.5,152.0,151.7,150.11,162.0,107.4,5551321,833330042.95,37197,CASTROLIND
6,2023-12-20,EQ,153.55,156.0,144.1,152.45,145.1,145.5,151.93,162.0,107.4,8394395,1275396462.65,57158,CASTROLIND
7,2023-12-19,EQ,148.8,154.6,148.0,147.6,152.1,152.45,152.25,162.0,107.4,12011999,1828771174.15,66269,CASTROLIND
8,2023-12-18,EQ,146.5,150.95,145.2,146.05,147.65,147.6,148.8,162.0,107.4,5110099,760374035.9,35737,CASTROLIND
9,2023-12-15,EQ,149.75,152.3,145.05,148.25,145.85,146.05,148.36,162.0,107.4,6278155,931445595.85,49834,CASTROLIND
10,2023-12-14,EQ,139.2,150.95,139.15,138.55,148.6,148.25,147.3,162.0,107.4,16472187,2426320778.7,94537,CASTROLIND
11,2023-12-13,EQ,138.8,139.15,137.95,138.8,138.55,138.55,138.5,162.0,107.4,959505,132892814.2,16553,CASTROLIND
12,2023-12-12,EQ,142.05,142.05,138.3,140.55,138.45,138.8,139.8,162.0,107.4,1478309,206660963.55,20114,CASTROLIND
13,2023-12-11,EQ,141.2,142.45,140.1,140.45,140.95,140.55,141.01,162.0,107.4,1479794,208671234.85,18899,CASTROLIND
14,2023-12-08,EQ,140.15,141.2,139.0,139.45,140.4,140.45,140.29,162.0,107.4,1151168,161500452.15,10455,CASTROLIND
15,2023-12-07,EQ,140.4,141.85,138.95,140.4,139.6,139.45,140.16,162.0,107.4,1603564,224753916.2,15143,CASTROLIND
16,2023-12-06,EQ,141.05,142.45,140.05,140.4,140.5,140.4,141.05,162.0,107.4,1325350,186944060.65,15578,CASTROLIND
17,2023-12-05,EQ,143.0,144.5,139.0,142.0,141.0,140.4,141.71,162.0,107.4,2586063,366481850.85,19388,CASTROLIND
18,2023-12-04,EQ,142.8,143.45,141.15,140.1,141.85,142.0,142.2,162.0,107.4,1821626,259031772.4,20358,CASTROLIND
19,2023-12-01,EQ,139.5,141.95,138.6,138.2,139.7,140.1,140.23,162.0,107.4,1913617,268343074.75,18210,CASTROLIND
20,2023-11-30,EQ,140.0,141.0,137.75,139.85,138.2,138.2,138.78,162.0,107.4,1647992,228712911.3,24946,CASTROLIND
21,2023-11-29,EQ,142.0,142.25,139.6,140.65,139.7,139.85,140.31,162.0,107.4,1341165,188183265.9,16680,CASTROLIND
22,2023-11-28,EQ,141.9,143.55,140.0,140.5,140.55,140.65,141.86,162.0,107.4,3661271,519404472.8,35221,CASTROLIND
23,2023-11-24,EQ,137.6,142.5,136.25,136.65,141.2,140.5,140.33,162.0,107.4,4865918,682813588.55,31044,CASTROLIND
24,2023-11-23,EQ,135.0,139.4,134.6,134.35,136.7,136.65,137.52,162.0,107.4,2933590,403420399.0,18942,CASTROLIND
25,2023-11-22,EQ,134.3,135.5,134.2,134.15,134.35,134.35,134.6,162.0,107.4,1112025,149676286.5,7087,CASTROLIND
26,2023-11-21,EQ,134.95,135.4,133.85,134.45,133.9,134.15,134.4,162.0,107.4,911011,122435904.1,6530,CASTROLIND
27,2023-11-20,EQ,134.4,135.0,133.2,133.7,134.7,134.45,134.27,162.0,107.4,1058612,142137317.05,9686,CASTROLIND
28,2023-11-17,EQ,134.7,135.5,133.55,133.95,133.8,133.7,134.32,162.0,107.4,1641253,220455972.25,16166,CASTROLIND
29,2023-11-16,EQ,135.45,135.6,133.25,134.7,134.3,133.95,134.42,162.0,107.4,1573181,211467119.8,18562,CASTROLIND
30,2023-11-15,EQ,135.85,135.9,134.0,134.25,134.5,134.7,134.55,162.0,107.4,1062994,143023460.2,10969,CASTROLIND
31,2023-11-13,EQ,137.35,137.35,134.1,137.4,134.3,134.25,134.76,162.0,107.4,1136973,153214811.8,17361,CASTROLIND
32,2023-11-12,EQ,137.8,138.5,135.5,136.65,137.5,137.4,137.43,162.0,107.4,272285,37420217.5,4190,CASTROLIND
33,2023-11-10,EQ,136.2,138.15,136.0,137.0,136.45,136.65,137.12,162.0,107.4,711821,97602255.7,12477,CASTROLIND
34,2023-11-09,EQ,136.0,139.1,135.65,135.85,137.6,137.0,137.45,162.0,107.4,1130691,155417305.45,10803,CASTROLIND
35,2023-11-08,EQ,134.0,137.2,133.6,132.95,136.15,135.85,135.72,162.0,107.4,1257369,170644810.4,11705,CASTROLIND
36,2023-11-07,EQ,135.0,135.0,132.4,134.25,133.1,132.95,133.16,162.0,107.4,1305855,173893123.95,24208,CASTROLIND
37,2023-11-06,EQ,134.9,135.35,133.5,133.9,134.5,134.25,134.37,162.0,107.4,796520,107030624.3,12554,CASTROLIND
38,2023-11-03,EQ,135.6,136.05,133.5,134.9,134.2,133.9,134.31,162.0,107.4,1493962,200647487.85,19295,CASTROLIND
39,2023-11-02,EQ,135.3,136.7,134.5,134.7,135.0,134.9,135.22,162.0,107.4,645234,87247004.15,6596,CASTROLIND
