,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,1841.5,1841.8,1818.0,1833.75,1826.0,1824.4,1826.79,1987.7,880.9,470937,860304842.8,30754,CDSL
1,2023-12-28,EQ,1862.55,1866.0,1823.75,1855.05,1835.0,1833.75,1839.5,1987.7,880.9,619863,1140234896.35,36281,CDSL
2,2023-12-27,EQ,1860.3,1878.2,1838.05,1851.05,1851.0,1855.05,1856.48,1987.7,880.9,616245,1144048059.2,32384,CDSL
3,2023-12-26,EQ,1852.0,1872.55,1838.0,1836.95,1848.35,1851.05,1855.4,1987.7,880.9,577293,1071111117.45,34096,CDSL
4,2023-12-22,EQ,1850.0,1863.8,1817.25,1837.55,1839.0,1836.95,1842.18,1987.7,880.9,576891,1062737017.5,35952,CDSL
5,2023-12-21,EQ,1780.0,1845.0,1758.65,1806.95,1840.0,1837.55,1820.78,1987.7,880.9,1119503,2038371897.65,62858,CDSL
6,2023-12-20,EQ,1921.4,1930.0,1737.0,1911.95,1807.0,1806.95,1849.36,1987.7,880.9,1735144,3208901195.5,110907,CDSL
7,2023-12-19,EQ,1903.8,1932.45,1880.95,1895.2,1912.0,1911.95,1910.93,1987.7,880.9,982962,1878371830.65,45835,CDSL
8,2023-12-18,EQ,1892.0,1920.65,1870.6,1890.6,1893.1,1895.2,1902.96,1987.7,880.9,922697,1755851871.7,44969,CDSL
9,2023-12-15,EQ,1952.0,1957.5,1883.05,1947.2,1890.0,1890.6,1908.21,1987.7,880.9,1276439,2435718531.8,68824,CDSL
10,2023-12-14,EQ,1974.0,1987.7,1935.1,1954.8,1944.0,1947.2,1955.57,1987.7,880.9,1059401,2071734811.75,51103,CDSL
11,2023-12-13,EQ,1875.15,1985.0,1864.3,1875.15,1963.0,1954.8,1946.02,1985.0,880.9,3478127,6768492782.4,137952,CDSL
12,2023-12-12,EQ,1901.0,1913.0,1855.0,1891.1,1873.0,1875.15,1882.4,1951.95,880.9,763465,1437143870.05,45938,CDSL
13,2023-12-11,EQ,1862.2,1912.6,1862.2,1862.2,1890.0,1891.1,1892.88,1951.95,880.9,732882,1387255828.2,39313,CDSL
14,2023-12-08,EQ,1892.15,1896.35,1831.1,1887.0,1869.95,1862.2,1862.02,1951.95,880.9,663629,1235690348.4,44430,CDSL
15,2023-12-07,EQ,1898.95,1906.0,1876.0,1900.55,1883.25,1887.0,1887.9,1951.95,880.9,464555,877031414.0,26713,CDSL
16,2023-12-06,EQ,1921.8,1921.8,1884.05,1918.65,1899.0,1900.55,1901.73,1951.95,880.9,620334,1179704836.55,42011,CDSL
17,2023-12-05,EQ,1934.3,1951.0,1875.0,1927.4,1921.8,1918.65,1918.71,1951.95,880.9,987341,1894422781.75,40355,CDSL
18,2023-12-04,EQ,1938.0,1951.95,1905.3,1898.25,1925.0,1927.4,1929.72,1951.95,880.9,1093788,2110700686.7,43076,CDSL
19,2023-12-01,EQ,1905.0,1929.0,1890.65,1893.8,1898.0,1898.25,1910.31,1929.0,880.9,1130920,2160404759.3,49761,CDSL
20,2023-11-30,EQ,1912.95,1928.8,1861.0,1910.75,1889.1,1893.8,1903.41,1928.8,880.9,1750404,3331741888.8,71197,CDSL
21,2023-11-29,EQ,1820.0,1917.4,1816.25,1811.9,1910.65,1910.75,1874.87,1917.4,880.9,2834081,5313542373.05,97326,CDSL
22,2023-11-28,EQ,1811.7,1834.0,1788.0,1802.0,1816.0,1811.9,1813.06,1897.0,880.9,1108191,2009218554.25,46736,CDSL
23,2023-11-24,EQ,1805.0,1818.1,1780.0,1792.1,1810.0,1802.0,1796.98,1897.0,880.9,903830,1624166053.9,39457,CDSL
24,2023-11-23,EQ,1740.0,1825.0,1740.0,1719.0,1799.9,1792.1,1793.15,1897.0,880.9,2439654,4374669301.1,100629,CDSL
25,2023-11-22,EQ,1730.0,1775.0,1704.95,1724.95,1717.95,1719.0,1742.08,1897.0,880.9,923540,1608883155.15,39083,CDSL
26,2023-11-21,EQ,1751.0,1765.4,1715.0,1749.75,1730.0,1724.95,1736.08,1897.0,880.9,733835,1273995331.4,32863,CDSL
27,2023-11-20,EQ,1779.1,1791.1,1716.0,1779.15,1740.0,1749.75,1746.45,1897.0,880.9,1112869,1943574668.0,59365,CDSL
28,2023-11-17,EQ,1793.35,1830.0,1770.0,1784.3,1774.7,1779.15,1799.57,1897.0,880.9,1237877,2227646712.15,48240,CDSL
29,2023-11-16,EQ,1803.0,1803.0,1665.0,1811.9,1791.5,1784.3,1765.76,1897.0,880.9,2403259,4243574323.3,95218,CDSL
30,2023-11-15,EQ,1869.0,1880.0,1800.0,1843.8,1820.0,1811.9,1830.56,1897.0,880.9,2994626,5481830081.85,109595,CDSL
31,2023-11-13,EQ,1839.95,1897.0,1807.3,1834.95,1836.15,1843.8,1858.94,1897.0,880.9,5555859,10328023331.5,166004,CDSL
32,2023-11-12,EQ,1809.7,1844.0,1809.0,1777.05,1839.95,1834.95,1831.67,1844.0,880.9,1795215,3288247327.8,65789,CDSL
33,2023-11-10,EQ,1696.0,1788.0,1691.25,1692.75,1784.05,1777.05,1742.19,1788.0,880.9,6328545,11025550544.9,171591,CDSL
34,2023-11-09,EQ,1615.8,1700.0,1613.0,1608.6,1696.0,1692.75,1671.08,1700.0,880.9,5422575,9061553536.7,149805,CDSL
35,2023-11-08,EQ,1594.85,1630.0,1594.0,1581.5,1605.95,1608.6,1614.44,1630.0,880.9,2260358,3649211421.25,65632,CDSL
36,2023-11-07,EQ,1612.25,1620.0,1571.3,1603.7,1582.0,1581.5,1593.28,1620.0,880.9,3444404,5487905270.85,100597,CDSL
37,2023-11-06,EQ,1585.0,1611.0,1566.35,1560.5,1607.0,1603.7,1590.56,1611.0,880.9,3702798,5889522741.75,108691,CDSL
