,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,795.95,796.9,781.0,794.5,785.7,787.15,791.08,837.4,748.55,172720,136634818.3,6374,CELLO
1,2023-12-28,EQ,788.0,796.9,783.05,778.65,794.0,794.5,792.9,837.4,748.55,419921,332953623.15,23980,CELLO
2,2023-12-27,EQ,769.95,779.95,766.05,765.5,778.95,778.65,775.5,837.4,748.55,248384,192622995.5,25407,CELLO
3,2023-12-26,EQ,780.85,780.85,762.75,769.2,764.35,765.5,767.96,837.4,748.55,218564,167848185.05,6344,CELLO
4,2023-12-22,EQ,775.0,784.5,762.75,775.1,768.65,769.2,771.02,837.4,748.55,262414,202325733.7,9594,CELLO
5,2023-12-21,EQ,755.0,779.9,748.55,762.4,778.0,775.1,764.02,837.4,748.55,225567,172336590.8,9704,CELLO
6,2023-12-20,EQ,794.0,795.0,760.0,787.6,764.0,762.4,776.79,837.4,760.0,258476,200782821.7,16379,CELLO
7,2023-12-19,EQ,800.0,807.95,786.2,799.8,787.3,787.6,793.18,837.4,767.15,138489,109847201.15,10390,CELLO
8,2023-12-18,EQ,790.25,802.5,785.35,791.45,799.5,799.8,798.32,837.4,767.15,274429,219082646.95,14099,CELLO
9,2023-12-15,EQ,785.7,795.9,780.6,785.0,789.25,791.45,791.72,837.4,767.15,298580,236390589.4,24860,CELLO
10,2023-12-14,EQ,798.0,798.0,783.2,792.15,785.3,785.0,788.58,837.4,767.15,239820,189116291.0,11421,CELLO
11,2023-12-13,EQ,785.1,797.0,778.1,784.5,792.0,792.15,788.82,837.4,767.15,261339,206150515.1,13688,CELLO
12,2023-12-12,EQ,790.0,795.85,781.4,788.15,784.0,784.5,787.6,837.4,767.15,273718,215580440.55,7863,CELLO
13,2023-12-11,EQ,817.05,817.4,780.05,813.4,784.05,788.15,793.68,837.4,767.15,611130,485043399.5,17337,CELLO
14,2023-12-08,EQ,817.0,819.85,792.3,810.55,813.0,813.4,808.8,837.4,767.15,356149,288052681.45,14867,CELLO
15,2023-12-07,EQ,810.9,824.25,802.5,809.9,810.0,810.55,813.42,837.4,767.15,624841,508257843.15,16310,CELLO
16,2023-12-06,EQ,791.0,822.2,775.0,790.05,810.5,809.9,804.47,837.4,767.15,1489364,1198155162.45,36326,CELLO
17,2023-12-05,EQ,793.95,803.95,785.9,791.1,786.55,790.05,792.76,837.4,767.15,284190,225294989.85,21262,CELLO
18,2023-12-04,EQ,801.0,802.9,784.75,795.65,792.0,791.1,790.7,837.4,767.15,372333,294402230.55,24574,CELLO
19,2023-12-01,EQ,807.95,824.9,790.0,804.75,795.5,795.65,812.92,837.4,767.15,816026,663363130.7,22905,CELLO
20,2023-11-30,EQ,818.9,824.95,802.0,818.95,803.1,804.75,813.3,837.4,767.15,535170,435254987.25,18717,CELLO
21,2023-11-29,EQ,822.0,828.9,806.45,820.6,817.25,818.95,819.69,837.4,767.15,1052971,863105820.1,30849,CELLO
22,2023-11-28,EQ,784.8,827.65,772.3,781.1,818.55,820.6,812.76,837.4,767.15,2567328,2086620317.5,90041,CELLO
23,2023-11-24,EQ,779.85,784.85,775.35,775.85,780.4,781.1,780.5,837.4,767.15,262392,204796830.25,9900,CELLO
24,2023-11-23,EQ,769.9,788.85,767.15,770.6,775.0,775.85,778.76,837.4,767.15,351451,273694600.2,16483,CELLO
25,2023-11-22,EQ,785.15,791.7,768.1,785.1,768.5,770.6,779.85,837.4,768.1,466979,364173419.9,22766,CELLO
26,2023-11-21,EQ,790.0,794.8,784.0,786.05,785.0,785.1,787.03,837.4,772.0,299524,235733218.55,12150,CELLO
27,2023-11-20,EQ,785.9,798.0,783.2,785.2,785.9,786.05,790.0,837.4,772.0,609852,481781261.5,27430,CELLO
28,2023-11-17,EQ,788.55,795.9,781.5,790.85,784.1,785.2,787.01,837.4,772.0,563132,443192366.0,22929,CELLO
29,2023-11-16,EQ,789.9,798.0,782.95,787.45,788.0,790.85,792.83,837.4,772.0,746640,591956416.45,36918,CELLO
30,2023-11-15,EQ,790.0,798.9,780.25,785.85,786.1,787.45,790.28,837.4,772.0,774158,611797844.55,31689,CELLO
31,2023-11-13,EQ,794.95,795.95,782.2,794.1,784.85,785.85,787.18,837.4,772.0,373643,294124691.25,12024,CELLO
32,2023-11-12,EQ,791.0,796.0,790.6,789.6,793.2,794.1,793.59,837.4,772.0,151031,119856625.75,6750,CELLO
33,2023-11-10,EQ,785.0,798.7,781.1,785.2,786.0,789.6,789.01,837.4,772.0,1114462,879318412.65,24336,CELLO
34,2023-11-09,EQ,803.0,804.6,778.0,800.65,785.25,785.2,790.67,837.4,772.0,631244,499103163.95,26066,CELLO
35,2023-11-08,EQ,803.85,812.7,792.1,799.15,800.0,800.65,804.39,837.4,772.0,933907,751228849.9,41246,CELLO
36,2023-11-07,EQ,791.3,815.6,772.0,791.7,798.0,799.15,793.59,837.4,772.0,4204640,3336767372.95,161086,CELLO
37,2023-11-06,EQ,829.0,837.4,782.0,648.0,792.15,791.7,806.13,837.4,782.0,17947726,14468163370.25,429438,CELLO
