,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,7920.0,8018.95,7830.0,7929.95,7848.0,7847.3,7901.36,9740.0,4963.4,22218,175552469.35,5637,CERA
1,2023-12-28,EQ,8024.95,8025.0,7881.0,8005.75,7915.05,7929.95,7931.04,9740.0,4963.4,25035,198553464.85,7334,CERA
2,2023-12-27,EQ,8175.0,8175.0,7970.0,8096.15,7975.9,8005.75,8030.08,9740.0,4963.4,16948,136093797.15,4728,CERA
3,2023-12-26,EQ,8185.0,8185.0,8075.6,8106.7,8081.0,8096.15,8103.16,9740.0,4963.4,7227,58561511.8,3226,CERA
4,2023-12-22,EQ,8135.9,8226.0,8080.0,8097.75,8097.0,8106.7,8150.14,9740.0,4963.4,11031,89904147.9,3307,CERA
5,2023-12-21,EQ,8062.45,8135.0,7984.5,8062.45,8090.0,8097.75,8062.23,9740.0,4963.4,24707,199193416.35,5510,CERA
6,2023-12-20,EQ,8186.65,8215.05,8046.7,8145.95,8050.0,8062.45,8128.04,9740.0,4963.4,11910,96804910.15,4312,CERA
7,2023-12-19,EQ,8193.65,8210.0,8135.0,8193.65,8150.0,8145.95,8165.91,9740.0,4963.4,11687,95435001.75,3793,CERA
8,2023-12-18,EQ,8260.0,8312.4,8182.15,8277.9,8191.0,8193.65,8209.39,9740.0,4963.4,16641,136612490.25,4954,CERA
9,2023-12-15,EQ,8358.2,8445.15,8250.0,8248.1,8270.0,8277.9,8304.6,9740.0,4963.4,27668,229771634.95,7063,CERA
10,2023-12-14,EQ,8251.0,8369.85,8232.25,8239.55,8250.0,8248.1,8277.83,9740.0,4963.4,7581,62754249.9,3035,CERA
11,2023-12-13,EQ,8338.8,8371.4,8225.0,8338.8,8255.0,8239.55,8252.01,9740.0,4963.4,10100,83345260.3,3956,CERA
12,2023-12-12,EQ,8510.6,8510.6,8291.05,8468.25,8328.0,8338.8,8377.9,9740.0,4963.4,9993,83720318.7,3512,CERA
13,2023-12-11,EQ,8499.95,8532.0,8425.1,8462.25,8441.1,8468.25,8466.58,9740.0,4963.4,5787,48996125.05,2001,CERA
14,2023-12-08,EQ,8549.95,8549.95,8440.0,8504.8,8461.55,8462.25,8474.52,9740.0,4963.4,5264,44609871.5,1748,CERA
15,2023-12-07,EQ,8472.05,8579.0,8462.0,8475.75,8525.0,8504.8,8526.16,9740.0,4963.4,9561,81518628.7,3596,CERA
16,2023-12-06,EQ,8551.35,8551.35,8443.0,8508.9,8489.8,8475.75,8483.26,9740.0,4963.4,9054,76807413.9,3797,CERA
17,2023-12-05,EQ,8699.85,8699.85,8495.0,8603.65,8500.0,8508.9,8546.41,9740.0,4963.4,11073,94634391.9,4509,CERA
18,2023-12-04,EQ,8680.0,8743.45,8548.55,8655.75,8604.0,8603.65,8600.49,9740.0,4963.4,9372,80603799.65,4301,CERA
19,2023-12-01,EQ,8597.0,8700.0,8532.15,8587.05,8662.0,8655.75,8624.43,9740.0,4963.4,13063,112660877.15,3909,CERA
20,2023-11-30,EQ,8350.0,8656.0,8350.0,8410.6,8568.0,8587.05,8541.22,9740.0,4963.4,14575,124488234.9,5249,CERA
21,2023-11-29,EQ,8382.0,8460.0,8320.0,8327.4,8410.0,8410.6,8400.95,9740.0,4963.4,10996,92376890.2,3900,CERA
22,2023-11-28,EQ,8461.0,8520.8,8300.0,8449.0,8345.0,8327.4,8338.17,9740.0,4963.4,22039,183764828.35,7953,CERA
23,2023-11-24,EQ,8460.0,8625.0,8361.0,8469.05,8495.0,8449.0,8442.28,9740.0,4963.4,20964,176984025.55,8519,CERA
24,2023-11-23,EQ,8540.0,8572.5,8450.25,8499.55,8460.0,8469.05,8505.8,9740.0,4963.4,4075,34661151.95,1746,CERA
25,2023-11-22,EQ,8598.95,8598.95,8440.0,8532.1,8460.9,8499.55,8496.2,9740.0,4963.4,6351,53959360.3,2837,CERA
26,2023-11-21,EQ,8580.0,8695.0,8420.0,8595.45,8452.0,8532.1,8578.16,9740.0,4963.4,7013,60158641.25,2819,CERA
27,2023-11-20,EQ,8660.0,8741.5,8555.25,8648.85,8599.0,8595.45,8612.97,9740.0,4963.4,6516,56122130.4,3040,CERA
28,2023-11-17,EQ,8847.7,8894.85,8523.35,8839.65,8658.0,8648.85,8701.5,9740.0,4963.4,15586,135621611.35,6028,CERA
29,2023-11-16,EQ,8815.25,8875.0,8799.95,8771.35,8867.0,8839.65,8844.93,9740.0,4963.4,7609,67301099.75,3194,CERA
30,2023-11-15,EQ,8988.4,8988.4,8749.05,8880.0,8775.0,8771.35,8822.79,9740.0,4963.4,17514,154522264.95,6781,CERA
31,2023-11-13,EQ,8750.5,8900.0,8738.05,8724.1,8897.0,8880.0,8832.87,9740.0,4963.4,11649,102894127.5,3756,CERA
32,2023-11-12,EQ,8725.0,8750.95,8621.3,8607.1,8729.95,8724.1,8725.76,9740.0,4963.4,1820,15880880.3,703,CERA
33,2023-11-10,EQ,8589.8,8750.0,8555.3,8598.6,8620.0,8607.1,8655.18,9740.0,4963.4,17271,149483589.0,7362,CERA
34,2023-11-09,EQ,8513.5,8619.85,8491.0,8505.75,8600.0,8598.6,8581.22,9740.0,4963.4,7822,67122324.3,2631,CERA
35,2023-11-08,EQ,8564.7,8575.0,8400.0,8533.95,8532.0,8505.75,8497.57,9740.0,4963.4,13629,115813387.65,3348,CERA
36,2023-11-07,EQ,8515.4,8570.0,8480.0,8515.4,8538.55,8533.95,8525.11,9740.0,4963.4,10833,92352549.15,4876,CERA
37,2023-11-06,EQ,8336.25,8525.0,8336.25,8336.25,8510.15,8515.4,8480.34,9740.0,4963.4,14224,120624334.1,7038,CERA
38,2023-11-03,EQ,8169.95,8475.0,8114.8,8132.0,8342.0,8336.25,8307.36,9740.0,4963.4,32619,270977895.2,9036,CERA
39,2023-11-02,EQ,8219.85,8254.95,8026.0,8158.4,8168.85,8132.0,8102.47,9740.0,4963.4,27251,220800301.35,8425,CERA
40,2023-11-01,EQ,8527.9,8580.0,8005.35,8483.3,8180.0,8158.4,8192.84,9740.0,4963.4,81049,664021364.3,26221,CERA
41,2023-10-31,EQ,8541.0,8606.05,8437.35,8524.0,8500.0,8483.3,8503.95,9740.0,4963.4,7042,59884848.55,3052,CERA
42,2023-10-30,EQ,8520.0,8619.95,8452.0,8546.8,8540.0,8524.0,8523.82,9740.0,4963.4,5881,50128613.9,2733,CERA
43,2023-10-27,EQ,8554.7,8644.45,8473.15,8509.95,8520.0,8546.8,8552.78,9740.0,4963.4,10461,89470613.7,4500,CERA
44,2023-10-26,EQ,8160.05,8584.0,7976.0,8238.45,8580.0,8509.95,8193.05,9740.0,4963.4,29831,244406850.0,11908,CERA
45,2023-10-25,EQ,8778.45,8778.5,8040.0,8778.45,8130.0,8238.45,8429.46,9740.0,4963.4,34373,289745927.35,9902,CERA
46,2023-10-23,EQ,8930.0,8930.0,8580.0,8888.7,8750.25,8778.45,8739.61,9740.0,4963.4,28482,248921522.5,8506,CERA
47,2023-10-20,EQ,9091.45,9114.1,8851.0,9091.45,8899.0,8888.7,8947.36,9740.0,4963.4,11047,98841470.25,3520,CERA
48,2023-10-19,EQ,9129.25,9252.0,9020.0,9129.25,9084.0,9091.45,9154.8,9740.0,4963.4,17510,160300626.25,4754,CERA
49,2023-10-18,EQ,9031.7,9194.95,8883.25,9031.7,9175.65,9129.25,9005.39,9740.0,4963.4,21659,195047833.2,6919,CERA
50,2023-10-17,EQ,9000.55,9200.0,8951.6,9000.55,9079.0,9031.7,9086.09,9740.0,4963.4,21131,191998271.3,6476,CERA
51,2023-10-16,EQ,8800.0,9043.65,8711.55,8836.65,9000.0,9000.55,8944.92,9740.0,4963.4,23011,205831451.85,6783,CERA
52,2023-10-13,EQ,8626.0,8898.7,8560.0,8626.7,8830.0,8836.65,8791.18,9740.0,4963.4,30116,264755090.85,7576,CERA
53,2023-10-12,EQ,8340.25,8686.0,8300.0,8298.75,8669.95,8626.7,8566.03,9740.0,4963.4,47008,402671762.95,13711,CERA
54,2023-10-11,EQ,8264.0,8382.05,8227.05,8221.15,8299.85,8298.75,8306.89,9740.0,4963.4,27651,229693916.1,8785,CERA
55,2023-10-10,EQ,8200.0,8277.85,8130.05,8180.05,8230.0,8221.15,8227.18,9740.0,4963.4,7111,58503471.75,3232,CERA
56,2023-10-09,EQ,8170.0,8267.45,8122.55,8176.3,8158.05,8180.05,8202.8,9740.0,4963.4,9926,81420982.95,4228,CERA
57,2023-10-06,EQ,8350.0,8395.0,8128.5,8292.9,8170.0,8176.3,8203.81,9740.0,4963.4,16120,132245482.6,5304,CERA
58,2023-10-05,EQ,8341.6,8392.45,8255.55,8297.9,8283.05,8292.9,8321.72,9740.0,4963.4,8034,66856693.95,3481,CERA
59,2023-10-04,EQ,8502.1,8552.05,8275.0,8532.1,8300.0,8297.9,8345.46,9740.0,4963.4,17266,144092741.85,6911,CERA
60,2023-10-03,EQ,8500.0,8560.0,8362.45,8521.1,8545.0,8532.1,8486.45,9740.0,4963.4,12581,106768040.6,4311,CERA
61,2023-09-29,EQ,8538.5,8669.85,8455.65,8496.0,8520.0,8521.1,8566.74,9740.0,4963.4,13410,114880044.05,5274,CERA
62,2023-09-28,EQ,8448.0,8630.0,8448.0,8442.4,8472.1,8496.0,8534.13,9740.0,4963.4,12308,105038110.9,4466,CERA
63,2023-09-27,EQ,8580.0,8600.0,8410.0,8566.35,8435.0,8442.4,8473.43,9740.0,4963.4,12428,105307777.6,4302,CERA
64,2023-09-26,EQ,8766.3,8820.95,8550.0,8722.7,8575.05,8566.35,8630.59,9740.0,4963.4,11190,96576330.05,3839,CERA
65,2023-09-25,EQ,8652.0,8828.9,8585.3,8609.75,8744.0,8722.7,8738.17,9740.0,4963.4,14502,126720950.0,4416,CERA
66,2023-09-22,EQ,8789.8,8850.0,8581.0,8722.4,8607.95,8609.75,8669.82,9740.0,4963.4,15841,137338682.65,5157,CERA
67,2023-09-21,EQ,8710.0,9030.9,8650.0,8671.7,8720.0,8722.4,8851.44,9740.0,4963.4,43082,381337701.5,10752,CERA
68,2023-09-20,EQ,8520.0,8703.9,8482.05,8521.2,8676.85,8671.7,8614.0,9740.0,4963.4,19275,166034864.25,5537,CERA
69,2023-09-18,EQ,8675.0,8680.0,8490.15,8599.65,8505.0,8521.2,8566.91,9740.0,4963.4,12312,105475788.7,3939,CERA
70,2023-09-15,EQ,8861.35,8920.0,8550.0,8760.45,8585.0,8599.65,8687.3,9740.0,4963.4,25416,220796340.85,6466,CERA
71,2023-09-14,EQ,8866.0,8975.3,8705.55,8804.5,8788.0,8760.45,8780.25,9740.0,4963.4,19515,171346647.55,6894,CERA
72,2023-09-13,EQ,8890.9,9072.9,8670.65,8871.9,8820.0,8804.5,8857.07,9740.0,4963.4,33226,294285034.55,10629,CERA
73,2023-09-12,EQ,9199.95,9207.0,8825.1,9100.4,8849.75,8871.9,8987.73,9740.0,4963.4,18210,163666628.2,6891,CERA
74,2023-09-11,EQ,9245.1,9250.0,9079.95,9082.7,9117.0,9100.4,9158.29,9740.0,4963.4,15864,145287138.05,4245,CERA
75,2023-09-08,EQ,9100.05,9288.6,9020.0,9020.1,9101.0,9082.7,9155.46,9740.0,4944.35,22318,204331467.1,5748,CERA
76,2023-09-07,EQ,9080.0,9199.9,8975.0,9040.2,8999.0,9020.1,9090.58,9740.0,4944.35,16708,151885468.5,6413,CERA
77,2023-09-06,EQ,9285.0,9345.75,8980.0,9299.25,9050.0,9040.2,9103.36,9740.0,4944.35,30239,275276554.15,10407,CERA
78,2023-09-05,EQ,9265.4,9409.95,9250.0,9273.35,9300.0,9299.25,9334.54,9740.0,4944.35,12543,117083158.95,3564,CERA
79,2023-09-04,EQ,9574.0,9695.0,9200.0,9546.3,9229.5,9273.35,9440.23,9740.0,4944.35,22230,209856334.25,5519,CERA
80,2023-09-01,EQ,9520.0,9740.0,9427.0,9507.2,9479.0,9546.3,9560.97,9740.0,4801.2,23178,221604101.35,7884,CERA
81,2023-08-31,EQ,9321.0,9641.95,9250.1,9320.7,9520.0,9507.2,9415.3,9641.95,4801.2,28301,266462508.15,9411,CERA
82,2023-08-30,EQ,9260.0,9433.5,9170.05,9242.9,9361.6,9320.7,9225.23,9494.7,4801.2,53341,492083033.35,8830,CERA
83,2023-08-29,EQ,9336.0,9359.8,9206.0,9335.9,9248.0,9242.9,9268.07,9494.7,4801.2,21632,200486787.85,6515,CERA
84,2023-08-28,EQ,9337.0,9494.7,9219.0,9337.55,9265.0,9335.9,9305.65,9494.7,4801.2,41573,386863990.35,11206,CERA
85,2023-08-25,EQ,8822.0,9444.4,8760.25,8830.15,9300.0,9337.55,9146.48,9444.4,4771.1,65854,602332607.0,16987,CERA
86,2023-08-24,EQ,8960.0,8960.0,8775.0,8857.55,8845.0,8830.15,8830.91,8960.0,4771.1,8373,73941227.3,3401,CERA
87,2023-08-23,EQ,8590.0,8896.2,8590.0,8576.15,8890.0,8857.55,8805.87,8896.2,4771.1,26761,235653848.05,8026,CERA
88,2023-08-22,EQ,8640.0,8640.0,8520.05,8565.85,8595.6,8576.15,8581.46,8742.45,4771.1,13505,115892640.4,2542,CERA
89,2023-08-21,EQ,8498.25,8742.45,8445.75,8444.7,8570.0,8565.85,8634.52,8742.45,4771.1,26308,227156992.05,8756,CERA
90,2023-08-18,EQ,8310.0,8498.55,8240.1,8285.2,8498.55,8444.7,8372.95,8621.0,4741.0,11654,97578341.0,5273,CERA
91,2023-08-17,EQ,8310.0,8425.0,8250.0,8272.75,8251.0,8285.2,8322.75,8621.0,4741.0,7353,61197171.4,3089,CERA
92,2023-08-16,EQ,8430.0,8434.0,8250.0,8454.35,8263.05,8272.75,8323.53,8621.0,4741.0,9871,82161558.4,3635,CERA
93,2023-08-14,EQ,8469.0,8527.4,8313.0,8424.4,8434.0,8454.35,8460.12,8621.0,4741.0,10181,86132493.7,3602,CERA
94,2023-08-11,EQ,8499.95,8529.95,8314.1,8396.4,8440.0,8424.4,8419.54,8621.0,4661.55,35213,296477334.0,13128,CERA
95,2023-08-10,EQ,8319.0,8530.0,8319.0,8280.75,8400.0,8396.4,8440.77,8621.0,4661.55,24147,203819226.8,7693,CERA
96,2023-08-09,EQ,8400.95,8621.0,8223.95,8376.3,8270.0,8280.75,8350.43,8621.0,4661.55,33324,278269631.2,11087,CERA
97,2023-08-08,EQ,7929.7,8469.6,7920.0,7929.7,8384.0,8376.3,8322.92,8469.6,4661.55,73828,614464469.25,20205,CERA
98,2023-08-07,EQ,7999.0,8029.85,7831.05,7917.1,7975.0,7929.7,7934.14,8196.0,4661.55,12175,96598143.8,4547,CERA
99,2023-08-04,EQ,7839.95,8032.4,7813.1,7762.2,7910.0,7917.1,7946.35,8196.0,4622.1,34504,274180758.2,10944,CERA
100,2023-08-03,EQ,7739.0,7840.0,7515.55,7744.0,7775.0,7762.2,7710.39,8196.0,4622.1,35999,277566287.75,10584,CERA
101,2023-08-02,EQ,7652.0,7773.65,7652.0,7682.4,7700.0,7744.0,7733.83,8196.0,4622.1,11748,90857074.55,3983,CERA
102,2023-08-01,EQ,7623.95,7762.25,7575.05,7571.65,7650.5,7682.4,7698.15,8196.0,4622.1,11060,85141491.25,3476,CERA
103,2023-07-31,EQ,7712.9,7746.0,7521.05,7672.55,7593.0,7571.65,7591.56,8196.0,4622.1,14043,106608298.8,5923,CERA
104,2023-07-28,EQ,7726.0,7746.0,7621.5,7746.35,7666.0,7672.55,7674.29,8196.0,4375.85,7517,57687637.9,3958,CERA
105,2023-07-27,EQ,7792.5,7829.6,7635.5,7792.5,7747.0,7746.35,7746.47,8196.0,4375.85,37240,288478547.05,8013,CERA
106,2023-07-26,EQ,7878.0,7948.9,7750.0,7847.75,7800.0,7792.5,7812.66,8196.0,4375.85,18383,143620109.5,4900,CERA
107,2023-07-25,EQ,7682.0,7898.8,7682.0,7661.05,7855.0,7847.75,7818.74,8196.0,4375.85,56039,438154172.7,13868,CERA
