,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,1264.0,1267.6,1242.05,1260.8,1250.0,1246.3,1250.48,1283.55,852.0,1794218,2243641263.1,66140,CIPLA
1,2023-12-28,EQ,1239.75,1263.8,1239.75,1239.75,1262.0,1260.8,1251.95,1283.55,852.0,2592699,3245931730.05,74952,CIPLA
2,2023-12-27,EQ,1247.0,1250.35,1236.7,1244.95,1239.55,1239.75,1241.58,1283.55,852.0,2528609,3139476963.7,69321,CIPLA
3,2023-12-26,EQ,1240.0,1250.0,1231.85,1235.6,1246.95,1244.95,1244.09,1283.55,852.0,820163,1020359654.55,43628,CIPLA
4,2023-12-22,EQ,1230.05,1242.5,1221.65,1221.85,1240.0,1235.6,1233.46,1283.55,852.0,1969524,2429335481.0,93105,CIPLA
5,2023-12-21,EQ,1236.2,1236.2,1205.85,1236.2,1229.0,1221.85,1221.02,1283.55,852.0,1580136,1929373640.7,108954,CIPLA
6,2023-12-20,EQ,1239.0,1248.0,1231.0,1237.1,1238.0,1236.2,1238.33,1283.55,852.0,2484819,3077027075.4,80777,CIPLA
7,2023-12-19,EQ,1219.45,1240.15,1212.2,1216.8,1240.0,1237.1,1225.84,1283.55,852.0,1738507,2131132599.7,80065,CIPLA
8,2023-12-18,EQ,1205.6,1218.95,1192.1,1207.1,1215.0,1216.8,1213.17,1283.55,852.0,1995091,2420390106.15,76889,CIPLA
9,2023-12-15,EQ,1215.0,1217.6,1202.85,1204.65,1205.15,1207.1,1209.93,1283.55,852.0,1976112,2390958535.4,64673,CIPLA
10,2023-12-14,EQ,1219.05,1222.55,1201.1,1216.5,1205.0,1204.65,1208.47,1283.55,852.0,1809248,2186425633.0,67310,CIPLA
11,2023-12-13,EQ,1198.65,1217.95,1195.2,1198.65,1213.0,1216.5,1209.51,1283.55,852.0,1809563,2188676331.8,52220,CIPLA
12,2023-12-12,EQ,1210.6,1214.25,1195.2,1202.3,1198.0,1198.65,1202.61,1283.55,852.0,899911,1082238214.8,50796,CIPLA
13,2023-12-11,EQ,1217.6,1218.95,1195.05,1219.1,1204.0,1202.3,1201.92,1283.55,852.0,1565455,1881555307.65,53005,CIPLA
14,2023-12-08,EQ,1225.0,1231.2,1204.0,1222.8,1219.0,1219.1,1215.87,1283.55,852.0,1453955,1767822679.5,121005,CIPLA
15,2023-12-07,EQ,1206.0,1225.0,1197.0,1205.2,1223.95,1222.8,1218.33,1283.55,852.0,1269290,1546418296.75,66851,CIPLA
16,2023-12-06,EQ,1225.0,1229.85,1201.0,1224.45,1207.0,1205.2,1208.62,1283.55,852.0,1416770,1712332146.95,72777,CIPLA
17,2023-12-05,EQ,1222.6,1229.0,1216.0,1216.5,1221.5,1224.45,1222.28,1283.55,852.0,2132150,2606088795.15,105344,CIPLA
18,2023-12-04,EQ,1212.3,1219.1,1206.25,1205.7,1218.5,1216.5,1212.87,1283.55,852.0,2097408,2543881031.8,88951,CIPLA
19,2023-12-01,EQ,1213.45,1217.85,1203.5,1212.3,1204.9,1205.7,1208.2,1283.55,852.0,1078680,1303260970.75,50050,CIPLA
20,2023-11-30,EQ,1200.0,1217.65,1198.1,1201.55,1213.5,1212.3,1206.62,1283.55,852.0,3219799,3885077639.35,112471,CIPLA
21,2023-11-29,EQ,1198.75,1206.8,1191.75,1192.3,1201.1,1201.55,1200.2,1283.55,852.0,2173427,2608543883.15,76153,CIPLA
22,2023-11-28,EQ,1200.0,1202.75,1188.0,1198.65,1191.5,1192.3,1195.31,1283.55,852.0,1691543,2021926441.15,101863,CIPLA
23,2023-11-24,EQ,1190.05,1205.0,1178.0,1170.65,1196.25,1198.65,1195.63,1283.55,852.0,5331201,6374138842.65,150404,CIPLA
24,2023-11-23,EQ,1270.0,1270.0,1164.55,1271.5,1174.4,1170.65,1193.45,1283.55,852.0,7643376,9122020404.3,227099,CIPLA
25,2023-11-22,EQ,1256.95,1283.55,1254.0,1253.25,1272.9,1271.5,1273.26,1283.55,852.0,1735497,2209746968.15,74055,CIPLA
26,2023-11-21,EQ,1246.95,1255.0,1242.15,1247.1,1254.0,1253.25,1250.42,1277.9,852.0,594738,743673883.5,33686,CIPLA
27,2023-11-20,EQ,1241.5,1256.0,1241.0,1249.4,1248.75,1247.1,1247.1,1277.9,852.0,848916,1058681113.95,45123,CIPLA
28,2023-11-17,EQ,1236.0,1256.1,1235.5,1234.8,1248.2,1249.4,1248.28,1277.9,852.0,992848,1239349824.85,52816,CIPLA
29,2023-11-16,EQ,1241.05,1246.3,1232.65,1241.75,1235.65,1234.8,1238.54,1277.9,852.0,1251094,1549534943.5,103525,CIPLA
30,2023-11-15,EQ,1260.0,1260.0,1237.7,1240.55,1240.0,1241.75,1242.64,1277.9,852.0,1323010,1644027866.75,81230,CIPLA
31,2023-11-13,EQ,1243.0,1243.0,1230.65,1243.95,1241.25,1240.55,1236.67,1277.9,852.0,689808,853061713.1,25619,CIPLA
32,2023-11-12,EQ,1246.0,1248.9,1238.0,1240.1,1241.65,1243.95,1245.79,1277.9,852.0,119172,148463856.25,6923,CIPLA
33,2023-11-10,EQ,1237.85,1242.0,1230.0,1238.15,1239.1,1240.1,1236.48,1277.9,852.0,576673,713042730.5,25842,CIPLA
34,2023-11-09,EQ,1242.0,1245.0,1232.0,1241.0,1239.25,1238.15,1239.63,1277.9,852.0,751433,931499748.7,45050,CIPLA
35,2023-11-08,EQ,1222.0,1242.4,1220.0,1216.45,1240.0,1241.0,1234.73,1277.9,852.0,1107006,1366851790.8,46836,CIPLA
36,2023-11-07,EQ,1205.0,1217.5,1200.75,1204.1,1216.85,1216.45,1213.43,1277.9,852.0,1210644,1469027874.6,37291,CIPLA
37,2023-11-06,EQ,1211.95,1217.0,1197.25,1206.35,1203.2,1204.1,1203.64,1277.9,852.0,1262938,1520125233.3,63013,CIPLA
38,2023-11-03,EQ,1215.0,1219.75,1204.0,1208.5,1205.0,1206.35,1211.91,1277.9,852.0,772013,935609041.85,37294,CIPLA
39,2023-11-02,EQ,1205.5,1211.85,1194.65,1201.25,1209.75,1208.5,1205.98,1277.9,852.0,1556467,1877060626.05,83742,CIPLA
40,2023-11-01,EQ,1200.0,1208.7,1186.55,1200.0,1200.35,1201.25,1198.43,1277.9,852.0,1051902,1260627035.1,53762,CIPLA
41,2023-10-31,EQ,1199.95,1206.1,1191.1,1193.45,1203.1,1200.0,1198.3,1277.9,852.0,1720955,2062226334.55,70614,CIPLA
42,2023-10-30,EQ,1186.0,1212.4,1177.5,1174.25,1194.5,1193.45,1199.59,1277.9,852.0,2853500,3423038183.9,113814,CIPLA
43,2023-10-27,EQ,1152.0,1197.9,1149.25,1150.85,1176.0,1174.25,1176.32,1277.9,852.0,1775011,2087973738.8,71513,CIPLA
44,2023-10-26,EQ,1154.8,1155.0,1132.0,1157.45,1152.0,1150.85,1143.17,1277.9,852.0,2016469,2305175639.55,166796,CIPLA
45,2023-10-25,EQ,1184.5,1188.75,1154.05,1183.8,1161.25,1157.45,1164.41,1277.9,852.0,1433911,1669655086.75,67298,CIPLA
46,2023-10-23,EQ,1200.0,1210.2,1178.45,1200.2,1185.7,1183.8,1191.36,1277.9,852.0,957929,1141233890.65,60481,CIPLA
47,2023-10-20,EQ,1221.85,1221.85,1198.25,1223.3,1200.4,1200.2,1205.13,1277.9,852.0,692067,834032761.35,47962,CIPLA
48,2023-10-19,EQ,1210.5,1225.0,1189.65,1210.6,1222.0,1223.3,1211.2,1277.9,852.0,2157683,2613385308.1,87930,CIPLA
49,2023-10-18,EQ,1185.0,1219.45,1176.15,1173.5,1214.55,1210.6,1206.49,1277.9,852.0,7367540,8888867093.25,160333,CIPLA
50,2023-10-17,EQ,1168.0,1178.05,1160.65,1164.4,1172.0,1173.5,1173.05,1277.9,852.0,877856,1029773163.8,40669,CIPLA
51,2023-10-16,EQ,1166.3,1170.1,1158.8,1167.75,1165.5,1164.4,1166.03,1277.9,852.0,802207,935397505.65,44994,CIPLA
52,2023-10-13,EQ,1156.0,1169.2,1150.0,1157.9,1167.8,1167.75,1164.97,1277.9,852.0,940547,1095707800.45,55605,CIPLA
53,2023-10-12,EQ,1179.05,1186.35,1152.45,1171.95,1159.0,1157.9,1161.13,1277.9,852.0,2533930,2942214395.2,94256,CIPLA
54,2023-10-11,EQ,1151.0,1175.0,1146.5,1155.05,1171.05,1171.95,1168.81,1277.9,852.0,1465239,1712592882.55,66942,CIPLA
55,2023-10-10,EQ,1160.1,1163.6,1150.5,1159.5,1153.65,1155.05,1154.56,1277.9,852.0,822199,949276480.25,50367,CIPLA
56,2023-10-09,EQ,1159.0,1166.85,1151.65,1163.0,1159.65,1159.5,1160.13,1277.9,852.0,822110,953752979.45,36596,CIPLA
57,2023-10-06,EQ,1165.0,1181.7,1160.45,1161.1,1160.45,1163.0,1167.68,1277.9,852.0,928951,1084715867.85,51150,CIPLA
58,2023-10-05,EQ,1170.1,1172.95,1155.25,1167.05,1162.4,1161.1,1162.73,1277.9,852.0,1446743,1682177658.2,105658,CIPLA
59,2023-10-04,EQ,1178.1,1185.0,1161.3,1182.8,1165.8,1167.05,1170.41,1277.9,852.0,999123,1169386014.9,69615,CIPLA
60,2023-10-03,EQ,1184.0,1185.7,1170.95,1186.15,1183.0,1182.8,1182.45,1277.9,852.0,1581125,1869606296.25,61774,CIPLA
61,2023-09-29,EQ,1169.9,1199.2,1165.0,1164.05,1189.0,1186.15,1187.97,1277.9,852.0,1878381,2231452144.0,97400,CIPLA
62,2023-09-28,EQ,1180.5,1185.0,1158.9,1180.5,1164.3,1164.05,1168.09,1277.9,852.0,1303811,1522974534.0,91373,CIPLA
63,2023-09-27,EQ,1187.0,1189.0,1170.1,1163.65,1180.0,1180.5,1180.71,1277.9,852.0,2165043,2556285921.55,80463,CIPLA
64,2023-09-26,EQ,1181.0,1185.0,1161.5,1179.35,1163.15,1163.65,1171.98,1277.9,852.0,1056359,1238033309.1,47251,CIPLA
65,2023-09-25,EQ,1186.0,1197.15,1177.0,1185.9,1177.8,1179.35,1183.38,1277.9,852.0,1267600,1500055822.6,35092,CIPLA
66,2023-09-22,EQ,1207.4,1209.1,1168.55,1206.4,1186.4,1185.9,1183.04,1277.9,852.0,2796199,3308010853.15,75486,CIPLA
67,2023-09-21,EQ,1232.0,1240.25,1204.0,1239.7,1209.1,1206.4,1215.82,1277.9,852.0,1895731,2304875159.55,89908,CIPLA
68,2023-09-20,EQ,1243.25,1252.6,1236.0,1240.55,1240.2,1239.7,1242.67,1277.9,852.0,1701959,2114968701.9,64777,CIPLA
69,2023-09-18,EQ,1240.95,1257.6,1237.05,1235.5,1244.0,1240.55,1246.08,1277.9,852.0,1864030,2322728841.05,56089,CIPLA
