,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,236.9,256.0,234.0,233.15,247.0,247.15,249.02,256.0,114.2,806138,200742726.7,30966,CLSEL
1,2023-12-28,EQ,235.4,236.9,232.6,235.4,232.85,233.15,233.99,255.9,114.2,43177,10103044.0,3062,CLSEL
2,2023-12-27,EQ,234.25,241.25,234.25,234.0,235.0,235.4,237.23,255.9,114.2,72733,17254183.05,4123,CLSEL
3,2023-12-26,EQ,230.6,234.8,230.0,230.45,234.8,234.0,232.93,255.9,114.2,68092,15860877.15,4883,CLSEL
4,2023-12-22,EQ,235.95,236.35,229.05,232.55,230.8,230.45,232.03,255.9,114.0,71398,16566729.7,4218,CLSEL
5,2023-12-21,EQ,228.05,235.8,228.0,230.45,235.0,232.55,232.07,255.9,114.0,77067,17884836.9,4941,CLSEL
6,2023-12-20,EQ,245.0,246.8,227.0,243.15,231.0,230.45,234.89,255.9,114.0,185829,43648748.45,13292,CLSEL
7,2023-12-19,EQ,239.35,244.95,233.65,239.4,242.5,243.15,239.09,255.9,114.0,219341,52442943.25,9992,CLSEL
8,2023-12-18,EQ,239.5,253.75,236.6,239.45,238.6,239.4,245.57,255.9,114.0,401068,98491737.5,16809,CLSEL
9,2023-12-15,EQ,238.85,241.45,235.0,238.85,239.0,239.45,238.09,255.9,114.0,117108,27882578.9,7286,CLSEL
10,2023-12-14,EQ,242.95,245.45,236.2,240.1,238.6,238.85,241.41,255.9,114.0,128982,31137165.05,7056,CLSEL
11,2023-12-13,EQ,238.5,245.2,235.1,239.3,237.65,240.1,237.58,255.9,114.0,75903,18033300.4,5019,CLSEL
12,2023-12-12,EQ,245.0,245.0,237.0,241.6,238.0,239.3,241.12,255.9,114.0,77263,18629607.8,4938,CLSEL
13,2023-12-11,EQ,239.7,243.2,236.6,238.15,241.0,241.6,240.05,255.9,114.0,120352,28890630.9,6029,CLSEL
14,2023-12-08,EQ,243.5,248.95,234.3,240.0,239.9,238.15,240.34,255.9,114.0,276435,66438679.55,12546,CLSEL
15,2023-12-07,EQ,231.85,242.5,228.95,230.7,242.5,240.0,238.06,255.9,114.0,535862,127564797.45,18305,CLSEL
16,2023-12-06,EQ,233.0,233.0,229.15,232.2,231.0,230.7,230.5,255.9,114.0,105597,24339875.35,4917,CLSEL
