,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,374.45,385.5,372.4,371.8,385.0,382.6,379.51,421.4,260.8,511944,194287709.35,13072,CMSINFO
1,2023-12-28,EQ,378.45,378.6,370.0,377.6,373.3,371.8,373.57,421.4,260.8,544260,203317575.75,17744,CMSINFO
2,2023-12-27,EQ,382.4,383.55,376.4,380.15,377.55,377.6,379.52,421.4,260.8,473584,179732924.0,16504,CMSINFO
3,2023-12-26,EQ,386.0,387.9,377.0,386.0,381.1,380.15,380.94,421.4,260.8,700387,266802352.15,29216,CMSINFO
4,2023-12-22,EQ,381.6,390.4,381.5,381.5,385.7,386.0,386.34,421.4,260.8,535817,207004963.6,26102,CMSINFO
5,2023-12-21,EQ,381.65,385.0,375.35,381.5,382.15,381.5,381.0,421.4,260.8,443256,168881471.05,27384,CMSINFO
6,2023-12-20,EQ,390.0,396.0,379.0,390.0,381.5,381.5,389.82,421.4,260.8,1195401,465996768.7,34326,CMSINFO
7,2023-12-19,EQ,383.45,391.95,383.2,382.0,388.8,390.0,388.7,421.4,260.8,495520,192610627.45,17450,CMSINFO
8,2023-12-18,EQ,393.3,393.95,380.2,392.15,382.4,382.0,386.17,421.4,260.8,830713,320796579.7,31441,CMSINFO
9,2023-12-15,EQ,386.35,396.9,384.95,384.65,394.0,392.15,392.3,421.4,260.8,946936,371479698.45,23331,CMSINFO
10,2023-12-14,EQ,387.95,389.5,383.0,384.6,384.0,384.65,385.79,421.4,260.8,520049,200629858.55,16136,CMSINFO
11,2023-12-13,EQ,384.9,388.7,383.35,383.55,383.8,384.6,385.51,421.4,260.8,465206,179342458.65,15677,CMSINFO
12,2023-12-12,EQ,387.95,389.95,381.2,387.8,384.0,383.55,385.95,421.4,260.8,645988,249320695.15,26273,CMSINFO
13,2023-12-11,EQ,390.9,390.9,384.9,389.35,387.9,387.8,387.51,421.4,260.8,490174,189945386.55,19050,CMSINFO
14,2023-12-08,EQ,393.8,397.75,387.55,391.95,389.4,389.35,393.42,421.4,260.8,555184,218420881.8,19250,CMSINFO
15,2023-12-07,EQ,393.3,394.3,388.55,391.15,392.45,391.95,392.06,421.4,260.8,465766,182607489.05,15020,CMSINFO
16,2023-12-06,EQ,391.9,393.0,383.65,388.85,392.5,391.15,387.02,421.4,260.8,570733,220883527.75,20756,CMSINFO
17,2023-12-05,EQ,402.4,402.65,387.5,399.45,388.8,388.85,391.74,421.4,260.8,797831,312544821.55,31233,CMSINFO
18,2023-12-04,EQ,405.0,406.0,397.0,399.65,399.85,399.45,399.72,421.4,260.8,642998,257020292.75,22144,CMSINFO
19,2023-12-01,EQ,406.6,409.0,398.0,404.95,398.65,399.65,401.96,421.4,260.8,842729,338739928.9,29930,CMSINFO
20,2023-11-30,EQ,404.05,407.95,396.1,403.45,402.4,404.95,403.03,421.4,260.8,1711624,689832397.5,50224,CMSINFO
21,2023-11-29,EQ,397.65,421.4,395.55,394.05,404.8,403.45,408.98,421.4,260.8,3266039,1335738447.65,59644,CMSINFO
22,2023-11-28,EQ,395.15,410.0,392.5,395.05,393.5,394.05,400.76,410.0,260.8,1468193,588386904.35,37630,CMSINFO
23,2023-11-24,EQ,389.95,397.45,387.4,386.8,394.7,395.05,392.63,409.4,260.8,438490,172164726.1,16323,CMSINFO
24,2023-11-23,EQ,388.95,394.0,385.05,387.6,387.2,386.8,388.67,409.4,260.8,317626,123453059.6,12587,CMSINFO
25,2023-11-22,EQ,393.3,393.4,386.35,391.6,387.3,387.6,389.02,409.4,260.8,581136,226075290.4,18630,CMSINFO
26,2023-11-21,EQ,392.0,405.75,390.1,391.75,390.95,391.6,397.99,409.4,260.8,1172263,466547402.15,27474,CMSINFO
27,2023-11-20,EQ,389.95,397.4,388.0,387.1,391.0,391.75,393.62,409.4,260.8,931533,366666579.65,23656,CMSINFO
28,2023-11-17,EQ,385.0,394.95,383.0,383.85,388.1,387.1,389.16,409.4,260.8,839768,326808274.35,22630,CMSINFO
29,2023-11-16,EQ,385.0,391.8,381.65,381.15,385.0,383.85,386.01,409.4,260.8,778628,300558904.15,20951,CMSINFO
30,2023-11-15,EQ,381.95,382.9,378.3,377.9,381.75,381.15,380.42,409.4,260.8,342646,130349124.2,9644,CMSINFO
31,2023-11-13,EQ,381.75,381.75,375.5,380.85,377.75,377.9,377.27,409.4,260.8,199517,75272328.4,7082,CMSINFO
32,2023-11-12,EQ,376.2,382.0,376.2,376.15,381.0,380.85,380.8,409.4,260.8,147772,56271268.95,4275,CMSINFO
33,2023-11-10,EQ,377.5,384.6,375.05,377.05,377.0,376.15,379.99,409.4,260.8,562595,213782917.95,14376,CMSINFO
34,2023-11-09,EQ,378.9,379.3,375.05,378.45,377.0,377.05,377.04,409.4,260.8,250731,94536754.9,9411,CMSINFO
35,2023-11-08,EQ,372.85,381.9,371.6,371.1,377.0,378.45,377.04,409.4,260.8,469796,177134072.35,15901,CMSINFO
36,2023-11-07,EQ,373.9,375.2,369.6,373.0,372.0,371.1,371.96,409.4,260.8,428706,159461061.2,12706,CMSINFO
37,2023-11-06,EQ,377.1,380.0,370.3,373.8,373.4,373.0,375.12,409.4,260.8,712272,267189038.1,18909,CMSINFO
38,2023-11-03,EQ,376.9,379.9,372.6,374.25,373.9,373.8,375.22,409.4,260.8,591970,222120057.05,17972,CMSINFO
39,2023-11-02,EQ,386.0,386.0,372.55,375.55,375.5,374.25,376.52,409.4,260.8,1129299,425200268.65,26798,CMSINFO
40,2023-11-01,EQ,377.95,387.55,374.4,375.0,374.7,375.55,379.89,409.4,260.8,953102,362070029.4,35689,CMSINFO
41,2023-10-31,EQ,387.45,396.75,372.65,367.65,376.5,375.0,384.2,409.4,260.8,3344319,1284892038.8,69429,CMSINFO
42,2023-10-30,EQ,363.7,377.75,362.3,359.95,366.0,367.65,369.71,409.4,260.8,682467,252315033.5,17542,CMSINFO
43,2023-10-27,EQ,359.15,366.0,358.0,358.9,361.0,359.95,361.88,409.4,260.8,458465,165910806.3,12987,CMSINFO
44,2023-10-26,EQ,367.0,367.0,351.25,367.6,358.0,358.9,356.55,409.4,260.8,585038,208596105.35,20599,CMSINFO
45,2023-10-25,EQ,367.5,378.5,364.75,364.8,367.15,367.6,370.0,409.4,260.8,580213,214676217.5,18295,CMSINFO
46,2023-10-23,EQ,382.0,388.0,360.9,378.5,363.0,364.8,374.67,409.4,260.8,836371,313361157.8,26401,CMSINFO
47,2023-10-20,EQ,376.75,383.85,375.8,376.75,380.0,378.5,379.56,409.4,260.8,352718,133877724.4,11740,CMSINFO
48,2023-10-19,EQ,376.55,384.7,374.5,382.0,377.0,376.75,377.08,409.4,260.8,460456,173626756.5,15624,CMSINFO
49,2023-10-18,EQ,376.0,389.5,376.0,374.05,382.0,382.0,384.01,409.4,260.8,1752680,673040171.2,34355,CMSINFO
50,2023-10-17,EQ,375.95,388.0,372.0,372.6,373.5,374.05,380.0,409.4,260.8,2145589,815319357.5,53903,CMSINFO
51,2023-10-16,EQ,372.0,376.0,370.55,372.35,373.0,372.6,373.47,409.4,260.8,551588,205999920.8,20823,CMSINFO
52,2023-10-13,EQ,365.05,373.95,365.05,367.55,370.0,372.35,371.37,409.4,260.8,788099,292678777.3,16455,CMSINFO
53,2023-10-12,EQ,366.0,370.95,361.8,367.3,367.15,367.55,367.73,409.4,260.8,453534,166775983.25,14351,CMSINFO
54,2023-10-11,EQ,368.0,373.7,365.0,366.3,367.0,367.3,369.71,409.4,260.8,640321,236732798.0,16400,CMSINFO
55,2023-10-10,EQ,362.0,368.5,362.0,362.3,365.0,366.3,365.04,409.4,260.8,584064,213207730.2,14833,CMSINFO
56,2023-10-09,EQ,366.5,368.05,360.6,370.5,360.75,362.3,363.63,409.4,260.8,728621,264950635.55,21246,CMSINFO
57,2023-10-06,EQ,353.7,372.8,352.7,351.8,369.0,370.5,365.21,409.4,260.8,1879585,686441065.4,33980,CMSINFO
58,2023-10-05,EQ,349.7,355.6,348.15,346.0,352.0,351.8,352.81,409.4,260.8,589499,207980821.65,16004,CMSINFO
59,2023-10-04,EQ,351.0,351.95,344.1,349.7,346.15,346.0,347.21,409.4,260.8,470583,163389456.45,13677,CMSINFO
60,2023-10-03,EQ,350.95,351.9,346.0,350.1,348.7,349.7,348.66,409.4,260.8,464741,162036979.55,9945,CMSINFO
61,2023-09-29,EQ,348.95,353.9,348.25,347.25,349.9,350.1,351.28,409.4,254.2,343610,120703189.05,11857,CMSINFO
62,2023-09-28,EQ,351.95,355.0,346.2,351.4,347.0,347.25,349.33,409.4,254.2,393940,137615473.0,9394,CMSINFO
63,2023-09-27,EQ,354.5,354.5,348.9,354.0,351.4,351.4,350.96,409.4,254.2,197167,69196922.35,9526,CMSINFO
64,2023-09-26,EQ,354.65,355.85,349.2,350.15,353.1,354.0,352.81,409.4,254.2,419936,148158920.6,12041,CMSINFO
65,2023-09-25,EQ,350.0,356.5,346.5,349.05,355.0,350.15,348.66,409.4,254.2,340534,118730893.45,8802,CMSINFO
66,2023-09-22,EQ,354.0,354.0,344.05,352.8,349.0,349.05,348.24,409.4,254.2,620766,216176487.6,20121,CMSINFO
67,2023-09-21,EQ,349.0,353.7,345.35,351.2,352.0,352.8,350.46,409.4,254.2,610669,214012005.15,17296,CMSINFO
68,2023-09-20,EQ,355.0,356.0,348.9,353.9,351.9,351.2,350.33,409.4,254.2,1128671,395403771.8,16273,CMSINFO
69,2023-09-18,EQ,366.0,366.0,352.2,362.15,353.9,353.9,357.49,409.4,254.2,505057,180551587.85,13826,CMSINFO
70,2023-09-15,EQ,360.9,366.75,357.0,356.75,362.9,362.15,361.22,409.4,254.2,1127850,407406516.5,28888,CMSINFO
71,2023-09-14,EQ,357.75,366.8,354.35,354.2,358.9,356.75,357.48,409.4,254.2,4685302,1674900282.4,42277,CMSINFO
72,2023-09-13,EQ,360.0,361.0,341.3,357.9,354.95,354.2,349.34,409.4,254.2,1307327,456705940.85,33393,CMSINFO
73,2023-09-12,EQ,376.6,376.6,355.05,372.8,358.7,357.9,361.34,409.4,254.2,1273316,460100568.05,20982,CMSINFO
74,2023-09-11,EQ,371.0,374.8,367.15,364.45,372.25,372.8,371.46,409.4,254.2,910252,338121844.15,17483,CMSINFO
75,2023-09-08,EQ,368.9,368.9,359.05,367.25,363.5,364.45,362.34,409.4,254.2,1320593,478507570.25,39706,CMSINFO
76,2023-09-07,EQ,368.6,370.7,362.5,367.3,367.0,367.25,366.69,409.4,254.2,997908,365925526.6,34058,CMSINFO
77,2023-09-06,EQ,360.6,371.0,359.0,359.9,366.8,367.3,366.37,409.4,254.2,1680079,615525696.15,36626,CMSINFO
78,2023-09-05,EQ,359.95,364.3,358.25,358.0,359.6,359.9,361.59,409.4,254.2,843904,305148552.15,23413,CMSINFO
79,2023-09-04,EQ,361.7,361.7,355.5,358.3,358.2,358.0,359.25,409.4,254.2,697464,250562669.3,16787,CMSINFO
80,2023-09-01,EQ,363.7,366.0,357.0,361.25,357.6,358.3,360.18,409.4,253.1,529787,190819843.8,14988,CMSINFO
81,2023-08-31,EQ,357.0,363.5,354.85,355.2,362.0,361.25,360.49,409.4,253.1,1406909,507181945.7,34820,CMSINFO
82,2023-08-30,EQ,358.0,360.6,353.0,358.3,353.85,355.2,357.66,409.4,253.1,1219889,436300846.35,27067,CMSINFO
83,2023-08-29,EQ,358.35,359.0,354.75,356.05,359.0,358.3,356.75,409.4,253.1,778370,277681114.05,16945,CMSINFO
84,2023-08-28,EQ,360.95,361.45,354.0,359.6,356.0,356.05,356.77,409.4,253.1,602411,214920596.4,20547,CMSINFO
85,2023-08-25,EQ,357.0,363.5,355.0,356.35,358.5,359.6,359.41,409.4,253.1,1065607,382992485.25,27781,CMSINFO
86,2023-08-24,EQ,358.25,362.95,355.15,358.8,356.75,356.35,358.58,409.4,253.1,778001,278973719.4,27815,CMSINFO
87,2023-08-23,EQ,361.45,365.45,355.3,361.45,357.95,358.8,359.05,409.4,253.1,689964,247730135.4,21234,CMSINFO
88,2023-08-22,EQ,351.0,364.35,350.5,351.45,362.15,361.45,359.83,409.4,253.1,1208860,434980965.25,34180,CMSINFO
89,2023-08-21,EQ,350.8,358.0,346.8,351.05,350.55,351.45,353.2,409.4,253.1,803546,283815161.95,28610,CMSINFO
90,2023-08-18,EQ,354.3,359.7,346.0,354.3,349.9,351.05,354.97,409.4,253.1,903324,320652864.0,26443,CMSINFO
