,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,1350.9,1376.0,1341.0,1345.05,1355.1,1353.95,1356.76,1408.85,410.4,1748151,2371812980.2,56597,COCHINSHIP
1,2023-12-28,EQ,1365.9,1376.4,1337.05,1359.05,1344.5,1345.05,1357.08,1408.85,410.4,1740870,2362506992.4,58846,COCHINSHIP
2,2023-12-27,EQ,1383.55,1408.85,1347.3,1374.5,1356.5,1359.05,1372.91,1408.85,410.4,4272025,5865119803.15,131739,COCHINSHIP
3,2023-12-26,EQ,1307.75,1390.0,1292.65,1301.4,1374.0,1374.5,1356.22,1390.0,410.4,5990264,8124139173.75,179558,COCHINSHIP
4,2023-12-22,EQ,1310.0,1315.0,1281.5,1300.4,1298.0,1301.4,1299.47,1337.45,410.4,1713384,2226497578.3,59782,COCHINSHIP
5,2023-12-21,EQ,1236.0,1316.75,1225.1,1224.65,1302.0,1300.4,1278.1,1337.45,410.4,5417925,6924628087.1,169338,COCHINSHIP
6,2023-12-20,EQ,1314.7,1324.5,1200.0,1307.9,1228.0,1224.65,1270.08,1337.45,410.4,3059021,3885187962.4,108359,COCHINSHIP
7,2023-12-19,EQ,1277.0,1337.45,1272.0,1270.4,1309.0,1307.9,1315.26,1337.45,410.4,5989210,7877388222.65,155973,COCHINSHIP
8,2023-12-18,EQ,1267.65,1288.0,1265.0,1257.9,1273.0,1270.4,1275.72,1328.4,410.4,1513766,1931139482.75,49062,COCHINSHIP
9,2023-12-15,EQ,1255.9,1273.5,1250.55,1247.05,1257.55,1257.9,1260.5,1328.4,410.4,1150336,1449998288.25,37488,COCHINSHIP
10,2023-12-14,EQ,1282.45,1290.2,1242.0,1274.6,1252.0,1247.05,1267.09,1328.4,410.4,2191290,2776560834.8,59842,COCHINSHIP
11,2023-12-13,EQ,1257.1,1277.65,1233.15,1251.55,1272.0,1274.6,1261.16,1328.4,410.4,1444557,1821819534.15,47008,COCHINSHIP
12,2023-12-12,EQ,1286.0,1290.75,1246.0,1278.85,1255.0,1251.55,1260.67,1328.4,410.4,1372581,1730367816.25,44564,COCHINSHIP
13,2023-12-11,EQ,1272.15,1292.35,1266.05,1265.0,1282.0,1278.85,1279.17,1328.4,410.4,1470479,1880998740.8,42828,COCHINSHIP
14,2023-12-08,EQ,1288.0,1328.4,1236.6,1281.6,1261.95,1265.0,1284.71,1328.4,410.4,3267722,4198069837.5,94871,COCHINSHIP
15,2023-12-07,EQ,1295.0,1312.7,1271.0,1279.95,1280.0,1281.6,1289.64,1312.7,410.4,3669269,4732044379.8,92038,COCHINSHIP
16,2023-12-06,EQ,1187.0,1294.4,1174.1,1181.35,1280.0,1279.95,1246.18,1294.4,410.4,8762197,10919255012.05,198585,COCHINSHIP
