,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,6278.0,6320.0,6213.0,6272.35,6284.85,6274.4,6274.52,6530.0,3564.75,220563,1383928026.9,24114,COFORGE
1,2023-12-28,EQ,6325.0,6325.0,6240.05,6299.4,6285.0,6272.35,6268.87,6530.0,3564.75,320910,2011743435.35,26131,COFORGE
2,2023-12-27,EQ,6317.0,6394.95,6280.9,6276.05,6290.0,6299.4,6325.39,6530.0,3564.75,348740,2205917089.05,39536,COFORGE
3,2023-12-26,EQ,6300.0,6342.7,6245.0,6290.2,6273.0,6276.05,6289.79,6530.0,3564.75,256576,1613808476.8,28163,COFORGE
4,2023-12-22,EQ,6130.05,6323.65,6110.05,6127.9,6275.2,6290.2,6222.35,6530.0,3564.75,477031,2968252943.7,64127,COFORGE
5,2023-12-21,EQ,5959.95,6175.0,5922.05,6039.05,6145.4,6127.9,6068.66,6530.0,3564.75,366697,2225357646.85,48830,COFORGE
6,2023-12-20,EQ,6310.0,6357.4,6014.9,6273.4,6030.0,6039.05,6214.38,6530.0,3564.75,485530,3017268976.2,60807,COFORGE
7,2023-12-19,EQ,6439.95,6440.0,6261.0,6441.1,6263.0,6273.4,6308.87,6530.0,3564.75,327439,2065770661.9,39077,COFORGE
8,2023-12-18,EQ,6430.0,6478.1,6331.05,6439.85,6425.0,6441.1,6418.11,6530.0,3564.75,603544,3873612783.8,68178,COFORGE
9,2023-12-15,EQ,6196.7,6530.0,6175.05,6156.7,6418.0,6439.85,6398.95,6530.0,3564.75,1260254,8064306721.85,124949,COFORGE
10,2023-12-14,EQ,5890.0,6205.85,5888.05,5830.45,6170.0,6156.7,6113.52,6205.85,3564.75,1243260,7600693115.4,132890,COFORGE
11,2023-12-13,EQ,5859.95,5874.8,5692.55,5856.65,5820.1,5830.45,5773.83,5958.8,3564.75,405773,2342866217.9,47597,COFORGE
12,2023-12-12,EQ,5875.0,5958.8,5840.05,5864.75,5849.0,5856.65,5910.47,5958.8,3564.75,360216,2129045968.1,57237,COFORGE
13,2023-12-11,EQ,5808.0,5908.0,5798.65,5783.0,5848.7,5864.75,5870.6,5919.95,3564.75,484446,2843986780.6,60298,COFORGE
14,2023-12-08,EQ,5719.0,5919.95,5690.05,5700.65,5785.0,5783.0,5807.08,5919.95,3564.75,826910,4801931229.65,76353,COFORGE
15,2023-12-07,EQ,5702.7,5755.0,5650.2,5701.75,5696.6,5700.65,5707.9,5846.25,3564.75,203360,1160758500.7,26393,COFORGE
16,2023-12-06,EQ,5606.0,5755.4,5606.0,5605.85,5697.75,5701.75,5704.37,5846.25,3564.75,460212,2625221118.9,56410,COFORGE
17,2023-12-05,EQ,5656.5,5674.45,5506.0,5675.95,5600.0,5605.85,5588.84,5846.25,3564.75,322669,1803346448.1,47627,COFORGE
18,2023-12-04,EQ,5795.0,5795.0,5655.05,5714.0,5671.15,5675.95,5693.7,5846.25,3564.75,184861,1052543856.9,25368,COFORGE
19,2023-12-01,EQ,5810.0,5810.85,5695.0,5760.85,5705.0,5714.0,5730.04,5846.25,3564.75,177578,1017529048.05,25478,COFORGE
20,2023-11-30,EQ,5699.0,5770.0,5675.0,5694.75,5765.0,5760.85,5739.29,5846.25,3564.75,351758,2018841688.2,37142,COFORGE
21,2023-11-29,EQ,5576.75,5714.85,5576.75,5566.3,5699.0,5694.75,5681.97,5846.25,3564.75,552016,3136537133.95,58440,COFORGE
22,2023-11-28,EQ,5624.6,5640.0,5492.45,5618.55,5571.0,5566.3,5542.8,5846.25,3564.75,238937,1324380098.8,37565,COFORGE
23,2023-11-24,EQ,5637.65,5653.2,5550.0,5619.65,5603.6,5618.55,5598.05,5846.25,3564.75,144526,809063347.85,22491,COFORGE
24,2023-11-23,EQ,5640.4,5669.9,5590.6,5634.45,5620.0,5619.65,5628.16,5846.25,3564.75,191077,1075412818.5,24804,COFORGE
25,2023-11-22,EQ,5648.9,5665.1,5583.0,5625.4,5626.1,5634.45,5624.95,5846.25,3564.75,196944,1107799544.75,27927,COFORGE
26,2023-11-21,EQ,5730.0,5789.6,5612.4,5708.45,5628.0,5625.4,5676.03,5846.25,3564.75,236253,1340979607.8,36211,COFORGE
27,2023-11-20,EQ,5670.05,5846.25,5651.2,5674.95,5706.7,5708.45,5730.92,5846.25,3564.75,482383,2764500480.9,52846,COFORGE
28,2023-11-17,EQ,5685.0,5749.85,5605.0,5701.1,5665.0,5674.95,5669.92,5762.7,3564.75,487295,2762924337.25,51252,COFORGE
29,2023-11-16,EQ,5329.25,5738.95,5307.6,5343.25,5702.0,5701.1,5583.98,5762.7,3564.75,1104408,6166995006.4,103193,COFORGE
30,2023-11-15,EQ,5145.7,5354.55,5125.2,5085.2,5339.0,5343.25,5272.78,5762.7,3564.75,467034,2462566987.7,54751,COFORGE
31,2023-11-13,EQ,5128.8,5128.8,5031.5,5136.25,5076.45,5085.2,5066.65,5762.7,3564.75,266893,1352253242.4,35046,COFORGE
32,2023-11-12,EQ,5165.0,5176.4,5116.5,5139.0,5136.0,5136.25,5148.63,5762.7,3564.75,13699,70531147.6,1666,COFORGE
33,2023-11-10,EQ,5100.0,5149.0,5074.0,5128.1,5145.0,5139.0,5108.86,5762.7,3564.75,156660,800354075.05,17534,COFORGE
34,2023-11-09,EQ,5111.0,5164.0,5105.0,5111.7,5123.0,5128.1,5132.92,5762.7,3564.75,117160,601373408.85,13706,COFORGE
35,2023-11-08,EQ,5126.95,5139.35,5073.9,5087.6,5105.0,5111.7,5105.89,5762.7,3564.75,93686,478350227.75,14392,COFORGE
36,2023-11-07,EQ,5124.9,5124.9,5065.65,5115.3,5085.0,5087.6,5091.05,5762.7,3564.75,64545,328601914.4,10392,COFORGE
37,2023-11-06,EQ,5130.9,5153.0,5088.2,5083.1,5124.0,5115.3,5115.49,5762.7,3564.75,263008,1345415640.75,38086,COFORGE
38,2023-11-03,EQ,5086.0,5148.0,5062.3,5056.4,5082.0,5083.1,5101.22,5762.7,3564.75,155733,794428830.45,19231,COFORGE
39,2023-11-02,EQ,5076.9,5080.0,5022.1,5026.6,5059.2,5056.4,5051.22,5762.7,3564.75,191341,966506161.2,27445,COFORGE
40,2023-11-01,EQ,4998.0,5072.65,4965.2,4984.25,5021.0,5026.6,5027.71,5762.7,3564.75,331862,1668507391.6,35219,COFORGE
41,2023-10-31,EQ,5029.95,5029.95,4952.7,4988.65,4987.0,4984.25,4988.98,5762.7,3564.75,224233,1118693848.35,29340,COFORGE
42,2023-10-30,EQ,4998.8,5026.0,4948.05,5008.95,4991.1,4988.65,4990.69,5762.7,3564.75,266860,1331815864.15,50678,COFORGE
43,2023-10-27,EQ,4926.0,5030.0,4925.55,4904.4,5000.1,5008.95,4992.96,5762.7,3564.75,540268,2697538291.05,54403,COFORGE
44,2023-10-26,EQ,4880.0,4956.85,4756.55,4899.05,4898.0,4904.4,4873.21,5762.7,3564.75,878546,4281340133.85,70689,COFORGE
45,2023-10-25,EQ,4949.0,4977.0,4863.05,4915.4,4899.95,4899.05,4910.53,5762.7,3564.75,338564,1662530019.9,48343,COFORGE
46,2023-10-23,EQ,5000.1,5019.9,4900.0,5000.1,4903.5,4915.4,4960.58,5762.7,3564.75,538344,2670500233.1,62943,COFORGE
47,2023-10-20,EQ,5123.0,5167.75,4980.0,5108.8,5010.0,5000.1,5038.57,5762.7,3564.75,473723,2386887849.0,49397,COFORGE
48,2023-10-19,EQ,5050.3,5280.0,5050.3,5092.1,5107.0,5108.8,5161.46,5762.7,3564.75,1046540,5401675996.5,93622,COFORGE
49,2023-10-18,EQ,5075.95,5150.0,5025.0,5061.7,5059.0,5092.1,5084.76,5762.7,3564.75,626397,3185075512.75,55831,COFORGE
50,2023-10-17,EQ,5077.9,5094.0,5022.35,5040.15,5062.0,5061.7,5063.09,5762.7,3564.75,215994,1093596985.25,32023,COFORGE
51,2023-10-16,EQ,5010.0,5088.8,5001.35,5006.65,5037.0,5040.15,5041.92,5762.7,3564.75,341417,1721395985.25,34339,COFORGE
52,2023-10-13,EQ,5058.0,5138.95,4997.75,5096.9,5001.0,5006.65,5041.35,5762.7,3507.2,437090,2203521891.65,48207,COFORGE
53,2023-10-12,EQ,5171.9,5189.0,5068.0,5154.65,5105.0,5096.9,5120.49,5762.7,3507.2,619118,3170187243.05,50381,COFORGE
54,2023-10-11,EQ,5239.9,5282.9,5111.0,5196.25,5174.0,5154.65,5180.08,5762.7,3507.2,557514,2887964539.1,45144,COFORGE
55,2023-10-10,EQ,5180.0,5228.0,5125.85,5138.75,5204.75,5196.25,5193.79,5762.7,3507.2,269859,1401590858.55,40817,COFORGE
56,2023-10-09,EQ,5161.0,5216.9,5118.9,5185.55,5129.0,5138.75,5158.62,5762.7,3507.2,179747,927245730.7,35029,COFORGE
57,2023-10-06,EQ,5240.9,5242.95,5166.25,5205.7,5172.65,5185.55,5210.14,5762.7,3295.0,195339,1017743337.55,19818,COFORGE
58,2023-10-05,EQ,5155.0,5243.7,5151.0,5135.75,5205.0,5205.7,5195.44,5762.7,3295.0,312135,1621679668.45,36840,COFORGE
59,2023-10-04,EQ,5119.0,5149.0,5025.0,5106.6,5149.0,5135.75,5088.55,5762.7,3295.0,333736,1698230675.0,31690,COFORGE
60,2023-10-03,EQ,5085.0,5192.2,5036.65,5104.45,5125.0,5106.6,5128.58,5762.7,3295.0,579787,2973486462.75,52562,COFORGE
61,2023-09-29,EQ,5144.9,5165.0,5050.0,5123.3,5099.65,5104.45,5112.86,5762.7,3295.0,567361,2900838006.15,51551,COFORGE
62,2023-09-28,EQ,5236.95,5251.65,5077.55,5204.95,5160.0,5123.3,5147.76,5762.7,3295.0,448004,2306218631.45,40685,COFORGE
63,2023-09-27,EQ,5205.95,5265.7,5189.05,5193.2,5202.5,5204.95,5227.85,5762.7,3295.0,428881,2242124151.9,43960,COFORGE
64,2023-09-26,EQ,5260.0,5260.15,5170.3,5285.9,5202.0,5193.2,5203.17,5762.7,3295.0,295546,1537775295.1,30229,COFORGE
65,2023-09-25,EQ,5320.0,5339.95,5260.1,5293.45,5275.0,5285.9,5292.89,5762.7,3295.0,190214,1006781384.75,28234,COFORGE
66,2023-09-22,EQ,5336.0,5370.4,5251.35,5336.3,5283.7,5293.45,5289.1,5762.7,3210.05,296925,1570467456.7,38646,COFORGE
67,2023-09-21,EQ,5395.5,5406.95,5290.0,5418.0,5340.0,5336.3,5338.38,5762.7,3210.05,377880,2017267725.85,53600,COFORGE
68,2023-09-20,EQ,5530.0,5544.0,5402.0,5544.9,5419.0,5418.0,5457.25,5762.7,3210.05,266063,1451971725.45,36883,COFORGE
