,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,2515.85,2534.85,2494.5,2528.85,2526.65,2529.7,2517.85,2544.0,1434.6,252232,635081748.85,21024,COLPAL
1,2023-12-28,EQ,2470.0,2544.0,2455.05,2458.45,2533.4,2528.85,2516.37,2544.0,1434.6,931064,2342904923.65,42889,COLPAL
2,2023-12-27,EQ,2460.0,2484.0,2440.2,2456.0,2461.95,2458.45,2465.42,2484.0,1434.6,333766,822873308.3,27629,COLPAL
3,2023-12-26,EQ,2406.65,2464.9,2397.4,2406.65,2464.0,2456.0,2437.0,2464.9,1434.6,188878,460295373.65,14760,COLPAL
4,2023-12-22,EQ,2394.65,2414.55,2378.45,2394.65,2403.65,2406.65,2400.73,2434.95,1434.6,118737,285055886.8,10095,COLPAL
5,2023-12-21,EQ,2354.7,2405.45,2354.0,2369.6,2390.0,2394.65,2382.62,2434.95,1434.6,161608,385050977.0,16563,COLPAL
6,2023-12-20,EQ,2432.0,2434.95,2358.2,2420.6,2366.0,2369.6,2398.75,2434.95,1434.6,306604,735465503.15,22771,COLPAL
7,2023-12-19,EQ,2363.2,2432.0,2357.2,2363.2,2426.0,2420.6,2402.69,2432.0,1434.6,264922,636526343.2,21607,COLPAL
8,2023-12-18,EQ,2381.7,2399.9,2358.6,2385.7,2360.35,2363.2,2377.14,2429.0,1434.6,187639,446044459.75,15267,COLPAL
9,2023-12-15,EQ,2395.0,2408.65,2364.6,2374.95,2391.7,2385.7,2384.3,2429.0,1434.6,541517,1291136451.2,36941,COLPAL
10,2023-12-14,EQ,2425.0,2429.0,2366.2,2391.15,2381.05,2374.95,2382.05,2429.0,1434.6,277384,660743860.65,23790,COLPAL
11,2023-12-13,EQ,2345.4,2414.0,2328.05,2336.45,2413.9,2391.15,2369.47,2414.0,1434.6,392189,929280074.95,36450,COLPAL
12,2023-12-12,EQ,2289.9,2346.9,2288.05,2286.4,2346.9,2336.45,2321.7,2347.9,1434.6,199151,462367944.55,21885,COLPAL
13,2023-12-11,EQ,2280.0,2301.5,2266.6,2293.8,2290.5,2286.4,2288.79,2347.9,1434.6,445870,1020504876.5,33173,COLPAL
14,2023-12-08,EQ,2319.95,2319.95,2275.2,2305.3,2297.0,2293.8,2292.45,2347.9,1434.6,268098,614601326.75,22255,COLPAL
15,2023-12-07,EQ,2335.0,2337.55,2290.1,2331.05,2308.45,2305.3,2305.47,2347.9,1434.6,220030,507273467.55,22620,COLPAL
16,2023-12-06,EQ,2325.0,2347.9,2316.6,2315.0,2331.0,2331.05,2332.56,2347.9,1434.6,239429,558482498.45,24703,COLPAL
17,2023-12-05,EQ,2293.95,2328.55,2285.2,2288.85,2319.95,2315.0,2303.46,2328.55,1434.6,559406,1288571953.75,41510,COLPAL
18,2023-12-04,EQ,2298.95,2312.0,2262.55,2279.25,2282.95,2288.85,2290.72,2312.0,1434.6,416458,953990710.05,25616,COLPAL
19,2023-12-01,EQ,2194.55,2289.0,2187.3,2196.2,2275.05,2279.25,2252.28,2289.0,1434.6,637907,1436745268.75,48976,COLPAL
20,2023-11-30,EQ,2213.0,2222.0,2146.55,2208.45,2185.0,2196.2,2198.26,2222.0,1434.6,2350203,5166356538.55,61004,COLPAL
21,2023-11-29,EQ,2193.7,2219.0,2185.3,2180.3,2200.0,2208.45,2200.91,2219.0,1434.6,886204,1950453799.25,34972,COLPAL
22,2023-11-28,EQ,2195.5,2199.8,2171.05,2195.1,2179.0,2180.3,2184.13,2203.95,1434.6,678686,1482337605.4,35711,COLPAL
23,2023-11-24,EQ,2187.0,2203.95,2185.2,2187.15,2185.2,2195.1,2195.82,2203.95,1434.6,270160,593221539.75,16163,COLPAL
24,2023-11-23,EQ,2179.0,2198.8,2168.0,2167.65,2180.0,2187.15,2179.61,2198.8,1434.6,234323,510732450.9,15473,COLPAL
25,2023-11-22,EQ,2178.85,2188.7,2161.7,2178.4,2166.2,2167.65,2173.01,2189.0,1434.6,280718,610002161.1,17902,COLPAL
26,2023-11-21,EQ,2182.5,2185.0,2161.85,2181.35,2180.0,2178.4,2171.68,2189.0,1434.6,297026,645046441.75,22020,COLPAL
27,2023-11-20,EQ,2175.25,2189.0,2151.15,2165.45,2180.95,2181.35,2173.56,2189.0,1434.6,509750,1107970714.95,40979,COLPAL
28,2023-11-17,EQ,2133.8,2177.4,2128.9,2128.85,2166.7,2165.45,2157.37,2177.4,1434.6,398219,859105806.05,29620,COLPAL
29,2023-11-16,EQ,2139.8,2145.2,2123.6,2136.65,2126.0,2128.85,2130.07,2149.0,1434.6,302808,645001018.45,29706,COLPAL
30,2023-11-15,EQ,2144.6,2146.0,2113.8,2127.5,2134.95,2136.65,2127.92,2149.0,1434.6,239749,510166340.1,32489,COLPAL
31,2023-11-13,EQ,2102.55,2130.0,2095.25,2110.7,2129.6,2127.5,2118.46,2149.0,1434.6,142862,302647927.05,15258,COLPAL
32,2023-11-12,EQ,2121.0,2121.6,2103.0,2107.35,2103.0,2110.7,2113.5,2149.0,1434.6,16500,34872774.7,1669,COLPAL
33,2023-11-10,EQ,2128.0,2128.0,2102.45,2128.8,2108.0,2107.35,2111.67,2149.0,1434.6,147774,312050390.35,19618,COLPAL
34,2023-11-09,EQ,2137.65,2149.0,2110.7,2137.65,2134.8,2128.8,2135.6,2149.0,1434.6,157573,336513163.6,19226,COLPAL
35,2023-11-08,EQ,2131.0,2148.0,2118.1,2116.8,2135.8,2137.65,2135.78,2148.0,1434.6,406481,868155155.6,29463,COLPAL
