,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,1466.85,1488.0,1438.0,1449.45,1476.0,1471.8,1465.17,1539.9,900.05,83260,121990040.0,8698,CONCORDBIO
1,2023-12-28,EQ,1482.65,1497.35,1441.05,1483.5,1453.6,1449.45,1460.66,1539.9,900.05,78355,114449855.25,10105,CONCORDBIO
2,2023-12-27,EQ,1517.0,1523.95,1450.15,1506.1,1480.0,1483.5,1495.13,1539.9,900.05,193202,288862566.9,22408,CONCORDBIO
3,2023-12-26,EQ,1475.0,1513.0,1453.75,1504.7,1506.0,1506.1,1486.36,1539.9,900.05,226615,336831705.8,22262,CONCORDBIO
4,2023-12-22,EQ,1379.0,1539.9,1370.0,1361.2,1480.4,1504.7,1463.78,1539.9,900.05,901703,1319892279.2,75509,CONCORDBIO
5,2023-12-21,EQ,1354.95,1399.1,1322.3,1349.4,1362.0,1361.2,1364.32,1416.85,900.05,186979,255099829.7,23062,CONCORDBIO
6,2023-12-20,EQ,1339.35,1378.0,1328.55,1327.35,1355.0,1349.4,1349.52,1416.85,900.05,258743,349177785.6,21731,CONCORDBIO
7,2023-12-19,EQ,1326.05,1348.0,1314.0,1326.65,1334.45,1327.35,1330.66,1416.85,900.05,66413,88373195.45,10297,CONCORDBIO
8,2023-12-18,EQ,1341.0,1416.85,1316.9,1321.0,1324.7,1326.65,1356.7,1416.85,900.05,257193,348932706.85,26037,CONCORDBIO
9,2023-12-15,EQ,1337.9,1337.9,1313.0,1321.95,1323.5,1321.0,1322.4,1397.05,900.05,43506,57532245.2,5908,CONCORDBIO
10,2023-12-14,EQ,1342.45,1368.0,1315.05,1322.25,1317.5,1321.95,1338.28,1397.05,900.05,100413,134380575.85,12915,CONCORDBIO
11,2023-12-13,EQ,1314.05,1346.25,1306.05,1306.85,1323.0,1322.25,1327.19,1397.05,900.05,99764,132405976.65,11238,CONCORDBIO
12,2023-12-12,EQ,1321.3,1323.85,1289.0,1321.3,1305.0,1306.85,1304.07,1397.05,900.05,63075,82254071.75,7040,CONCORDBIO
13,2023-12-11,EQ,1316.55,1344.6,1311.0,1316.5,1311.0,1321.3,1328.05,1397.05,900.05,49780,66110273.65,5065,CONCORDBIO
14,2023-12-08,EQ,1321.75,1339.9,1305.25,1321.75,1314.9,1316.5,1330.31,1397.05,900.05,122643,163153198.8,5828,CONCORDBIO
15,2023-12-07,EQ,1345.65,1353.05,1315.05,1333.15,1325.0,1321.75,1333.5,1397.05,900.05,69316,92432657.75,8052,CONCORDBIO
16,2023-12-06,EQ,1354.9,1371.95,1318.05,1354.9,1334.55,1333.15,1347.62,1397.05,900.05,93944,126600661.35,10737,CONCORDBIO
17,2023-12-05,EQ,1348.0,1372.8,1334.05,1344.45,1348.0,1354.9,1359.59,1397.05,900.05,192384,261563086.65,16658,CONCORDBIO
18,2023-12-04,EQ,1322.65,1353.85,1300.1,1305.75,1349.0,1344.45,1329.76,1397.05,900.05,157460,209384521.85,16635,CONCORDBIO
19,2023-12-01,EQ,1344.95,1357.4,1299.0,1336.85,1305.0,1305.75,1320.99,1397.05,900.05,120853,159646159.7,13605,CONCORDBIO
20,2023-11-30,EQ,1290.4,1353.0,1290.35,1285.85,1345.05,1336.85,1331.31,1397.05,900.05,788873,1050235112.4,45318,CONCORDBIO
21,2023-11-29,EQ,1266.4,1336.0,1259.45,1253.1,1285.1,1285.85,1303.22,1397.05,900.05,295468,385060617.65,30714,CONCORDBIO
22,2023-11-28,EQ,1260.0,1282.0,1221.0,1257.85,1268.0,1253.1,1241.47,1397.05,900.05,407151,505463798.7,42685,CONCORDBIO
23,2023-11-24,EQ,1284.8,1312.5,1251.8,1276.65,1261.5,1257.85,1280.29,1397.05,900.05,113735,145614284.7,17528,CONCORDBIO
24,2023-11-23,EQ,1264.65,1293.5,1260.4,1261.7,1281.9,1276.65,1278.31,1397.05,900.05,178827,228595691.05,14166,CONCORDBIO
25,2023-11-22,EQ,1269.0,1310.95,1247.3,1276.55,1264.0,1261.7,1278.36,1397.05,900.05,216537,276812036.3,24550,CONCORDBIO
26,2023-11-21,EQ,1221.0,1288.0,1212.05,1232.55,1280.0,1276.55,1259.97,1397.05,900.05,512461,645686353.0,59906,CONCORDBIO
27,2023-11-20,EQ,1275.0,1279.65,1205.45,1280.2,1236.0,1232.55,1236.74,1397.05,900.05,418820,517970067.15,56993,CONCORDBIO
28,2023-11-17,EQ,1313.0,1314.9,1272.05,1305.9,1277.0,1280.2,1290.97,1397.05,900.05,186800,241154064.45,28000,CONCORDBIO
29,2023-11-16,EQ,1363.95,1372.6,1288.0,1362.8,1299.0,1305.9,1332.55,1397.05,900.05,260543,347186324.05,25770,CONCORDBIO
30,2023-11-15,EQ,1319.95,1377.0,1305.95,1303.1,1361.0,1362.8,1344.0,1397.05,900.05,282852,380151802.65,37062,CONCORDBIO
31,2023-11-13,EQ,1310.8,1324.65,1294.8,1330.7,1305.0,1303.1,1307.0,1397.05,900.05,160055,209192455.8,15169,CONCORDBIO
32,2023-11-12,EQ,1334.95,1340.0,1318.85,1302.6,1327.0,1330.7,1328.31,1397.05,900.05,31144,41368768.05,2230,CONCORDBIO
33,2023-11-10,EQ,1344.6,1344.6,1267.0,1377.9,1306.0,1302.6,1299.53,1397.05,900.05,423319,550117716.9,29061,CONCORDBIO
34,2023-11-09,EQ,1370.0,1397.05,1315.35,1324.55,1370.0,1377.9,1364.16,1397.05,900.05,865715,1180976338.5,59365,CONCORDBIO
35,2023-11-08,EQ,1209.9,1379.8,1196.25,1199.8,1330.3,1324.55,1288.01,1379.8,900.05,678690,874160157.25,50552,CONCORDBIO
36,2023-11-07,EQ,1143.0,1210.0,1133.05,1139.3,1195.5,1199.8,1183.32,1259.0,900.05,169091,200089549.35,19672,CONCORDBIO
37,2023-11-06,EQ,1149.95,1159.9,1133.95,1144.9,1143.5,1139.3,1146.09,1259.0,900.05,51250,58737311.2,8091,CONCORDBIO
