,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,4264.3,4387.25,4250.0,4264.3,4319.0,4336.75,4325.26,4454.95,2755.0,22068,95449853.75,5355,CRISIL
1,2023-12-28,EQ,4325.0,4335.0,4251.1,4320.15,4270.0,4264.3,4288.33,4454.95,2755.0,17456,74857112.35,5225,CRISIL
2,2023-12-27,EQ,4410.0,4410.0,4290.55,4391.15,4328.95,4320.15,4368.51,4454.95,2755.0,29187,127503758.25,4507,CRISIL
3,2023-12-26,EQ,4375.0,4425.5,4344.05,4353.55,4380.0,4391.15,4380.82,4454.95,2755.0,19215,84177366.05,4559,CRISIL
4,2023-12-22,EQ,4280.0,4375.0,4265.05,4273.2,4374.0,4353.55,4328.94,4454.95,2725.0,30666,132751201.0,8238,CRISIL
5,2023-12-21,EQ,4223.4,4296.0,4210.0,4257.7,4275.0,4273.2,4259.13,4454.95,2725.0,12800,54516852.6,4067,CRISIL
6,2023-12-20,EQ,4270.0,4285.0,4200.0,4256.3,4230.0,4257.7,4253.15,4454.95,2725.0,16230,69028625.1,5319,CRISIL
7,2023-12-19,EQ,4250.0,4267.65,4234.35,4245.25,4260.0,4256.3,4253.83,4454.95,2725.0,6585,28011439.5,2145,CRISIL
8,2023-12-18,EQ,4273.5,4273.5,4205.05,4273.5,4242.0,4245.25,4227.57,4454.95,2725.0,21486,90833617.5,4136,CRISIL
9,2023-12-15,EQ,4275.0,4294.5,4239.95,4242.5,4260.0,4273.5,4266.0,4454.95,2725.0,17519,74736068.85,5224,CRISIL
10,2023-12-14,EQ,4142.0,4319.5,4142.0,4121.2,4238.0,4242.5,4244.34,4454.95,2725.0,59365,251965515.8,11451,CRISIL
11,2023-12-13,EQ,4241.8,4241.8,4103.65,4220.7,4121.0,4121.2,4143.28,4454.95,2725.0,30314,125599539.05,7290,CRISIL
12,2023-12-12,EQ,4238.8,4250.0,4176.0,4238.8,4206.5,4220.7,4207.05,4454.95,2725.0,18751,78886363.2,4187,CRISIL
13,2023-12-11,EQ,4258.0,4265.0,4210.0,4235.1,4235.0,4238.8,4231.94,4454.95,2725.0,19268,81540969.85,4167,CRISIL
14,2023-12-08,EQ,4277.45,4277.45,4226.1,4256.2,4228.0,4235.1,4239.54,4454.95,2725.0,17499,74187693.0,3157,CRISIL
