,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,298.95,314.5,296.1,297.5,310.5,310.9,308.39,348.9,251.0,6543873,2018090216.7,60659,CROMPTON
1,2023-12-28,EQ,301.5,301.85,297.0,299.95,297.5,297.5,298.03,348.9,251.0,1340641,399554300.6,15732,CROMPTON
2,2023-12-27,EQ,302.8,303.0,297.6,300.0,300.3,299.95,299.85,348.9,251.0,3526373,1057376790.45,30992,CROMPTON
3,2023-12-26,EQ,303.0,304.6,299.2,301.8,299.8,300.0,301.18,348.9,251.0,1367276,411798468.7,23004,CROMPTON
4,2023-12-22,EQ,303.45,304.8,298.5,300.0,301.3,301.8,301.77,357.5,251.0,1261307,380622971.35,22707,CROMPTON
5,2023-12-21,EQ,296.5,302.0,290.0,297.15,301.8,300.0,297.66,357.5,251.0,2628984,782539458.9,27711,CROMPTON
6,2023-12-20,EQ,296.1,307.8,295.55,296.1,296.25,297.15,302.05,357.5,251.0,7071090,2135850726.25,91872,CROMPTON
7,2023-12-19,EQ,294.45,298.35,289.75,293.35,296.5,296.1,295.06,357.5,251.0,4417371,1303386697.4,33493,CROMPTON
8,2023-12-18,EQ,288.85,294.95,287.15,288.85,293.8,293.35,293.39,357.5,251.0,2484562,728939549.05,46893,CROMPTON
9,2023-12-15,EQ,293.35,293.4,287.55,291.9,289.6,288.85,290.03,359.4,251.0,3018951,875574315.8,27739,CROMPTON
10,2023-12-14,EQ,297.5,297.5,291.15,295.5,292.0,291.9,293.27,359.4,251.0,2239470,656768677.1,22897,CROMPTON
11,2023-12-13,EQ,293.0,296.0,291.1,292.35,295.15,295.5,293.99,359.4,251.0,1023175,300804005.0,20792,CROMPTON
12,2023-12-12,EQ,299.2,299.2,291.5,297.75,292.7,292.35,294.69,359.4,251.0,1916910,564888487.15,29126,CROMPTON
13,2023-12-11,EQ,299.0,302.5,296.8,299.45,297.0,297.75,298.31,359.4,251.0,1330482,396895584.2,31373,CROMPTON
14,2023-12-08,EQ,300.0,305.9,297.05,301.7,299.3,299.45,302.33,374.8,251.0,2232304,674889504.2,42093,CROMPTON
15,2023-12-07,EQ,296.45,303.05,292.2,296.5,301.5,301.7,298.37,374.8,251.0,3087207,921114646.4,55215,CROMPTON
16,2023-12-06,EQ,298.0,298.45,294.65,296.95,296.5,296.5,296.49,374.8,251.0,1053782,312440755.3,11132,CROMPTON
17,2023-12-05,EQ,295.8,298.95,294.35,294.8,296.2,296.95,296.84,374.8,251.0,2439845,724243772.15,31021,CROMPTON
18,2023-12-04,EQ,294.0,295.65,289.9,289.9,295.3,294.8,293.13,374.8,251.0,2065238,605377223.45,34209,CROMPTON
19,2023-12-01,EQ,286.35,290.55,285.0,284.95,289.0,289.9,288.04,376.5,251.0,1771128,510151159.3,36430,CROMPTON
20,2023-11-30,EQ,283.8,285.8,282.0,283.8,285.1,284.95,284.12,376.5,251.0,1779613,505619002.9,47240,CROMPTON
21,2023-11-29,EQ,284.6,286.65,282.65,283.15,283.45,283.8,284.82,376.5,251.0,1728545,492322795.25,32147,CROMPTON
22,2023-11-28,EQ,283.5,285.3,280.3,283.8,283.95,283.15,283.52,376.5,251.0,2895205,820854595.85,73405,CROMPTON
23,2023-11-24,EQ,288.9,290.05,282.95,288.25,283.0,283.8,286.61,376.5,251.0,1043715,299144191.65,33893,CROMPTON
24,2023-11-23,EQ,289.55,290.7,287.2,289.15,288.8,288.25,288.81,376.5,251.0,927151,267771143.3,20428,CROMPTON
25,2023-11-22,EQ,292.7,293.55,288.05,291.3,288.8,289.15,290.27,376.5,251.0,1152652,334580539.4,29443,CROMPTON
26,2023-11-21,EQ,288.0,293.0,287.05,287.05,291.0,291.3,290.77,376.5,251.0,1779395,517402440.6,26650,CROMPTON
27,2023-11-20,EQ,288.1,289.35,284.5,288.1,287.9,287.05,286.79,376.5,251.0,1010088,289688010.6,15644,CROMPTON
28,2023-11-17,EQ,286.0,288.7,284.5,285.1,287.8,288.1,287.46,376.5,251.0,1112495,319793751.5,15638,CROMPTON
29,2023-11-16,EQ,281.6,286.65,281.05,282.2,284.5,285.1,283.95,376.5,251.0,2236760,635124858.85,40187,CROMPTON
30,2023-11-15,EQ,281.5,283.9,279.2,278.6,281.5,282.2,281.11,376.5,251.0,2788028,783755492.35,30601,CROMPTON
31,2023-11-13,EQ,283.45,283.45,278.25,283.95,278.8,278.6,279.58,376.5,251.0,1350980,377709594.5,22127,CROMPTON
32,2023-11-12,EQ,285.0,285.05,281.7,282.25,283.25,283.95,283.55,376.5,251.0,174284,49418209.3,4468,CROMPTON
33,2023-11-10,EQ,281.9,283.6,279.15,281.45,283.45,282.25,281.84,376.5,251.0,717289,202157973.85,15509,CROMPTON
34,2023-11-09,EQ,284.0,284.0,281.0,282.65,281.45,281.45,281.85,376.5,251.0,497039,140088371.75,11492,CROMPTON
35,2023-11-08,EQ,284.4,285.5,282.05,284.1,282.4,282.65,282.96,376.5,251.0,776953,219848013.95,14287,CROMPTON
36,2023-11-07,EQ,283.5,286.95,282.5,283.15,284.2,284.1,284.44,376.5,251.0,1842524,524092592.7,28586,CROMPTON
37,2023-11-06,EQ,284.8,289.05,280.5,286.55,283.55,283.15,284.03,376.5,251.0,2332573,662516916.1,37167,CROMPTON
38,2023-11-03,EQ,284.5,290.35,282.05,283.1,287.4,286.55,285.45,376.5,251.0,1376265,392856841.25,20884,CROMPTON
39,2023-11-02,EQ,278.05,285.0,277.9,276.7,284.8,283.1,281.48,376.5,251.0,2219348,624710547.6,28677,CROMPTON
40,2023-11-01,EQ,283.0,283.25,275.3,282.0,277.5,276.7,279.47,376.5,251.0,2739885,765724510.55,29974,CROMPTON
41,2023-10-31,EQ,281.6,285.25,279.5,283.05,282.4,282.0,282.56,376.5,251.0,2471218,698277443.75,37938,CROMPTON
42,2023-10-30,EQ,285.1,285.9,281.05,284.8,283.9,283.05,282.88,376.5,251.0,1726639,488432136.6,19789,CROMPTON
43,2023-10-27,EQ,288.95,290.5,284.0,287.65,285.9,284.8,285.82,381.9,251.0,2513131,718314514.6,24664,CROMPTON
44,2023-10-26,EQ,281.55,289.4,279.75,284.45,287.4,287.65,284.62,381.9,251.0,1978362,563089684.95,36739,CROMPTON
45,2023-10-25,EQ,281.2,286.3,279.65,279.75,284.8,284.45,283.22,381.9,251.0,4026752,1140452864.9,34759,CROMPTON
46,2023-10-23,EQ,285.9,287.45,277.9,285.6,279.95,279.75,282.51,381.9,251.0,1467251,414518773.85,23533,CROMPTON
47,2023-10-20,EQ,293.2,295.2,281.75,295.05,285.7,285.6,288.38,390.2,251.0,6201707,1788462141.8,78917,CROMPTON
48,2023-10-19,EQ,297.75,298.35,293.65,299.05,295.5,295.05,295.22,390.2,251.0,1464917,432478544.0,42164,CROMPTON
49,2023-10-18,EQ,300.7,300.95,297.0,300.05,297.85,299.05,299.3,390.2,251.0,2582827,773051714.55,37120,CROMPTON
50,2023-10-17,EQ,301.7,304.8,297.75,300.45,300.0,300.05,301.26,390.2,251.0,2515703,757874566.4,23235,CROMPTON
51,2023-10-16,EQ,301.45,303.2,300.05,300.2,300.2,300.45,300.97,390.2,251.0,839112,252545754.9,17531,CROMPTON
52,2023-10-13,EQ,300.0,301.9,299.45,301.3,300.0,300.2,300.5,397.1,251.0,700968,210643588.7,13649,CROMPTON
53,2023-10-12,EQ,301.0,302.3,299.65,299.7,300.7,301.3,301.06,397.1,251.0,796753,239871464.85,16400,CROMPTON
54,2023-10-11,EQ,299.45,303.8,298.85,298.0,299.8,299.7,300.86,397.1,251.0,1245206,374636156.0,27023,CROMPTON
55,2023-10-10,EQ,297.0,299.6,296.5,296.0,298.35,298.0,298.29,397.1,251.0,1555026,463846116.1,21955,CROMPTON
56,2023-10-09,EQ,299.0,300.0,294.2,300.9,296.0,296.0,296.88,397.1,251.0,1494060,443560586.3,30411,CROMPTON
57,2023-10-06,EQ,300.2,301.8,299.15,299.85,300.25,300.9,300.61,413.0,251.0,1261214,379128004.95,16308,CROMPTON
58,2023-10-05,EQ,303.25,305.65,299.35,302.45,300.1,299.85,301.23,413.0,251.0,1220199,367565620.6,22908,CROMPTON
59,2023-10-04,EQ,304.45,305.85,300.1,304.5,302.0,302.45,302.6,413.0,251.0,1250843,378506872.2,16141,CROMPTON
60,2023-10-03,EQ,311.15,311.15,303.8,309.85,305.45,304.5,306.9,413.0,251.0,1692450,519414765.0,20811,CROMPTON
61,2023-09-29,EQ,307.4,316.95,305.4,305.75,309.4,309.85,311.7,417.6,251.0,4889462,1524026008.35,53078,CROMPTON
62,2023-09-28,EQ,299.45,309.95,298.85,299.05,306.0,305.75,306.7,417.6,251.0,3948343,1210972096.5,46325,CROMPTON
63,2023-09-27,EQ,296.9,300.3,294.15,295.95,299.35,299.05,297.87,417.6,251.0,1835209,546653050.55,32638,CROMPTON
64,2023-09-26,EQ,296.6,298.35,293.5,293.45,295.95,295.95,295.91,417.6,251.0,4019923,1189544923.25,33361,CROMPTON
65,2023-09-25,EQ,296.5,297.0,291.85,296.05,293.45,293.45,293.6,417.6,251.0,1385713,406845945.55,23774,CROMPTON
66,2023-09-22,EQ,300.8,302.8,295.15,300.8,295.6,296.05,298.83,424.6,251.0,2338446,698798634.1,31882,CROMPTON
67,2023-09-21,EQ,304.95,307.95,300.25,305.8,300.95,300.8,303.93,424.6,251.0,1932313,587288224.45,29929,CROMPTON
