,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,1939.15,1978.0,1937.0,1940.75,1966.8,1963.95,1959.97,2044.9,1350.05,373649,732339457.8,31925,CUMMINSIND
1,2023-12-28,EQ,1990.0,2007.6,1933.5,1983.6,1945.15,1940.75,1951.07,2044.9,1350.05,1136906,2218188203.25,41663,CUMMINSIND
2,2023-12-27,EQ,2024.95,2035.75,1974.35,2027.15,1990.0,1983.6,1996.57,2044.9,1350.05,410225,819041867.75,33755,CUMMINSIND
3,2023-12-26,EQ,2013.15,2044.9,2004.15,2013.15,2027.3,2027.15,2025.93,2044.9,1350.05,550809,1115901009.25,44452,CUMMINSIND
4,2023-12-22,EQ,1947.55,2025.0,1927.5,1941.35,2010.0,2013.15,1994.33,2025.0,1350.05,1057329,2108664457.25,105730,CUMMINSIND
5,2023-12-21,EQ,1900.25,1949.0,1888.3,1908.65,1942.2,1941.35,1930.95,2024.75,1350.05,321468,620737877.5,44432,CUMMINSIND
6,2023-12-20,EQ,1980.0,2024.75,1892.6,1976.65,1912.35,1908.65,1958.55,2024.75,1350.05,821439,1608833021.65,70471,CUMMINSIND
7,2023-12-19,EQ,1980.0,1982.7,1954.05,1960.9,1979.0,1976.65,1972.02,2019.4,1350.05,506932,999678935.35,28311,CUMMINSIND
8,2023-12-18,EQ,1944.7,1969.5,1930.0,1926.5,1966.3,1960.9,1951.19,2019.4,1350.05,348422,679839051.5,36042,CUMMINSIND
9,2023-12-15,EQ,1950.9,1978.95,1919.0,1947.15,1930.1,1926.5,1932.41,2019.4,1350.05,740405,1430766468.6,42141,CUMMINSIND
10,2023-12-14,EQ,1971.0,1979.5,1935.0,1964.35,1956.5,1947.15,1944.42,2019.4,1350.05,738402,1435760363.9,40568,CUMMINSIND
11,2023-12-13,EQ,1940.0,1972.95,1910.7,1928.7,1962.3,1964.35,1943.0,2019.4,1350.05,440298,855500458.1,42767,CUMMINSIND
12,2023-12-12,EQ,2013.95,2019.4,1835.55,2001.2,1930.0,1928.7,1962.86,2019.4,1350.05,1063056,2086629419.6,86177,CUMMINSIND
13,2023-12-11,EQ,1952.0,2010.0,1934.45,1949.35,2007.5,2001.2,1987.16,2010.0,1350.05,562772,1118317188.95,43381,CUMMINSIND
14,2023-12-08,EQ,1960.0,1967.2,1927.05,1956.9,1953.0,1949.35,1944.35,1987.75,1350.05,253118,492150912.35,29232,CUMMINSIND
15,2023-12-07,EQ,1955.8,1960.0,1922.8,1955.8,1955.0,1956.9,1941.51,1987.75,1350.05,321470,624138431.3,32121,CUMMINSIND
16,2023-12-06,EQ,1953.0,1978.75,1948.8,1960.15,1950.8,1955.8,1959.02,1987.75,1350.05,263761,516713459.7,24884,CUMMINSIND
17,2023-12-05,EQ,1965.0,1987.75,1933.2,1953.9,1951.55,1960.15,1959.73,1987.75,1350.05,356762,699155828.25,40227,CUMMINSIND
18,2023-12-04,EQ,1934.95,1959.9,1921.5,1920.2,1957.8,1953.9,1947.61,1980.15,1350.05,668617,1302204938.3,67965,CUMMINSIND
19,2023-12-01,EQ,1911.15,1929.0,1898.0,1909.1,1920.0,1920.2,1912.36,1980.15,1350.05,326619,624614699.95,24476,CUMMINSIND
20,2023-11-30,EQ,1873.65,1920.0,1865.1,1873.65,1898.6,1909.1,1901.8,1980.15,1350.05,1324591,2519102918.9,57013,CUMMINSIND
21,2023-11-29,EQ,1881.0,1900.0,1863.0,1875.35,1870.75,1873.65,1882.29,1980.15,1350.05,527029,992020095.95,46932,CUMMINSIND
22,2023-11-28,EQ,1878.0,1881.75,1852.85,1871.75,1872.6,1875.35,1869.6,1980.15,1350.05,257084,480643330.75,36020,CUMMINSIND
23,2023-11-24,EQ,1875.0,1878.55,1850.8,1874.25,1864.9,1871.75,1865.96,1980.15,1318.0,167850,313202073.55,22684,CUMMINSIND
24,2023-11-23,EQ,1858.0,1877.4,1847.4,1844.95,1875.85,1874.25,1869.15,1980.15,1318.0,179167,334890287.95,14112,CUMMINSIND
25,2023-11-22,EQ,1862.0,1868.7,1834.25,1871.3,1846.0,1844.95,1850.11,1980.15,1318.0,292692,541510940.8,25854,CUMMINSIND
26,2023-11-21,EQ,1863.0,1891.25,1860.3,1853.75,1867.5,1871.3,1876.2,1980.15,1318.0,717092,1345406879.15,43178,CUMMINSIND
27,2023-11-20,EQ,1829.65,1859.3,1816.85,1829.65,1855.0,1853.75,1843.97,1980.15,1318.0,386973,713566067.95,30598,CUMMINSIND
28,2023-11-17,EQ,1842.2,1861.3,1826.45,1841.95,1831.0,1829.65,1838.63,1980.15,1318.0,307038,564529320.85,21847,CUMMINSIND
29,2023-11-16,EQ,1824.95,1853.95,1822.35,1826.75,1843.7,1841.95,1840.5,1980.15,1318.0,707768,1302648245.9,40923,CUMMINSIND
30,2023-11-15,EQ,1785.0,1830.1,1780.0,1778.45,1830.0,1826.75,1813.47,1980.15,1318.0,672912,1220308494.4,44242,CUMMINSIND
31,2023-11-13,EQ,1775.0,1782.0,1748.5,1777.0,1780.0,1778.45,1769.87,1980.15,1318.0,488247,864132249.85,32699,CUMMINSIND
32,2023-11-12,EQ,1768.45,1779.0,1768.45,1768.45,1777.0,1777.0,1775.44,1980.15,1306.15,54292,96391935.0,3192,CUMMINSIND
33,2023-11-10,EQ,1750.5,1773.0,1731.45,1750.5,1772.7,1768.45,1754.66,1980.15,1306.15,189259,332085549.8,13637,CUMMINSIND
34,2023-11-09,EQ,1773.0,1784.25,1744.0,1767.2,1750.0,1750.5,1758.77,1980.15,1306.15,468929,824739936.65,28480,CUMMINSIND
