,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,1087.3,1087.3,1051.05,1078.9,1058.3,1057.0,1062.11,1097.4,605.1,47146,50074359.95,7019,DHANUKA
1,2023-12-28,EQ,1090.8,1094.7,1072.6,1081.85,1084.5,1078.9,1081.68,1097.4,605.1,43656,47221639.95,5087,DHANUKA
2,2023-12-27,EQ,1081.9,1097.4,1068.55,1073.1,1079.75,1081.85,1084.02,1097.4,605.1,60322,65390425.7,7219,DHANUKA
3,2023-12-26,EQ,1060.0,1088.0,1050.0,1047.0,1077.9,1073.1,1072.1,1088.0,605.1,78679,84351937.3,12094,DHANUKA
4,2023-12-22,EQ,1027.0,1057.45,1022.2,1020.5,1041.75,1047.0,1046.5,1068.0,605.1,40351,42227491.85,5907,DHANUKA
5,2023-12-21,EQ,1008.0,1034.1,991.7,1010.95,1030.0,1020.5,1018.2,1068.0,605.1,56824,57858247.65,7991,DHANUKA
6,2023-12-20,EQ,1061.0,1065.5,995.0,1061.95,1008.0,1010.95,1025.06,1068.0,605.1,73724,75571850.7,10220,DHANUKA
7,2023-12-19,EQ,1043.75,1068.0,1033.2,1043.75,1055.05,1061.95,1053.41,1068.0,605.1,51573,54327354.85,6320,DHANUKA
8,2023-12-18,EQ,1030.35,1063.95,1025.95,1030.35,1040.8,1043.75,1045.57,1063.95,605.1,102024,106673434.9,10949,DHANUKA
9,2023-12-15,EQ,1019.4,1037.0,1001.4,1019.45,1029.8,1030.35,1023.67,1037.0,605.1,100340,102714767.5,8789,DHANUKA
10,2023-12-14,EQ,996.1,1026.95,991.6,995.1,1020.0,1019.45,1010.79,1026.95,605.1,96739,97783227.05,7079,DHANUKA
11,2023-12-13,EQ,982.35,1019.35,981.35,985.55,995.0,995.1,999.96,1019.35,605.1,199531,199522831.95,15084,DHANUKA
12,2023-12-12,EQ,974.9,989.0,969.1,974.4,981.9,985.55,981.78,989.0,605.1,67503,66272900.9,4568,DHANUKA
13,2023-12-11,EQ,971.55,980.0,962.7,968.3,976.0,974.4,971.86,989.0,605.1,67053,65166175.35,7252,DHANUKA
14,2023-12-08,EQ,950.0,989.0,948.7,913.1,967.75,968.3,965.01,989.0,605.1,362492,349809670.95,31982,DHANUKA
15,2023-12-07,EQ,919.0,930.0,905.1,914.9,914.0,913.1,917.23,982.0,605.1,76219,69910629.35,9420,DHANUKA
16,2023-12-06,EQ,940.0,943.0,905.55,936.45,918.95,914.9,924.14,982.0,605.1,62756,57995550.6,8320,DHANUKA
17,2023-12-05,EQ,971.9,971.9,926.5,964.25,947.0,936.45,947.22,982.0,605.1,58456,55370939.45,6608,DHANUKA
18,2023-12-04,EQ,969.0,982.0,956.95,955.55,964.8,964.25,967.73,982.0,605.1,76519,74050024.65,8993,DHANUKA
19,2023-12-01,EQ,948.15,964.4,938.9,944.65,944.95,955.55,953.76,964.4,605.1,90830,86630183.9,8253,DHANUKA
20,2023-11-30,EQ,938.4,958.0,918.45,931.0,946.0,944.65,940.74,958.0,605.1,118704,111669593.55,10920,DHANUKA
21,2023-11-29,EQ,920.0,938.0,910.5,912.15,930.3,931.0,928.06,948.7,605.1,89086,82677438.7,8572,DHANUKA
22,2023-11-28,EQ,910.0,929.85,903.9,903.8,905.9,912.15,918.38,948.7,605.1,81095,74476364.15,9088,DHANUKA
23,2023-11-24,EQ,890.0,912.95,887.6,889.9,904.0,903.8,901.33,948.7,605.1,51061,46022858.3,6095,DHANUKA
24,2023-11-23,EQ,895.0,908.2,886.05,894.75,887.0,889.9,893.39,948.7,605.1,51928,46391696.75,5843,DHANUKA
25,2023-11-22,EQ,924.0,948.7,883.05,913.1,892.05,894.75,906.16,948.7,605.1,244193,221277681.3,18852,DHANUKA
26,2023-11-21,EQ,878.95,922.0,875.0,876.35,920.0,913.1,899.06,922.0,605.1,257767,231748653.0,16886,DHANUKA
27,2023-11-20,EQ,870.0,892.95,864.05,866.95,878.0,876.35,877.57,909.95,605.1,72676,63778431.55,10018,DHANUKA
28,2023-11-17,EQ,877.0,897.75,861.85,870.7,868.0,866.95,880.08,909.95,605.1,54942,48353324.15,8143,DHANUKA
29,2023-11-16,EQ,889.8,895.95,867.15,884.45,867.15,870.7,884.49,909.95,605.1,104083,92060254.15,11847,DHANUKA
30,2023-11-15,EQ,878.0,900.0,860.35,857.5,888.0,884.45,874.47,909.95,605.1,149824,131016020.35,11402,DHANUKA
31,2023-11-13,EQ,833.0,866.2,833.0,830.55,856.8,857.5,852.15,909.95,605.1,97980,83493235.75,10615,DHANUKA
32,2023-11-12,EQ,836.65,841.35,824.5,829.85,833.0,830.55,832.01,909.95,605.1,22796,18966483.45,1816,DHANUKA
33,2023-11-10,EQ,835.0,849.95,825.0,832.6,832.0,829.85,839.73,909.95,605.1,112141,94168361.15,11691,DHANUKA
34,2023-11-09,EQ,844.1,855.95,825.0,843.4,831.65,832.6,842.59,909.95,605.1,96153,81017414.4,10697,DHANUKA
35,2023-11-08,EQ,884.0,884.0,828.25,874.15,840.0,843.4,850.45,909.95,605.1,389951,331634039.0,31239,DHANUKA
36,2023-11-07,EQ,790.0,909.95,789.6,789.6,883.0,874.15,876.13,909.95,605.1,1187097,1040055756.3,47314,DHANUKA
37,2023-11-06,EQ,797.7,799.9,783.85,780.05,795.0,789.6,792.17,904.95,605.1,41592,32947854.1,6223,DHANUKA
