,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,6463.0,6619.4,6423.1,6464.55,6554.0,6566.75,6550.76,6765.0,2553.0,478071,3131729359.65,57449,DIXON
1,2023-12-28,EQ,6480.9,6500.0,6415.0,6463.95,6463.0,6464.55,6458.32,6765.0,2553.0,216073,1395468377.5,30704,DIXON
2,2023-12-27,EQ,6498.9,6540.0,6415.0,6456.1,6450.8,6463.95,6467.9,6765.0,2553.0,239350,1548092740.25,32231,DIXON
3,2023-12-26,EQ,6460.0,6516.95,6413.0,6478.35,6454.9,6456.1,6462.58,6765.0,2553.0,251311,1624116707.1,30342,DIXON
4,2023-12-22,EQ,6553.9,6584.0,6384.0,6521.65,6456.5,6478.35,6465.57,6765.0,2553.0,535046,3459375861.45,65669,DIXON
5,2023-12-21,EQ,6250.0,6547.3,6235.0,6268.95,6506.4,6521.65,6418.69,6765.0,2553.0,814434,5227598467.9,76156,DIXON
6,2023-12-20,EQ,6419.0,6541.95,6240.3,6366.2,6252.0,6268.95,6448.38,6765.0,2553.0,1020181,6578519287.85,105036,DIXON
7,2023-12-19,EQ,6334.3,6483.7,6316.0,6271.55,6382.1,6366.2,6399.44,6765.0,2553.0,821117,5254688955.7,81196,DIXON
8,2023-12-18,EQ,6315.0,6328.7,6220.0,6316.9,6275.0,6271.55,6283.82,6765.0,2553.0,284445,1787400097.9,27932,DIXON
9,2023-12-15,EQ,6371.2,6404.0,6303.0,6308.05,6330.0,6316.9,6345.19,6765.0,2553.0,441089,2798791435.5,40571,DIXON
10,2023-12-14,EQ,6357.2,6465.0,6286.45,6290.65,6310.05,6308.05,6379.88,6765.0,2553.0,960053,6125018380.6,64462,DIXON
11,2023-12-13,EQ,6356.5,6524.4,6180.0,6356.5,6324.0,6290.65,6322.16,6765.0,2553.0,1427343,9023893168.8,130849,DIXON
12,2023-12-12,EQ,6451.1,6765.0,6329.9,6372.65,6333.15,6356.5,6558.31,6765.0,2553.0,2852230,18705807109.75,252054,DIXON
13,2023-12-11,EQ,5980.0,6400.0,5961.0,5964.9,6396.0,6372.65,6258.06,6400.0,2553.0,1631400,10209392841.0,163065,DIXON
14,2023-12-08,EQ,6010.0,6048.15,5893.4,5988.35,5970.0,5964.9,5957.51,6186.15,2553.0,193098,1150383820.55,25015,DIXON
15,2023-12-07,EQ,5998.8,6038.95,5939.05,5980.2,6000.0,5988.35,5992.81,6186.15,2553.0,164043,983077923.1,22220,DIXON
16,2023-12-06,EQ,6085.0,6085.0,5970.0,6031.1,5994.0,5980.2,6021.49,6186.15,2553.0,234022,1409161574.85,31028,DIXON
17,2023-12-05,EQ,6015.0,6162.05,5967.45,6002.2,6030.0,6031.1,6052.31,6186.15,2553.0,628897,3806278220.4,74626,DIXON
18,2023-12-04,EQ,6110.0,6186.15,5876.0,5951.65,6000.0,6002.2,5985.06,6186.15,2553.0,888607,5318368659.7,90275,DIXON
19,2023-12-01,EQ,5530.0,6034.95,5514.0,5510.6,5959.0,5951.65,5894.63,6034.95,2553.0,2181540,12859377505.85,180413,DIXON
