,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,327.0,328.0,320.75,326.45,323.75,323.5,323.49,364.95,171.7,127487,41241337.0,5154,DLINKINDIA
1,2023-12-28,EQ,333.95,333.95,325.85,331.9,326.5,326.45,328.54,364.95,171.7,133723,43933037.75,5570,DLINKINDIA
2,2023-12-27,EQ,327.85,336.0,323.85,327.5,332.65,331.9,332.45,364.95,171.7,417258,138717796.0,15972,DLINKINDIA
3,2023-12-26,EQ,329.0,329.0,322.95,324.65,327.0,327.5,326.65,364.95,171.7,111139,36304083.35,5392,DLINKINDIA
4,2023-12-22,EQ,324.0,327.7,320.05,320.45,325.7,324.65,324.5,364.95,171.7,111684,36241045.75,6356,DLINKINDIA
5,2023-12-21,EQ,312.2,322.65,310.8,316.35,322.0,320.45,318.98,364.95,171.7,123414,39366606.1,6590,DLINKINDIA
6,2023-12-20,EQ,335.9,337.0,310.0,330.4,314.9,316.35,325.89,364.95,171.7,286037,93217208.05,12440,DLINKINDIA
7,2023-12-19,EQ,334.4,341.05,327.05,326.85,331.05,330.4,333.07,364.95,171.7,372888,124196232.0,13854,DLINKINDIA
8,2023-12-18,EQ,330.8,331.8,326.05,330.15,326.1,326.85,328.96,364.95,171.7,90722,29843745.0,4971,DLINKINDIA
9,2023-12-15,EQ,327.0,335.0,321.3,325.2,330.0,330.15,328.97,364.95,171.7,312555,102822007.75,13102,DLINKINDIA
10,2023-12-14,EQ,324.9,328.95,320.9,322.0,325.95,325.2,324.77,364.95,171.7,177045,57499461.45,6524,DLINKINDIA
11,2023-12-13,EQ,320.05,324.55,318.2,320.05,322.0,322.0,320.93,364.95,171.7,73534,23599458.7,3900,DLINKINDIA
12,2023-12-12,EQ,329.4,329.4,318.2,325.45,319.4,320.05,323.14,364.95,171.7,126604,40910678.65,5945,DLINKINDIA
13,2023-12-11,EQ,326.35,328.25,318.0,327.05,325.85,325.45,323.46,364.95,171.7,137982,44631797.4,6890,DLINKINDIA
14,2023-12-08,EQ,331.55,332.9,323.35,331.8,326.1,327.05,328.07,364.95,171.7,134795,44222163.6,6292,DLINKINDIA
15,2023-12-07,EQ,333.05,334.1,327.5,331.75,331.15,331.8,331.16,364.95,171.7,196727,65147670.0,7879,DLINKINDIA
16,2023-12-06,EQ,318.5,334.5,313.6,315.4,332.2,331.75,329.53,364.95,171.7,842043,277478106.0,21701,DLINKINDIA
17,2023-12-05,EQ,322.0,322.8,312.45,320.2,315.85,315.4,316.05,364.95,171.7,98031,30982381.2,3987,DLINKINDIA
18,2023-12-04,EQ,323.3,323.95,317.85,318.2,320.0,320.2,320.38,364.95,171.7,151902,48666049.1,5891,DLINKINDIA
19,2023-12-01,EQ,308.0,322.9,307.65,307.4,318.0,318.2,315.68,364.95,171.7,263672,83235533.9,9278,DLINKINDIA
20,2023-11-30,EQ,308.9,311.95,306.05,307.45,308.5,307.4,308.38,364.95,171.7,113491,34998739.6,4920,DLINKINDIA
21,2023-11-29,EQ,309.6,310.45,306.0,307.1,306.65,307.45,308.07,364.95,171.7,93687,28862476.6,3315,DLINKINDIA
22,2023-11-28,EQ,309.0,313.8,303.05,308.55,307.95,307.1,309.0,364.95,171.7,92830,28684684.15,3600,DLINKINDIA
