,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,4045.1,4098.9,3984.2,4044.65,4060.0,4082.65,4056.3,4207.95,3292.0,224994,912643430.7,26564,DMART
1,2023-12-28,EQ,4048.9,4058.4,4015.0,4027.45,4045.0,4044.65,4036.7,4207.95,3292.0,403866,1630284749.5,36020,DMART
2,2023-12-27,EQ,4020.0,4063.3,4000.0,4023.45,4008.0,4027.45,4034.91,4207.95,3292.0,349033,1408318232.9,43980,DMART
3,2023-12-26,EQ,4009.95,4038.2,3995.35,4007.95,4023.9,4023.45,4019.22,4207.95,3292.0,299135,1202288505.7,22896,DMART
4,2023-12-22,EQ,3977.95,4015.0,3962.05,3954.5,4010.0,4007.95,3995.49,4207.95,3292.0,224831,898309382.55,24375,DMART
5,2023-12-21,EQ,3950.0,4009.9,3920.05,3965.9,3956.0,3954.5,3955.83,4207.95,3292.0,286850,1134729052.35,41448,DMART
6,2023-12-20,EQ,4011.0,4046.45,3905.0,4021.35,3970.0,3965.9,3974.58,4207.95,3292.0,244858,973207021.95,31818,DMART
7,2023-12-19,EQ,4010.0,4048.95,3990.25,4010.15,4030.0,4021.35,4017.74,4207.95,3292.0,185004,743297339.75,25960,DMART
8,2023-12-18,EQ,4045.0,4079.8,4000.0,4045.65,4002.0,4010.15,4038.15,4207.95,3292.0,221527,894559551.9,28836,DMART
9,2023-12-15,EQ,4085.0,4097.9,4017.0,4070.05,4041.75,4045.65,4043.78,4228.95,3292.0,300270,1214226919.95,31779,DMART
10,2023-12-14,EQ,4044.95,4081.0,3996.05,4033.05,4079.0,4070.05,4046.33,4228.95,3292.0,264682,1070990252.25,28805,DMART
11,2023-12-13,EQ,4075.0,4075.4,3945.1,4075.4,4042.0,4033.05,4011.75,4228.95,3292.0,388573,1558858691.05,43525,DMART
12,2023-12-12,EQ,4080.9,4100.0,4038.1,4069.75,4073.55,4075.4,4055.83,4228.95,3292.0,349447,1417297555.6,29457,DMART
13,2023-12-11,EQ,4070.65,4075.0,4025.05,4070.65,4075.0,4069.75,4046.4,4228.95,3292.0,239939,970889721.95,25584,DMART
14,2023-12-08,EQ,4155.95,4170.0,4027.65,4115.45,4065.0,4070.65,4109.53,4228.95,3292.0,495575,2036582232.85,47713,DMART
15,2023-12-07,EQ,4140.05,4206.0,4095.0,4137.15,4124.0,4115.45,4123.81,4228.95,3292.0,414582,1709657250.7,34000,DMART
16,2023-12-06,EQ,4039.55,4175.0,4039.0,4039.55,4153.0,4137.15,4123.89,4228.95,3292.0,861085,3551020441.6,70238,DMART
17,2023-12-05,EQ,3950.0,4041.0,3949.0,3967.1,4036.0,4039.55,4018.24,4228.95,3292.0,443420,1781765965.35,38558,DMART
18,2023-12-04,EQ,4000.0,4049.0,3950.05,3988.4,3966.1,3967.1,3998.0,4228.95,3292.0,389629,1557736032.0,45957,DMART
19,2023-12-01,EQ,3969.65,3995.0,3931.15,3949.75,3985.0,3988.4,3969.64,4228.95,3292.0,380041,1508625996.2,50483,DMART
20,2023-11-30,EQ,3878.0,3962.0,3834.0,3861.5,3950.0,3949.75,3926.61,4228.95,3292.0,698850,2744114333.35,59505,DMART
