,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,842.0,924.0,838.2,836.15,884.0,878.2,884.62,924.0,431.2,596107,527330266.45,45229,DODLA
1,2023-12-28,EQ,849.4,851.1,831.25,844.45,842.0,836.15,840.47,915.95,431.2,43640,36678317.0,4987,DODLA
2,2023-12-27,EQ,858.0,869.0,836.0,858.05,843.9,844.45,852.67,915.95,431.2,103762,88474669.2,13280,DODLA
3,2023-12-26,EQ,880.0,880.8,851.0,875.95,858.0,858.05,863.01,915.95,431.2,114119,98485647.8,12928,DODLA
4,2023-12-22,EQ,841.9,915.95,836.05,835.55,879.5,875.95,884.61,915.95,431.2,617134,545920845.85,46799,DODLA
5,2023-12-21,EQ,827.4,846.95,817.55,828.4,838.6,835.55,832.74,898.9,431.2,77684,64690873.15,9672,DODLA
6,2023-12-20,EQ,833.8,864.35,812.0,830.15,829.0,828.4,841.31,898.9,431.2,237080,199458849.4,33550,DODLA
7,2023-12-19,EQ,846.0,847.35,825.05,834.15,831.25,830.15,836.97,898.9,431.2,68774,57561622.55,9889,DODLA
8,2023-12-18,EQ,841.7,852.35,825.0,841.7,838.6,834.15,841.39,898.9,431.2,64772,54498464.0,9132,DODLA
9,2023-12-15,EQ,842.7,858.0,830.3,835.05,840.0,841.7,846.72,898.9,431.2,85615,72491632.7,11811,DODLA
10,2023-12-14,EQ,847.4,847.4,830.3,843.6,838.0,835.05,836.18,898.9,431.2,81346,68019777.25,9017,DODLA
11,2023-12-13,EQ,870.25,876.6,840.1,857.35,841.4,843.6,853.43,898.9,431.2,157580,134482866.45,15109,DODLA
12,2023-12-12,EQ,834.75,866.6,820.6,829.25,864.95,857.35,849.32,898.9,431.2,275391,233896167.4,22481,DODLA
13,2023-12-11,EQ,824.9,859.15,821.9,820.15,834.4,829.25,841.86,898.9,431.2,218822,184217280.85,20235,DODLA
14,2023-12-08,EQ,840.9,849.8,808.0,832.75,821.5,820.15,826.23,898.9,431.2,122118,100896961.75,14917,DODLA
15,2023-12-07,EQ,826.9,834.45,820.95,825.25,834.0,832.75,829.85,898.9,431.2,126158,104692348.5,12159,DODLA
16,2023-12-06,EQ,830.0,854.0,813.0,824.45,825.05,825.25,834.82,898.9,431.2,218021,182008476.65,18972,DODLA
17,2023-12-05,EQ,799.8,832.0,796.2,798.2,824.75,824.45,820.36,898.9,431.2,227848,186918320.0,20506,DODLA
18,2023-12-04,EQ,819.9,828.0,795.65,806.45,799.65,798.2,803.48,898.9,431.2,73379,58958777.95,7847,DODLA
19,2023-12-01,EQ,815.0,836.95,801.55,814.0,805.0,806.45,813.43,898.9,431.2,91000,74021718.3,10012,DODLA
20,2023-11-30,EQ,815.0,834.95,801.05,815.25,818.3,814.0,816.01,898.9,431.2,460163,375498948.05,22519,DODLA
21,2023-11-29,EQ,840.35,844.1,794.55,827.3,815.95,815.25,811.48,898.9,431.2,212588,172511627.55,17966,DODLA
22,2023-11-28,EQ,792.0,832.0,783.45,783.4,831.65,827.3,815.86,898.9,431.2,236659,193081154.6,28208,DODLA
23,2023-11-24,EQ,810.4,823.75,774.3,806.85,785.6,783.4,797.93,898.9,431.2,117947,94113252.8,13882,DODLA
24,2023-11-23,EQ,821.2,832.0,801.0,821.4,803.0,806.85,816.28,898.9,431.2,85128,69488447.25,10410,DODLA
25,2023-11-22,EQ,807.95,834.0,802.05,800.4,823.4,821.4,819.3,898.9,431.2,126285,103464916.8,14464,DODLA
26,2023-11-21,EQ,817.8,824.85,788.3,813.45,799.0,800.4,805.65,898.9,431.2,143898,115931623.95,14357,DODLA
27,2023-11-20,EQ,830.0,860.0,807.05,829.05,812.6,813.45,838.07,898.9,431.2,268050,224644153.3,23898,DODLA
28,2023-11-17,EQ,821.8,837.65,815.1,813.85,827.5,829.05,827.75,898.9,431.2,207917,172102376.6,16669,DODLA
29,2023-11-16,EQ,813.75,840.0,805.0,813.0,820.25,813.85,821.81,898.9,431.2,433906,356587297.15,29699,DODLA
30,2023-11-15,EQ,755.0,826.15,752.85,745.95,813.0,813.0,797.86,898.9,431.2,1041905,831293008.7,58399,DODLA
31,2023-11-13,EQ,754.2,755.05,742.0,753.4,747.25,745.95,748.85,898.9,431.2,75714,56698443.35,8391,DODLA
32,2023-11-12,EQ,756.0,765.0,748.1,745.85,754.2,753.4,753.83,898.9,431.2,46265,34876151.15,2567,DODLA
33,2023-11-10,EQ,735.0,749.95,724.8,735.7,746.9,745.85,739.97,898.9,431.2,72367,53549520.35,6885,DODLA
34,2023-11-09,EQ,744.9,747.15,725.4,740.5,734.5,735.7,737.81,898.9,431.2,75336,55583286.65,7842,DODLA
35,2023-11-08,EQ,743.8,749.8,735.3,737.9,739.4,740.5,740.52,898.9,431.2,336234,248989399.1,13507,DODLA
36,2023-11-07,EQ,699.4,745.0,695.05,699.35,734.0,737.9,728.17,898.9,431.2,491260,357722770.45,21156,DODLA
