,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,63.2,63.6,62.3,63.2,62.55,62.5,62.73,71.9,39.25,128662,8071435.75,1215,DOLATALGO
1,2023-12-28,EQ,64.8,65.25,62.9,64.35,63.25,63.2,63.95,71.9,39.25,194233,12420316.1,1745,DOLATALGO
2,2023-12-27,EQ,63.8,65.75,63.3,62.85,64.5,64.35,64.54,71.9,39.25,286117,18466616.3,2767,DOLATALGO
3,2023-12-26,EQ,63.1,64.2,61.5,63.1,63.7,62.85,62.55,71.9,39.25,373569,23367675.45,3014,DOLATALGO
4,2023-12-22,EQ,63.0,64.6,62.7,62.8,62.9,63.1,63.65,71.9,39.25,170913,10878823.8,1849,DOLATALGO
5,2023-12-21,EQ,62.1,64.8,62.1,62.8,63.05,62.8,63.06,71.9,39.25,230771,14552287.55,2382,DOLATALGO
6,2023-12-20,EQ,67.2,68.5,62.5,66.65,63.5,62.8,65.09,71.9,39.25,518458,33746291.3,4913,DOLATALGO
7,2023-12-19,EQ,68.0,68.2,66.35,67.75,66.65,66.65,67.07,71.9,39.25,195333,13101880.1,1695,DOLATALGO
8,2023-12-18,EQ,66.9,68.95,66.25,66.75,67.4,67.75,67.66,71.9,39.25,292793,19810473.9,2513,DOLATALGO
9,2023-12-15,EQ,68.0,68.95,66.0,67.85,66.55,66.75,67.43,71.9,39.25,336595,22696681.75,2694,DOLATALGO
10,2023-12-14,EQ,69.55,70.45,67.55,69.5,67.95,67.85,68.65,71.9,39.25,247252,16974054.25,2403,DOLATALGO
11,2023-12-13,EQ,67.75,71.9,67.0,67.55,69.75,69.5,69.62,71.9,39.25,709031,49363445.75,5219,DOLATALGO
12,2023-12-12,EQ,67.15,69.05,65.2,66.15,68.0,67.55,67.4,71.3,39.25,468594,31583897.4,3719,DOLATALGO
13,2023-12-11,EQ,66.3,67.25,65.45,66.45,66.5,66.15,66.21,71.3,39.25,277208,18352744.05,2252,DOLATALGO
14,2023-12-08,EQ,65.4,68.95,64.75,64.65,65.75,66.45,66.87,72.05,39.25,713960,47742251.35,4482,DOLATALGO
15,2023-12-07,EQ,65.9,66.7,64.55,65.8,64.6,64.65,65.33,72.05,39.25,240536,15713650.8,2018,DOLATALGO
16,2023-12-06,EQ,65.7,66.05,64.1,65.15,66.0,65.8,65.18,72.05,39.25,206946,13488904.55,1558,DOLATALGO
17,2023-12-05,EQ,63.85,66.25,63.8,63.85,65.0,65.15,65.07,72.05,39.25,277743,18073498.6,2114,DOLATALGO
18,2023-12-04,EQ,64.7,65.25,63.2,64.1,63.75,63.85,63.93,72.05,39.25,239971,15342196.4,1921,DOLATALGO
19,2023-12-01,EQ,65.3,66.05,63.9,64.8,63.9,64.1,64.63,72.05,39.25,190292,12297933.85,1513,DOLATALGO
20,2023-11-30,EQ,65.45,66.2,64.55,64.9,65.1,64.8,65.29,72.05,39.25,189542,12374259.7,1342,DOLATALGO
21,2023-11-29,EQ,65.95,66.5,64.75,65.3,65.2,64.9,65.38,72.05,39.25,167592,10957095.8,1464,DOLATALGO
22,2023-11-28,EQ,68.4,68.45,64.8,66.6,65.65,65.3,66.05,72.05,39.25,294506,19452232.45,2206,DOLATALGO
23,2023-11-24,EQ,67.2,68.3,66.45,66.85,66.95,66.6,67.26,72.05,39.25,245675,16524503.95,2101,DOLATALGO
24,2023-11-23,EQ,67.75,68.35,66.4,67.35,66.9,66.85,67.37,72.05,39.25,173382,11680868.55,1629,DOLATALGO
25,2023-11-22,EQ,68.6,69.25,66.75,68.35,67.5,67.35,67.72,72.05,39.25,265367,17971168.65,2477,DOLATALGO
26,2023-11-21,EQ,69.25,71.3,68.15,69.15,68.3,68.35,69.57,72.05,39.25,686945,47790960.25,5149,DOLATALGO
27,2023-11-20,EQ,65.9,69.95,63.5,64.75,69.3,69.15,67.99,72.05,39.25,1229851,83612119.45,6435,DOLATALGO
28,2023-11-17,EQ,65.8,66.6,64.25,65.8,64.8,64.75,65.16,73.4,39.25,301338,19636296.8,2651,DOLATALGO
29,2023-11-16,EQ,67.45,67.9,65.2,67.55,66.0,65.8,66.48,73.4,39.25,414328,27544328.15,3391,DOLATALGO
30,2023-11-15,EQ,67.5,69.45,65.85,65.5,67.45,67.55,67.47,73.4,39.25,1337344,90234621.8,7317,DOLATALGO
31,2023-11-13,EQ,61.15,66.8,60.4,61.05,66.5,65.5,64.24,73.4,39.25,1141747,73350894.45,6221,DOLATALGO
32,2023-11-12,EQ,62.5,62.75,60.5,60.85,60.85,61.05,61.45,73.4,39.25,131531,8083185.4,1165,DOLATALGO
33,2023-11-10,EQ,59.05,62.0,58.4,58.45,61.3,60.85,60.18,73.4,39.25,597771,35973508.8,2669,DOLATALGO
34,2023-11-09,EQ,57.95,59.0,57.65,56.8,58.5,58.45,58.33,73.4,39.25,160526,9363618.4,1039,DOLATALGO
35,2023-11-08,EQ,58.45,58.85,56.1,57.9,57.25,56.8,57.11,73.4,39.25,228178,13031740.5,2010,DOLATALGO
36,2023-11-07,EQ,56.0,60.35,55.95,60.35,58.25,57.9,58.2,73.4,39.25,391592,22791062.0,2584,DOLATALGO
37,2023-11-06,EQ,60.9,61.9,59.45,60.2,60.5,60.35,60.56,73.4,39.25,269689,16332953.45,3077,DOLATALGO
38,2023-11-03,EQ,59.0,62.25,58.05,58.3,60.1,60.2,60.44,73.4,39.25,777246,46978150.7,4899,DOLATALGO
39,2023-11-02,EQ,57.05,59.4,56.55,56.65,58.5,58.3,57.89,73.4,39.25,428637,24815882.55,2853,DOLATALGO
40,2023-11-01,EQ,59.0,59.4,55.9,58.5,57.0,56.65,57.65,73.4,39.25,659493,38021918.45,2779,DOLATALGO
41,2023-10-31,EQ,56.1,59.8,55.85,55.45,58.6,58.5,58.28,73.4,39.25,431763,25161305.75,3455,DOLATALGO
42,2023-10-30,EQ,57.4,57.8,55.05,56.8,55.15,55.45,56.24,73.4,39.25,242708,13650386.05,1783,DOLATALGO
43,2023-10-27,EQ,56.9,58.25,55.95,56.45,57.1,56.8,56.97,73.4,39.25,219230,12489487.5,2027,DOLATALGO
44,2023-10-26,EQ,54.05,56.95,52.3,54.65,56.75,56.45,54.8,73.4,39.25,334512,18330822.1,2712,DOLATALGO
45,2023-10-25,EQ,53.75,57.45,52.5,54.2,54.4,54.65,54.87,73.4,39.25,496827,27261196.0,2863,DOLATALGO
46,2023-10-23,EQ,58.0,59.45,53.55,58.25,54.0,54.2,55.86,73.4,39.25,524048,29272226.8,3497,DOLATALGO
47,2023-10-20,EQ,59.75,60.65,57.85,59.75,58.0,58.25,59.04,73.4,39.25,221135,13054786.3,1745,DOLATALGO
48,2023-10-19,EQ,60.2,61.85,59.4,59.85,59.9,59.75,60.63,73.4,39.25,185965,11274164.0,1819,DOLATALGO
49,2023-10-18,EQ,61.65,62.7,58.75,61.65,60.7,59.85,60.7,73.4,39.25,423193,25686443.8,3039,DOLATALGO
50,2023-10-17,EQ,61.4,63.0,61.3,61.5,61.4,61.65,62.01,73.4,39.25,252565,15662606.0,2143,DOLATALGO
51,2023-10-16,EQ,63.0,63.2,61.05,63.0,61.4,61.5,62.04,73.4,39.25,455221,28243862.0,3345,DOLATALGO
52,2023-10-13,EQ,61.65,65.25,60.9,61.7,62.9,63.0,63.57,75.3,39.25,1052800,66925220.45,7212,DOLATALGO
53,2023-10-12,EQ,58.7,63.15,58.7,58.4,61.75,61.7,61.64,75.3,39.25,1594029,98260221.45,8877,DOLATALGO
54,2023-10-11,EQ,59.95,60.8,57.5,58.85,58.75,58.4,59.27,75.3,39.25,1083725,64231054.6,7633,DOLATALGO
55,2023-10-10,EQ,53.05,59.8,53.0,53.05,58.75,58.85,57.53,75.3,39.25,2212419,127288933.8,13078,DOLATALGO
56,2023-10-09,EQ,54.95,55.1,52.2,55.0,53.3,53.05,53.64,75.3,39.25,513749,27556855.6,5099,DOLATALGO
