,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,2646.65,2651.75,2566.4,2634.35,2595.0,2591.6,2604.96,2760.0,1221.0,66981,174482519.35,11104,ECLERX
1,2023-12-28,EQ,2610.0,2680.45,2586.4,2595.5,2628.0,2634.35,2626.47,2760.0,1221.0,144303,379008099.75,12919,ECLERX
2,2023-12-27,EQ,2621.0,2656.7,2560.75,2615.85,2590.0,2595.5,2590.14,2760.0,1221.0,150498,389810742.85,11682,ECLERX
3,2023-12-26,EQ,2579.95,2640.9,2545.1,2580.1,2610.5,2615.85,2605.68,2760.0,1221.0,132353,344870140.65,16088,ECLERX
4,2023-12-22,EQ,2532.3,2613.0,2532.3,2528.65,2578.4,2580.1,2584.15,2760.0,1221.0,73772,190637631.9,10458,ECLERX
5,2023-12-21,EQ,2539.0,2559.95,2464.0,2544.65,2531.0,2528.65,2503.77,2760.0,1221.0,81905,205071052.95,11766,ECLERX
6,2023-12-20,EQ,2534.45,2624.8,2503.0,2534.45,2530.0,2544.65,2575.62,2760.0,1221.0,155924,401601182.45,19495,ECLERX
7,2023-12-19,EQ,2531.0,2559.95,2482.55,2512.7,2535.0,2534.45,2498.34,2760.0,1221.0,108572,271249712.75,8666,ECLERX
8,2023-12-18,EQ,2549.8,2556.75,2495.0,2542.6,2517.0,2512.7,2527.34,2760.0,1221.0,63901,161499329.75,8441,ECLERX
9,2023-12-15,EQ,2535.5,2601.0,2522.0,2522.15,2534.7,2542.6,2563.1,2760.0,1221.0,141299,362163243.0,18081,ECLERX
10,2023-12-14,EQ,2534.75,2584.9,2490.8,2497.3,2491.6,2522.15,2542.95,2760.0,1221.0,120991,307673525.75,11569,ECLERX
11,2023-12-13,EQ,2480.2,2575.0,2478.8,2477.7,2482.45,2497.3,2512.51,2760.0,1221.0,71722,180202301.5,15050,ECLERX
12,2023-12-12,EQ,2600.0,2605.95,2457.0,2573.65,2490.0,2477.7,2508.57,2760.0,1221.0,75871,190328065.85,12941,ECLERX
13,2023-12-11,EQ,2581.55,2610.0,2545.5,2543.4,2587.0,2573.65,2572.25,2760.0,1221.0,37789,97202711.55,6610,ECLERX
14,2023-12-08,EQ,2630.0,2630.0,2525.0,2612.35,2552.0,2543.4,2566.14,2760.0,1221.0,34274,87951846.45,5018,ECLERX
15,2023-12-07,EQ,2576.0,2625.0,2560.0,2558.85,2611.8,2612.35,2601.58,2760.0,1221.0,40210,104609596.5,5870,ECLERX
16,2023-12-06,EQ,2593.4,2616.5,2538.15,2592.55,2564.75,2558.85,2569.27,2760.0,1221.0,37810,97144262.75,6617,ECLERX
17,2023-12-05,EQ,2630.0,2665.95,2571.2,2628.15,2592.0,2592.55,2608.86,2760.0,1221.0,62846,163956315.0,9170,ECLERX
18,2023-12-04,EQ,2750.65,2756.0,2604.3,2632.95,2620.0,2628.15,2637.76,2760.0,1221.0,73172,193010328.05,12063,ECLERX
19,2023-12-01,EQ,2710.0,2710.0,2612.8,2676.9,2612.8,2632.95,2649.19,2760.0,1221.0,100112,265216035.1,13500,ECLERX
20,2023-11-30,EQ,2600.0,2728.8,2538.65,2608.6,2719.5,2676.9,2616.59,2760.0,1221.0,209641,548544172.6,27692,ECLERX
21,2023-11-29,EQ,2513.0,2635.45,2495.0,2491.05,2600.0,2608.6,2584.59,2760.0,1221.0,194446,502563399.7,19911,ECLERX
22,2023-11-28,EQ,2599.65,2613.75,2476.9,2589.25,2498.95,2491.05,2526.85,2760.0,1221.0,128221,323995404.95,18298,ECLERX
23,2023-11-24,EQ,2641.2,2660.95,2552.0,2650.35,2576.8,2589.25,2595.32,2760.0,1221.0,225207,584485292.25,20831,ECLERX
24,2023-11-23,EQ,2582.05,2675.0,2507.05,2627.2,2641.15,2650.35,2584.57,2760.0,1221.0,389980,1007928787.75,37729,ECLERX
25,2023-11-22,EQ,2345.9,2760.0,2337.4,2337.4,2584.05,2627.2,2614.9,2760.0,1221.0,1350246,3530762716.05,106095,ECLERX
26,2023-11-21,EQ,2385.0,2464.25,2313.2,2397.1,2345.0,2337.4,2386.28,2474.25,1221.0,111919,267070079.85,15184,ECLERX
27,2023-11-20,EQ,2420.0,2464.8,2374.95,2414.65,2381.55,2397.1,2419.16,2474.25,1221.0,67287,162778014.8,11189,ECLERX
28,2023-11-17,EQ,2381.5,2474.25,2377.55,2369.0,2421.05,2414.65,2438.11,2474.25,1221.0,131102,319641297.7,19935,ECLERX
29,2023-11-16,EQ,2440.0,2473.45,2351.05,2431.65,2362.65,2369.0,2392.41,2473.45,1221.0,127291,304532720.55,15743,ECLERX
30,2023-11-15,EQ,2344.0,2468.0,2280.8,2318.65,2462.0,2431.65,2413.76,2468.0,1221.0,435202,1050475270.15,40495,ECLERX
31,2023-11-13,EQ,2220.0,2337.9,2202.25,2203.35,2303.0,2318.65,2275.81,2337.9,1221.0,291130,662557374.4,27065,ECLERX
32,2023-11-12,EQ,2180.0,2238.0,2160.2,2151.9,2194.0,2203.35,2213.92,2250.0,1221.0,74400,164715665.3,4129,ECLERX
33,2023-11-10,EQ,2167.9,2195.0,2110.0,2056.15,2131.05,2151.9,2149.99,2250.0,1221.0,383952,825491480.55,31752,ECLERX
34,2023-11-09,EQ,2099.8,2130.0,2002.0,2088.85,2062.0,2056.15,2093.31,2250.0,1221.0,37257,77990400.95,6999,ECLERX
35,2023-11-08,EQ,2110.0,2110.0,2057.5,2094.2,2093.0,2088.85,2082.44,2250.0,1221.0,47014,97903982.6,7831,ECLERX
36,2023-11-07,EQ,2044.6,2105.0,2015.05,2043.1,2092.3,2094.2,2071.53,2250.0,1221.0,75596,156599319.0,8788,ECLERX
37,2023-11-06,EQ,1968.0,2063.85,1963.0,1966.9,2050.0,2043.1,2011.3,2250.0,1221.0,70924,142649331.45,7995,ECLERX
38,2023-11-03,EQ,1978.55,2005.55,1960.05,1976.8,1962.0,1966.9,1983.7,2250.0,1221.0,17424,34564018.55,3724,ECLERX
39,2023-11-02,EQ,1989.0,2002.65,1941.0,1980.4,1975.0,1976.8,1968.21,2250.0,1221.0,52914,104146036.1,9110,ECLERX
40,2023-11-01,EQ,1961.0,1986.95,1926.0,1958.0,1972.2,1980.4,1975.16,2250.0,1221.0,57973,114505729.35,14080,ECLERX
41,2023-10-31,EQ,1986.05,1994.45,1942.2,1977.4,1942.2,1958.0,1975.97,2250.0,1221.0,158002,312207034.8,7776,ECLERX
42,2023-10-30,EQ,1942.0,2008.65,1915.0,1949.6,1965.2,1977.4,1977.6,2250.0,1221.0,74961,148242824.75,15601,ECLERX
43,2023-10-27,EQ,1919.85,1974.85,1910.2,1899.85,1935.0,1949.6,1955.69,2250.0,1221.0,52763,103188171.8,12537,ECLERX
44,2023-10-26,EQ,1918.7,1933.95,1871.0,1936.35,1908.95,1899.85,1897.05,2250.0,1221.0,92777,176002202.6,15133,ECLERX
45,2023-10-25,EQ,1970.0,1970.0,1878.25,1936.85,1939.8,1936.35,1915.14,2250.0,1221.0,113874,218084919.5,20783,ECLERX
46,2023-10-23,EQ,2022.95,2023.0,1865.5,2017.0,1915.55,1936.85,1920.91,2250.0,1221.0,186198,357669405.3,23235,ECLERX
47,2023-10-20,EQ,2053.25,2065.0,2000.0,2053.25,2005.0,2017.0,2032.19,2250.0,1221.0,24790,50377886.85,4786,ECLERX
48,2023-10-19,EQ,2043.0,2070.0,2020.1,2053.3,2066.8,2053.25,2037.18,2250.0,1221.0,43170,87945181.7,7718,ECLERX
49,2023-10-18,EQ,2085.0,2087.7,2012.5,2073.5,2042.0,2053.3,2046.13,2250.0,1221.0,35030,71676032.2,6023,ECLERX
50,2023-10-17,EQ,2090.0,2104.95,2065.0,2073.8,2069.0,2073.5,2080.68,2250.0,1221.0,31242,65004695.9,5161,ECLERX
51,2023-10-16,EQ,2119.65,2144.3,2061.05,2090.65,2070.0,2073.8,2089.94,2250.0,1221.0,78773,164631010.85,11619,ECLERX
52,2023-10-13,EQ,2145.0,2198.9,2061.0,2154.1,2096.0,2090.65,2144.18,2250.0,1221.0,135913,291422159.1,10949,ECLERX
53,2023-10-12,EQ,2168.0,2178.0,2138.0,2168.0,2149.0,2154.1,2156.19,2250.0,1221.0,151135,325875473.5,11519,ECLERX
54,2023-10-11,EQ,2086.4,2250.0,2080.7,2086.35,2155.0,2168.0,2172.92,2250.0,1221.0,552088,1199641090.4,41187,ECLERX
55,2023-10-10,EQ,2100.0,2149.0,2061.0,2091.15,2082.0,2086.35,2096.22,2168.7,1221.0,149655,313710273.65,10618,ECLERX
56,2023-10-09,EQ,2150.0,2150.0,2053.1,2147.85,2089.0,2091.15,2090.01,2168.7,1221.0,191758,400776127.7,16945,ECLERX
57,2023-10-06,EQ,2038.0,2168.7,1980.0,2022.25,2160.0,2147.85,2071.35,2168.7,1221.0,665657,1378807101.5,46623,ECLERX
58,2023-10-05,EQ,1848.0,2049.0,1816.1,1856.85,2039.0,2022.25,1967.07,2049.0,1221.0,770675,1515970749.9,43888,ECLERX
59,2023-10-04,EQ,1845.0,1885.0,1810.1,1860.8,1850.0,1856.85,1862.13,1924.0,1221.0,99569,185410462.05,8324,ECLERX
60,2023-10-03,EQ,1800.0,1871.85,1798.25,1801.75,1857.0,1860.8,1847.83,1924.0,1221.0,112864,208553869.15,9972,ECLERX
61,2023-09-29,EQ,1803.95,1845.6,1770.0,1796.9,1817.65,1801.75,1790.51,1924.0,1221.0,43205,77358794.45,7356,ECLERX
62,2023-09-28,EQ,1813.95,1850.0,1781.05,1793.4,1815.0,1796.9,1796.95,1924.0,1221.0,31640,56855382.8,5021,ECLERX
63,2023-09-27,EQ,1799.0,1853.5,1778.0,1768.9,1793.85,1793.4,1814.53,1924.0,1221.0,129057,234177256.75,17623,ECLERX
64,2023-09-26,EQ,1800.85,1808.6,1757.0,1800.85,1780.0,1768.9,1781.37,1924.0,1221.0,43346,77215448.05,5802,ECLERX
