,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,4099.95,4178.0,4094.0,4091.9,4132.0,4143.5,4127.17,4200.0,2836.0,673952,2781515084.85,73437,EICHERMOT
1,2023-12-28,EQ,4120.0,4130.0,4080.9,4120.0,4095.7,4091.9,4098.37,4200.0,2836.0,450475,1846212353.95,51992,EICHERMOT
2,2023-12-27,EQ,4068.0,4134.95,4042.1,4040.4,4101.2,4120.0,4080.71,4200.0,2836.0,385941,1574914140.55,55793,EICHERMOT
3,2023-12-26,EQ,4024.8,4069.65,4012.0,4006.05,4040.0,4040.4,4046.41,4200.0,2836.0,475107,1922476596.95,41985,EICHERMOT
4,2023-12-22,EQ,3983.0,4016.95,3948.2,3957.95,4002.0,4006.05,3985.61,4200.0,2836.0,309907,1235169504.7,44510,EICHERMOT
5,2023-12-21,EQ,3900.0,4007.9,3847.55,3912.4,3963.85,3957.95,3944.46,4200.0,2836.0,445648,1757841172.5,59359,EICHERMOT
6,2023-12-20,EQ,4074.75,4132.45,3891.7,4039.65,3905.0,3912.4,4029.63,4200.0,2836.0,557214,2245364079.1,56864,EICHERMOT
7,2023-12-19,EQ,4094.8,4109.55,4022.4,4085.5,4048.8,4039.65,4045.43,4200.0,2836.0,328368,1328391342.95,38640,EICHERMOT
8,2023-12-18,EQ,4076.0,4165.0,4068.5,4059.9,4071.95,4085.5,4114.38,4200.0,2836.0,886620,3647892649.0,53342,EICHERMOT
9,2023-12-15,EQ,4099.7,4135.3,4045.0,4086.15,4060.0,4059.9,4072.04,4200.0,2836.0,954933,3888526142.25,68632,EICHERMOT
10,2023-12-14,EQ,4058.0,4100.0,4045.0,4032.75,4080.0,4086.15,4078.98,4200.0,2836.0,922658,3763506841.05,87374,EICHERMOT
11,2023-12-13,EQ,3969.0,4044.95,3957.95,3951.75,4036.0,4032.75,4004.49,4200.0,2836.0,707209,2832013377.95,57300,EICHERMOT
12,2023-12-12,EQ,4047.45,4047.45,3936.15,4025.65,3959.85,3951.75,3969.46,4200.0,2836.0,981121,3894524955.35,60887,EICHERMOT
13,2023-12-11,EQ,4055.0,4068.9,4010.0,4055.0,4012.0,4025.65,4039.08,4200.0,2836.0,534584,2159229681.7,39054,EICHERMOT
