,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,455.85,465.95,445.0,455.85,463.0,461.95,459.64,549.9,365.0,32333,14861571.6,2415,EIHAHOTELS
1,2023-12-28,EQ,453.5,459.0,453.35,451.3,457.0,455.85,455.62,549.9,365.0,12551,5718515.15,864,EIHAHOTELS
2,2023-12-27,EQ,456.5,458.45,445.15,454.2,454.1,451.3,452.4,549.9,365.0,20084,9086081.25,1983,EIHAHOTELS
3,2023-12-26,EQ,459.35,460.65,451.85,457.05,456.5,454.2,456.45,549.9,365.0,10862,4957951.05,1278,EIHAHOTELS
4,2023-12-22,EQ,450.6,463.7,449.25,449.05,458.0,457.05,456.27,549.9,365.0,40590,18520047.15,2884,EIHAHOTELS
5,2023-12-21,EQ,450.3,459.95,436.0,450.3,452.3,449.05,448.12,549.9,365.0,32935,14758696.45,3480,EIHAHOTELS
6,2023-12-20,EQ,461.95,465.95,448.0,461.8,452.0,450.3,458.02,549.9,365.0,57536,26352387.0,5156,EIHAHOTELS
7,2023-12-19,EQ,462.9,463.55,456.75,460.55,463.5,461.8,460.39,549.9,365.0,18670,8595402.0,2050,EIHAHOTELS
8,2023-12-18,EQ,458.35,462.55,457.7,457.4,459.9,460.55,459.88,549.9,365.0,21007,9660676.25,2181,EIHAHOTELS
9,2023-12-15,EQ,466.15,468.7,452.1,463.8,455.3,457.4,460.65,549.9,365.0,25189,11603340.75,3093,EIHAHOTELS
10,2023-12-14,EQ,476.3,477.7,456.2,473.9,466.65,463.8,462.94,549.9,365.0,52553,24328749.7,4950,EIHAHOTELS
11,2023-12-13,EQ,474.0,477.0,467.25,471.95,476.0,473.9,470.96,549.9,365.0,36862,17360353.15,3223,EIHAHOTELS
12,2023-12-12,EQ,473.2,477.0,470.0,470.7,471.0,471.95,474.37,549.9,365.0,45962,21802861.7,4166,EIHAHOTELS
13,2023-12-11,EQ,483.0,485.85,467.4,477.2,472.7,470.7,476.2,549.9,365.0,48903,23287610.15,5505,EIHAHOTELS
14,2023-12-08,EQ,480.0,484.45,471.6,471.65,476.65,477.2,478.69,549.9,365.0,67016,32079924.2,5950,EIHAHOTELS
15,2023-12-07,EQ,457.2,478.0,455.25,454.9,476.85,471.65,468.29,549.9,365.0,87485,40968620.1,8102,EIHAHOTELS
16,2023-12-06,EQ,444.35,463.9,442.4,442.1,456.4,454.9,453.84,549.9,365.0,67016,30414355.0,4780,EIHAHOTELS
17,2023-12-05,EQ,443.85,450.85,436.45,440.6,442.0,442.1,444.33,549.9,365.0,56558,25130248.25,4973,EIHAHOTELS
18,2023-12-04,EQ,444.4,446.5,438.0,440.15,440.8,440.6,442.02,549.9,365.0,19560,8645956.65,1568,EIHAHOTELS
19,2023-12-01,EQ,439.55,442.05,437.55,438.35,438.35,440.15,440.02,549.9,365.0,29088,12799195.85,2365,EIHAHOTELS
