,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,243.2,250.5,243.0,243.2,248.8,249.5,248.09,274.95,150.35,1250619,310270983.95,17721,EIHOTEL
1,2023-12-28,EQ,242.0,244.5,242.0,241.95,243.0,243.2,243.06,274.95,150.35,1089030,264703732.85,8564,EIHOTEL
2,2023-12-27,EQ,242.1,243.7,240.25,241.35,242.0,241.95,242.2,274.95,150.35,534865,129541867.75,10747,EIHOTEL
3,2023-12-26,EQ,235.65,242.15,235.65,237.55,239.5,241.35,239.72,274.95,150.35,709649,170114899.25,18460,EIHOTEL
4,2023-12-22,EQ,234.7,238.7,233.15,234.7,238.0,237.55,236.33,274.95,150.35,549097,129768233.85,14236,EIHOTEL
5,2023-12-21,EQ,225.65,235.25,222.45,228.5,234.05,234.7,229.45,274.95,150.35,1206560,276843932.75,24858,EIHOTEL
6,2023-12-20,EQ,244.25,245.45,227.15,243.25,228.55,228.5,235.74,274.95,150.35,1639721,386554300.6,39931,EIHOTEL
7,2023-12-19,EQ,245.9,248.6,242.05,245.15,244.3,243.25,245.48,274.95,150.35,599675,147208983.55,13896,EIHOTEL
8,2023-12-18,EQ,243.05,250.0,242.65,243.75,245.5,245.15,245.92,274.95,150.35,1489340,366252938.85,18663,EIHOTEL
9,2023-12-15,EQ,244.0,246.45,242.1,242.6,244.0,243.75,243.77,274.95,150.35,1097731,267590869.45,20929,EIHOTEL
10,2023-12-14,EQ,244.7,245.2,241.05,241.55,242.6,242.6,242.86,274.95,150.35,755904,183578085.05,18797,EIHOTEL
11,2023-12-13,EQ,245.9,246.45,239.0,244.75,241.0,241.55,242.08,274.95,150.35,709273,171699574.15,18255,EIHOTEL
12,2023-12-12,EQ,251.0,251.05,243.0,248.65,244.7,244.75,246.77,274.95,150.35,699213,172543475.75,12203,EIHOTEL
13,2023-12-11,EQ,250.95,251.7,246.3,247.35,248.45,248.65,247.49,274.95,150.35,2632189,651433970.25,15055,EIHOTEL
14,2023-12-08,EQ,250.1,255.5,243.0,249.4,247.95,247.35,249.93,274.95,150.35,1646185,411429443.95,24651,EIHOTEL
15,2023-12-07,EQ,238.65,251.0,238.0,239.15,250.0,249.4,247.09,274.95,150.35,2674962,660959009.0,37419,EIHOTEL
16,2023-12-06,EQ,240.95,241.55,238.3,239.95,239.0,239.15,239.29,274.95,150.35,737513,176477285.3,9253,EIHOTEL
17,2023-12-05,EQ,239.9,244.55,237.8,238.85,240.2,239.95,241.13,274.95,150.35,855793,206360228.2,15931,EIHOTEL
18,2023-12-04,EQ,239.6,243.0,237.1,236.2,238.5,238.85,239.84,274.95,150.35,1089696,261347633.65,18031,EIHOTEL
19,2023-12-01,EQ,236.45,238.2,234.55,237.9,235.5,236.2,236.23,274.95,150.35,854274,201803487.35,15362,EIHOTEL
20,2023-11-30,EQ,237.0,239.0,233.9,235.45,237.45,237.9,236.46,274.95,150.35,660897,156277694.75,13629,EIHOTEL
21,2023-11-29,EQ,240.0,240.6,234.0,239.0,236.0,235.45,236.01,274.95,150.35,627077,147998799.75,12176,EIHOTEL
22,2023-11-28,EQ,237.0,241.6,231.9,234.6,237.6,239.0,238.1,274.95,150.35,1141041,271681363.45,17497,EIHOTEL
23,2023-11-24,EQ,239.5,241.0,233.6,238.2,235.9,234.6,236.06,274.95,150.35,412207,97305952.95,9636,EIHOTEL
