,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,1870.45,1948.0,1870.0,1870.45,1920.0,1933.2,1905.76,1948.0,1179.0,523713,998071443.75,48111,ENDURANCE
1,2023-12-28,EQ,1818.0,1880.0,1790.05,1786.4,1869.9,1870.45,1839.98,1880.0,1179.0,235875,434006302.6,21452,ENDURANCE
2,2023-12-27,EQ,1805.0,1830.0,1770.0,1801.95,1818.0,1786.4,1790.37,1864.9,1179.0,82685,148036728.85,9485,ENDURANCE
3,2023-12-26,EQ,1838.0,1847.35,1796.0,1833.95,1810.0,1801.95,1815.86,1864.9,1179.0,44545,80887615.9,7883,ENDURANCE
4,2023-12-22,EQ,1810.0,1864.9,1787.3,1803.65,1823.65,1833.95,1840.21,1864.9,1179.0,262908,483806332.9,34726,ENDURANCE
5,2023-12-21,EQ,1754.5,1806.0,1736.35,1745.3,1800.0,1803.65,1793.18,1825.0,1179.0,129229,231730535.2,17094,ENDURANCE
6,2023-12-20,EQ,1785.15,1818.0,1720.1,1781.7,1767.0,1745.3,1772.03,1825.0,1179.0,130438,231139429.45,16979,ENDURANCE
7,2023-12-19,EQ,1790.0,1818.7,1769.7,1774.2,1772.4,1781.7,1808.29,1825.0,1179.0,541381,978971631.75,21718,ENDURANCE
8,2023-12-18,EQ,1750.0,1825.0,1705.05,1736.55,1773.0,1774.2,1780.88,1825.0,1179.0,361954,644595702.0,31727,ENDURANCE
9,2023-12-15,EQ,1697.25,1745.45,1691.0,1688.85,1729.0,1736.55,1726.04,1767.15,1179.0,119240,205812754.05,10251,ENDURANCE
10,2023-12-14,EQ,1705.0,1723.95,1685.15,1698.95,1690.0,1688.85,1697.18,1767.15,1179.0,31564,53569784.3,4564,ENDURANCE
11,2023-12-13,EQ,1736.0,1740.0,1691.2,1712.0,1698.0,1698.95,1715.31,1767.15,1179.0,78670,134943348.25,9533,ENDURANCE
12,2023-12-12,EQ,1669.95,1725.0,1668.0,1665.4,1717.0,1712.0,1709.06,1767.15,1179.0,156826,268025704.45,13453,ENDURANCE
13,2023-12-11,EQ,1681.9,1688.2,1639.05,1670.5,1670.0,1665.4,1654.27,1767.15,1179.0,70408,116473671.65,12591,ENDURANCE
14,2023-12-08,EQ,1688.5,1702.5,1655.0,1679.7,1670.0,1670.5,1675.92,1767.15,1179.0,42303,70896499.7,7364,ENDURANCE
15,2023-12-07,EQ,1691.0,1738.4,1666.95,1690.65,1679.9,1679.7,1699.82,1767.15,1179.0,109828,186688025.6,14129,ENDURANCE
