,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,197.75,202.9,196.2,197.2,201.1,201.9,200.32,236.15,147.0,750029,150247819.0,12918,EPL
1,2023-12-28,EQ,200.0,200.75,196.65,199.15,197.3,197.2,197.97,236.15,147.0,408677,80907067.65,10687,EPL
2,2023-12-27,EQ,199.0,203.75,198.05,197.25,198.65,199.15,200.71,236.15,147.0,691936,138877996.9,13802,EPL
3,2023-12-26,EQ,197.5,198.85,196.6,197.35,197.5,197.25,197.55,236.15,147.0,345414,68235580.0,6847,EPL
4,2023-12-22,EQ,198.45,201.0,196.6,197.4,197.0,197.35,198.9,236.15,147.0,396989,78960488.5,8163,EPL
5,2023-12-21,EQ,190.0,198.7,189.4,193.0,197.5,197.4,195.21,236.15,147.0,711689,138931254.45,18567,EPL
6,2023-12-20,EQ,202.0,204.6,192.3,200.9,193.0,193.0,198.49,236.15,147.0,1001157,198718632.45,22928,EPL
7,2023-12-19,EQ,204.0,204.75,200.5,204.0,201.0,200.9,202.0,236.15,147.0,579248,117006696.25,12225,EPL
8,2023-12-18,EQ,204.9,206.6,200.05,204.7,204.0,204.0,204.0,236.15,147.0,673090,137311518.35,13505,EPL
9,2023-12-15,EQ,208.5,209.35,202.55,207.1,204.75,204.7,205.84,236.15,147.0,837551,172397370.0,14212,EPL
10,2023-12-14,EQ,208.45,209.9,206.45,205.9,207.9,207.1,207.89,236.15,147.0,952362,197988974.55,20050,EPL
11,2023-12-13,EQ,207.9,213.15,205.1,203.55,206.0,205.9,208.81,236.15,147.0,2604776,543904839.4,37961,EPL
12,2023-12-12,EQ,200.0,209.9,199.95,199.05,204.8,203.55,206.99,236.15,147.0,4561136,944119804.55,53480,EPL
13,2023-12-11,EQ,198.9,201.0,197.0,198.0,199.6,199.05,198.7,236.15,147.0,606228,120459612.45,25756,EPL
14,2023-12-08,EQ,202.5,202.5,196.25,201.55,197.5,198.0,198.99,236.15,147.0,540319,107517685.05,13214,EPL
15,2023-12-07,EQ,198.65,202.45,198.05,197.7,200.95,201.55,200.98,236.15,147.0,1303365,261949522.0,36475,EPL
16,2023-12-06,EQ,198.15,203.9,196.8,198.05,197.5,197.7,200.36,236.15,147.0,1252759,250997331.25,21768,EPL
17,2023-12-05,EQ,198.8,199.0,196.7,197.9,198.15,198.05,197.74,236.15,147.0,1128789,223203415.8,23765,EPL
18,2023-12-04,EQ,199.0,199.4,196.05,196.3,197.55,197.9,197.69,236.15,147.0,841223,166302540.15,25386,EPL
19,2023-12-01,EQ,196.05,199.75,195.15,195.75,195.5,196.3,197.47,236.15,147.0,676529,133595053.4,16150,EPL
20,2023-11-30,EQ,195.9,196.95,195.1,195.9,195.2,195.75,196.0,236.15,147.0,375198,73538411.7,14807,EPL
21,2023-11-29,EQ,197.0,199.15,195.3,196.65,195.85,195.9,196.99,236.15,147.0,571294,112541366.15,17706,EPL
22,2023-11-28,EQ,199.8,200.65,195.5,198.75,197.45,196.65,197.47,236.15,147.0,457850,90413169.5,11592,EPL
23,2023-11-24,EQ,199.25,202.6,197.25,199.2,198.05,198.75,199.99,236.15,147.0,537860,107565947.1,11423,EPL
24,2023-11-23,EQ,200.8,201.85,198.55,199.95,198.9,199.2,200.16,236.15,147.0,511408,102361728.2,10728,EPL
25,2023-11-22,EQ,200.85,204.85,197.55,198.95,199.8,199.95,201.64,236.15,147.0,1589543,320520218.05,22610,EPL
26,2023-11-21,EQ,192.7,204.7,192.0,193.35,199.75,198.95,200.63,236.15,147.0,4779558,958933165.85,56207,EPL
27,2023-11-20,EQ,192.0,194.2,191.05,191.0,193.5,193.35,192.49,236.15,147.0,390498,75167951.5,10698,EPL
28,2023-11-17,EQ,193.85,193.85,190.05,192.5,191.3,191.0,191.04,236.15,147.0,984454,188073892.3,20476,EPL
29,2023-11-16,EQ,194.2,194.25,192.2,192.75,192.5,192.5,192.9,236.15,147.0,341514,65878584.35,7451,EPL
30,2023-11-15,EQ,197.0,197.0,192.0,193.95,192.95,192.75,193.17,236.15,147.0,896178,173110283.85,12103,EPL
31,2023-11-13,EQ,194.8,197.0,192.3,193.7,193.9,193.95,194.58,236.15,147.0,509793,99194608.1,10204,EPL
32,2023-11-12,EQ,197.5,198.65,191.35,192.75,193.45,193.7,194.78,236.15,147.0,255399,49745819.45,3834,EPL
33,2023-11-10,EQ,194.0,196.2,191.95,194.05,193.5,192.75,194.08,236.15,147.0,397454,77139414.15,6655,EPL
34,2023-11-09,EQ,203.0,203.0,190.9,199.3,194.3,194.05,195.15,236.15,147.0,1341747,261835824.15,19906,EPL
35,2023-11-08,EQ,201.0,203.9,197.85,198.85,198.95,199.3,200.7,236.15,147.0,1836193,368530631.2,27545,EPL
36,2023-11-07,EQ,194.85,201.4,191.8,194.85,201.4,198.85,197.19,236.15,147.0,1709193,337038259.95,17924,EPL
37,2023-11-06,EQ,190.7,197.45,190.7,189.75,194.9,194.85,194.88,236.15,147.0,444206,86565192.2,10384,EPL
38,2023-11-03,EQ,192.8,198.5,188.5,190.45,190.0,189.75,194.41,236.15,147.0,1247516,242534206.1,19394,EPL
39,2023-11-02,EQ,188.0,192.7,186.65,186.2,190.8,190.45,189.74,236.15,147.0,674812,128041465.7,15256,EPL
40,2023-11-01,EQ,182.3,187.2,180.25,180.55,186.0,186.2,184.22,236.15,147.0,501017,92299252.1,10298,EPL
41,2023-10-31,EQ,182.45,182.7,180.0,181.45,181.45,180.55,181.22,236.15,147.0,273253,49518831.8,6311,EPL
42,2023-10-30,EQ,181.3,183.85,180.75,183.5,181.35,181.45,182.02,236.15,147.0,279766,50923059.45,7599,EPL
43,2023-10-27,EQ,184.7,185.7,182.0,182.85,183.3,183.5,183.88,236.15,147.0,394488,72537948.85,10177,EPL
44,2023-10-26,EQ,181.4,183.8,178.35,181.65,182.8,182.85,182.09,236.15,147.0,545653,99356397.55,11781,EPL
45,2023-10-25,EQ,185.05,186.0,179.5,185.05,181.7,181.65,181.81,236.15,147.0,846225,153849746.25,19748,EPL
46,2023-10-23,EQ,195.65,195.65,182.35,195.0,183.15,185.05,189.22,236.15,147.0,474638,89812448.05,14029,EPL
