,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,5858.0,5968.4,5851.0,5882.6,5899.8,5881.75,5902.18,6585.95,3244.85,6020,35531120.45,1263,ESABINDIA
1,2023-12-28,EQ,5916.45,5933.05,5849.95,5887.0,5889.0,5882.6,5900.1,6585.95,3244.85,1699,10024269.35,680,ESABINDIA
2,2023-12-27,EQ,5925.8,5984.0,5858.0,5925.8,5858.0,5887.0,5928.4,6585.95,3244.85,2260,13398175.25,917,ESABINDIA
3,2023-12-26,EQ,5858.2,5944.95,5858.2,5858.2,5910.0,5925.8,5905.81,6585.95,3244.85,2833,16731149.8,1082,ESABINDIA
4,2023-12-22,EQ,6025.0,6095.0,5800.0,5983.05,5840.0,5858.2,5941.67,6585.95,3244.85,12633,75061162.65,5040,ESABINDIA
5,2023-12-21,EQ,5720.75,6028.95,5681.05,5720.75,6000.0,5983.05,5961.55,6585.95,3244.85,12611,75181059.15,4027,ESABINDIA
6,2023-12-20,EQ,5899.95,5959.0,5675.15,5890.95,5690.15,5720.75,5798.75,6585.95,3244.85,4894,28379082.5,1457,ESABINDIA
7,2023-12-19,EQ,5901.35,5929.95,5795.0,5871.95,5910.0,5890.95,5848.73,6585.95,3244.85,2652,15510838.5,922,ESABINDIA
8,2023-12-18,EQ,5898.3,5924.3,5830.0,5868.95,5870.1,5871.95,5863.31,6585.95,3244.85,4620,27088482.15,1129,ESABINDIA
9,2023-12-15,EQ,6000.0,6029.75,5833.0,5920.3,5860.0,5868.95,5919.08,6585.95,3244.85,2585,15300814.75,1138,ESABINDIA
10,2023-12-14,EQ,5793.95,6003.0,5739.15,5726.0,5917.7,5920.3,5856.76,6585.95,3244.85,8027,47012175.55,2379,ESABINDIA
11,2023-12-13,EQ,5636.25,5768.0,5588.05,5608.2,5768.0,5726.0,5672.27,6585.95,3244.85,6176,35031925.15,2396,ESABINDIA
12,2023-12-12,EQ,5740.05,5759.95,5600.0,5716.95,5610.0,5608.2,5650.65,6585.95,3244.85,6257,35356101.6,2123,ESABINDIA
13,2023-12-11,EQ,5824.8,5824.8,5704.1,5795.8,5729.0,5716.95,5741.55,6585.95,3244.85,5814,33381361.9,2197,ESABINDIA
14,2023-12-08,EQ,5871.15,5883.2,5766.0,5871.15,5799.0,5795.8,5824.44,6585.95,3244.85,4102,23891866.2,1542,ESABINDIA
15,2023-12-07,EQ,5890.0,5900.0,5850.0,5880.35,5900.0,5871.15,5874.27,6585.95,3244.85,2831,16630051.65,1169,ESABINDIA
16,2023-12-06,EQ,5958.1,5965.0,5862.0,5899.1,5900.0,5880.35,5903.19,6585.95,3244.85,3872,22857159.35,1585,ESABINDIA
17,2023-12-05,EQ,5895.6,5947.9,5870.0,5883.35,5915.0,5899.1,5903.82,6585.95,3244.85,2144,12657790.25,937,ESABINDIA
18,2023-12-04,EQ,5966.0,6007.35,5853.95,5874.35,5871.45,5883.35,5890.34,6585.95,3244.85,3894,22936997.9,1460,ESABINDIA
19,2023-12-01,EQ,5936.35,5966.15,5847.95,5917.95,5938.0,5874.35,5914.31,6585.95,3244.85,2915,17240227.05,1242,ESABINDIA
20,2023-11-30,EQ,5939.0,5978.4,5860.0,5913.45,5921.0,5917.95,5914.14,6585.95,3244.85,5426,32090113.25,1840,ESABINDIA
21,2023-11-29,EQ,6030.0,6066.0,5812.4,6029.5,5911.0,5913.45,5955.71,6585.95,3244.85,5392,32113215.2,1696,ESABINDIA
22,2023-11-28,EQ,6066.05,6150.05,5955.35,6099.8,6001.0,6029.5,6062.94,6585.95,3244.85,7679,46557348.8,2202,ESABINDIA
23,2023-11-24,EQ,6170.3,6170.3,6080.05,6154.75,6086.0,6099.8,6119.07,6585.95,3244.85,3819,23368721.45,1551,ESABINDIA
24,2023-11-23,EQ,6220.0,6220.0,6140.0,6175.95,6152.0,6154.75,6187.41,6585.95,3244.85,2748,17003014.25,1546,ESABINDIA
25,2023-11-22,EQ,6220.15,6250.0,6110.1,6220.15,6160.0,6175.95,6166.36,6585.95,3244.85,3344,20620300.5,1502,ESABINDIA
26,2023-11-21,EQ,6213.7,6256.0,6161.95,6146.4,6217.1,6220.15,6211.35,6585.95,3244.85,5165,32081611.75,2035,ESABINDIA
27,2023-11-20,EQ,6050.0,6250.9,5970.0,5953.4,6130.0,6146.4,6120.82,6585.95,3244.85,13680,83732866.55,5133,ESABINDIA
28,2023-11-17,EQ,5860.0,5978.0,5860.0,5854.15,5970.0,5953.4,5933.95,6585.95,3244.85,6239,37021916.45,2273,ESABINDIA
29,2023-11-16,EQ,5850.0,5921.3,5845.25,5898.5,5855.0,5854.15,5874.76,6585.95,3244.85,7353,43197089.65,2189,ESABINDIA
