,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,369.35,371.2,360.1,369.35,361.85,361.3,363.69,391.9,203.0,317330,115408492.15,10246,FCL
1,2023-12-28,EQ,371.35,378.25,364.0,371.2,369.65,369.35,370.31,391.9,203.0,718495,266064937.05,16898,FCL
2,2023-12-27,EQ,373.0,391.9,369.0,369.4,370.0,371.2,380.19,391.9,203.0,1755127,667283965.95,36205,FCL
3,2023-12-26,EQ,350.5,373.95,350.5,349.85,370.0,369.4,365.74,379.75,203.0,1316026,481323554.3,29345,FCL
4,2023-12-22,EQ,350.9,357.8,344.0,350.65,351.0,349.85,350.86,379.75,203.0,269901,94698572.45,11162,FCL
5,2023-12-21,EQ,335.0,352.0,330.0,339.8,352.0,350.65,344.8,379.75,203.0,388494,133952450.65,14117,FCL
6,2023-12-20,EQ,362.0,366.9,338.0,360.15,338.0,339.8,353.69,379.75,203.0,784553,277489115.3,25797,FCL
7,2023-12-19,EQ,352.0,362.0,348.0,349.1,360.9,360.15,357.1,379.75,203.0,534564,190892063.2,17136,FCL
8,2023-12-18,EQ,357.6,358.35,348.0,357.3,348.3,349.1,350.85,379.75,203.0,429981,150857264.4,14212,FCL
9,2023-12-15,EQ,366.6,372.65,355.1,364.8,355.1,357.3,364.92,379.75,203.0,875776,319590806.75,20028,FCL
10,2023-12-14,EQ,367.95,374.4,363.0,365.35,364.9,364.8,367.95,379.75,203.0,497353,183000184.2,14428,FCL
11,2023-12-13,EQ,371.85,371.9,361.3,362.35,363.8,365.35,365.74,379.75,203.0,316047,115589571.9,9889,FCL
12,2023-12-12,EQ,371.2,374.75,360.0,369.35,363.8,362.35,367.22,379.75,203.0,280285,102926310.0,10808,FCL
13,2023-12-11,EQ,364.8,378.85,363.55,364.45,369.9,369.35,373.51,379.75,203.0,728680,272169037.35,22791,FCL
14,2023-12-08,EQ,368.75,372.45,361.0,365.85,363.0,364.45,366.08,379.75,203.0,249364,91287377.65,9260,FCL
15,2023-12-07,EQ,370.0,370.85,364.25,369.15,366.35,365.85,366.62,379.75,203.0,247846,90865358.0,9137,FCL
16,2023-12-06,EQ,362.95,379.75,361.7,361.7,368.9,369.15,373.91,379.75,203.0,950803,355510558.6,25110,FCL
17,2023-12-05,EQ,372.95,373.35,359.0,368.4,361.0,361.7,365.12,376.8,203.0,406291,148343122.65,12877,FCL
18,2023-12-04,EQ,366.95,374.5,363.15,361.85,367.85,368.4,369.7,376.8,203.0,644228,238167918.3,19341,FCL
19,2023-12-01,EQ,364.0,368.2,360.0,362.5,360.9,361.85,363.33,376.8,203.0,413778,150338947.65,12414,FCL
20,2023-11-30,EQ,368.25,369.5,358.65,366.85,360.3,362.5,362.82,376.8,203.0,472308,171363486.2,14918,FCL
21,2023-11-29,EQ,359.5,376.45,355.05,356.65,366.9,366.85,366.03,376.8,203.0,1936850,708947395.2,36328,FCL
22,2023-11-28,EQ,365.0,376.8,353.5,359.65,355.9,356.65,365.47,376.8,203.0,1581479,577983797.7,33794,FCL
23,2023-11-24,EQ,326.95,368.25,324.0,326.25,358.95,359.65,355.7,368.25,203.0,5178405,1841933541.45,79895,FCL
24,2023-11-23,EQ,320.0,327.9,319.2,318.5,326.6,326.25,324.32,352.4,203.0,458531,148710865.2,7506,FCL
25,2023-11-22,EQ,321.0,321.0,317.15,318.4,318.5,318.5,318.88,352.4,203.0,196330,62606185.65,5211,FCL
26,2023-11-21,EQ,320.8,322.0,317.75,320.65,318.2,318.4,319.17,352.4,203.0,149987,47871379.25,4254,FCL
27,2023-11-20,EQ,325.95,325.95,318.1,326.45,320.65,320.65,321.12,352.4,203.0,220457,70792127.95,6538,FCL
28,2023-11-17,EQ,332.85,332.95,324.65,331.4,325.0,326.45,329.25,352.4,203.0,257835,84891924.65,6520,FCL
29,2023-11-16,EQ,329.8,333.85,327.55,329.35,330.9,331.4,332.07,352.4,203.0,389983,129500966.75,5765,FCL
30,2023-11-15,EQ,329.65,334.2,323.5,322.5,329.1,329.35,330.33,352.4,203.0,773647,255559871.35,16049,FCL
31,2023-11-13,EQ,323.25,325.0,316.0,323.25,322.8,322.5,320.02,352.4,203.0,228566,73145536.4,7217,FCL
32,2023-11-12,EQ,323.95,325.0,322.0,319.6,323.0,323.25,323.55,352.4,203.0,131703,42612268.0,3980,FCL
33,2023-11-10,EQ,330.0,330.0,318.0,317.0,320.05,319.6,323.65,352.4,203.0,716338,231841860.45,15356,FCL
34,2023-11-09,EQ,309.0,321.7,306.35,306.3,317.2,317.0,315.48,352.4,203.0,717250,226279660.95,18364,FCL
35,2023-11-08,EQ,308.3,316.0,304.2,305.85,307.0,306.3,310.09,352.4,203.0,315142,97723925.95,9170,FCL
36,2023-11-07,EQ,300.95,311.65,300.35,299.85,307.0,305.85,306.39,352.4,203.0,290200,88915781.55,8832,FCL
37,2023-11-06,EQ,296.3,303.0,296.3,296.3,300.0,299.85,299.82,352.4,203.0,173520,52025150.85,5316,FCL
38,2023-11-03,EQ,299.0,301.25,295.35,296.85,296.5,296.3,298.2,383.4,203.0,108281,32289260.85,3903,FCL
39,2023-11-02,EQ,296.7,299.9,294.2,293.6,296.8,296.85,296.43,383.4,203.0,98701,29258130.3,3396,FCL
40,2023-11-01,EQ,298.0,298.9,292.95,297.75,293.0,293.6,295.35,383.4,203.0,85213,25167339.7,3688,FCL
41,2023-10-31,EQ,294.95,302.8,294.95,293.3,296.85,297.75,298.17,383.4,203.0,154479,46060481.45,5462,FCL
42,2023-10-30,EQ,298.9,299.0,288.9,298.3,294.0,293.3,294.14,383.4,203.0,201661,59315814.8,7338,FCL
43,2023-10-27,EQ,296.9,304.95,295.15,294.85,297.2,298.3,301.28,389.7,203.0,197624,59540032.35,6801,FCL
44,2023-10-26,EQ,291.75,298.7,281.55,291.8,293.1,294.85,288.03,389.7,203.0,314257,90515074.45,12381,FCL
45,2023-10-25,EQ,304.5,308.85,287.2,302.35,292.0,291.8,297.02,389.7,203.0,457209,135798816.6,17756,FCL
46,2023-10-23,EQ,327.05,327.7,300.5,327.55,303.9,302.35,309.25,389.7,203.0,643017,198853108.4,19180,FCL
47,2023-10-20,EQ,329.8,336.9,325.0,328.4,326.95,327.55,331.21,403.55,203.0,583715,193332839.95,13770,FCL
48,2023-10-19,EQ,317.0,332.65,315.15,309.5,329.0,328.4,326.55,403.55,203.0,1974998,644943282.2,40662,FCL
49,2023-10-18,EQ,310.45,312.35,307.55,310.2,309.7,309.5,309.65,403.55,203.0,130286,40343500.85,4369,FCL
50,2023-10-17,EQ,312.65,313.7,309.2,309.55,310.0,310.2,310.98,403.55,203.0,94595,29417187.1,3318,FCL
51,2023-10-16,EQ,308.1,312.2,308.1,310.9,309.5,309.55,310.15,403.55,203.0,148424,46033998.95,4993,FCL
52,2023-10-13,EQ,311.6,316.0,309.7,312.95,311.4,310.9,312.29,403.55,203.0,116363,36338978.6,4401,FCL
53,2023-10-12,EQ,315.0,319.85,311.0,313.7,313.4,312.95,314.8,403.55,203.0,170998,53829387.1,5955,FCL
