,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,394.4,397.45,391.05,393.05,396.0,396.45,394.36,428.95,245.25,113390,44716186.95,5116,FDC
1,2023-12-28,EQ,395.9,398.7,392.15,395.55,392.5,393.05,395.21,428.95,245.25,85212,33676299.05,5016,FDC
2,2023-12-27,EQ,398.3,398.6,392.2,398.2,395.5,395.55,395.42,428.95,245.25,80551,31851102.0,5402,FDC
3,2023-12-26,EQ,395.65,400.0,392.35,391.95,398.0,398.2,396.86,428.95,245.25,96546,38314943.05,5041,FDC
4,2023-12-22,EQ,387.2,394.55,387.0,387.2,394.25,391.95,390.51,428.95,245.25,116227,45387699.55,7014,FDC
5,2023-12-21,EQ,382.7,389.45,378.8,382.7,387.0,387.2,384.97,428.95,245.25,124374,47879877.75,7657,FDC
6,2023-12-20,EQ,394.0,397.45,378.2,392.0,379.05,382.7,390.08,428.95,245.25,228247,89034641.25,11126,FDC
7,2023-12-19,EQ,391.05,397.9,390.5,394.1,392.0,392.0,393.31,428.95,245.25,223800,88022483.1,9302,FDC
8,2023-12-18,EQ,403.55,406.85,391.95,401.5,393.65,394.1,395.38,428.95,245.25,345153,136466599.75,11424,FDC
9,2023-12-15,EQ,411.7,412.9,400.2,409.55,402.15,401.5,404.02,428.95,245.25,143643,58034993.4,6780,FDC
10,2023-12-14,EQ,415.2,419.05,405.3,411.35,410.5,409.55,409.61,428.95,245.25,151519,62062948.65,6597,FDC
11,2023-12-13,EQ,402.95,414.7,399.0,402.2,414.0,411.35,408.23,428.95,245.25,180348,73623247.3,8082,FDC
12,2023-12-12,EQ,399.5,406.1,396.55,396.75,402.0,402.2,401.85,428.95,245.25,218699,87884406.9,8192,FDC
13,2023-12-11,EQ,405.5,405.5,395.35,403.6,398.8,396.75,399.33,428.95,245.25,125663,50180496.55,6528,FDC
14,2023-12-08,EQ,412.0,415.3,398.6,411.3,404.0,403.6,405.71,428.95,245.25,188286,76390239.9,8679,FDC
15,2023-12-07,EQ,413.65,424.0,406.4,409.75,412.15,411.3,414.27,428.95,245.25,492580,204060079.2,18392,FDC
16,2023-12-06,EQ,405.0,413.2,401.3,403.65,413.0,409.75,407.44,428.95,245.25,248065,101071127.3,7947,FDC
17,2023-12-05,EQ,399.9,406.0,399.75,400.25,403.55,403.65,402.78,428.95,245.25,236267,95163652.05,8086,FDC
18,2023-12-04,EQ,400.05,405.35,396.1,397.15,398.0,400.25,401.29,428.95,245.25,213842,85812549.8,11504,FDC
19,2023-12-01,EQ,394.9,402.45,394.9,393.65,396.35,397.15,398.6,428.95,245.25,157932,62952157.75,8844,FDC
20,2023-11-30,EQ,394.65,399.0,391.15,393.15,393.0,393.65,394.64,428.95,245.25,183316,72344034.5,11598,FDC
21,2023-11-29,EQ,397.6,398.5,391.0,395.55,393.7,393.15,394.4,428.95,245.25,141685,55880199.85,6376,FDC
22,2023-11-28,EQ,407.75,409.0,392.15,405.75,396.0,395.55,397.51,428.95,245.25,292394,116229876.65,11163,FDC
23,2023-11-24,EQ,409.35,414.15,403.5,407.15,405.8,405.75,407.4,428.95,245.25,197299,80378900.1,8223,FDC
24,2023-11-23,EQ,412.5,415.8,405.0,410.35,409.0,407.15,410.17,428.95,245.25,581640,238568992.75,19957,FDC
25,2023-11-22,EQ,390.1,412.95,390.1,390.1,409.55,410.35,406.22,428.95,245.25,1980126,804357370.45,42547,FDC
26,2023-11-21,EQ,390.5,397.0,387.25,389.05,389.0,390.1,391.92,428.95,245.25,148458,58183159.2,8059,FDC
27,2023-11-20,EQ,386.75,401.0,383.3,386.7,388.8,389.05,394.37,428.95,245.25,414811,163589887.45,13045,FDC
28,2023-11-17,EQ,393.7,396.8,382.0,392.2,386.45,386.7,387.8,428.95,245.25,196946,76376446.95,10740,FDC
29,2023-11-16,EQ,385.0,401.95,382.5,384.25,393.7,392.2,395.94,428.95,245.25,1015242,401972542.55,29286,FDC
30,2023-11-15,EQ,387.15,388.2,381.0,386.15,384.6,384.25,383.61,428.95,245.25,102898,39472429.1,7425,FDC
31,2023-11-13,EQ,385.5,389.9,381.35,387.2,384.5,386.15,386.39,428.95,245.25,250939,96959291.2,10200,FDC
32,2023-11-12,EQ,385.0,391.4,381.2,385.95,388.25,387.2,386.41,428.95,245.25,64866,25065025.55,1999,FDC
33,2023-11-10,EQ,385.9,391.2,375.6,386.05,385.0,385.95,384.05,428.95,245.25,486973,187022354.15,16320,FDC
34,2023-11-09,EQ,363.9,388.75,361.55,365.9,386.85,386.05,380.29,428.95,245.25,1127963,428951782.2,30010,FDC
35,2023-11-08,EQ,361.55,369.0,360.45,360.45,366.95,365.9,365.74,428.95,245.25,146288,53503869.4,7990,FDC
36,2023-11-07,EQ,360.5,364.95,357.3,360.5,360.8,360.45,360.87,428.95,245.25,81428,29384873.8,3742,FDC
37,2023-11-06,EQ,364.2,365.95,358.5,362.35,360.1,360.5,361.52,428.95,245.25,53067,19184820.65,2925,FDC
38,2023-11-03,EQ,365.05,369.7,360.85,363.2,361.95,362.35,365.12,428.95,245.25,88326,32249832.55,4025,FDC
39,2023-11-02,EQ,362.5,367.2,361.6,364.7,365.45,363.2,364.01,428.95,245.25,54497,19837517.9,3517,FDC
40,2023-11-01,EQ,363.5,368.95,360.35,362.3,362.0,364.7,364.24,428.95,245.25,73597,26806967.0,4505,FDC
41,2023-10-31,EQ,365.05,366.85,360.2,365.0,360.2,362.3,363.54,428.95,245.25,35450,12887504.4,2634,FDC
42,2023-10-30,EQ,366.0,367.7,359.3,364.05,365.05,365.0,363.53,428.95,245.25,47680,17332885.2,3084,FDC
43,2023-10-27,EQ,356.1,368.5,355.4,352.7,363.55,364.05,362.41,428.95,245.25,122958,44560991.75,5805,FDC
44,2023-10-26,EQ,352.3,361.0,345.45,355.55,354.2,352.7,350.53,428.95,245.25,108005,37858491.65,6688,FDC
