,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,2098.2,2149.6,2050.0,2098.2,2100.0,2097.75,2116.86,2177.3,1416.25,55272,117002992.2,7891,FIEMIND
1,2023-12-28,EQ,2113.05,2125.0,2089.95,2092.15,2100.0,2098.2,2102.51,2177.3,1416.25,26199,55083607.05,5996,FIEMIND
2,2023-12-27,EQ,2110.05,2146.85,2072.3,2099.55,2105.0,2092.15,2097.62,2177.3,1416.25,18666,39154245.3,3583,FIEMIND
3,2023-12-26,EQ,2051.0,2110.0,2050.8,2050.8,2085.2,2099.55,2088.64,2177.3,1416.25,31506,65804661.45,4646,FIEMIND
4,2023-12-22,EQ,2053.1,2089.0,2030.0,2042.85,2060.0,2050.8,2052.7,2177.3,1416.25,25364,52064734.4,4886,FIEMIND
5,2023-12-21,EQ,1972.0,2069.95,1972.0,2012.55,2040.0,2042.85,2027.86,2177.3,1416.25,38647,78370879.35,7535,FIEMIND
6,2023-12-20,EQ,2115.95,2150.0,2002.0,2110.95,2016.5,2012.55,2086.8,2177.3,1416.25,64816,135258262.55,10468,FIEMIND
7,2023-12-19,EQ,2078.6,2129.3,2066.5,2071.8,2109.0,2110.95,2096.71,2177.3,1416.25,30916,64821957.25,5162,FIEMIND
8,2023-12-18,EQ,2074.4,2130.0,2050.0,2079.45,2078.9,2071.8,2088.63,2177.3,1416.25,37242,77784674.35,5827,FIEMIND
9,2023-12-15,EQ,2120.0,2150.0,2063.55,2098.65,2085.65,2079.45,2118.93,2177.3,1416.25,69343,146933305.05,12261,FIEMIND
10,2023-12-14,EQ,2150.0,2177.3,2080.0,2134.15,2110.0,2098.65,2113.93,2177.3,1416.25,68518,144841923.8,8600,FIEMIND
11,2023-12-13,EQ,2011.25,2150.0,1983.0,2016.2,2129.9,2134.15,2101.73,2169.0,1416.25,105799,222360751.05,11121,FIEMIND
12,2023-12-12,EQ,2055.0,2070.35,2006.0,2046.5,2020.0,2016.2,2039.52,2169.0,1416.25,23788,48516159.1,4446,FIEMIND
13,2023-12-11,EQ,2028.0,2065.9,2028.0,2032.05,2045.0,2046.5,2044.57,2169.0,1416.25,20365,41637650.35,4317,FIEMIND
14,2023-12-08,EQ,2085.1,2099.75,2011.65,2091.15,2035.0,2032.05,2049.66,2169.0,1416.25,33853,69387010.05,6995,FIEMIND
15,2023-12-07,EQ,2094.05,2142.95,2076.0,2099.9,2088.75,2091.15,2106.98,2169.0,1416.25,63340,133456265.85,9879,FIEMIND
16,2023-12-06,EQ,2004.0,2122.7,1984.0,1988.6,2060.0,2099.9,2062.57,2169.0,1416.25,244540,504379700.95,19688,FIEMIND
17,2023-12-05,EQ,1999.9,2008.0,1975.0,1986.3,1995.0,1988.6,1989.07,2169.0,1416.25,25157,50039131.9,5923,FIEMIND
18,2023-12-04,EQ,2034.85,2034.85,1976.0,2005.0,1981.15,1986.3,1995.51,2169.0,1416.25,34173,68192714.4,5151,FIEMIND
19,2023-12-01,EQ,2011.4,2019.0,1953.1,1991.5,2000.95,2005.0,1990.92,2169.0,1416.25,45814,91211927.9,7255,FIEMIND
20,2023-11-30,EQ,2023.65,2040.0,1981.55,2023.4,1996.0,1991.5,2001.6,2169.0,1416.25,33450,66953477.85,4496,FIEMIND
21,2023-11-29,EQ,2064.0,2066.0,2014.3,2034.95,2024.0,2023.4,2042.69,2169.0,1416.25,38626,78900951.75,5645,FIEMIND
22,2023-11-28,EQ,2051.9,2077.45,2010.0,2038.3,2030.35,2034.95,2038.9,2169.0,1416.25,66920,136443252.0,10772,FIEMIND
23,2023-11-24,EQ,2034.9,2169.0,2021.35,2021.25,2030.0,2038.3,2101.23,2169.0,1416.25,367922,773089337.95,39205,FIEMIND
24,2023-11-23,EQ,2039.05,2051.0,2011.1,2048.55,2013.0,2021.25,2031.95,2128.0,1416.25,41173,83661460.75,6395,FIEMIND
25,2023-11-22,EQ,2017.0,2128.0,1957.9,2028.9,2055.0,2048.55,2042.15,2128.0,1416.25,250652,511870102.7,27143,FIEMIND
26,2023-11-21,EQ,1854.9,2110.0,1845.15,1854.7,2016.0,2028.9,2007.4,2113.45,1416.25,241264,484313903.25,21719,FIEMIND
27,2023-11-20,EQ,1913.0,1924.3,1847.0,1913.45,1861.0,1854.7,1872.26,2113.45,1416.25,55894,104648033.6,8729,FIEMIND
28,2023-11-17,EQ,1810.2,1930.0,1804.75,1808.2,1901.0,1913.45,1887.29,2113.45,1416.25,348572,657856297.5,21273,FIEMIND
29,2023-11-16,EQ,1814.0,1830.0,1801.55,1807.6,1809.0,1808.2,1813.95,2113.45,1416.25,20962,38024014.55,3831,FIEMIND
30,2023-11-15,EQ,1812.75,1839.0,1800.0,1812.75,1804.0,1807.6,1809.63,2113.45,1416.25,20354,36833240.45,5223,FIEMIND
31,2023-11-13,EQ,1815.0,1829.95,1807.95,1815.1,1810.0,1812.75,1816.97,2113.45,1416.25,23949,43514625.2,4255,FIEMIND
32,2023-11-12,EQ,1824.5,1825.05,1809.1,1778.85,1813.0,1815.1,1815.33,2113.45,1416.25,17036,30925905.15,2458,FIEMIND
33,2023-11-10,EQ,1753.4,1806.0,1753.4,1753.4,1787.6,1778.85,1784.78,2113.45,1416.25,24155,43111347.5,4953,FIEMIND
