,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,4998.0,5065.05,4953.0,5056.15,4984.9,4978.25,4992.28,5809.0,4040.0,47303,236149814.35,10258,FINEORG
1,2023-12-28,EQ,5031.0,5087.95,4917.0,5031.95,5035.0,5056.15,5005.43,5809.0,4040.0,122518,613255237.75,21490,FINEORG
2,2023-12-27,EQ,4890.0,5120.0,4855.0,4837.9,5010.0,5031.95,5038.34,5809.0,4040.0,336847,1697151369.85,57114,FINEORG
3,2023-12-26,EQ,4609.45,4875.0,4609.45,4599.95,4849.95,4837.9,4779.28,5809.0,4040.0,132441,632971988.1,24171,FINEORG
4,2023-12-22,EQ,4637.75,4655.55,4584.0,4585.0,4610.0,4599.95,4605.55,5830.4,4040.0,70876,326422823.2,7586,FINEORG
5,2023-12-21,EQ,4500.0,4612.0,4403.0,4513.75,4589.95,4585.0,4559.5,5830.4,4040.0,31602,144089193.3,8429,FINEORG
6,2023-12-20,EQ,4698.5,4737.7,4500.0,4661.4,4510.6,4513.75,4632.34,5830.4,4040.0,54603,252939933.15,14845,FINEORG
7,2023-12-19,EQ,4649.9,4698.5,4592.9,4572.95,4670.0,4661.4,4647.61,5830.4,4040.0,63407,294690694.6,12672,FINEORG
8,2023-12-18,EQ,4475.0,4899.9,4475.0,4469.3,4584.0,4572.95,4701.8,5830.4,4040.0,384305,1806923740.8,65181,FINEORG
9,2023-12-15,EQ,4471.55,4545.0,4441.0,4428.15,4470.0,4469.3,4501.17,5968.8,4040.0,32431,145977286.65,9051,FINEORG
10,2023-12-14,EQ,4435.0,4450.0,4396.05,4388.95,4448.0,4428.15,4418.66,5968.8,4040.0,15041,66461112.5,4824,FINEORG
11,2023-12-13,EQ,4474.95,4489.95,4374.1,4472.15,4400.0,4388.95,4419.66,5968.8,4040.0,18389,81273076.35,5206,FINEORG
12,2023-12-12,EQ,4444.05,4500.4,4444.05,4439.65,4475.0,4472.15,4476.19,5968.8,4040.0,14140,63293338.95,4552,FINEORG
13,2023-12-11,EQ,4456.0,4544.95,4425.0,4457.35,4450.0,4439.65,4480.36,5968.8,4040.0,19354,86712872.4,5861,FINEORG
14,2023-12-08,EQ,4530.0,4569.9,4425.15,4510.8,4479.0,4457.35,4502.1,6220.0,4040.0,25877,116500853.1,7338,FINEORG
15,2023-12-07,EQ,4475.0,4532.95,4469.0,4468.95,4511.0,4510.8,4502.54,6220.0,4040.0,37306,167971937.55,7108,FINEORG
16,2023-12-06,EQ,4454.95,4530.0,4436.95,4425.15,4480.0,4468.95,4483.84,6220.0,4040.0,59488,266734381.85,12903,FINEORG
17,2023-12-05,EQ,4280.0,4450.0,4273.95,4273.95,4440.0,4425.15,4382.36,6220.0,4040.0,78297,343125723.0,16603,FINEORG
