,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,364.95,364.95,358.0,361.4,360.9,360.65,360.64,432.0,296.45,81283,29313985.9,4623,FMGOETZE
1,2023-12-28,EQ,370.0,370.0,360.0,366.55,361.0,361.4,363.67,432.0,296.45,76304,27749641.15,4301,FMGOETZE
2,2023-12-27,EQ,366.0,371.0,365.2,368.15,366.95,366.55,368.04,432.0,296.45,111569,41061765.1,5510,FMGOETZE
3,2023-12-26,EQ,374.0,374.0,365.05,368.2,366.85,368.15,368.82,432.0,296.45,99972,36871903.5,5675,FMGOETZE
4,2023-12-22,EQ,363.0,376.95,361.0,361.8,368.0,368.2,369.85,432.0,296.45,371729,137482226.0,10978,FMGOETZE
5,2023-12-21,EQ,354.8,364.0,346.4,352.35,362.85,361.8,358.46,432.0,296.45,123344,44214017.75,8069,FMGOETZE
6,2023-12-20,EQ,368.95,371.0,350.0,365.55,353.0,352.35,361.97,432.0,296.45,245896,89008030.05,9461,FMGOETZE
7,2023-12-19,EQ,369.7,370.9,364.55,367.85,366.9,365.55,367.88,432.0,296.45,108494,39912969.55,4255,FMGOETZE
8,2023-12-18,EQ,367.9,371.0,364.75,361.05,367.2,367.85,368.95,432.0,296.45,188326,69481973.25,7585,FMGOETZE
9,2023-12-15,EQ,363.0,365.2,359.2,361.15,362.0,361.05,362.67,432.0,296.45,83969,30452974.1,4087,FMGOETZE
10,2023-12-14,EQ,364.4,368.95,360.0,362.5,361.0,361.15,364.12,432.0,296.45,93634,34093595.9,3654,FMGOETZE
11,2023-12-13,EQ,366.55,368.5,361.25,366.55,363.3,362.5,364.24,432.0,296.45,78880,28731288.55,3689,FMGOETZE
12,2023-12-12,EQ,370.6,376.95,363.8,366.85,366.85,366.55,368.87,432.0,296.45,135361,49930737.95,5180,FMGOETZE
13,2023-12-11,EQ,379.95,380.0,366.0,373.8,366.95,366.85,371.34,432.0,296.45,197386,73297374.7,6957,FMGOETZE
14,2023-12-08,EQ,380.0,380.0,370.5,376.0,374.85,373.8,375.85,432.0,296.45,117596,44198063.25,5905,FMGOETZE
15,2023-12-07,EQ,384.0,384.0,374.15,380.95,374.3,376.0,378.61,432.0,296.45,141039,53398428.45,5583,FMGOETZE
16,2023-12-06,EQ,387.3,388.2,380.0,387.65,380.65,380.95,382.92,432.0,296.45,152410,58360539.4,6810,FMGOETZE
17,2023-12-05,EQ,392.95,398.55,383.6,390.15,387.8,387.65,390.44,432.0,296.45,456723,178321316.0,11721,FMGOETZE
18,2023-12-04,EQ,385.0,394.0,378.6,375.05,389.95,390.15,385.94,432.0,296.45,738182,284890547.9,20932,FMGOETZE
19,2023-12-01,EQ,374.0,385.75,367.3,367.3,374.0,375.05,379.75,432.0,296.45,808510,307032284.55,26654,FMGOETZE
20,2023-11-30,EQ,364.85,371.0,321.2,361.25,368.0,367.3,365.64,432.0,296.45,257399,94114696.35,12433,FMGOETZE
21,2023-11-29,EQ,368.45,369.5,359.65,366.25,361.0,361.25,363.36,432.0,296.45,59996,21800069.7,3928,FMGOETZE
22,2023-11-28,EQ,364.0,377.85,360.5,362.65,365.05,366.25,368.79,432.0,296.45,332728,122707482.95,13040,FMGOETZE
23,2023-11-24,EQ,359.0,364.85,358.4,358.55,364.2,362.65,361.5,432.0,296.45,82331,29762775.95,5170,FMGOETZE
24,2023-11-23,EQ,358.95,364.05,357.05,358.95,359.65,358.55,361.05,432.0,296.45,68833,24852392.45,4979,FMGOETZE
25,2023-11-22,EQ,356.1,364.0,355.0,357.3,356.0,358.95,359.14,432.0,296.45,90714,32579444.6,4675,FMGOETZE
26,2023-11-21,EQ,358.9,368.05,354.6,356.8,358.4,357.3,358.15,432.0,296.45,96526,34570493.45,5432,FMGOETZE
27,2023-11-20,EQ,361.0,362.95,355.85,359.35,358.0,356.8,359.44,432.0,296.45,39565,14221436.25,2689,FMGOETZE
28,2023-11-17,EQ,364.7,364.95,358.1,361.75,359.2,359.35,360.97,432.0,296.45,43318,15636389.8,3008,FMGOETZE
29,2023-11-16,EQ,369.65,369.65,359.7,366.95,360.9,361.75,364.84,432.0,296.45,60513,22077518.0,3094,FMGOETZE
30,2023-11-15,EQ,373.05,374.95,364.5,371.8,367.0,366.95,369.09,432.0,296.45,135815,50127644.75,6702,FMGOETZE
31,2023-11-13,EQ,362.7,375.55,356.65,360.9,372.0,371.8,367.71,432.0,296.45,193805,71264382.9,7869,FMGOETZE
32,2023-11-12,EQ,359.9,362.0,357.0,357.1,362.0,360.9,360.06,432.0,296.45,35240,12688536.15,1211,FMGOETZE
33,2023-11-10,EQ,360.0,361.1,353.25,357.55,358.6,357.1,356.79,432.0,296.45,64007,22837167.9,2840,FMGOETZE
34,2023-11-09,EQ,362.1,370.9,353.85,359.85,361.0,357.55,363.56,432.0,296.45,330649,120211322.05,9584,FMGOETZE
35,2023-11-08,EQ,360.4,364.7,354.15,356.3,360.0,359.85,360.27,432.0,296.45,96916,34916342.8,5337,FMGOETZE
36,2023-11-07,EQ,352.05,359.45,351.5,351.15,357.4,356.3,355.69,432.0,296.45,64802,23049707.95,3248,FMGOETZE
37,2023-11-06,EQ,351.9,353.7,349.0,350.45,352.0,351.15,351.22,432.0,296.45,34465,12104732.85,1494,FMGOETZE
38,2023-11-03,EQ,342.0,354.5,340.45,341.0,353.95,350.45,347.26,432.0,296.45,77981,27079790.55,4138,FMGOETZE
39,2023-11-02,EQ,342.55,344.6,339.55,340.65,340.0,341.0,341.14,432.0,296.45,28120,9592755.9,1608,FMGOETZE
40,2023-11-01,EQ,343.45,343.45,338.0,339.55,341.0,340.65,340.31,432.0,296.45,36617,12461310.55,1790,FMGOETZE
41,2023-10-31,EQ,340.55,349.7,338.4,340.8,340.05,339.55,342.31,432.0,296.45,52652,18023284.65,4359,FMGOETZE
42,2023-10-30,EQ,343.05,343.1,338.6,343.05,340.1,340.8,340.8,432.0,296.45,29254,9969727.95,1990,FMGOETZE
43,2023-10-27,EQ,338.4,346.55,338.4,337.5,343.05,343.05,343.34,432.0,296.45,48101,16514762.2,2658,FMGOETZE
44,2023-10-26,EQ,337.05,340.55,330.8,340.55,337.0,337.5,334.82,432.0,296.45,91724,30711216.5,4951,FMGOETZE
45,2023-10-25,EQ,343.55,345.7,337.1,338.5,341.0,340.55,340.85,432.0,296.45,87703,29893651.75,3980,FMGOETZE
46,2023-10-23,EQ,355.25,357.0,335.0,357.65,337.5,338.5,345.1,432.0,296.45,155214,53564332.65,7791,FMGOETZE
47,2023-10-20,EQ,362.0,363.55,354.0,359.15,358.5,357.65,358.6,432.0,296.45,70674,25343692.6,3886,FMGOETZE
48,2023-10-19,EQ,365.0,368.95,357.0,363.65,359.4,359.15,363.26,432.0,296.45,93512,33969030.45,4783,FMGOETZE
49,2023-10-18,EQ,350.15,371.0,347.55,346.7,363.5,363.65,364.68,432.0,296.45,828949,302299836.8,23827,FMGOETZE
50,2023-10-17,EQ,349.9,351.95,345.0,348.15,345.0,346.7,348.41,432.0,296.45,54727,19067562.55,2508,FMGOETZE
51,2023-10-16,EQ,346.7,349.45,343.7,346.7,349.3,348.15,346.49,432.0,296.45,83084,28787591.65,3224,FMGOETZE
52,2023-10-13,EQ,350.65,353.3,345.55,353.15,347.0,346.7,347.82,432.0,296.45,70474,24512510.85,2999,FMGOETZE
53,2023-10-12,EQ,352.0,358.0,352.0,351.15,354.0,353.15,353.74,432.0,296.45,46737,16532830.9,2026,FMGOETZE
54,2023-10-11,EQ,350.95,355.1,348.85,347.95,351.0,351.15,351.51,432.0,296.45,68460,24064628.65,4123,FMGOETZE
55,2023-10-10,EQ,353.75,358.0,343.6,353.75,349.1,347.95,350.4,432.0,296.45,69611,24391951.1,4728,FMGOETZE
56,2023-10-09,EQ,352.8,358.1,348.6,356.95,354.0,353.75,352.46,432.0,296.45,56264,19830723.9,3342,FMGOETZE
57,2023-10-06,EQ,357.0,360.3,355.1,355.95,357.3,356.95,357.93,432.0,296.45,51357,18382103.5,3289,FMGOETZE
58,2023-10-05,EQ,358.7,359.0,354.05,353.4,356.8,355.95,356.42,432.0,296.45,26446,9425978.75,2236,FMGOETZE
59,2023-10-04,EQ,359.8,360.05,344.4,358.35,354.9,353.4,351.9,432.0,296.45,114239,40200493.2,5213,FMGOETZE
60,2023-10-03,EQ,360.5,363.3,356.1,360.1,359.0,358.35,358.95,432.0,296.45,40960,14702474.65,2801,FMGOETZE
