,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-10-25,EQ,3456.05,3567.0,3352.35,3528.75,3352.35,3352.35,3395.53,4173.0,1085.2,60066,203956078.15,5960,FORCEMOT
1,2023-10-23,EQ,3700.0,3700.0,3528.75,3714.45,3528.75,3528.75,3569.78,4173.0,1085.2,32294,115282501.85,4427,FORCEMOT
2,2023-10-20,EQ,3764.95,3819.05,3655.75,3769.1,3700.0,3714.45,3747.14,4173.0,1085.2,21474,80466137.35,3889,FORCEMOT
3,2023-10-19,EQ,3787.0,3817.2,3757.55,3787.25,3760.0,3769.1,3785.24,4173.0,1085.2,13186,49912237.55,3813,FORCEMOT
4,2023-10-18,EQ,3824.95,3845.0,3725.0,3821.45,3782.85,3787.25,3790.87,4173.0,1085.2,22528,85400797.25,5068,FORCEMOT
5,2023-10-17,EQ,3880.0,3880.0,3783.8,3830.05,3809.95,3821.45,3835.57,4173.0,1085.2,23404,89767695.1,3738,FORCEMOT
6,2023-10-16,EQ,3930.0,3937.45,3805.0,3930.25,3832.0,3830.05,3860.31,4173.0,1085.2,27187,104950190.35,4528,FORCEMOT
7,2023-10-13,EQ,3985.0,3999.0,3918.0,3988.6,3925.0,3930.25,3948.39,4173.0,1085.2,13612,53745550.0,2578,FORCEMOT
8,2023-10-12,EQ,3974.0,4020.0,3915.15,3938.15,3979.0,3988.6,3979.61,4173.0,1085.2,18993,75584747.6,4944,FORCEMOT
9,2023-10-11,EQ,4024.95,4030.05,3925.0,3983.8,3968.5,3938.15,3977.72,4173.0,1085.2,18080,71917146.75,3405,FORCEMOT
10,2023-10-10,EQ,4020.0,4020.0,3925.0,3939.8,3990.0,3983.8,3978.47,4173.0,1085.2,24735,98407502.6,4957,FORCEMOT
11,2023-10-09,EQ,4077.0,4077.0,3905.25,4076.2,3929.0,3939.8,3975.3,4173.0,1085.2,29701,118070336.5,5754,FORCEMOT
12,2023-10-06,EQ,4021.95,4173.0,3993.15,4016.7,4077.0,4076.2,4088.43,4173.0,1085.2,66387,271418365.5,10086,FORCEMOT
13,2023-10-05,EQ,3868.0,4033.4,3850.0,3841.35,4012.2,4016.7,3971.06,4033.4,1085.2,72514,287957423.35,7944,FORCEMOT
14,2023-10-04,EQ,3850.0,3900.0,3763.25,3845.4,3842.0,3841.35,3834.99,4001.85,1085.2,25227,96745404.2,4811,FORCEMOT
15,2023-10-03,EQ,3831.6,3944.0,3810.0,3831.6,3846.3,3845.4,3865.86,4001.85,1085.2,23957,92614477.8,4299,FORCEMOT
16,2023-09-29,EQ,3795.0,3946.0,3767.55,3790.4,3824.95,3831.6,3842.31,4001.85,1085.2,27927,107304136.1,5060,FORCEMOT
17,2023-09-28,EQ,3898.0,3898.0,3781.15,3851.0,3802.4,3790.4,3828.71,4001.85,1085.2,14733,56408434.3,2729,FORCEMOT
18,2023-09-27,EQ,3882.05,3925.0,3739.35,3925.35,3857.0,3851.0,3856.61,4001.85,1085.2,48559,187272940.3,6956,FORCEMOT
19,2023-09-26,EQ,3749.0,3935.2,3749.0,3747.85,3935.2,3925.35,3913.52,4001.85,1085.2,85698,335381087.3,7703,FORCEMOT
20,2023-09-25,EQ,3749.0,3776.6,3699.95,3719.6,3758.0,3747.85,3747.89,4001.85,1085.2,17395,65194501.8,4072,FORCEMOT
21,2023-09-22,EQ,3670.0,3784.65,3630.0,3648.4,3730.0,3719.6,3725.69,4001.85,1085.2,26840,99997643.95,4948,FORCEMOT
22,2023-09-21,EQ,3703.0,3724.85,3626.0,3703.0,3649.95,3648.4,3662.43,4001.85,1085.2,16772,61426334.2,2523,FORCEMOT
23,2023-09-20,EQ,3767.2,3799.0,3672.55,3767.2,3695.0,3703.0,3725.36,4001.85,1085.2,16277,60637702.8,3274,FORCEMOT
24,2023-09-18,EQ,3809.0,3844.95,3750.0,3780.15,3771.7,3767.2,3806.16,4001.85,1085.2,18571,70684237.3,3304,FORCEMOT
25,2023-09-15,EQ,3720.1,3800.0,3680.0,3718.55,3770.0,3780.15,3732.56,4001.85,1085.2,24259,90548262.8,3655,FORCEMOT
26,2023-09-14,EQ,3814.05,3820.0,3702.55,3733.45,3720.0,3718.55,3748.44,4001.85,1085.2,13117,49168224.6,2292,FORCEMOT
27,2023-09-13,EQ,3648.0,3800.0,3517.6,3652.2,3749.0,3733.45,3678.37,4001.85,1085.2,55228,203149035.0,7521,FORCEMOT
28,2023-09-12,EQ,3855.0,3868.6,3646.0,3837.9,3646.0,3652.2,3709.82,4001.85,1085.2,53973,200229858.9,7205,FORCEMOT
29,2023-09-11,EQ,3938.3,4001.85,3803.25,3811.3,3815.0,3837.9,3933.8,4001.85,1085.2,84073,330726740.4,8390,FORCEMOT
30,2023-09-08,EQ,3770.0,3811.3,3645.1,3629.85,3811.3,3811.3,3764.77,3811.3,1085.2,129220,486483573.9,8491,FORCEMOT
31,2023-09-07,EQ,3629.85,3629.85,3600.0,3457.0,3629.85,3629.85,3629.81,3663.0,1085.2,33657,122168363.7,1011,FORCEMOT
32,2023-09-06,EQ,3448.0,3513.0,3395.0,3456.3,3455.05,3457.0,3480.0,3663.0,1085.2,32092,111680267.4,4696,FORCEMOT
33,2023-09-05,EQ,3523.2,3523.2,3425.0,3477.15,3469.95,3456.3,3469.77,3663.0,1085.2,22923,79537525.85,5032,FORCEMOT
34,2023-09-04,EQ,3528.85,3560.0,3455.0,3496.55,3490.0,3477.15,3507.55,3663.0,1085.2,19048,66811818.6,3475,FORCEMOT
35,2023-09-01,EQ,3457.0,3550.0,3435.0,3431.9,3496.45,3496.55,3498.43,3663.0,1085.2,35964,125817438.1,5510,FORCEMOT
36,2023-08-31,EQ,3409.5,3514.0,3361.0,3378.5,3429.0,3431.9,3440.56,3663.0,1085.2,33694,115926124.6,5426,FORCEMOT
37,2023-08-30,EQ,3400.0,3449.8,3351.4,3370.6,3390.0,3378.5,3382.74,3663.0,1085.2,18709,63287757.7,3338,FORCEMOT
38,2023-08-29,EQ,3448.8,3448.8,3351.25,3415.75,3374.0,3370.6,3386.97,3663.0,1085.2,27513,93185607.1,4300,FORCEMOT
39,2023-08-28,EQ,3500.0,3504.8,3400.0,3429.8,3410.0,3415.75,3445.43,3663.0,1085.2,20400,70286834.85,3242,FORCEMOT
40,2023-08-25,EQ,3580.05,3648.0,3395.7,3574.4,3435.0,3429.8,3510.33,3663.0,1085.2,70606,247850031.1,8023,FORCEMOT
41,2023-08-24,EQ,3439.7,3574.4,3404.3,3404.2,3574.4,3574.4,3554.03,3663.0,1085.2,90269,320818777.05,3976,FORCEMOT
42,2023-08-23,EQ,3428.0,3449.0,3385.05,3404.35,3410.0,3404.2,3407.92,3663.0,1085.2,25515,86952969.75,2802,FORCEMOT
43,2023-08-22,EQ,3430.7,3430.7,3375.25,3400.1,3419.0,3404.35,3400.59,3663.0,1085.2,23891,81243570.55,2674,FORCEMOT
44,2023-08-21,EQ,3400.05,3429.95,3325.05,3377.7,3399.9,3400.1,3384.13,3663.0,1085.2,29365,99374863.4,3995,FORCEMOT
45,2023-08-18,EQ,3495.1,3578.0,3371.0,3491.25,3376.0,3377.7,3464.97,3663.0,1085.2,57235,198317660.2,7513,FORCEMOT
46,2023-08-17,EQ,3385.0,3663.0,3380.1,3355.25,3494.85,3491.25,3535.45,3663.0,1085.2,151541,535766091.15,17466,FORCEMOT
47,2023-08-16,EQ,3300.05,3390.0,3232.25,3332.15,3350.75,3355.25,3314.1,3468.95,1085.2,58866,195087717.5,8123,FORCEMOT
48,2023-08-14,EQ,3341.95,3468.95,3171.15,3342.35,3320.1,3332.15,3329.76,3468.95,1085.2,155553,517953480.65,17832,FORCEMOT
49,2023-08-11,EQ,3344.1,3344.1,3240.0,3040.1,3344.1,3342.35,3320.11,3344.1,1049.05,529149,1756835077.85,19946,FORCEMOT
50,2023-08-10,EQ,3040.1,3040.1,3040.1,2763.75,3040.1,3040.1,3040.1,3040.1,1049.05,50183,152561338.3,2032,FORCEMOT
51,2023-08-09,EQ,2766.0,2795.0,2685.05,2747.7,2780.0,2763.75,2757.41,2849.0,1049.05,57435,158371782.55,5760,FORCEMOT
52,2023-08-08,EQ,2750.0,2775.0,2660.5,2728.45,2739.0,2747.7,2719.31,2849.0,1049.05,56471,153562185.0,6242,FORCEMOT
53,2023-08-07,EQ,2705.0,2755.0,2667.6,2675.0,2723.5,2728.45,2719.82,2849.0,1049.05,67044,182347567.3,7112,FORCEMOT
54,2023-08-04,EQ,2526.8,2699.0,2508.05,2503.5,2691.0,2675.0,2622.96,2849.0,1028.0,82419,216182031.9,8465,FORCEMOT
55,2023-08-03,EQ,2490.0,2525.0,2479.0,2472.8,2498.0,2503.5,2498.83,2849.0,1028.0,24171,60399219.6,3617,FORCEMOT
56,2023-08-02,EQ,2590.9,2624.95,2400.1,2590.9,2479.0,2472.8,2494.51,2849.0,1028.0,42364,105677547.9,6641,FORCEMOT
57,2023-08-01,EQ,2578.0,2625.0,2550.05,2549.55,2593.8,2590.9,2594.02,2849.0,1028.0,39809,103265421.6,5292,FORCEMOT
58,2023-07-31,EQ,2508.4,2575.0,2483.55,2483.55,2540.35,2549.55,2541.16,2849.0,1028.0,44085,112027245.15,6507,FORCEMOT
59,2023-07-28,EQ,2540.8,2565.95,2450.05,2540.8,2500.0,2483.55,2499.33,2849.0,1012.55,28240,70581040.25,5084,FORCEMOT
60,2023-07-27,EQ,2595.1,2612.8,2502.05,2584.45,2547.4,2540.8,2552.59,2849.0,1012.55,19608,50051208.8,3330,FORCEMOT
61,2023-07-26,EQ,2600.0,2621.85,2566.0,2581.45,2589.0,2584.45,2597.37,2849.0,1012.55,17145,44531840.4,3033,FORCEMOT
62,2023-07-25,EQ,2639.65,2665.0,2569.95,2616.35,2570.0,2581.45,2627.23,2849.0,1012.55,30741,80763524.45,4016,FORCEMOT
63,2023-07-24,EQ,2570.3,2640.0,2560.85,2576.05,2606.6,2616.35,2613.72,2849.0,1012.55,33478,87502220.7,4370,FORCEMOT
64,2023-07-21,EQ,2632.0,2642.0,2560.0,2629.45,2578.55,2576.05,2592.78,2849.0,997.35,28304,73386041.55,4025,FORCEMOT
65,2023-07-20,EQ,2652.0,2682.0,2616.45,2660.8,2632.35,2629.45,2647.87,2849.0,997.35,27159,71913379.9,3365,FORCEMOT
66,2023-07-19,EQ,2670.5,2720.0,2641.05,2669.35,2650.0,2660.8,2677.45,2849.0,997.35,25852,69217523.25,3332,FORCEMOT
67,2023-07-18,EQ,2760.0,2769.2,2651.0,2749.3,2670.5,2669.35,2680.27,2849.0,997.35,45469,121869306.55,5698,FORCEMOT
68,2023-07-17,EQ,2774.0,2849.0,2734.65,2749.15,2753.0,2749.3,2807.16,2849.0,997.35,85998,241410098.2,9493,FORCEMOT
69,2023-07-14,EQ,2595.1,2762.0,2595.1,2596.2,2744.7,2749.15,2711.61,2796.6,981.1,126083,341888173.35,12671,FORCEMOT
70,2023-07-13,EQ,2649.0,2682.0,2550.2,2632.05,2628.6,2596.2,2635.97,2796.6,981.1,53850,141946786.55,7826,FORCEMOT
71,2023-07-12,EQ,2606.55,2657.75,2585.0,2596.3,2636.0,2632.05,2624.72,2796.6,981.1,40914,107387624.65,5891,FORCEMOT
72,2023-07-11,EQ,2555.55,2649.95,2536.4,2536.4,2592.0,2596.3,2600.63,2796.6,981.1,45094,117273020.45,5927,FORCEMOT
73,2023-07-10,EQ,2590.0,2590.0,2521.05,2578.7,2535.0,2536.4,2555.38,2796.6,981.1,28300,72317324.95,2883,FORCEMOT
74,2023-07-07,EQ,2635.0,2638.95,2550.1,2625.3,2575.0,2578.7,2585.53,2796.6,981.1,61724,159589480.4,7272,FORCEMOT
75,2023-07-06,EQ,2546.0,2650.0,2546.0,2494.0,2634.95,2625.3,2614.07,2796.6,981.1,186569,487705173.55,17978,FORCEMOT
76,2023-07-05,EQ,2615.5,2660.0,2460.0,2615.5,2504.8,2494.0,2535.95,2796.6,981.1,89931,228060377.15,11657,FORCEMOT
77,2023-07-04,EQ,2749.0,2757.45,2600.0,2731.8,2607.9,2615.5,2659.45,2796.6,981.1,81353,216354362.8,9393,FORCEMOT
78,2023-07-03,EQ,2710.0,2796.6,2665.0,2733.85,2716.0,2731.8,2743.29,2796.6,981.1,102998,282553231.6,9205,FORCEMOT
79,2023-06-30,EQ,2715.0,2776.95,2600.0,2686.6,2713.8,2733.85,2715.16,2776.95,932.15,223008,605501351.0,24825,FORCEMOT
80,2023-06-28,EQ,2550.0,2716.7,2480.0,2538.5,2696.1,2686.6,2609.24,2716.7,932.15,326305,851407684.0,23949,FORCEMOT
81,2023-06-27,EQ,2350.0,2571.65,2330.1,2337.9,2531.0,2538.5,2525.92,2571.65,932.15,455801,1151317970.75,24164,FORCEMOT
82,2023-06-26,EQ,2357.9,2357.9,2300.0,2322.5,2340.0,2337.9,2337.65,2357.9,932.15,74567,174311192.5,7034,FORCEMOT
83,2023-06-23,EQ,2194.0,2351.0,2160.1,2182.0,2338.0,2322.5,2300.35,2351.0,911.3,231542,532626645.5,15779,FORCEMOT
84,2023-06-22,EQ,2259.1,2278.6,2171.4,2259.1,2186.95,2182.0,2212.75,2349.0,911.3,46219,102270989.5,4198,FORCEMOT
85,2023-06-21,EQ,2214.0,2295.0,2211.15,2220.15,2252.0,2259.1,2265.86,2349.0,911.3,73182,165820075.55,5288,FORCEMOT
86,2023-06-20,EQ,2202.0,2249.95,2168.8,2201.8,2223.0,2220.15,2210.45,2349.0,911.3,50565,111771200.0,4991,FORCEMOT
87,2023-06-19,EQ,2228.0,2250.0,2200.0,2210.65,2200.25,2201.8,2221.86,2349.0,911.3,39524,87816881.7,3314,FORCEMOT
88,2023-06-16,EQ,2244.8,2252.0,2197.5,2243.05,2215.5,2210.65,2223.75,2349.0,911.3,56819,126351202.7,4798,FORCEMOT
89,2023-06-15,EQ,2215.0,2349.0,2215.0,2215.0,2232.1,2243.05,2294.78,2349.0,911.3,197338,452846535.7,14021,FORCEMOT
90,2023-06-14,EQ,2230.95,2239.75,2189.95,2226.8,2207.9,2215.0,2213.98,2265.0,911.3,47363,104860812.4,4083,FORCEMOT
91,2023-06-13,EQ,2152.0,2250.1,2152.0,2140.75,2225.0,2226.8,2226.16,2265.0,911.3,201062,447596377.3,13467,FORCEMOT
92,2023-06-12,EQ,2183.7,2227.0,2100.55,2172.25,2170.0,2140.75,2145.86,2265.0,911.3,122262,262357634.4,12105,FORCEMOT
93,2023-06-09,EQ,2190.0,2208.4,2143.0,2201.3,2169.0,2172.25,2175.98,2265.0,911.3,100329,218313487.35,7750,FORCEMOT
94,2023-06-08,EQ,2195.0,2252.1,2140.0,2196.0,2192.05,2201.3,2207.07,2265.0,911.3,297168,655871196.3,19272,FORCEMOT
95,2023-06-07,EQ,2133.0,2265.0,2090.05,2117.35,2188.0,2196.0,2201.8,2265.0,911.3,613886,1351652448.75,34826,FORCEMOT
96,2023-06-06,EQ,1875.35,2158.0,1875.1,1899.35,2125.0,2117.35,2066.11,2158.0,911.3,625860,1293097207.45,35918,FORCEMOT
97,2023-06-05,EQ,1951.0,1975.0,1851.0,1920.3,1890.0,1899.35,1913.79,1975.0,911.3,128428,245784455.05,8906,FORCEMOT
98,2023-06-02,EQ,1859.0,1929.9,1836.05,1841.25,1905.1,1920.3,1895.86,1929.9,911.3,320895,608371967.25,14973,FORCEMOT
99,2023-06-01,EQ,1788.95,1869.0,1788.0,1788.95,1835.5,1841.25,1836.04,1869.0,911.3,538556,988808929.55,33989,FORCEMOT
100,2023-05-31,EQ,1760.95,1858.9,1681.0,1718.7,1777.8,1788.95,1780.54,1858.9,911.3,1907014,3395512748.7,105276,FORCEMOT
101,2023-05-30,EQ,1559.95,1718.7,1511.0,1432.25,1718.7,1718.7,1649.23,1718.7,911.3,549604,906421818.0,23727,FORCEMOT
102,2023-05-29,EQ,1410.0,1445.0,1405.0,1401.6,1427.45,1432.25,1430.15,1603.9,911.3,68509,97978257.25,5966,FORCEMOT
103,2023-05-26,EQ,1395.85,1410.0,1395.85,1398.35,1400.0,1401.6,1403.57,1603.9,911.3,19518,27394834.95,2345,FORCEMOT
104,2023-05-25,EQ,1381.2,1405.15,1373.2,1373.95,1392.0,1398.35,1394.95,1603.9,911.3,28798,40171687.9,3272,FORCEMOT
105,2023-05-24,EQ,1375.5,1389.15,1370.0,1376.75,1370.0,1373.95,1377.12,1603.9,911.3,15142,20852393.25,1802,FORCEMOT
106,2023-05-23,EQ,1373.0,1397.0,1360.0,1368.55,1377.2,1376.75,1378.89,1603.9,911.3,23113,31870360.7,2526,FORCEMOT
