,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,3828.6,3874.45,3781.0,3828.6,3845.0,3832.55,3829.53,4150.0,1825.0,3529,13514394.45,932,FOSECOIND
1,2023-12-28,EQ,3919.25,3920.0,3800.0,3904.8,3842.0,3828.6,3847.31,4150.0,1825.0,3815,14677492.0,971,FOSECOIND
2,2023-12-27,EQ,3927.85,3982.45,3888.05,3927.85,3904.0,3904.8,3935.69,4150.0,1825.0,2349,9244937.0,790,FOSECOIND
3,2023-12-26,EQ,3825.85,3951.0,3825.85,3825.85,3944.0,3927.85,3906.65,4150.0,1825.0,3775,14747605.0,1306,FOSECOIND
4,2023-12-22,EQ,3964.8,4022.85,3802.0,3924.8,3845.5,3825.85,3863.17,4150.0,1812.1,4826,18643662.6,1569,FOSECOIND
5,2023-12-21,EQ,3880.9,3965.85,3880.9,3880.9,3920.0,3924.8,3931.37,4150.0,1812.1,3682,14475288.45,1153,FOSECOIND
6,2023-12-20,EQ,4100.0,4140.25,3813.15,4106.1,3885.0,3880.9,3984.47,4150.0,1812.1,14746,58754925.1,4231,FOSECOIND
7,2023-12-19,EQ,3899.0,4150.0,3888.15,3835.9,4085.0,4106.1,4043.42,4150.0,1812.1,38246,154644462.1,9164,FOSECOIND
8,2023-12-18,EQ,3701.0,3885.0,3701.0,3655.1,3845.0,3835.9,3830.3,3930.55,1812.1,21749,83305123.6,5473,FOSECOIND
9,2023-12-15,EQ,3668.0,3668.0,3610.0,3636.05,3657.0,3655.1,3640.88,3930.55,1812.1,1940,7063314.35,572,FOSECOIND
10,2023-12-14,EQ,3650.0,3671.9,3591.0,3624.75,3625.05,3636.05,3633.25,3930.55,1812.1,3266,11866187.2,893,FOSECOIND
11,2023-12-13,EQ,3741.0,3770.0,3596.1,3697.8,3616.0,3624.75,3662.81,3930.55,1812.1,6879,25196489.3,2235,FOSECOIND
12,2023-12-12,EQ,3514.75,3780.0,3514.0,3539.0,3740.0,3697.8,3630.08,3930.55,1812.1,8251,29951788.65,1558,FOSECOIND
13,2023-12-11,EQ,3526.5,3550.0,3494.4,3514.15,3550.0,3539.0,3524.63,3930.55,1812.1,3943,13897627.0,583,FOSECOIND
14,2023-12-08,EQ,3598.0,3598.0,3488.8,3580.95,3514.0,3514.15,3540.03,3930.55,1812.1,2950,10443096.05,737,FOSECOIND
15,2023-12-07,EQ,3526.55,3666.0,3482.0,3518.05,3571.0,3580.95,3587.79,3930.55,1812.1,8490,30460349.4,1429,FOSECOIND
16,2023-12-06,EQ,3587.35,3587.8,3502.0,3551.75,3521.9,3518.05,3537.35,3930.55,1812.1,2126,7520407.2,525,FOSECOIND
17,2023-12-05,EQ,3470.1,3567.5,3470.1,3514.4,3550.0,3551.75,3519.67,3930.55,1812.1,2023,7120299.1,618,FOSECOIND
18,2023-12-04,EQ,3503.0,3596.4,3494.4,3536.4,3510.0,3514.4,3537.26,3930.55,1812.1,3428,12125712.75,1154,FOSECOIND
19,2023-12-01,EQ,3455.65,3595.0,3451.4,3475.3,3568.0,3536.4,3532.25,3930.55,1812.1,4812,16997195.8,1066,FOSECOIND
20,2023-11-30,EQ,3456.7,3491.85,3441.1,3476.15,3471.0,3475.3,3465.07,3930.55,1812.1,1440,4989697.7,458,FOSECOIND
21,2023-11-29,EQ,3477.0,3550.0,3465.0,3512.35,3472.95,3476.15,3510.71,3930.55,1812.1,1631,5725967.3,500,FOSECOIND
22,2023-11-28,EQ,3470.0,3519.0,3433.05,3474.25,3501.15,3512.35,3487.32,3930.55,1812.1,5700,19877725.2,941,FOSECOIND
23,2023-11-24,EQ,3447.3,3517.25,3390.1,3433.55,3479.0,3474.25,3472.17,3930.55,1812.1,7768,26971818.1,1066,FOSECOIND
24,2023-11-23,EQ,3425.35,3455.0,3408.1,3425.35,3444.85,3433.55,3437.37,3930.55,1812.1,3542,12175157.3,616,FOSECOIND
25,2023-11-22,EQ,3416.3,3447.9,3390.0,3400.3,3422.8,3425.35,3421.74,3930.55,1812.1,2882,9861446.75,761,FOSECOIND
26,2023-11-21,EQ,3499.0,3509.0,3390.65,3466.15,3407.9,3400.3,3433.69,3930.55,1812.1,1594,5473294.6,429,FOSECOIND
27,2023-11-20,EQ,3472.0,3497.0,3455.0,3462.05,3464.9,3466.15,3476.25,3930.55,1812.1,1014,3524917.4,432,FOSECOIND
28,2023-11-17,EQ,3433.45,3474.0,3389.95,3437.1,3472.0,3462.05,3442.66,3930.55,1812.1,5989,20618099.55,1314,FOSECOIND
29,2023-11-16,EQ,3486.3,3494.95,3402.0,3475.9,3411.0,3437.1,3452.1,3930.55,1812.1,2379,8212544.75,712,FOSECOIND
30,2023-11-15,EQ,3477.0,3519.0,3440.4,3472.1,3471.1,3475.9,3471.62,3930.55,1812.1,2729,9474062.7,814,FOSECOIND
31,2023-11-13,EQ,3510.1,3510.1,3406.7,3554.2,3465.0,3472.1,3452.36,3930.55,1812.1,8629,29790426.5,2040,FOSECOIND
32,2023-11-12,EQ,3709.95,3709.95,3510.0,3663.35,3511.1,3554.2,3575.26,3930.55,1812.1,5153,18423299.55,1001,FOSECOIND
33,2023-11-10,EQ,3525.15,3700.0,3525.15,3572.9,3650.0,3663.35,3646.6,3930.55,1812.1,8381,30562155.25,1921,FOSECOIND
34,2023-11-09,EQ,3576.0,3636.0,3550.2,3601.9,3578.9,3572.9,3575.63,3930.55,1812.1,2621,9371722.8,830,FOSECOIND
35,2023-11-08,EQ,3571.0,3624.95,3571.0,3567.3,3615.0,3601.9,3603.23,3930.55,1812.1,3937,14185914.05,1172,FOSECOIND
36,2023-11-07,EQ,3512.3,3628.65,3512.3,3523.5,3580.0,3567.3,3574.44,3930.55,1812.1,5730,20481535.4,1434,FOSECOIND
37,2023-11-06,EQ,3410.0,3603.0,3352.0,3384.4,3603.0,3523.5,3510.96,3930.55,1812.1,10153,35646796.5,2223,FOSECOIND
38,2023-11-03,EQ,3450.85,3450.85,3362.05,3416.65,3380.0,3384.4,3402.0,3930.55,1812.1,1854,6307302.55,342,FOSECOIND
39,2023-11-02,EQ,3414.0,3477.95,3393.75,3414.7,3411.0,3416.65,3428.06,3930.55,1812.1,1552,5320355.8,517,FOSECOIND
40,2023-11-01,EQ,3338.05,3482.45,3334.5,3338.35,3420.0,3414.7,3422.72,3930.55,1812.1,5601,19170634.75,1093,FOSECOIND
41,2023-10-31,EQ,3345.0,3385.0,3310.0,3294.5,3333.0,3338.35,3342.91,3930.55,1812.1,2932,9801403.5,716,FOSECOIND
42,2023-10-30,EQ,3215.95,3316.35,3204.05,3241.35,3288.1,3294.5,3282.07,3930.55,1812.1,1350,4430799.9,443,FOSECOIND
43,2023-10-27,EQ,3225.0,3271.45,3214.05,3214.55,3232.2,3241.35,3239.82,3930.55,1812.1,1722,5578968.9,524,FOSECOIND
44,2023-10-26,EQ,3284.0,3284.0,3161.3,3274.6,3216.0,3214.55,3217.19,3930.55,1812.1,2972,9561491.45,939,FOSECOIND
45,2023-10-25,EQ,3309.0,3334.4,3201.1,3310.55,3310.0,3274.6,3272.44,3930.55,1812.1,3567,11672788.35,1045,FOSECOIND
46,2023-10-23,EQ,3424.0,3424.0,3301.0,3392.55,3302.0,3310.55,3336.69,3930.55,1812.1,2378,7934637.75,724,FOSECOIND
47,2023-10-20,EQ,3485.0,3485.0,3380.0,3477.9,3414.0,3392.55,3421.2,3930.55,1812.1,2317,7926918.8,726,FOSECOIND
48,2023-10-19,EQ,3568.9,3568.9,3455.05,3535.9,3480.0,3477.9,3507.98,3930.55,1812.1,1417,4970811.85,663,FOSECOIND
49,2023-10-18,EQ,3452.0,3579.0,3452.0,3490.35,3549.0,3535.9,3532.81,3930.55,1812.1,2822,9969578.35,898,FOSECOIND
50,2023-10-17,EQ,3480.1,3554.95,3468.35,3512.4,3505.0,3490.35,3489.37,3930.55,1812.1,1327,4630395.85,499,FOSECOIND
51,2023-10-16,EQ,3550.0,3577.95,3465.0,3498.4,3507.4,3512.4,3511.62,3930.55,1812.1,5091,17877649.45,1288,FOSECOIND
52,2023-10-13,EQ,3418.4,3574.0,3397.0,3416.2,3519.8,3498.4,3476.43,3930.55,1812.1,4230,14705284.15,1253,FOSECOIND
53,2023-10-12,EQ,3458.0,3467.0,3380.0,3403.3,3424.0,3416.2,3403.1,3930.55,1812.1,2981,10144638.3,713,FOSECOIND
