,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,393.4,396.85,390.0,395.95,394.4,393.1,393.17,443.95,129.45,241574,94980659.0,11516,GABRIEL
1,2023-12-28,EQ,400.0,402.7,390.25,399.65,395.0,395.95,395.65,443.95,129.45,204572,80938102.5,16039,GABRIEL
2,2023-12-27,EQ,399.15,404.2,396.0,397.7,401.1,399.65,399.59,443.95,129.45,159469,63722877.5,15295,GABRIEL
3,2023-12-26,EQ,407.2,407.2,395.05,403.6,398.95,397.7,400.73,443.95,129.45,165281,66233086.1,11476,GABRIEL
4,2023-12-22,EQ,403.95,413.0,400.6,400.85,407.7,403.6,405.92,443.95,129.45,162374,65910098.25,11529,GABRIEL
5,2023-12-21,EQ,382.05,411.25,381.0,394.7,402.2,400.85,398.1,443.95,129.45,275610,109719161.95,15979,GABRIEL
6,2023-12-20,EQ,418.85,418.9,388.05,414.95,394.5,394.7,401.97,443.95,129.45,387586,155799588.45,21048,GABRIEL
7,2023-12-19,EQ,417.3,421.85,413.75,415.55,414.5,414.95,416.68,443.95,129.45,543278,226372403.85,16435,GABRIEL
8,2023-12-18,EQ,412.85,423.0,411.2,411.2,417.35,415.55,417.35,443.95,129.45,253037,105604260.7,15657,GABRIEL
9,2023-12-15,EQ,415.9,419.3,410.0,411.95,410.95,411.2,414.57,443.95,129.45,208532,86451936.3,13978,GABRIEL
10,2023-12-14,EQ,409.0,418.0,406.5,405.5,413.0,411.95,411.77,443.95,129.45,209878,86421865.8,14652,GABRIEL
11,2023-12-13,EQ,410.0,410.0,401.15,409.3,408.05,405.5,405.56,443.95,129.45,222904,90400301.6,12720,GABRIEL
12,2023-12-12,EQ,415.8,418.0,407.5,415.8,411.0,409.3,411.66,443.95,129.45,138467,57001360.7,8449,GABRIEL
13,2023-12-11,EQ,417.65,418.45,413.25,415.7,415.0,415.8,415.32,443.95,129.45,150892,62668427.15,8704,GABRIEL
14,2023-12-08,EQ,426.0,429.5,406.65,425.95,416.45,415.7,417.96,443.95,129.45,250545,104717641.2,20187,GABRIEL
15,2023-12-07,EQ,429.55,432.0,423.0,428.9,425.0,425.95,427.49,443.95,129.45,192825,82431047.4,13345,GABRIEL
16,2023-12-06,EQ,443.95,443.95,426.4,425.35,430.5,428.9,431.04,443.95,129.45,242015,104317524.15,11401,GABRIEL
17,2023-12-05,EQ,422.85,433.25,415.1,417.15,429.5,425.35,425.23,433.25,129.45,405756,172540985.65,15333,GABRIEL
18,2023-12-04,EQ,419.7,424.0,411.25,414.05,419.9,417.15,420.22,432.0,129.45,336082,141226897.6,17405,GABRIEL
19,2023-12-01,EQ,409.45,416.0,407.0,423.35,415.0,414.05,411.92,432.0,129.45,399310,164481976.7,17984,GABRIEL
20,2023-11-30,EQ,414.15,432.0,401.1,413.95,407.0,423.35,423.06,432.0,129.45,2202905,931966165.0,44578,GABRIEL
21,2023-11-29,EQ,414.0,418.0,404.15,412.45,415.0,413.95,410.82,428.0,129.45,288755,118626718.3,15965,GABRIEL
22,2023-11-28,EQ,411.95,414.7,408.95,409.9,413.0,412.45,412.13,428.0,129.45,375881,154913179.9,20287,GABRIEL
23,2023-11-24,EQ,398.05,412.0,397.6,395.95,411.0,409.9,407.5,428.0,129.45,407640,166113096.4,19083,GABRIEL
24,2023-11-23,EQ,401.2,402.15,392.05,399.2,395.8,395.95,397.33,428.0,129.45,248262,98642171.95,16486,GABRIEL
25,2023-11-22,EQ,407.75,413.05,390.7,406.1,399.0,399.2,402.5,428.0,129.45,375817,151264859.45,24439,GABRIEL
26,2023-11-21,EQ,415.7,419.9,405.0,413.95,407.7,406.1,411.03,428.0,129.45,364824,149955001.45,15464,GABRIEL
27,2023-11-20,EQ,405.45,424.8,404.5,403.4,417.4,413.95,417.35,428.0,129.45,741080,309289637.7,24567,GABRIEL
28,2023-11-17,EQ,412.45,416.3,401.85,412.45,403.4,403.4,408.31,428.0,129.45,405587,165603877.4,14140,GABRIEL
29,2023-11-16,EQ,411.0,416.15,404.35,410.1,413.05,412.45,411.13,428.0,129.45,1735778,713625448.8,44257,GABRIEL
30,2023-11-15,EQ,371.0,428.0,371.0,366.7,411.0,410.1,411.89,428.0,129.45,10217548,4208508187.85,145400,GABRIEL
31,2023-11-13,EQ,365.05,378.5,361.1,367.9,366.0,366.7,372.7,378.5,129.45,643946,239999087.6,17441,GABRIEL
32,2023-11-12,EQ,366.05,371.8,365.25,361.85,367.5,367.9,368.7,371.8,129.45,201089,74141182.75,5770,GABRIEL
33,2023-11-10,EQ,367.7,369.95,357.05,365.55,363.4,361.85,361.93,369.95,129.45,614155,222283083.6,17247,GABRIEL
34,2023-11-09,EQ,349.95,368.0,349.0,347.9,368.0,365.55,361.77,368.0,129.45,1442791,521961575.8,28525,GABRIEL
35,2023-11-08,EQ,338.0,351.0,337.35,337.0,350.7,347.9,344.79,359.35,129.45,601156,207270596.1,14902,GABRIEL
36,2023-11-07,EQ,338.1,339.95,335.35,336.1,336.0,337.0,337.72,359.35,129.45,224655,75869707.2,7158,GABRIEL
37,2023-11-06,EQ,345.8,347.85,332.7,340.65,336.9,336.1,337.3,359.35,129.45,411486,138793201.2,13227,GABRIEL
38,2023-11-03,EQ,336.25,344.9,333.25,333.6,341.2,340.65,340.16,359.35,129.45,746635,253971817.05,18309,GABRIEL
39,2023-11-02,EQ,327.2,338.45,327.1,325.35,334.1,333.6,332.64,359.35,129.45,283388,94266832.25,9640,GABRIEL
40,2023-11-01,EQ,336.0,336.5,323.4,334.8,324.25,325.35,328.88,359.35,129.45,290688,95602769.35,10194,GABRIEL
41,2023-10-31,EQ,334.05,348.15,332.1,333.85,336.0,334.8,340.08,359.35,129.45,626516,213065113.85,19350,GABRIEL
42,2023-10-30,EQ,333.0,337.25,323.45,331.75,334.0,333.85,333.06,359.35,129.45,488905,162836072.35,11489,GABRIEL
43,2023-10-27,EQ,326.8,335.95,324.55,322.8,331.0,331.75,331.32,359.35,129.45,400263,132613705.2,13169,GABRIEL
44,2023-10-26,EQ,311.55,327.0,305.3,314.3,323.0,322.8,314.12,359.35,129.45,730500,229464944.9,24097,GABRIEL
45,2023-10-25,EQ,324.7,337.8,307.2,323.2,316.9,314.3,319.48,359.35,129.45,784333,250580156.05,26605,GABRIEL
46,2023-10-23,EQ,342.7,344.8,321.0,341.85,323.0,323.2,327.94,359.35,129.45,619116,203030637.35,20735,GABRIEL
47,2023-10-20,EQ,344.15,354.4,340.15,344.35,342.2,341.85,346.95,359.35,129.45,447281,155185516.3,13363,GABRIEL
48,2023-10-19,EQ,345.85,347.4,340.4,345.95,344.8,344.35,344.52,359.35,129.45,242835,83660742.3,9950,GABRIEL
49,2023-10-18,EQ,349.9,350.95,343.05,348.3,346.5,345.95,346.45,359.35,129.45,254387,88133230.35,7666,GABRIEL
50,2023-10-17,EQ,348.8,358.8,346.5,346.95,351.0,348.3,352.49,359.35,129.45,433174,152690726.05,12140,GABRIEL
51,2023-10-16,EQ,344.7,354.45,338.25,342.9,347.65,346.95,347.86,359.35,129.45,437045,152028554.15,13442,GABRIEL
52,2023-10-13,EQ,349.25,349.9,341.1,350.25,342.0,342.9,345.5,359.35,129.45,276443,95511336.95,10822,GABRIEL
53,2023-10-12,EQ,348.4,355.9,347.0,345.2,350.95,350.25,351.28,359.35,129.45,463981,162985137.45,11514,GABRIEL
54,2023-10-11,EQ,349.0,359.35,342.4,349.15,346.8,345.2,351.25,359.35,129.45,664860,233532312.45,16246,GABRIEL
55,2023-10-10,EQ,331.35,352.95,330.65,327.8,349.25,349.15,344.7,357.9,129.45,1140575,393159967.95,25713,GABRIEL
56,2023-10-09,EQ,340.45,341.0,325.55,346.05,329.9,327.8,332.07,357.9,129.45,759515,252210905.9,19678,GABRIEL
57,2023-10-06,EQ,349.35,357.9,339.3,346.15,347.45,346.05,348.96,357.9,129.45,1311360,457609434.95,28442,GABRIEL
58,2023-10-05,EQ,326.7,348.3,326.7,323.85,346.95,346.15,342.63,348.3,129.45,2018322,691541400.45,36117,GABRIEL
59,2023-10-04,EQ,330.25,330.85,321.1,330.45,324.9,323.85,325.98,339.65,129.45,305210,99493227.0,11673,GABRIEL
60,2023-10-03,EQ,332.35,338.7,328.7,330.45,330.9,330.45,333.59,339.65,129.45,467191,155850843.3,12634,GABRIEL
