,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,159.75,164.3,158.05,157.1,162.2,162.1,161.81,164.3,90.65,57370272,9283034877.85,225654,GAIL
1,2023-12-28,EQ,152.45,158.85,151.65,151.85,157.0,157.1,155.94,158.85,90.65,37181228,5798162477.5,121710,GAIL
2,2023-12-27,EQ,154.95,155.4,150.75,154.0,152.1,151.85,152.93,157.7,90.65,15311946,2341684211.65,67796,GAIL
3,2023-12-26,EQ,152.45,157.7,151.4,151.5,154.4,154.0,154.8,157.7,90.65,44403657,6873781770.1,165744,GAIL
4,2023-12-22,EQ,142.0,153.15,141.1,140.7,151.2,151.5,149.72,153.15,90.65,84784192,12693908102.8,237969,GAIL
5,2023-12-21,EQ,135.15,141.0,134.85,137.75,141.0,140.7,139.22,149.15,90.65,16747435,2331505953.1,67691,GAIL
6,2023-12-20,EQ,145.5,148.0,136.45,144.4,137.45,137.75,142.81,149.15,90.65,24177947,3452916369.85,79045,GAIL
7,2023-12-19,EQ,146.1,146.85,142.85,145.05,144.7,144.4,144.53,149.15,90.65,16040169,2318302276.6,61856,GAIL
8,2023-12-18,EQ,146.0,147.5,144.5,145.85,145.1,145.05,145.91,149.15,90.65,10775891,1572288485.95,50714,GAIL
9,2023-12-15,EQ,147.0,149.15,145.0,145.55,145.8,145.85,147.36,149.15,90.2,28383880,4182779841.2,81952,GAIL
10,2023-12-14,EQ,142.0,147.4,141.65,141.05,146.0,145.55,144.77,147.4,90.2,38595458,5587534514.15,107962,GAIL
11,2023-12-13,EQ,139.05,142.0,138.5,138.75,140.85,141.05,140.48,145.1,90.2,17529522,2462540542.05,59466,GAIL
12,2023-12-12,EQ,141.05,141.6,138.0,141.05,138.8,138.75,139.58,145.1,90.2,9881478,1379282898.0,47410,GAIL
13,2023-12-11,EQ,140.05,143.1,139.75,140.35,140.8,141.05,141.42,145.1,90.2,11044633,1561913034.5,48572,GAIL
14,2023-12-08,EQ,142.85,144.8,137.35,142.05,140.2,140.35,141.18,145.1,90.2,18995777,2681833314.65,70561,GAIL
15,2023-12-07,EQ,140.6,143.7,140.05,140.6,142.2,142.05,142.05,145.1,90.2,18456707,2621742417.15,69830,GAIL
16,2023-12-06,EQ,141.15,142.6,138.8,140.35,141.05,140.6,140.44,145.1,90.2,18752200,2633543323.2,90394,GAIL
17,2023-12-05,EQ,142.85,143.4,139.5,141.9,140.6,140.35,141.21,145.1,90.2,25099887,3544255732.35,102469,GAIL
18,2023-12-04,EQ,139.0,145.1,138.0,136.05,141.85,141.9,142.28,145.1,90.2,66257632,9426942256.0,184573,GAIL
19,2023-12-01,EQ,134.0,137.35,132.35,131.9,136.3,136.05,135.0,137.35,90.2,53660727,7244256573.5,135577,GAIL
20,2023-11-30,EQ,125.85,134.2,125.3,125.9,131.9,131.9,131.86,134.2,90.2,82083861,10823329380.95,188735,GAIL
21,2023-11-29,EQ,125.2,127.0,125.2,125.3,125.85,125.9,126.03,132.45,90.2,17797816,2243099760.6,50349,GAIL
22,2023-11-28,EQ,124.55,126.45,123.65,124.5,125.5,125.3,125.06,132.45,90.2,19955790,2495659727.05,59572,GAIL
23,2023-11-24,EQ,125.1,125.7,123.9,124.95,124.3,124.5,124.97,132.45,89.5,7037545,879451345.25,28736,GAIL
24,2023-11-23,EQ,124.05,125.9,123.7,123.8,124.85,124.95,124.65,132.45,89.5,7039867,877504234.45,26405,GAIL
25,2023-11-22,EQ,125.05,125.45,122.9,124.95,123.85,123.8,124.0,132.45,89.5,7738964,959609219.3,34412,GAIL
26,2023-11-21,EQ,124.6,125.4,124.15,124.55,124.9,124.95,124.85,132.45,89.5,5289551,660423913.85,27811,GAIL
27,2023-11-20,EQ,125.65,126.45,124.15,126.25,124.25,124.55,125.14,132.45,89.5,5930799,742190162.15,26310,GAIL
28,2023-11-17,EQ,125.45,127.15,124.8,126.4,126.05,126.25,126.05,132.45,87.9,9122291,1149902239.45,35341,GAIL
29,2023-11-16,EQ,126.9,127.8,126.05,126.85,126.3,126.4,126.73,132.45,87.9,6392633,810133053.6,28173,GAIL
30,2023-11-15,EQ,127.3,129.05,126.55,126.05,127.0,126.85,127.72,132.45,87.9,14489745,1850605612.25,43701,GAIL
31,2023-11-13,EQ,126.5,127.3,125.35,126.4,126.0,126.05,126.47,132.45,87.9,5965121,754423986.9,24459,GAIL
32,2023-11-12,EQ,126.0,126.75,125.75,125.6,126.2,126.4,126.39,132.45,87.9,1638425,207085969.8,18002,GAIL
33,2023-11-10,EQ,123.9,125.9,123.2,124.15,125.6,125.6,125.21,132.45,87.9,6880677,861523820.15,29065,GAIL
34,2023-11-09,EQ,125.0,125.0,123.3,124.65,124.0,124.15,124.01,132.45,87.9,7332564,909280383.15,28512,GAIL
35,2023-11-08,EQ,125.75,125.85,124.0,125.05,124.3,124.65,124.88,132.45,87.9,7605770,949830129.35,39463,GAIL
36,2023-11-07,EQ,123.65,125.8,122.9,123.4,124.9,125.05,124.64,132.45,87.9,7013652,874150392.55,39686,GAIL
37,2023-11-06,EQ,124.7,125.0,123.05,123.75,123.5,123.4,123.83,132.45,87.9,6377850,789775340.1,40617,GAIL
38,2023-11-03,EQ,122.7,124.2,122.1,122.05,123.5,123.75,123.46,132.45,87.9,12062935,1489336446.0,43477,GAIL
39,2023-11-02,EQ,119.1,122.3,118.75,117.6,122.2,122.05,121.07,132.45,87.9,17644988,2136306038.25,55889,GAIL
40,2023-11-01,EQ,120.4,121.45,117.4,119.5,117.5,117.6,119.27,132.45,87.9,15959172,1903492264.15,51871,GAIL
41,2023-10-31,EQ,119.05,121.4,116.15,118.7,119.85,119.5,118.84,132.45,87.9,33212394,3946897446.6,107416,GAIL
42,2023-10-30,EQ,118.75,119.75,116.95,118.25,118.6,118.7,118.44,132.45,87.9,7895004,935083105.8,41018,GAIL
43,2023-10-27,EQ,119.3,120.3,118.0,118.5,118.5,118.25,119.0,132.45,85.8,9937564,1182557204.8,39719,GAIL
44,2023-10-26,EQ,118.0,119.25,116.85,119.7,119.2,118.5,118.02,132.45,85.8,13170505,1554425465.15,69303,GAIL
45,2023-10-25,EQ,121.55,121.8,117.95,120.8,119.75,119.7,119.75,132.45,85.8,9531434,1141392350.5,60859,GAIL
46,2023-10-23,EQ,125.0,125.4,119.8,125.05,120.75,120.8,122.62,132.45,85.8,17027808,2087911792.25,80237,GAIL
47,2023-10-20,EQ,129.0,129.3,123.25,129.3,125.4,125.05,125.47,132.45,84.15,23340295,2928540968.35,73439,GAIL
48,2023-10-19,EQ,130.0,131.05,129.0,131.0,129.1,129.3,129.85,132.45,84.15,12766650,1657724579.5,47311,GAIL
49,2023-10-18,EQ,131.45,132.45,130.05,131.4,131.15,131.0,131.04,132.45,84.15,22761267,2982676006.65,70865,GAIL
50,2023-10-17,EQ,130.2,132.45,130.2,129.95,131.15,131.4,131.19,132.45,84.15,29711623,3897970346.05,82610,GAIL
51,2023-10-16,EQ,128.4,130.85,128.2,128.25,129.95,129.95,130.0,132.15,84.15,22411704,2913602942.0,66409,GAIL
52,2023-10-13,EQ,128.9,132.15,128.0,129.35,128.3,128.25,130.12,132.15,84.15,32376316,4212946737.2,105800,GAIL
53,2023-10-12,EQ,123.55,130.4,123.55,123.55,129.9,129.35,127.79,130.4,84.15,44500591,5686852447.85,111882,GAIL
54,2023-10-11,EQ,123.25,124.7,123.05,122.9,123.45,123.55,123.66,129.55,84.15,13202599,1632584586.4,49740,GAIL
55,2023-10-10,EQ,122.0,123.4,121.85,121.8,122.75,122.9,122.55,129.55,84.15,9862213,1208568416.6,34804,GAIL
56,2023-10-09,EQ,122.4,122.9,120.9,124.6,121.65,121.8,121.76,129.55,84.15,11378558,1385426436.95,40674,GAIL
57,2023-10-06,EQ,123.8,125.15,122.55,123.0,124.3,124.6,123.84,129.55,84.15,12431715,1539499658.4,33583,GAIL
58,2023-10-05,EQ,121.8,123.5,121.8,121.35,123.0,123.0,122.79,129.55,84.15,13906951,1707701496.85,43785,GAIL
59,2023-10-04,EQ,124.0,124.1,120.15,124.0,121.6,121.35,121.83,129.55,84.15,9753480,1188314700.2,59033,GAIL
60,2023-10-03,EQ,124.4,126.05,123.6,124.4,124.1,124.0,124.51,129.55,84.15,13140786,1636191727.6,47470,GAIL
61,2023-09-29,EQ,122.65,125.0,122.3,121.45,124.7,124.4,124.25,129.55,83.0,14505102,1802249354.3,49193,GAIL
62,2023-09-28,EQ,121.95,122.7,121.0,121.2,122.05,121.45,121.62,129.55,83.0,9719776,1182117185.85,38465,GAIL
63,2023-09-27,EQ,121.95,122.45,120.8,121.55,121.6,121.2,121.47,129.55,83.0,6490723,788416883.05,30097,GAIL
64,2023-09-26,EQ,122.35,123.4,121.35,122.4,121.55,121.55,122.31,129.55,83.0,7023846,859096729.3,29308,GAIL
65,2023-09-25,EQ,121.8,122.8,120.0,121.65,122.25,122.4,121.74,129.55,83.0,11052731,1345568519.65,46515,GAIL
66,2023-09-22,EQ,121.6,123.1,121.5,121.2,121.65,121.65,122.22,129.55,83.0,7745864,946724947.9,40010,GAIL
