,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,392.95,419.9,390.5,390.75,416.0,416.55,410.63,492.0,262.1,254574,104536119.5,15347,GANESHHOUC
1,2023-12-28,EQ,387.95,394.6,383.0,385.35,392.2,390.75,388.31,492.0,262.1,27936,10847797.7,1221,GANESHHOUC
2,2023-12-27,EQ,387.95,392.5,383.25,384.5,384.6,385.35,387.53,492.0,262.1,36417,14112806.05,4482,GANESHHOUC
3,2023-12-26,EQ,387.95,389.85,383.0,387.95,383.9,384.5,385.94,492.0,262.1,23303,8993489.35,2997,GANESHHOUC
4,2023-12-22,EQ,393.8,401.7,385.35,390.9,390.0,387.95,392.37,492.0,262.1,47646,18694767.95,5236,GANESHHOUC
5,2023-12-21,EQ,376.0,397.0,373.05,377.7,388.5,390.9,384.06,492.0,262.1,59246,22754238.8,5241,GANESHHOUC
6,2023-12-20,EQ,395.2,401.2,375.6,395.2,376.0,377.7,388.92,492.0,262.1,56868,22117109.6,5312,GANESHHOUC
7,2023-12-19,EQ,398.05,406.2,392.0,396.8,394.2,395.2,398.0,492.0,262.1,33195,13211710.35,4980,GANESHHOUC
8,2023-12-18,EQ,410.5,410.85,394.25,407.8,397.45,396.8,401.54,492.0,262.1,34692,13930253.75,3469,GANESHHOUC
9,2023-12-15,EQ,410.0,411.9,400.0,409.25,410.0,407.8,406.38,492.0,262.1,25654,10425260.35,2059,GANESHHOUC
10,2023-12-14,EQ,408.0,414.5,403.95,405.2,410.0,409.25,409.7,492.0,262.1,56930,23324296.2,4565,GANESHHOUC
11,2023-12-13,EQ,409.0,410.2,402.0,407.35,403.05,405.2,406.97,492.0,262.1,54050,21996646.65,3163,GANESHHOUC
12,2023-12-12,EQ,411.9,416.9,403.95,410.15,407.5,407.35,410.33,492.0,262.1,74185,30440392.9,3813,GANESHHOUC
13,2023-12-11,EQ,402.5,415.0,396.5,397.9,410.0,410.15,408.03,492.0,262.1,84583,34512423.15,8052,GANESHHOUC
14,2023-12-08,EQ,397.95,406.95,393.7,393.65,399.0,397.9,400.27,492.0,262.1,63421,25385361.6,5611,GANESHHOUC
15,2023-12-07,EQ,387.9,396.0,382.55,384.85,396.0,393.65,391.43,492.0,262.1,36193,14167145.6,2277,GANESHHOUC
16,2023-12-06,EQ,388.3,390.0,381.75,384.45,385.65,384.85,385.82,492.0,262.1,38200,14738437.55,2177,GANESHHOUC
17,2023-12-05,EQ,393.95,396.95,383.8,391.35,385.0,384.45,386.91,492.0,262.1,32331,12509324.95,2306,GANESHHOUC
18,2023-12-04,EQ,405.0,405.0,387.05,391.8,392.0,391.35,393.52,492.0,262.1,58679,23091177.95,3207,GANESHHOUC
19,2023-12-01,EQ,389.0,393.95,386.6,386.0,391.65,391.8,391.55,492.0,262.1,18417,7211262.2,1259,GANESHHOUC
20,2023-11-30,EQ,398.95,399.0,383.7,390.95,386.8,386.0,388.62,492.0,262.1,31053,12067765.05,2152,GANESHHOUC
21,2023-11-29,EQ,394.9,395.9,381.0,393.05,390.7,390.95,388.97,492.0,262.1,42931,16698778.7,1888,GANESHHOUC
22,2023-11-28,EQ,380.5,396.95,373.0,380.5,391.6,393.05,384.93,492.0,262.1,92240,35506252.2,5157,GANESHHOUC
23,2023-11-24,EQ,386.5,387.9,380.0,383.6,382.05,380.5,382.04,492.0,262.1,16391,6262014.0,1064,GANESHHOUC
24,2023-11-23,EQ,389.85,392.35,382.5,384.8,383.9,383.6,385.68,492.0,262.1,16994,6554279.3,1380,GANESHHOUC
25,2023-11-22,EQ,394.95,396.0,381.7,391.5,392.0,384.8,388.11,492.0,262.1,23988,9310023.65,2112,GANESHHOUC
