,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-12-29,EQ,3340.0,3397.55,3340.0,3380.6,3342.0,3366.0,3364.29,3463.85,2650.0,18045,60708573.1,2818,GARFIBRES
1,2023-12-28,EQ,3366.05,3442.05,3356.55,3365.45,3398.0,3380.6,3390.65,3463.85,2650.0,25660,87003984.35,2716,GARFIBRES
2,2023-12-27,EQ,3341.0,3379.5,3308.7,3331.2,3360.0,3365.45,3359.9,3463.85,2650.0,9476,31838371.7,2957,GARFIBRES
3,2023-12-26,EQ,3367.6,3399.95,3302.8,3374.75,3304.0,3331.2,3356.62,3463.85,2650.0,10103,33911956.45,2860,GARFIBRES
4,2023-12-22,EQ,3360.6,3388.0,3342.9,3356.0,3373.75,3374.75,3376.03,3463.85,2650.0,6160,20796343.7,1606,GARFIBRES
5,2023-12-21,EQ,3310.0,3383.6,3262.0,3308.65,3349.15,3356.0,3341.53,3463.85,2650.0,9322,31149725.25,2220,GARFIBRES
6,2023-12-20,EQ,3305.0,3331.0,3281.0,3300.65,3313.85,3308.65,3308.05,3463.85,2650.0,16182,53530816.6,2716,GARFIBRES
7,2023-12-19,EQ,3350.0,3350.0,3286.35,3311.9,3300.05,3300.65,3311.82,3463.85,2650.0,14328,47451769.8,3719,GARFIBRES
8,2023-12-18,EQ,3315.8,3344.85,3227.0,3362.35,3330.55,3311.9,3286.71,3463.85,2650.0,50218,165052015.2,10638,GARFIBRES
9,2023-12-15,EQ,3320.9,3420.0,3314.85,3320.9,3359.0,3362.35,3381.27,3463.85,2650.0,23819,80538563.15,3284,GARFIBRES
10,2023-12-14,EQ,3381.15,3394.75,3302.15,3385.05,3306.3,3320.9,3356.69,3463.85,2650.0,8218,27585245.1,1726,GARFIBRES
11,2023-12-13,EQ,3325.7,3397.2,3315.55,3325.7,3384.0,3385.05,3353.44,3463.85,2650.0,16277,54583967.2,2969,GARFIBRES
12,2023-12-12,EQ,3399.7,3399.7,3315.55,3399.7,3316.5,3325.7,3358.75,3463.85,2650.0,6977,23434031.15,1915,GARFIBRES
13,2023-12-11,EQ,3376.4,3418.45,3360.45,3388.55,3406.95,3399.7,3389.58,3463.85,2650.0,12062,40885173.7,3262,GARFIBRES
14,2023-12-08,EQ,3386.8,3411.15,3371.5,3389.05,3395.0,3388.55,3387.79,3463.85,2650.0,6484,21966432.95,2641,GARFIBRES
15,2023-12-07,EQ,3430.05,3452.75,3370.05,3431.55,3396.0,3389.05,3410.94,3463.85,2650.0,13730,46832265.05,4917,GARFIBRES
16,2023-12-06,EQ,3291.15,3463.85,3291.1,3299.9,3419.0,3431.55,3395.67,3463.85,2650.0,30700,104247037.6,9077,GARFIBRES
17,2023-12-05,EQ,3319.85,3355.95,3262.35,3321.0,3311.05,3299.9,3313.56,3462.85,2650.0,10422,34533893.85,3263,GARFIBRES
18,2023-12-04,EQ,3373.7,3429.9,3282.35,3352.9,3307.0,3321.0,3367.61,3462.85,2650.0,11073,37289554.25,4903,GARFIBRES
19,2023-12-01,EQ,3415.15,3415.15,3335.6,3398.15,3335.6,3352.9,3380.71,3462.85,2650.0,6977,23587213.7,3053,GARFIBRES
20,2023-11-30,EQ,3347.2,3420.0,3293.9,3363.85,3363.9,3398.15,3355.88,3462.85,2650.0,18778,63016656.65,6187,GARFIBRES
21,2023-11-29,EQ,3380.0,3420.25,3322.35,3377.1,3322.35,3363.85,3385.69,3462.85,2650.0,15192,51435327.25,4077,GARFIBRES
22,2023-11-28,EQ,3390.0,3423.0,3335.5,3332.15,3369.55,3377.1,3377.02,3462.85,2650.0,25803,87137340.6,7385,GARFIBRES
23,2023-11-24,EQ,3224.85,3368.15,3190.0,3227.85,3350.0,3332.15,3287.94,3622.75,2650.0,24442,80363819.55,5580,GARFIBRES
24,2023-11-23,EQ,3185.0,3248.0,3185.0,3185.0,3239.0,3227.85,3220.78,3622.75,2650.0,11129,35844057.9,2567,GARFIBRES
25,2023-11-22,EQ,3217.0,3249.5,3152.7,3220.0,3164.05,3185.0,3213.28,3622.75,2650.0,10088,32415590.25,2994,GARFIBRES
26,2023-11-21,EQ,3199.0,3239.9,3192.05,3202.0,3226.0,3220.0,3217.02,3622.75,2650.0,11419,36735105.3,4313,GARFIBRES
27,2023-11-20,EQ,3172.65,3208.95,3165.9,3170.65,3200.0,3202.0,3189.07,3622.75,2650.0,12006,38287918.55,4405,GARFIBRES
28,2023-11-17,EQ,3139.85,3187.45,3131.75,3138.75,3187.45,3170.65,3162.05,3622.75,2650.0,9126,28856903.25,3459,GARFIBRES
29,2023-11-16,EQ,3123.0,3190.0,3123.0,3130.75,3150.0,3138.75,3155.81,3622.75,2650.0,9978,31488692.9,3681,GARFIBRES
30,2023-11-15,EQ,3139.95,3153.75,3118.15,3126.8,3130.0,3130.75,3130.07,3622.75,2650.0,9181,28737193.35,2239,GARFIBRES
31,2023-11-13,EQ,3142.7,3142.7,3113.35,3126.75,3128.0,3126.8,3127.74,3622.75,2650.0,5787,18100215.65,1771,GARFIBRES
32,2023-11-12,EQ,3139.95,3153.7,3117.1,3121.2,3121.95,3126.75,3134.05,3622.75,2650.0,1949,6108259.6,635,GARFIBRES
33,2023-11-10,EQ,3139.25,3162.2,3105.9,3139.25,3106.0,3121.2,3138.6,3622.75,2650.0,7246,22742259.75,1662,GARFIBRES
34,2023-11-09,EQ,3128.6,3166.55,3121.05,3131.55,3150.0,3139.25,3142.37,3622.75,2650.0,5455,17141654.75,1912,GARFIBRES
35,2023-11-08,EQ,3126.95,3146.1,3117.15,3129.85,3130.0,3131.55,3128.31,3622.75,2650.0,16226,50759906.5,1679,GARFIBRES
36,2023-11-07,EQ,3100.0,3145.2,3078.4,3168.4,3127.2,3129.85,3127.02,3622.75,2650.0,20460,63978903.65,2423,GARFIBRES
37,2023-11-06,EQ,3177.0,3201.8,3106.7,3177.5,3173.95,3168.4,3160.84,3622.75,2650.0,14879,47030095.7,2180,GARFIBRES
38,2023-11-03,EQ,3180.0,3200.55,3155.35,3184.6,3180.0,3177.5,3172.51,3622.75,2650.0,2977,9444560.95,1429,GARFIBRES
